cell_id,cell_area_m2,inter_area_m2,overhead_fraction_cell,covered_walkway,elevated_rail,elevated_road,pedestrian_bridge,viaduct,other_overhead,overhead_confounding_flag
TP_0590,9999.9999998985,4004.746365837706,0.4004746365878354,0,0,2,0,1,0,major_confounding
TP_0591,10000.000000072578,1995.744505493524,0.19957445054790393,0,0,2,0,1,0,major_confounding
TP_0592,9999.99999995689,12.359776068437895,0.001235977606849118,2,0,0,0,0,0,clean_or_minor
TP_0593,10000.00000004984,774.482088110814,0.07744820881069539,4,0,0,1,0,0,moderate_confounding
TP_0594,9999.999999934516,147.799269437242,0.014779926943820985,4,0,0,0,0,0,clean_or_minor
TP_0595,10000.000000098771,501.20636450155257,0.05012063644966021,0,0,1,0,0,0,moderate_confounding
TP_0596,10000.000000050568,143.08706874053487,0.014308706873981131,0,0,1,0,0,0,clean_or_minor
TP_0597,9999.99999992906,276.5691885593137,0.02765691885612757,4,0,1,0,0,0,moderate_confounding
TP_0598,9999.99999995598,201.49841057353754,0.020149841057442452,5,0,0,1,0,0,moderate_confounding
TP_0599,10000.000000057298,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0600,9999.999999936881,1482.5122203200526,0.148251222032941,0,0,0,1,1,0,major_confounding
TP_0601,10000.00000009295,1197.3690286490998,0.11973690286379703,1,0,0,0,1,0,major_confounding
TP_0602,9999.999999969623,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0603,9999.999999921602,3423.806592040154,0.34238065920669963,0,1,3,0,0,0,major_confounding
TP_0604,10000.000000013279,1826.637103797354,0.18266371037949286,0,0,3,0,0,0,major_confounding
TP_0605,9999.999999961074,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0606,10000.000000059299,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0607,10000.000000009459,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0608,10000.000000094951,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0609,9999.999999972897,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0610,10000.00000005657,1010.9083672820351,0.10109083672763164,0,0,0,0,2,0,major_confounding
TP_0611,10000.0000000804,2540.4344941026743,0.25404344940822493,0,0,0,0,2,0,major_confounding
TP_0612,9999.999999825013,2465.527688160986,0.24655276882041297,0,0,0,0,2,0,major_confounding
TP_0613,10000.000000066757,243.88277975521657,0.02438827797535885,1,0,0,1,2,0,moderate_confounding
TP_0614,9999.999999959255,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0615,10000.000000125692,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0616,9999.999999865395,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0617,10000.000000105138,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0618,9999.999999989086,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0619,9999.999999945794,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0620,9999.99999996653,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0621,10000.000000135333,0.0,0.0,0,0,0,0,0,0,clean_or_minor
TP_0622,9999.999999883585,234.63310652170085,0.023463310652443232,6,0,0,0,0,0,moderate_confounding
TP_0623,10000.000000041473,247.90551115155907,0.024790551115053093,6,0,0,0,0,0,moderate_confounding
