feature_column,feature_group,base_feature,buffer_m,feature_type,n_non_null,missing_fraction,n_unique_non_null,top_value_fraction,constant_flag,near_constant_flag,outlier_stations_robust_z,zero_fraction,min,p05,p25,median,p75,p95,max,category_values
distance_to_park_or_green_m_250m,green,distance_to_park_or_green_m,250,numeric,27,0.000000,18,0.370370,no,no,S187:468.578(z=5.55),0.370370,0.000000,0.000000,0.000000,50.751432,212.343422,308.082490,468.578357,
distance_to_park_or_green_m_500m,green,distance_to_park_or_green_m,500,numeric,27,0.000000,18,0.370370,no,no,S187:468.578(z=5.55),0.370370,0.000000,0.000000,0.000000,50.751432,212.343422,308.082490,468.578357,
green_space_fraction_50m,green,green_space_fraction,50,numeric,27,0.000000,11,0.555556,no,no,,0.555556,0.000000,0.000000,0.000000,0.000000,0.660235,1.000000,1.000000,
green_space_fraction_100m,green,green_space_fraction,100,numeric,27,0.000000,14,0.481481,no,no,S145:0.987(z=6.25);S151:0.975(z=6.16);S141:0.940(z=5.92);S143:0.733(z=4.47);S135:0.633(z=3.77),0.481481,0.000000,0.000000,0.000000,0.096154,0.409399,0.964241,0.987382,
green_space_fraction_250m,green,green_space_fraction,250,numeric,27,0.000000,23,0.185185,no,no,S151:0.990(z=4.63),0.185185,0.000000,0.000000,0.009203,0.125761,0.375241,0.672527,0.989817,
green_space_fraction_500m,green,green_space_fraction,500,numeric,27,0.000000,27,0.037037,no,no,S151:0.704(z=4.38);S135:0.662(z=4.06);S145:0.611(z=3.67),0.000000,0.000797,0.028924,0.068554,0.131056,0.378544,0.646788,0.704382,
landuse_entropy_50m,landuse,landuse_entropy,50,numeric,24,0.111111,13,0.500000,no,no,S128:2.120(z=5.47);S125:1.835(z=4.64);S150:1.522(z=3.73);S141:1.502(z=3.68),0.500000,0.000000,0.000000,0.000000,0.232843,1.049683,1.787992,2.120223,
landuse_entropy_100m,landuse,landuse_entropy,100,numeric,26,0.037037,20,0.269231,no,no,,0.269231,0.000000,0.000000,0.023180,0.890014,1.408478,2.099274,2.479291,
landuse_entropy_250m,landuse,landuse_entropy,250,numeric,27,0.000000,25,0.111111,no,no,,0.111111,0.000000,0.000000,0.330925,1.095047,1.637345,2.096694,2.528756,
landuse_entropy_500m,landuse,landuse_entropy,500,numeric,27,0.000000,27,0.037037,no,no,,0.000000,0.069189,0.170673,0.901734,1.125251,1.566522,2.248114,2.349510,
landuse_majority_50m,landuse,landuse_majority,50,categorical,24,0.111111,7,0.416667,no,no,,,,,,,,,,stadium;military;pitch;sports_centre;green_space
landuse_majority_100m,landuse,landuse_majority,100,categorical,26,0.037037,7,0.423077,no,no,,,,,,,,,,pitch;military;stadium;green_space;built_or_urban
landuse_majority_250m,landuse,landuse_majority,250,categorical,27,0.000000,4,0.518519,no,no,,,,,,,,,,green_space;built_or_urban;military;transport
landuse_majority_500m,landuse,landuse_majority,500,categorical,27,0.000000,3,0.592593,no,no,,,,,,,,,,green_space;built_or_urban;transport
distance_to_major_road_m_50m,roads,distance_to_major_road_m,50,numeric,27,0.000000,27,0.037037,no,no,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),0.000000,11.988531,24.956960,42.788521,67.439378,191.458199,1117.239481,2273.981758,
distance_to_major_road_m_100m,roads,distance_to_major_road_m,100,numeric,27,0.000000,27,0.037037,no,no,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),0.000000,11.988531,24.956960,42.788521,67.439378,191.458199,1117.239481,2273.981758,
distance_to_major_road_m_250m,roads,distance_to_major_road_m,250,numeric,27,0.000000,27,0.037037,no,no,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),0.000000,11.988531,24.956960,42.788521,67.439378,191.458199,1117.239481,2273.981758,
distance_to_major_road_m_500m,roads,distance_to_major_road_m,500,numeric,27,0.000000,27,0.037037,no,no,S151:2273.982(z=48.83);S187:1400.517(z=29.50);S142:456.259(z=8.60);S124:388.030(z=7.09);S135:249.300(z=4.02),0.000000,11.988531,24.956960,42.788521,67.439378,191.458199,1117.239481,2273.981758,
major_road_length_m_50m,roads,major_road_length_m,50,numeric,27,0.000000,10,0.666667,no,no,S184:341.785(z=5.63),0.666667,0.000000,0.000000,0.000000,0.000000,60.717599,161.250319,341.784749,
major_road_length_m_100m,roads,major_road_length_m,100,numeric,27,0.000000,18,0.370370,no,no,,0.370370,0.000000,0.000000,0.000000,188.072855,358.178350,585.137103,952.484896,
major_road_length_m_250m,roads,major_road_length_m,250,numeric,27,0.000000,24,0.148148,no,no,,0.148148,0.000000,0.000000,633.649645,1098.432385,1628.667547,2738.502659,3965.779582,
major_road_length_m_500m,roads,major_road_length_m,500,numeric,27,0.000000,26,0.074074,no,no,S127:12979.369(z=3.55),0.074074,0.000000,178.742687,2617.836788,4499.686867,6008.559747,8597.705610,12979.369036,
road_density_m_per_ha_50m,roads,road_density_m_per_ha,50,numeric,27,0.000000,27,0.037037,no,no,,0.000000,13.950869,96.930896,215.689398,377.820033,515.904081,867.265426,903.438284,
road_density_m_per_ha_100m,roads,road_density_m_per_ha,100,numeric,27,0.000000,27,0.037037,no,no,,0.000000,84.947729,112.098376,276.368548,380.815403,493.369464,691.697087,825.041287,
road_density_m_per_ha_250m,roads,road_density_m_per_ha,250,numeric,27,0.000000,27,0.037037,no,no,S151:82.202(z=-3.78),0.000000,82.202193,123.235494,298.020483,391.237210,437.430541,489.902062,555.458328,
road_density_m_per_ha_500m,roads,road_density_m_per_ha,500,numeric,27,0.000000,27,0.037037,no,no,,0.000000,62.193992,124.691445,232.027313,330.354512,427.769060,488.547764,522.864933,
road_length_m_50m,roads,road_length_m,50,numeric,27,0.000000,27,0.037037,no,no,,0.000000,10.956987,76.129347,169.402057,296.739160,405.190117,681.148673,709.558769,
road_length_m_100m,roads,road_length_m,100,numeric,27,0.000000,27,0.037037,no,no,,0.000000,266.871162,352.167434,868.237400,1196.366873,1549.965886,2173.030488,2591.943646,
road_length_m_250m,roads,road_length_m,250,numeric,27,0.000000,27,0.037037,no,no,S151:1614.036(z=-3.78),0.000000,1614.036286,2419.723259,5851.618494,7681.924664,8588.928591,9619.204486,10906.398757,
road_length_m_500m,roads,road_length_m,500,numeric,27,0.000000,27,0.037037,no,no,,0.000000,4884.704732,9793.243199,18223.382575,25945.982707,33596.903396,38370.451656,41065.715795,
distance_to_water_m_50m,water,distance_to_water_m,50,numeric,27,0.000000,27,0.037037,no,no,,0.000000,5.102427,21.498383,55.582683,248.059739,332.522171,396.726238,509.137350,
distance_to_water_m_100m,water,distance_to_water_m,100,numeric,27,0.000000,27,0.037037,no,no,,0.000000,5.102427,21.498383,55.582683,248.059739,332.522171,396.726238,509.137350,
distance_to_water_m_250m,water,distance_to_water_m,250,numeric,27,0.000000,27,0.037037,no,no,,0.000000,5.102427,21.498383,55.582683,248.059739,332.522171,396.726238,509.137350,
distance_to_water_m_500m,water,distance_to_water_m,500,numeric,27,0.000000,27,0.037037,no,no,,0.000000,5.102427,21.498383,55.582683,248.059739,332.522171,396.726238,509.137350,
water_fraction_50m,water,water_fraction,50,numeric,27,0.000000,2,0.962963,no,yes,,0.962963,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.144231,
water_fraction_100m,water,water_fraction,100,numeric,27,0.000000,5,0.851852,no,yes,,0.851852,0.000000,0.000000,0.000000,0.000000,0.000000,0.093406,0.130159,
water_fraction_250m,water,water_fraction,250,numeric,27,0.000000,10,0.666667,no,no,S145:0.312(z=61.65);S147:0.087(z=17.25);S143:0.068(z=13.35);S128:0.057(z=11.19);S141:0.018(z=3.61),0.666667,0.000000,0.000000,0.000000,0.000000,0.005067,0.081465,0.312373,
water_fraction_500m,water,water_fraction,500,numeric,27,0.000000,18,0.370370,no,no,S145:0.253(z=30.21);S147:0.214(z=25.40);S144:0.098(z=11.28);S143:0.052(z=5.65);S128:0.037(z=3.89),0.370370,0.000000,0.000000,0.000000,0.005529,0.025814,0.179004,0.253185,
