feature_a,feature_b,feature_a_group,feature_b_group,feature_a_base,feature_b_base,feature_a_buffer_m,feature_b_buffer_m,spearman_r,abs_spearman_r,n_pairwise,collinearity_status
road_density_m_per_ha_500m,road_length_m_500m,roads,roads,road_density_m_per_ha,road_length_m,500,500,1.000000,1.000000,27,near_duplicate
road_density_m_per_ha_50m,road_length_m_50m,roads,roads,road_density_m_per_ha,road_length_m,50,50,1.000000,1.000000,27,near_duplicate
green_space_fraction_50m,green_space_fraction_100m,green,green,green_space_fraction,green_space_fraction,50,100,0.941369,0.941369,27,near_duplicate
distance_to_park_or_green_m_100m,green_space_fraction_100m,green,green,distance_to_park_or_green_m,green_space_fraction,100,100,-0.903521,0.903521,27,near_duplicate
distance_to_park_or_green_m_250m,green_space_fraction_100m,green,green,distance_to_park_or_green_m,green_space_fraction,250,100,-0.903521,0.903521,27,near_duplicate
distance_to_park_or_green_m_500m,green_space_fraction_100m,green,green,distance_to_park_or_green_m,green_space_fraction,500,100,-0.903521,0.903521,27,near_duplicate
distance_to_park_or_green_m_50m,green_space_fraction_100m,green,green,distance_to_park_or_green_m,green_space_fraction,50,100,-0.903521,0.903521,27,near_duplicate
building_count_50m,building_footprint_fraction_50m,buildings,buildings,building_count,building_footprint_fraction,50,50,0.896853,0.896853,27,high_collinearity
distance_to_major_road_m_100m,major_road_length_m_100m,roads,roads,distance_to_major_road_m,major_road_length_m,100,100,-0.879266,0.879266,27,high_collinearity
distance_to_major_road_m_250m,major_road_length_m_100m,roads,roads,distance_to_major_road_m,major_road_length_m,250,100,-0.879266,0.879266,27,high_collinearity
distance_to_major_road_m_500m,major_road_length_m_100m,roads,roads,distance_to_major_road_m,major_road_length_m,500,100,-0.879266,0.879266,27,high_collinearity
distance_to_major_road_m_50m,major_road_length_m_100m,roads,roads,distance_to_major_road_m,major_road_length_m,50,100,-0.879266,0.879266,27,high_collinearity
distance_to_park_or_green_m_100m,green_space_fraction_50m,green,green,distance_to_park_or_green_m,green_space_fraction,100,50,-0.874458,0.874458,27,high_collinearity
distance_to_park_or_green_m_250m,green_space_fraction_50m,green,green,distance_to_park_or_green_m,green_space_fraction,250,50,-0.874458,0.874458,27,high_collinearity
distance_to_park_or_green_m_500m,green_space_fraction_50m,green,green,distance_to_park_or_green_m,green_space_fraction,500,50,-0.874458,0.874458,27,high_collinearity
distance_to_park_or_green_m_50m,green_space_fraction_50m,green,green,distance_to_park_or_green_m,green_space_fraction,50,50,-0.874458,0.874458,27,high_collinearity
landuse_entropy_50m,landuse_entropy_100m,landuse,landuse,landuse_entropy,landuse_entropy,50,100,0.853526,0.853526,24,high_collinearity
building_count_250m,building_count_500m,buildings,buildings,building_count,building_count,250,500,0.843898,0.843898,27,high_collinearity
distance_to_major_road_m_100m,major_road_length_m_50m,roads,roads,distance_to_major_road_m,major_road_length_m,100,50,-0.834809,0.834809,27,high_collinearity
distance_to_major_road_m_250m,major_road_length_m_50m,roads,roads,distance_to_major_road_m,major_road_length_m,250,50,-0.834809,0.834809,27,high_collinearity
distance_to_major_road_m_500m,major_road_length_m_50m,roads,roads,distance_to_major_road_m,major_road_length_m,500,50,-0.834809,0.834809,27,high_collinearity
distance_to_major_road_m_50m,major_road_length_m_50m,roads,roads,distance_to_major_road_m,major_road_length_m,50,50,-0.834809,0.834809,27,high_collinearity
road_density_m_per_ha_100m,road_length_m_50m,roads,roads,road_density_m_per_ha,road_length_m,100,50,0.834554,0.834554,27,high_collinearity
road_density_m_per_ha_50m,road_density_m_per_ha_100m,roads,roads,road_density_m_per_ha,road_density_m_per_ha,50,100,0.834554,0.834554,27,high_collinearity
road_density_m_per_ha_50m,road_length_m_100m,roads,roads,road_density_m_per_ha,road_length_m,50,100,0.834554,0.834554,27,high_collinearity
road_length_m_50m,road_length_m_100m,roads,roads,road_length_m,road_length_m,50,100,0.834554,0.834554,27,high_collinearity
green_space_fraction_250m,green_space_fraction_500m,green,green,green_space_fraction,green_space_fraction,250,500,0.831602,0.831602,27,high_collinearity
landuse_entropy_100m,landuse_entropy_250m,landuse,landuse,landuse_entropy,landuse_entropy,100,250,0.828013,0.828013,26,high_collinearity
building_count_100m,building_footprint_fraction_100m,buildings,buildings,building_count,building_footprint_fraction,100,100,0.825894,0.825894,27,high_collinearity
landuse_entropy_250m,landuse_entropy_500m,landuse,landuse,landuse_entropy,landuse_entropy,250,500,0.803910,0.803910,27,high_collinearity
distance_to_park_or_green_m_100m,green_space_fraction_250m,green,green,distance_to_park_or_green_m,green_space_fraction,100,250,-0.785503,0.785503,27,moderate_collinearity
distance_to_park_or_green_m_250m,green_space_fraction_250m,green,green,distance_to_park_or_green_m,green_space_fraction,250,250,-0.785503,0.785503,27,moderate_collinearity
distance_to_park_or_green_m_500m,green_space_fraction_250m,green,green,distance_to_park_or_green_m,green_space_fraction,500,250,-0.785503,0.785503,27,moderate_collinearity
distance_to_park_or_green_m_50m,green_space_fraction_250m,green,green,distance_to_park_or_green_m,green_space_fraction,50,250,-0.785503,0.785503,27,moderate_collinearity
building_count_500m,building_footprint_fraction_500m,buildings,buildings,building_count,building_footprint_fraction,500,500,0.778812,0.778812,27,moderate_collinearity
building_footprint_fraction_500m,road_density_m_per_ha_500m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,500,500,0.753358,0.753358,27,moderate_collinearity
building_footprint_fraction_500m,road_length_m_500m,buildings,roads,building_footprint_fraction,road_length_m,500,500,0.753358,0.753358,27,moderate_collinearity
road_density_m_per_ha_250m,road_density_m_per_ha_500m,roads,roads,road_density_m_per_ha,road_density_m_per_ha,250,500,0.753358,0.753358,27,moderate_collinearity
road_density_m_per_ha_250m,road_length_m_500m,roads,roads,road_density_m_per_ha,road_length_m,250,500,0.753358,0.753358,27,moderate_collinearity
road_density_m_per_ha_500m,road_length_m_250m,roads,roads,road_density_m_per_ha,road_length_m,500,250,0.753358,0.753358,27,moderate_collinearity
road_length_m_250m,road_length_m_500m,roads,roads,road_length_m,road_length_m,250,500,0.753358,0.753358,27,moderate_collinearity
major_road_length_m_250m,major_road_length_m_500m,roads,roads,major_road_length_m,major_road_length_m,250,500,0.741783,0.741783,27,moderate_collinearity
building_count_50m,building_count_100m,buildings,buildings,building_count,building_count,50,100,0.733600,0.733600,27,moderate_collinearity
major_road_length_m_500m,road_density_m_per_ha_500m,roads,roads,major_road_length_m,road_density_m_per_ha,500,500,0.721417,0.721417,27,moderate_collinearity
major_road_length_m_500m,road_length_m_500m,roads,roads,major_road_length_m,road_length_m,500,500,0.721417,0.721417,27,moderate_collinearity
building_count_100m,building_footprint_fraction_50m,buildings,buildings,building_count,building_footprint_fraction,100,50,0.719498,0.719498,27,moderate_collinearity
green_space_fraction_100m,green_space_fraction_250m,green,green,green_space_fraction,green_space_fraction,100,250,0.713944,0.713944,27,moderate_collinearity
major_road_length_m_50m,major_road_length_m_100m,roads,roads,major_road_length_m,major_road_length_m,50,100,0.711831,0.711831,27,moderate_collinearity
building_footprint_fraction_250m,building_footprint_fraction_500m,buildings,buildings,building_footprint_fraction,building_footprint_fraction,250,500,0.708791,0.708791,27,moderate_collinearity
landuse_entropy_50m,landuse_entropy_250m,landuse,landuse,landuse_entropy,landuse_entropy,50,250,0.703448,0.703448,24,moderate_collinearity
building_footprint_fraction_100m,building_footprint_fraction_250m,buildings,buildings,building_footprint_fraction,building_footprint_fraction,100,250,0.678168,0.678168,27,moderate_collinearity
building_footprint_fraction_50m,building_footprint_fraction_100m,buildings,buildings,building_footprint_fraction,building_footprint_fraction,50,100,0.665120,0.665120,27,moderate_collinearity
green_space_fraction_50m,green_space_fraction_250m,green,green,green_space_fraction,green_space_fraction,50,250,0.660928,0.660928,27,moderate_collinearity
building_count_500m,road_density_m_per_ha_500m,buildings,roads,building_count,road_density_m_per_ha,500,500,0.650282,0.650282,27,moderate_collinearity
building_count_500m,road_length_m_500m,buildings,roads,building_count,road_length_m,500,500,0.650282,0.650282,27,moderate_collinearity
water_fraction_100m,water_fraction_250m,water,water,water_fraction,water_fraction,100,250,0.613115,0.613115,27,moderate_collinearity
building_count_250m,building_footprint_fraction_250m,buildings,buildings,building_count,building_footprint_fraction,250,250,0.604459,0.604459,27,moderate_collinearity
building_count_100m,building_footprint_fraction_250m,buildings,buildings,building_count,building_footprint_fraction,100,250,0.602453,0.602453,27,moderate_collinearity
building_count_50m,building_footprint_fraction_100m,buildings,buildings,building_count,building_footprint_fraction,50,100,0.596171,0.596171,27,low_collinearity
building_footprint_fraction_500m,road_density_m_per_ha_250m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,500,250,0.592796,0.592796,27,low_collinearity
building_footprint_fraction_500m,road_length_m_250m,buildings,roads,building_footprint_fraction,road_length_m,500,250,0.592796,0.592796,27,low_collinearity
road_density_m_per_ha_100m,road_density_m_per_ha_250m,roads,roads,road_density_m_per_ha,road_density_m_per_ha,100,250,0.587302,0.587302,27,low_collinearity
road_density_m_per_ha_100m,road_length_m_250m,roads,roads,road_density_m_per_ha,road_length_m,100,250,0.587302,0.587302,27,low_collinearity
road_density_m_per_ha_250m,road_length_m_100m,roads,roads,road_density_m_per_ha,road_length_m,250,100,0.587302,0.587302,27,low_collinearity
road_length_m_100m,road_length_m_250m,roads,roads,road_length_m,road_length_m,100,250,0.587302,0.587302,27,low_collinearity
water_fraction_250m,water_fraction_500m,water,water,water_fraction,water_fraction,250,500,0.586598,0.586598,27,low_collinearity
building_footprint_fraction_500m,green_space_fraction_500m,buildings,green,building_footprint_fraction,green_space_fraction,500,500,-0.583639,0.583639,27,low_collinearity
building_count_100m,building_count_250m,buildings,buildings,building_count,building_count,100,250,0.578333,0.578333,27,low_collinearity
building_count_250m,building_footprint_fraction_500m,buildings,buildings,building_count,building_footprint_fraction,250,500,0.575443,0.575443,27,low_collinearity
major_road_length_m_100m,major_road_length_m_250m,roads,roads,major_road_length_m,major_road_length_m,100,250,0.554343,0.554343,27,low_collinearity
green_space_fraction_500m,major_road_length_m_100m,green,roads,green_space_fraction,major_road_length_m,500,100,-0.552556,0.552556,27,low_collinearity
building_count_500m,building_footprint_fraction_250m,buildings,buildings,building_count,building_footprint_fraction,500,250,0.541902,0.541902,27,low_collinearity
green_space_fraction_50m,water_fraction_250m,green,water,green_space_fraction,water_fraction,50,250,0.538516,0.538516,27,low_collinearity
major_road_length_m_250m,road_density_m_per_ha_500m,roads,roads,major_road_length_m,road_density_m_per_ha,250,500,0.536228,0.536228,27,low_collinearity
major_road_length_m_250m,road_length_m_500m,roads,roads,major_road_length_m,road_length_m,250,500,0.536228,0.536228,27,low_collinearity
landuse_entropy_250m,major_road_length_m_50m,landuse,roads,landuse_entropy,major_road_length_m,250,50,-0.532493,0.532493,27,low_collinearity
distance_to_water_m_100m,water_fraction_250m,water,water,distance_to_water_m,water_fraction,100,250,-0.532168,0.532168,27,low_collinearity
distance_to_water_m_250m,water_fraction_250m,water,water,distance_to_water_m,water_fraction,250,250,-0.532168,0.532168,27,low_collinearity
distance_to_water_m_500m,water_fraction_250m,water,water,distance_to_water_m,water_fraction,500,250,-0.532168,0.532168,27,low_collinearity
distance_to_water_m_50m,water_fraction_250m,water,water,distance_to_water_m,water_fraction,50,250,-0.532168,0.532168,27,low_collinearity
water_fraction_50m,water_fraction_100m,water,water,water_fraction,water_fraction,50,100,0.529482,0.529482,27,low_collinearity
building_footprint_fraction_250m,road_density_m_per_ha_500m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,250,500,0.520147,0.520147,27,low_collinearity
building_footprint_fraction_250m,road_length_m_500m,buildings,roads,building_footprint_fraction,road_length_m,250,500,0.520147,0.520147,27,low_collinearity
building_footprint_fraction_250m,green_space_fraction_500m,buildings,green,building_footprint_fraction,green_space_fraction,250,500,-0.518926,0.518926,27,low_collinearity
distance_to_major_road_m_100m,major_road_length_m_250m,roads,roads,distance_to_major_road_m,major_road_length_m,100,250,-0.518496,0.518496,27,low_collinearity
distance_to_major_road_m_250m,major_road_length_m_250m,roads,roads,distance_to_major_road_m,major_road_length_m,250,250,-0.518496,0.518496,27,low_collinearity
distance_to_major_road_m_500m,major_road_length_m_250m,roads,roads,distance_to_major_road_m,major_road_length_m,500,250,-0.518496,0.518496,27,low_collinearity
distance_to_major_road_m_50m,major_road_length_m_250m,roads,roads,distance_to_major_road_m,major_road_length_m,50,250,-0.518496,0.518496,27,low_collinearity
green_space_fraction_50m,water_fraction_100m,green,water,green_space_fraction,water_fraction,50,100,0.514472,0.514472,27,low_collinearity
landuse_entropy_100m,landuse_entropy_500m,landuse,landuse,landuse_entropy,landuse_entropy,100,500,0.512623,0.512623,26,low_collinearity
green_space_fraction_500m,major_road_length_m_50m,green,roads,green_space_fraction,major_road_length_m,500,50,-0.508888,0.508888,27,low_collinearity
building_count_500m,road_density_m_per_ha_250m,buildings,roads,building_count,road_density_m_per_ha,500,250,0.498855,0.498855,27,low_collinearity
building_count_500m,road_length_m_250m,buildings,roads,building_count,road_length_m,500,250,0.498855,0.498855,27,low_collinearity
building_footprint_fraction_100m,road_density_m_per_ha_100m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,100,100,0.490382,0.490382,27,low_collinearity
building_footprint_fraction_100m,road_length_m_100m,buildings,roads,building_footprint_fraction,road_length_m,100,100,0.490382,0.490382,27,low_collinearity
building_count_250m,road_density_m_per_ha_500m,buildings,roads,building_count,road_density_m_per_ha,250,500,0.484728,0.484728,27,low_collinearity
building_count_250m,road_length_m_500m,buildings,roads,building_count,road_length_m,250,500,0.484728,0.484728,27,low_collinearity
distance_to_park_or_green_m_100m,green_space_fraction_500m,green,green,distance_to_park_or_green_m,green_space_fraction,100,500,-0.482704,0.482704,27,low_collinearity
distance_to_park_or_green_m_250m,green_space_fraction_500m,green,green,distance_to_park_or_green_m,green_space_fraction,250,500,-0.482704,0.482704,27,low_collinearity
distance_to_park_or_green_m_500m,green_space_fraction_500m,green,green,distance_to_park_or_green_m,green_space_fraction,500,500,-0.482704,0.482704,27,low_collinearity
distance_to_park_or_green_m_50m,green_space_fraction_500m,green,green,distance_to_park_or_green_m,green_space_fraction,50,500,-0.482704,0.482704,27,low_collinearity
green_space_fraction_100m,water_fraction_250m,green,water,green_space_fraction,water_fraction,100,250,0.482546,0.482546,27,low_collinearity
landuse_entropy_50m,landuse_entropy_500m,landuse,landuse,landuse_entropy,landuse_entropy,50,500,0.478103,0.478103,24,low_collinearity
green_space_fraction_250m,major_road_length_m_100m,green,roads,green_space_fraction,major_road_length_m,250,100,-0.473815,0.473815,27,low_collinearity
building_footprint_fraction_500m,major_road_length_m_500m,buildings,roads,building_footprint_fraction,major_road_length_m,500,500,0.472294,0.472294,27,low_collinearity
green_space_fraction_100m,water_fraction_100m,green,water,green_space_fraction,water_fraction,100,100,0.469337,0.469337,27,low_collinearity
building_footprint_fraction_250m,road_density_m_per_ha_100m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,250,100,0.468254,0.468254,27,low_collinearity
building_footprint_fraction_250m,road_length_m_100m,buildings,roads,building_footprint_fraction,road_length_m,250,100,0.468254,0.468254,27,low_collinearity
building_count_500m,green_space_fraction_500m,buildings,green,building_count,green_space_fraction,500,500,-0.468020,0.468020,27,low_collinearity
road_density_m_per_ha_100m,water_fraction_500m,roads,water,road_density_m_per_ha,water_fraction,100,500,0.466102,0.466102,27,low_collinearity
road_length_m_100m,water_fraction_500m,roads,water,road_length_m,water_fraction,100,500,0.466102,0.466102,27,low_collinearity
major_road_length_m_100m,water_fraction_100m,roads,water,major_road_length_m,water_fraction,100,100,-0.465147,0.465147,27,low_collinearity
green_space_fraction_500m,distance_to_major_road_m_100m,green,roads,green_space_fraction,distance_to_major_road_m,500,100,0.463370,0.463370,27,low_collinearity
green_space_fraction_500m,distance_to_major_road_m_250m,green,roads,green_space_fraction,distance_to_major_road_m,500,250,0.463370,0.463370,27,low_collinearity
green_space_fraction_500m,distance_to_major_road_m_500m,green,roads,green_space_fraction,distance_to_major_road_m,500,500,0.463370,0.463370,27,low_collinearity
green_space_fraction_500m,distance_to_major_road_m_50m,green,roads,green_space_fraction,distance_to_major_road_m,500,50,0.463370,0.463370,27,low_collinearity
green_space_fraction_250m,major_road_length_m_50m,green,roads,green_space_fraction,major_road_length_m,250,50,-0.462286,0.462286,27,low_collinearity
building_count_100m,road_density_m_per_ha_100m,buildings,roads,building_count,road_density_m_per_ha,100,100,0.443605,0.443605,27,low_collinearity
building_count_100m,road_length_m_100m,buildings,roads,building_count,road_length_m,100,100,0.443605,0.443605,27,low_collinearity
landuse_entropy_100m,major_road_length_m_50m,landuse,roads,landuse_entropy,major_road_length_m,100,50,-0.434584,0.434584,26,low_collinearity
major_road_length_m_250m,road_density_m_per_ha_250m,roads,roads,major_road_length_m,road_density_m_per_ha,250,250,0.431673,0.431673,27,low_collinearity
major_road_length_m_250m,road_length_m_250m,roads,roads,major_road_length_m,road_length_m,250,250,0.431673,0.431673,27,low_collinearity
building_footprint_fraction_100m,road_density_m_per_ha_50m,buildings,roads,building_footprint_fraction,road_density_m_per_ha,100,50,0.429924,0.429924,27,low_collinearity
building_footprint_fraction_100m,road_length_m_50m,buildings,roads,building_footprint_fraction,road_length_m,100,50,0.429924,0.429924,27,low_collinearity
green_space_fraction_250m,distance_to_major_road_m_100m,green,roads,green_space_fraction,distance_to_major_road_m,250,100,0.429886,0.429886,27,low_collinearity
green_space_fraction_250m,distance_to_major_road_m_250m,green,roads,green_space_fraction,distance_to_major_road_m,250,250,0.429886,0.429886,27,low_collinearity
green_space_fraction_250m,distance_to_major_road_m_500m,green,roads,green_space_fraction,distance_to_major_road_m,250,500,0.429886,0.429886,27,low_collinearity
green_space_fraction_250m,distance_to_major_road_m_50m,green,roads,green_space_fraction,distance_to_major_road_m,250,50,0.429886,0.429886,27,low_collinearity
green_space_fraction_50m,water_fraction_500m,green,water,green_space_fraction,water_fraction,50,500,0.428622,0.428622,27,low_collinearity
building_footprint_fraction_250m,green_space_fraction_250m,buildings,green,building_footprint_fraction,green_space_fraction,250,250,-0.428049,0.428049,27,low_collinearity
building_count_250m,building_footprint_fraction_100m,buildings,buildings,building_count,building_footprint_fraction,250,100,0.423006,0.423006,27,low_collinearity
green_space_fraction_100m,road_density_m_per_ha_50m,green,roads,green_space_fraction,road_density_m_per_ha,100,50,0.421941,0.421941,27,low_collinearity
green_space_fraction_100m,road_length_m_50m,green,roads,green_space_fraction,road_length_m,100,50,0.421941,0.421941,27,low_collinearity
building_count_50m,building_count_250m,buildings,buildings,building_count,building_count,50,250,0.419592,0.419592,27,low_collinearity
distance_to_water_m_100m,water_fraction_100m,water,water,distance_to_water_m,water_fraction,100,100,-0.418718,0.418718,27,low_collinearity
distance_to_water_m_250m,water_fraction_100m,water,water,distance_to_water_m,water_fraction,250,100,-0.418718,0.418718,27,low_collinearity
distance_to_water_m_500m,water_fraction_100m,water,water,distance_to_water_m,water_fraction,500,100,-0.418718,0.418718,27,low_collinearity
distance_to_water_m_50m,water_fraction_100m,water,water,distance_to_water_m,water_fraction,50,100,-0.418718,0.418718,27,low_collinearity
major_road_length_m_100m,major_road_length_m_500m,roads,roads,major_road_length_m,major_road_length_m,100,500,0.416360,0.416360,27,low_collinearity
landuse_entropy_100m,road_density_m_per_ha_500m,landuse,roads,landuse_entropy,road_density_m_per_ha,100,500,0.413205,0.413205,26,low_collinearity
landuse_entropy_100m,road_length_m_500m,landuse,roads,landuse_entropy,road_length_m,100,500,0.413205,0.413205,26,low_collinearity
distance_to_park_or_green_m_100m,water_fraction_250m,green,water,distance_to_park_or_green_m,water_fraction,100,250,-0.412840,0.412840,27,low_collinearity
distance_to_park_or_green_m_250m,water_fraction_250m,green,water,distance_to_park_or_green_m,water_fraction,250,250,-0.412840,0.412840,27,low_collinearity
distance_to_park_or_green_m_500m,water_fraction_250m,green,water,distance_to_park_or_green_m,water_fraction,500,250,-0.412840,0.412840,27,low_collinearity
distance_to_park_or_green_m_50m,water_fraction_250m,green,water,distance_to_park_or_green_m,water_fraction,50,250,-0.412840,0.412840,27,low_collinearity
distance_to_major_road_m_100m,major_road_length_m_500m,roads,roads,distance_to_major_road_m,major_road_length_m,100,500,-0.411235,0.411235,27,low_collinearity
distance_to_major_road_m_250m,major_road_length_m_500m,roads,roads,distance_to_major_road_m,major_road_length_m,250,500,-0.411235,0.411235,27,low_collinearity
distance_to_major_road_m_500m,major_road_length_m_500m,roads,roads,distance_to_major_road_m,major_road_length_m,500,500,-0.411235,0.411235,27,low_collinearity
distance_to_major_road_m_50m,major_road_length_m_500m,roads,roads,distance_to_major_road_m,major_road_length_m,50,500,-0.411235,0.411235,27,low_collinearity
landuse_entropy_50m,major_road_length_m_500m,landuse,roads,landuse_entropy,major_road_length_m,50,500,0.408962,0.408962,24,low_collinearity
landuse_entropy_50m,road_density_m_per_ha_500m,landuse,roads,landuse_entropy,road_density_m_per_ha,50,500,0.407015,0.407015,24,low_collinearity
landuse_entropy_50m,road_length_m_500m,landuse,roads,landuse_entropy,road_length_m,50,500,0.407015,0.407015,24,low_collinearity
green_space_fraction_100m,green_space_fraction_500m,green,green,green_space_fraction,green_space_fraction,100,500,0.402511,0.402511,27,low_collinearity
road_density_m_per_ha_250m,road_length_m_50m,roads,roads,road_density_m_per_ha,road_length_m,250,50,0.401709,0.401709,27,low_collinearity
road_density_m_per_ha_50m,road_density_m_per_ha_250m,roads,roads,road_density_m_per_ha,road_density_m_per_ha,50,250,0.401709,0.401709,27,low_collinearity
road_density_m_per_ha_50m,road_length_m_250m,roads,roads,road_density_m_per_ha,road_length_m,50,250,0.401709,0.401709,27,low_collinearity
road_length_m_50m,road_length_m_250m,roads,roads,road_length_m,road_length_m,50,250,0.401709,0.401709,27,low_collinearity
building_footprint_fraction_500m,green_space_fraction_250m,buildings,green,building_footprint_fraction,green_space_fraction,500,250,-0.398655,0.398655,27,low_collinearity
landuse_entropy_500m,major_road_length_m_50m,landuse,roads,landuse_entropy,major_road_length_m,500,50,-0.397944,0.397944,27,low_collinearity
green_space_fraction_100m,major_road_length_m_100m,green,roads,green_space_fraction,major_road_length_m,100,100,-0.394937,0.394937,27,low_collinearity
green_space_fraction_100m,water_fraction_500m,green,water,green_space_fraction,water_fraction,100,500,0.394273,0.394273,27,low_collinearity
green_space_fraction_100m,distance_to_water_m_100m,green,water,green_space_fraction,distance_to_water_m,100,100,-0.392797,0.392797,27,low_collinearity
green_space_fraction_100m,distance_to_water_m_250m,green,water,green_space_fraction,distance_to_water_m,100,250,-0.392797,0.392797,27,low_collinearity
green_space_fraction_100m,distance_to_water_m_500m,green,water,green_space_fraction,distance_to_water_m,100,500,-0.392797,0.392797,27,low_collinearity
green_space_fraction_100m,distance_to_water_m_50m,green,water,green_space_fraction,distance_to_water_m,100,50,-0.392797,0.392797,27,low_collinearity
green_space_fraction_50m,road_density_m_per_ha_50m,green,roads,green_space_fraction,road_density_m_per_ha,50,50,0.389172,0.389172,27,low_collinearity
green_space_fraction_50m,road_length_m_50m,green,roads,green_space_fraction,road_length_m,50,50,0.389172,0.389172,27,low_collinearity
major_road_length_m_500m,road_density_m_per_ha_250m,roads,roads,major_road_length_m,road_density_m_per_ha,500,250,0.388643,0.388643,27,low_collinearity
major_road_length_m_500m,road_length_m_250m,roads,roads,major_road_length_m,road_length_m,500,250,0.388643,0.388643,27,low_collinearity
distance_to_park_or_green_m_100m,road_density_m_per_ha_250m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,100,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_100m,road_length_m_250m,green,roads,distance_to_park_or_green_m,road_length_m,100,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_250m,road_density_m_per_ha_250m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,250,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_250m,road_length_m_250m,green,roads,distance_to_park_or_green_m,road_length_m,250,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_500m,road_density_m_per_ha_250m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,500,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_500m,road_length_m_250m,green,roads,distance_to_park_or_green_m,road_length_m,500,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_50m,road_density_m_per_ha_250m,green,roads,distance_to_park_or_green_m,road_density_m_per_ha,50,250,-0.380274,0.380274,27,low_collinearity
distance_to_park_or_green_m_50m,road_length_m_250m,green,roads,distance_to_park_or_green_m,road_length_m,50,250,-0.380274,0.380274,27,low_collinearity
