station_id,station_present,station_name,n_ge31,mean_context_adjusted_score_residual_c,mean_context_adjusted_high_tail_residual_c,low_support_warning_flag,feature_column,feature_group,base_feature,buffer_m,station_value,station_q25,station_median,station_q75,station_iqr,iqr_position,comparison_note
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,major_road_length_m_100m,roads,major_road_length_m,100,391.185145,0.000000,188.072855,358.178350,358.178350,0.567,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,major_road_length_m_250m,roads,major_road_length_m,250,2203.352949,633.649645,1098.432385,1628.667547,995.017902,1.110,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,major_road_length_m_500m,roads,major_road_length_m,500,5839.818468,2617.836788,4499.686867,6008.559747,3390.722959,0.395,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,major_road_length_m_50m,roads,major_road_length_m,50,181.370174,0.000000,0.000000,60.717599,60.717599,2.987,above_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,road_density_m_per_ha_100m,roads,road_density_m_per_ha,100,372.670350,276.368548,380.815403,493.369464,217.000916,-0.038,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,road_density_m_per_ha_250m,roads,road_density_m_per_ha,250,350.776323,298.020483,391.237210,437.430541,139.410058,-0.290,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,road_density_m_per_ha_500m,roads,road_density_m_per_ha,500,236.274546,232.027313,330.354512,427.769060,195.741746,-0.481,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,road_density_m_per_ha_50m,roads,road_density_m_per_ha,50,403.390591,215.689398,377.820033,515.904081,300.214683,0.085,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,water_fraction_100m,water,water_fraction,100,0.000000,0.000000,0.000000,0.000000,0.000000,,same_as_station_median
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,water_fraction_250m,water,water_fraction,250,0.000000,0.000000,0.000000,0.005067,0.005067,0.000,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,water_fraction_500m,water,water_fraction,500,0.000000,0.000000,0.005529,0.025814,0.025814,-0.214,within_station_iqr
S139,yes,Tuas Terminal Gateway,1,-0.310600,0.110892,True,water_fraction_50m,water,water_fraction,50,0.000000,0.000000,0.000000,0.000000,0.000000,,same_as_station_median
S137,yes,Sakra Road,13,0.774637,1.347448,False,building_footprint_fraction_100m,buildings,building_footprint_fraction,100,0.019293,0.028618,0.088608,0.197521,0.168903,-0.410,below_station_iqr
S137,yes,Sakra Road,13,0.774637,1.347448,False,building_footprint_fraction_250m,buildings,building_footprint_fraction,250,0.063395,0.087796,0.164634,0.231237,0.143441,-0.706,below_station_iqr
S137,yes,Sakra Road,13,0.774637,1.347448,False,building_footprint_fraction_500m,buildings,building_footprint_fraction,500,0.024623,0.073489,0.174224,0.231316,0.157827,-0.948,below_station_iqr
S137,yes,Sakra Road,13,0.774637,1.347448,False,building_footprint_fraction_50m,buildings,building_footprint_fraction,50,0.000000,0.000000,0.025316,0.092361,0.092361,-0.274,within_station_iqr
