review_item,feature_column,station_id,review_reason,suggested_action,source_table
key_station_context_extreme,building_footprint_fraction_250m,S142,below_station_iqr; value=0.057495; median=0.164634,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_100m,S142,below_station_iqr; value=30.393194; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_250m,S142,below_station_iqr; value=30.393194; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_500m,S142,below_station_iqr; value=30.393194; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_50m,S142,below_station_iqr; value=30.393194; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,major_road_length_m_250m,S142,below_station_iqr; value=0.000000; median=1098.432385,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,major_road_length_m_500m,S142,below_station_iqr; value=595.808956; median=4499.686867,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,road_density_m_per_ha_100m,S142,below_station_iqr; value=180.560117; median=380.815403,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,road_density_m_per_ha_250m,S142,below_station_iqr; value=268.619930; median=391.237210,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,road_density_m_per_ha_500m,S142,below_station_iqr; value=227.780081; median=330.354512,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,building_footprint_fraction_250m,S139,below_station_iqr; value=0.046559; median=0.164634,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_park_or_green_m_100m,S139,above_station_iqr; value=311.182019; median=50.751432,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_park_or_green_m_250m,S139,above_station_iqr; value=311.182019; median=50.751432,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_park_or_green_m_500m,S139,above_station_iqr; value=311.182019; median=50.751432,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_park_or_green_m_50m,S139,above_station_iqr; value=311.182019; median=50.751432,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_100m,S139,above_station_iqr; value=336.792584; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_250m,S139,above_station_iqr; value=336.792584; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_500m,S139,above_station_iqr; value=336.792584; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
key_station_context_extreme,distance_to_water_m_50m,S139,above_station_iqr; value=336.792584; median=248.059739,"use as station context review, not causal explanation",station_context_profiles_key_stations.csv
exclude_near_duplicate,distance_to_park_or_green_m_50m,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,distance_to_park_or_green_m_100m,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,distance_to_park_or_green_m_500m,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,green_space_fraction_100m,,near-duplicate with selected primary feature distance_to_park_or_green_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,road_length_m_250m,,near-duplicate with selected primary feature road_density_m_per_ha_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,distance_to_water_m_50m,,near-duplicate with selected primary feature distance_to_water_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,distance_to_water_m_100m,,near-duplicate with selected primary feature distance_to_water_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_near_duplicate,distance_to_water_m_500m,,near-duplicate with selected primary feature distance_to_water_m_250m,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_partial_coverage,landuse_entropy_50m,,partial station coverage or schema disallows future model use,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_partial_coverage,landuse_entropy_100m,,partial station coverage or schema disallows future model use,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_partial_coverage,landuse_majority_50m,,partial station coverage or schema disallows future model use,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
exclude_partial_coverage,landuse_majority_100m,,partial station coverage or schema disallows future model use,keep out of primary A-L2.1c candidate set,station_feature_candidate_set.csv
