cell_id,old_valid_pixel_count,old_building_pixel_count,old_building_area_m2,old_building_density,old_open_pixel_fraction,old_dsm_mean_all_m,old_dsm_max_all_m,old_building_height_mean_m,old_building_height_max_m,old_building_height_p50_m,old_building_height_p90_m,v10_valid_pixel_count,v10_building_pixel_count,v10_building_area_m2,v10_building_density,v10_open_pixel_fraction,v10_dsm_mean_all_m,v10_dsm_max_all_m,v10_building_height_mean_m,v10_building_height_max_m,v10_building_height_p50_m,v10_building_height_p90_m,cell_area_m2,delta_building_area_m2,delta_building_density,delta_open_pixel_fraction,delta_building_height_mean_m,delta_building_height_max_m,delta_building_height_p50_m,delta_building_height_p90_m,lat,lon,land_use_hint,road_fraction,gvi_percent,tree_canopy_fraction,ndvi_mean,shade_fraction,svf,building_density,mean_building_height_m,max_building_height_m
TP_0011,2500,126,504.0,0.05039999999986982,0.9496,0.756,15.0,15.0,15.0,15.0,15.0,2500,829,3316.0,0.33159999999914347,0.6684,7.572,42.0,22.834740651387214,42.0,18.0,42.0,10000.00000002583,2812.0,0.28119999999927364,-0.2812,7.834740651387214,27.0,3.0,27.0,1.3260193045599993,103.84904327918773,residential,0.3948733843621772,1.9394308405605871,0.0,0.1630984631235686,0.0671717450022697,0.8799460530281067,0.0503284303022354,27.118992502648823,16.687760219944916
TP_0012,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,985,3940.0,0.39400000000104635,0.606,5.1092,42.0,12.96751269035533,42.0,12.0,20.0,9999.999999973443,3940.0,0.39400000000104635,-0.394,12.96751269035533,42.0,12.0,20.0,1.326019298657583,103.8499418334554,residential,0.3005538286123534,3.183793092421727,0.0,0.1907509576093717,0.0215617157518863,0.9571115374565125,0.0,28.640912141879177,13.2
TP_0013,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,791,3164.0,0.31640000000228485,0.6836,7.698,48.0,24.329962073324904,48.0,20.0,48.0,9999.999999927786,3164.0,0.31640000000228485,-0.3164,24.329962073324904,48.0,20.0,48.0,1.3260192924269556,103.85084038771896,residential,0.1062399866381305,9.078672570870411,0.0,0.3217482793526758,0.2198851853609085,0.7319834232330322,0.0,29.52600081369242,13.2
TP_0014,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,687,2748.0,0.27479999999359184,0.7252000000000001,9.926,69.0,36.12081513828239,69.0,30.0,69.0,10000.000000233194,2748.0,0.27479999999359184,-0.27479999999999993,36.12081513828239,69.0,30.0,69.0,1.3260192858681163,103.8517389419782,residential,0.0806039086542701,8.376681978979116,0.0,0.3061484884217581,0.3345668911933899,0.6017600297927856,0.0,30.0266940628069,13.2
TP_0015,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,944,3776.0,0.37760000000912136,0.6224000000000001,5.4224,30.0,14.360169491525424,30.0,10.0,30.0,9999.999999758438,3776.0,0.37760000000912136,-0.37759999999999994,14.360169491525424,30.0,10.0,30.0,1.326019278981066,103.85263749623287,commercial,0.1070215626908324,4.132380494276649,0.0,0.2118306776505922,0.0616365708410739,0.8755375146865845,0.0,30.46075638987055,19.8
TP_0016,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,896,3584.0,0.35839999999765304,0.6416,7.974,57.0,22.248883928571427,57.0,15.0,57.0,10000.000000065484,3584.0,0.35839999999765304,-0.35840000000000005,22.248883928571427,57.0,15.0,57.0,1.3260192717658044,103.8535360504828,commercial,0.1482765295787187,4.0115138267507495,0.0,0.2091447517055722,0.1196148693561554,0.7960997223854065,0.0,30.79219057538489,19.8
TP_0017,2500,6,24.0,0.002399999999979482,0.9976,0.11063999633789062,46.099998474121094,46.099998474121094,46.099998474121094,46.099998474121094,46.099998474121094,2500,307,1228.0,0.12279999999895015,0.8772,2.6258399963378904,46.099998474121094,21.383061859429077,46.099998474121094,15.0,39.0,10000.000000085493,1204.0,0.12039999999897066,-0.12040000000000006,-24.716936614692017,0.0,-31.099998474121094,-7.099998474121094,1.326019264222331,103.85443460472769,transport,0.1779984322646071,9.81854120017527,0.0,0.3381898044483393,0.5302051305770874,0.3957302570343017,0.009549324603618,30.345081886325087,7.261768195030728
TP_0018,2500,199,796.0,0.0796000000002722,0.9204,0.32635999240875246,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,4.099999904632568,2500,292,1168.0,0.11680000000039942,0.8832,0.7367599924087525,12.0,6.30787664733521,12.0,4.099999904632568,12.0,9999.999999965803,372.0,0.037200000000127215,-0.03720000000000001,2.2078767427026413,7.900000095367432,0.0,7.900000095367432,1.3260192563506468,103.85533315896734,transport,0.0299961502559522,11.1411925034817,0.033394167669786,0.3675820556329267,0.4948203265666961,0.4036621749401092,0.0,26.978635834105194,6.6
TP_0019,2500,159,636.0,0.06360000000007404,0.9364,1.0346000099182129,18.100000381469727,16.26729575343102,18.100000381469727,15.0,18.100000381469727,2500,174,696.0,0.06960000000008103,0.9304,2.189000009918213,54.0,31.451149567790416,54.0,39.0,54.0,9999.999999988358,60.0,0.006000000000006986,-0.006000000000000005,15.183853814359395,35.89999961853027,24.0,35.89999961853027,1.326019248150751,103.85623171320157,park_open_space,0.3495533349486106,18.67755566995212,0.2155082486574199,0.5350567926656025,0.8756222724914551,0.0856334939599037,0.0781547290798941,22.42329468137767,3.3
TP_0020,2500,745,2980.0,0.29800000000196225,0.702,9.634240083312989,51.70000076293945,32.32966470910399,51.70000076293945,40.5,51.70000076293945,2500,745,2980.0,0.29800000000196225,0.702,13.549840083312988,54.0,45.46926202454023,54.0,51.70000076293945,54.0,9999.999999934153,0.0,0.0,0.0,13.13959731543624,2.299999237060547,11.200000762939453,2.299999237060547,1.3260192396226438,103.8571302674301,residential,0.0803865545107955,7.258281603841141,0.0,0.2812951467520253,0.5586732029914856,0.2721538543701172,0.3300004669843038,19.343135839368816,36.06903236201225
TP_0021,2500,857,3428.0,0.3427999999992642,0.6572,9.456799867630005,46.099998474121094,27.586930769049022,46.099998474121094,15.300000190734863,46.099998474121094,2500,897,3588.0,0.35879999999922985,0.6412,10.875999867630005,46.099998474121094,30.312151247575265,46.099998474121094,30.0,46.099998474121094,10000.000000021464,160.0,0.015999999999965653,-0.016000000000000014,2.725220478526243,0.0,14.699999809265137,0.0,1.3260192307663254,103.85802882165274,residential,0.0,4.395160700124125,0.0,0.2176702377805361,0.4790931344032287,0.340700089931488,0.3219928818856151,18.929699474508656,35.514106714673126
TP_0022,2500,597,2388.0,0.2388000000005951,0.7612,6.969239819335938,46.099998474121094,29.18442135400309,46.099998474121094,29.299999237060547,29.299999237060547,2500,623,2492.0,0.249200000000621,0.7508,6.9716398193359375,46.099998474121094,27.97608274211853,46.099998474121094,29.299999237060547,29.299999237060547,9999.99999997508,104.0,0.010400000000025916,-0.010399999999999965,-1.2083386118845603,0.0,0.0,0.0,1.3260192215817954,103.85892737586926,residential,0.0952245433630333,8.278074280762391,0.0,0.3039572062391642,0.5221124887466431,0.3119208514690399,0.2264826741814709,19.505326156583617,28.89524932077593
TP_0023,2500,389,1556.0,0.15559999999898957,0.8444,3.3667599294662476,29.299999237060547,21.6372746109656,29.299999237060547,29.299999237060547,29.299999237060547,2500,312,1248.0,0.12479999999918957,0.8752,2.7695999282836916,29.299999237060547,22.192307117657784,29.299999237060547,29.299999237060547,29.299999237060547,10000.000000064938,-308.0,-0.0307999999998,0.03079999999999994,0.5550325066921822,0.0,0.0,0.0,1.3260192120690546,103.85982593007944,residential,0.1777087959264806,14.77542019875742,0.0,0.4483426710834982,0.6792638301849365,0.2220959812402725,0.1555173752241352,19.25556845315101,23.97735410303257
TP_0024,2500,107,428.0,0.04280000000026937,0.9572,1.2540399673461915,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,2500,114,456.0,0.045600000000286994,0.9544,1.2624399673461915,29.299999237060547,27.68508700320595,29.299999237060547,29.299999237060547,29.299999237060547,9999.999999937063,28.0,0.0028000000000176217,-0.0028000000000000247,-1.6149122338545965,0.0,0.0,0.0,1.3260192022281028,103.86072448428308,transport,0.3321261031389391,12.07526299312784,0.0,0.3883391776250631,0.4913767278194427,0.4098998606204986,0.0447890486754156,17.7955729799462,9.703881073206302
TP_0025,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,5,20.0,0.0019999999999945066,0.998,0.06,30.0,30.0,30.0,30.0,30.0,10000.000000027467,20.0,0.0019999999999945066,-0.0020000000000000018,30.0,30.0,30.0,30.0,1.326019192058939,103.8616230384799,civic_institutional,0.0071931509366881,9.472995389157036,0.0,0.3305110086479341,0.368821769952774,0.5649749040603638,0.0,16.60500931243313,6.6
TP_0026,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,727,2908.0,0.2907999999965141,0.7092,3.4976,15.0,12.027510316368637,15.0,10.0,15.0,10000.000000119871,2908.0,0.2907999999965141,-0.29079999999999995,12.027510316368637,15.0,10.0,15.0,1.3260191815615645,103.86252159266976,residential,0.1269994993790413,7.487486984527687,0.0,0.2863885996561708,0.0839188694953918,0.8637378215789795,0.0,18.15762078928704,13.2
TP_0027,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1026,4104.0,0.4104000000057183,0.5896,3.8048,48.0,9.270955165692008,48.0,6.0,10.0,9999.999999860665,4104.0,0.4104000000057183,-0.4104,9.270955165692008,48.0,6.0,10.0,1.3260191707359783,103.86342014685236,residential,0.3329306553551248,2.7734624963156165,0.0,0.1816324999181248,0.0,0.982888162136078,0.0,23.726462808753464,13.2
TP_0028,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1077,4308.0,0.43079999999936525,0.5691999999999999,4.3296,48.0,10.050139275766016,48.0,6.0,30.0,10000.000000014734,4308.0,0.43079999999936525,-0.43080000000000007,10.050139275766016,48.0,6.0,30.0,1.326019159582181,103.86431870102749,residential,0.3217532437387226,4.944946808099322,0.0,0.2298877068466516,0.0,0.9873511791229248,0.0,28.40754075897232,13.2
TP_0029,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,685,2740.0,0.27399999999926733,0.726,2.4348,15.0,8.886131386861313,15.0,9.0,12.0,10000.00000002674,2740.0,0.27399999999926733,-0.274,8.886131386861313,15.0,9.0,12.0,1.3260191481001729,103.86521725519496,residential,0.1816541805256287,4.838476043678581,0.0,0.227521689859524,0.1598560214042663,0.7917506098747253,0.0,23.00679869456681,13.2
TP_0030,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,700,2800.0,0.280000000003336,0.72,2.7204,15.0,9.715714285714286,15.0,9.0,15.0,9999.999999880856,2800.0,0.280000000003336,-0.28,9.715714285714286,15.0,9.0,15.0,1.3269237101367777,103.84005773877472,residential,0.3527385771027578,3.0419384156881195,0.0,0.187598631459736,0.0441211499273777,0.9320973753929138,0.0,10.529287998584628,13.2
TP_0031,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,630,2520.0,0.25199999999884026,0.748,3.1392,15.0,12.457142857142857,15.0,15.0,15.0,10000.00000004602,2520.0,0.25199999999884026,-0.252,12.457142857142857,15.0,15.0,15.0,1.3269237075146878,103.84095629339755,transport,0.1461400252647973,0.0077614471860929,0.0,0.1201724766041354,0.0634102895855903,0.902529776096344,0.0,12.840560523481027,6.6
TP_0032,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,426,1704.0,0.17040000000011468,0.8296,9.1872,102.0,53.91549295774648,102.0,102.0,102.0,9999.99999999327,1704.0,0.17040000000011468,-0.1704,53.91549295774648,102.0,102.0,102.0,1.3269237045641626,103.84185484801849,transport,0.431411024523089,5.286848378501711,0.0,0.2374855195222602,0.3651080429553985,0.570016086101532,0.0,16.791743839394048,6.6
TP_0033,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,659,2636.0,0.2635999999995157,0.7363999999999999,6.324,66.0,23.990895295902884,66.0,18.0,45.0,10000.000000018372,2636.0,0.2635999999995157,-0.26360000000000006,23.990895295902884,66.0,18.0,45.0,1.326923701285202,103.84275340263729,transport,0.3039215020454251,4.187904038246565,0.0,0.213064534183257,0.1789788752794265,0.7596832513809204,0.0,22.94235134682767,6.6
TP_0034,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,851,3404.0,0.34040000000071824,0.6596,8.5728,81.0,25.184488836662748,81.0,9.0,81.0,9999.9999999789,3404.0,0.34040000000071824,-0.34040000000000004,25.184488836662748,81.0,9.0,81.0,1.3269236976778058,103.84365195725374,residential,0.3868423968095693,3.1959037689870065,0.0,0.1910200837552668,0.1663000136613845,0.7565269470214844,0.0,30.398000909000977,13.2
TP_0035,2500,72,288.0,0.028800000000184924,0.9712,2.053440087890625,71.30000305175781,71.30000305175781,71.30000305175781,71.30000305175781,71.30000305175781,2500,550,2200.0,0.22000000000141262,0.78,3.669840087890625,71.30000305175781,16.68109130859375,71.30000305175781,9.0,71.30000305175781,9999.99999993579,1912.0,0.1912000000012277,-0.19119999999999993,-54.61891174316406,0.0,-62.30000305175781,0.0,1.3269236937419744,103.84455051186768,transport,0.53553107223388,5.395826352038613,0.0,0.2399072522675247,0.3472152650356293,0.5745915174484253,0.0254924848643464,35.8294367307636,8.366629201099212
TP_0036,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,874,3496.0,0.3495999999988172,0.6504,10.2516,57.0,29.323798627002287,57.0,39.0,57.0,10000.000000033833,3496.0,0.3495999999988172,-0.3496,29.323798627002287,57.0,39.0,57.0,1.3269236894777077,103.8454490664788,residential,0.3350327069611671,2.135896871067721,0.0,0.167464374912616,0.0800394266843795,0.8407471776008606,0.0,34.524499046653915,13.2
TP_0037,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,1493,5972.0,0.5971999999964912,0.40280000000000005,18.306,60.0,30.65304755525787,60.0,12.0,60.0,10000.000000058753,5972.0,0.5971999999964912,-0.5972,30.65304755525787,60.0,12.0,60.0,1.326923684885006,103.84634762108692,other,0.2124919572906303,2.585679065599509,0.0,0.1774595347911002,0.1897320300340652,0.7414044737815857,0.0,27.127585598406007,6.6
TP_0038,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,523,2092.0,0.20919999999990868,0.7908,6.2356,45.0,29.806883365200765,45.0,45.0,45.0,10000.000000004366,2092.0,0.20919999999990868,-0.20920000000000005,29.806883365200765,45.0,45.0,45.0,1.3269236799638684,103.84724617569184,other,0.3588233429714382,5.888596096530698,0.0,0.2508576910340155,0.6096035242080688,0.3257550299167633,0.0,23.414025997630112,6.6
TP_0039,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,908,3632.0,0.3632000000014138,0.6368,7.5612,36.0,20.818281938325992,36.0,21.0,36.0,9999.999999961074,3632.0,0.3632000000014138,-0.36319999999999997,20.818281938325992,36.0,21.0,36.0,1.3269236747142956,103.84814473029331,commercial,0.1830337521132571,4.580335722058115,0.0,0.2217852382679581,0.2628977596759796,0.6726721525192261,0.0,23.95225228554024,19.8
TP_0040,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,458,1832.0,0.1832000000001433,0.8168,5.9992,60.0,32.7467248908297,60.0,24.0,60.0,9999.999999992178,1832.0,0.1832000000001433,-0.18320000000000003,32.7467248908297,60.0,24.0,60.0,1.3269236691362878,103.8490432848911,residential,0.1673633700932788,6.22494666718798,0.0,0.2583321481597329,0.1020994409918785,0.8549501895904541,0.0,25.781023933944308,13.2
TP_0041,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,845,3380.0,0.33799999999959424,0.6619999999999999,3.944,54.0,11.668639053254438,54.0,9.0,30.0,10000.000000012005,3380.0,0.33799999999959424,-0.3380000000000001,11.668639053254438,54.0,9.0,30.0,1.3269236632298445,103.849941839485,residential,0.1701278977362911,6.77770272192957,0.0,0.2706156160428793,0.0462828613817691,0.9164845943450928,0.0,27.1825450059194,13.2
TP_0042,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,712,2848.0,0.28479999999900535,0.7152000000000001,3.2844,30.0,11.532303370786517,30.0,12.0,24.0,10000.000000034925,2848.0,0.28479999999900535,-0.28479999999999994,11.532303370786517,30.0,12.0,24.0,1.326923656994966,103.8508403940748,residential,0.1945350807283727,5.610896166052139,0.0,0.2446865814678253,0.0011640000157058,0.973292589187622,0.0,27.979173470452707,13.2
TP_0043,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,818,3272.0,0.3272000000002976,0.6728000000000001,5.1384,48.0,15.704156479217604,48.0,12.0,30.0,9999.999999990905,3272.0,0.3272000000002976,-0.32719999999999994,15.704156479217604,48.0,12.0,30.0,1.3269236504316522,103.85173894866024,civic_institutional,0.1825236157595031,4.003502054061816,0.0,0.2089667123124848,0.0931222960352897,0.8497100472450256,0.0,28.242044003739604,6.6
TP_0044,2500,129,516.0,0.051600000000310675,0.9484,3.679080157470703,71.30000305175781,71.30000305175781,71.30000305175781,71.30000305175781,71.30000305175781,2500,524,2096.0,0.20960000000126197,0.7904,5.902680157470703,71.30000305175781,28.161641972665567,71.30000305175781,18.0,71.30000305175781,9999.999999939791,1580.0,0.1580000000009513,-0.15800000000000003,-43.13836107909225,0.0,-53.30000305175781,0.0,1.326923643539903,103.85263750324114,commercial,0.0681578715744937,8.948401090272572,0.0,0.3188533575616127,0.4004001319408417,0.4939708411693573,0.0358691229391141,27.70655895862353,22.285730219680605
TP_0045,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,627,2508.0,0.25079999999929287,0.7492,2.5452,18.0,10.148325358851675,18.0,15.0,18.0,10000.000000028194,2508.0,0.25079999999929287,-0.2508,10.148325358851675,18.0,15.0,18.0,1.3269236363197188,103.85353605781724,residential,0.0,2.581275119719482,0.0,0.1773616693270996,0.7944058775901794,0.168374627828598,0.0,26.343658195898577,13.2
TP_0046,2500,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2500,652,2608.0,0.26079999999690223,0.7392000000000001,6.6096,39.0,25.34355828220859,39.0,15.0,39.0,10000.00000011878,2608.0,0.26079999999690223,-0.2607999999999999,25.34355828220859,39.0,15.0,39.0,1.326923628771099,103.85443461238836,residential,0.0336305588441976,0.0,0.0,0.06681183389579,0.2313034683465957,0.6782529354095459,0.0,24.66270013852729,13.2
TP_0047,2500,254,1016.0,0.10160000000150066,0.8984,4.1148,40.5,40.5,40.5,40.5,40.5,2500,345,1380.0,0.1380000000020383,0.862,4.2408,40.5,30.730434782608697,40.5,40.5,40.5,9999.999999852298,364.0,0.03640000000053764,-0.03639999999999999,-9.769565217391303,0.0,0.0,0.0,1.326923620894044,103.85533316695424,residential,0.4245428660756147,11.311656395016502,0.0243471431376398,0.3713701421114778,0.6998321413993835,0.2253358215093612,0.1107627205445948,22.668078071224222,20.87585653374042
TP_0048,2500,750,3000.0,0.2999999999995962,0.7,6.034920018196106,40.5,20.116400060653685,40.5,15.0,40.5,2500,750,3000.0,0.2999999999995962,0.7,7.924320018196106,40.5,26.414400060653687,40.5,39.0,40.5,10000.00000001346,0.0,0.0,0.0,6.298000000000002,0.0,24.0,0.0,1.3269236126885542,103.85623172151466,residential,0.0031933607159432,5.103785590509024,0.0031257325935766,0.2334174575668672,0.3846579492092132,0.4529609382152557,0.3342353893653484,21.124485491923803,36.36251248301865
TP_0049,2500,887,3548.0,0.3547999999986253,0.6452,7.644920020866394,40.5,21.547125199736172,40.5,18.100000381469727,40.5,2500,899,3596.0,0.35959999999860676,0.6404000000000001,7.716920020866394,40.5,21.459733094734133,40.5,18.100000381469727,40.5,10000.000000038744,48.0,0.00479999999998143,-0.0047999999999999154,-0.08739210500203853,0.0,0.0,0.0,1.3269236041546286,103.8571302760694,residential,0.0,4.772603860764229,0.0,0.2260578635725384,0.3207094371318817,0.5021510124206543,0.3415765096304993,19.993448224266547,36.8712521173936
TP_0050,2500,509,2036.0,0.20360000000024814,0.7964,5.965479844665527,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,2500,509,2036.0,0.20360000000024814,0.7964,5.965479844665527,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,29.299999237060547,9999.999999987813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.326923595292268,103.85802883061828,residential,0.1353222268973522,10.23713985247941,0.0072681802196084,0.3474919967217647,0.5762245059013367,0.2877755165100097,0.1756980264423914,19.895386023098634,25.375873232457728
TP_0051,2500,132,528.0,0.052799999999944294,0.9472,1.3353999710083009,29.299999237060547,25.291666117581453,29.299999237060547,29.299999237060547,29.299999237060547,2500,159,636.0,0.0635999999999329,0.9364,1.3197999710083008,29.299999237060547,20.751571871199697,29.299999237060547,29.299999237060547,29.299999237060547,10000.00000001055,108.0,0.01079999999998861,-0.010800000000000032,-4.540094246381756,0.0,0.0,0.0,1.326923586101472,103.858927385161,civic_institutional,0.2753311428025294,24.345254639463008,0.1177741124725102,0.6610056586547335,0.9527596235275269,0.0371609628200531,0.0381825377883866,20.13410599404748,9.246049868735197
TP_0052,2500,537,2148.0,0.21480000000076582,0.7852,4.559399891281128,29.299999237060547,21.226256477100222,29.299999237060547,29.299999237060547,29.299999237060547,2500,501,2004.0,0.20040000000071448,0.7996,4.256199890518189,29.299999237060547,21.238522407775392,29.299999237060547,29.299999237060547,29.299999237060547,9999.999999964348,-144.0,-0.014400000000051344,0.014399999999999968,0.012265930675170011,0.0,0.0,0.0,1.3269235765822414,103.85982593969742,residential,0.140430128374572,10.367746139994605,0.0,0.3503943586665468,0.5785773396492004,0.2381464838981628,0.2265387617544358,19.67585553598633,28.8991361895824
