n,tp,fp,tn,fn,precision,recall,f1,cv_scheme,model,event_threshold_c,score_threshold_c
5426,42,78,4876,430,0.35,0.08898305084745763,0.14189189189189189,loso,M0_raw_proxy,31,28.9
5426,41,75,4879,431,0.35344827586206895,0.08686440677966102,0.13945578231292519,loso,M0_raw_proxy,31,29.0
5426,20,52,4902,452,0.2777777777777778,0.0423728813559322,0.07352941176470588,loso,M0_raw_proxy,31,29.1
5426,10,30,4924,462,0.25,0.0211864406779661,0.0390625,loso,M0_raw_proxy,31,29.2
5426,5,27,4927,467,0.15625,0.01059322033898305,0.01984126984126984,loso,M0_raw_proxy,31,29.3
5426,2,14,4940,470,0.125,0.00423728813559322,0.00819672131147541,loso,M0_raw_proxy,31,29.4
5426,2,14,4940,470,0.125,0.00423728813559322,0.00819672131147541,loso,M0_raw_proxy,31,29.5
5426,2,14,4940,470,0.125,0.00423728813559322,0.00819672131147541,loso,M0_raw_proxy,31,29.6
5426,0,8,4946,472,0.0,0.0,,loso,M0_raw_proxy,31,29.7
5426,0,8,4946,472,0.0,0.0,,loso,M0_raw_proxy,31,29.8
5426,0,8,4946,472,0.0,0.0,,loso,M0_raw_proxy,31,29.9
5426,0,4,4950,472,0.0,0.0,,loso,M0_raw_proxy,31,30.0
5426,0,4,4950,472,0.0,0.0,,loso,M0_raw_proxy,31,30.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,30.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,31.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,32.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,33.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,34.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,35.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,36.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.0
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.1
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.2
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.3
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.4
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.5
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.6
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.7
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.8
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,37.9
5426,0,0,4954,472,,0.0,,loso,M0_raw_proxy,31,38.0
5426,29,2902,2495,0,0.00989423404981235,1.0,0.019594594594594596,loso,M0_raw_proxy,33,26.0
5426,29,2745,2652,0,0.010454217736121124,1.0,0.020692115590438816,loso,M0_raw_proxy,33,26.1
5426,29,2640,2757,0,0.010865492693892843,1.0,0.021497405485544845,loso,M0_raw_proxy,33,26.2
5426,29,2530,2867,0,0.011332551778038297,1.0,0.02241112828438949,loso,M0_raw_proxy,33,26.3
5426,29,2358,3039,0,0.012149141181399247,1.0,0.024006622516556293,loso,M0_raw_proxy,33,26.4
5426,29,2196,3201,0,0.01303370786516854,1.0,0.025732031943212066,loso,M0_raw_proxy,33,26.5
5426,29,2026,3371,0,0.014111922141119221,1.0,0.02783109404990403,loso,M0_raw_proxy,33,26.6
5426,29,1833,3564,0,0.015574650912996778,1.0,0.03067160232681121,loso,M0_raw_proxy,33,26.7
5426,25,1668,3729,4,0.014766686355581808,0.8620689655172413,0.029036004645760744,loso,M0_raw_proxy,33,26.8
5426,25,1577,3820,4,0.015605493133583021,0.8620689655172413,0.030656039239730228,loso,M0_raw_proxy,33,26.9
5426,25,1481,3916,4,0.016600265604249667,0.8620689655172413,0.03257328990228013,loso,M0_raw_proxy,33,27.0
5426,25,1443,3954,4,0.0170299727520436,0.8620689655172413,0.033400133600534405,loso,M0_raw_proxy,33,27.1
5426,25,1380,4017,4,0.017793594306049824,0.8620689655172413,0.03486750348675035,loso,M0_raw_proxy,33,27.2
5426,23,1319,4078,6,0.01713859910581222,0.7931034482758621,0.03355215171407732,loso,M0_raw_proxy,33,27.3
5426,22,1245,4152,7,0.017363851617995266,0.7586206896551724,0.03395061728395062,loso,M0_raw_proxy,33,27.4
5426,22,1165,4232,7,0.018534119629317607,0.7586206896551724,0.03618421052631579,loso,M0_raw_proxy,33,27.5
5426,20,1104,4293,9,0.017793594306049824,0.6896551724137931,0.03469210754553339,loso,M0_raw_proxy,33,27.6
5426,18,954,4443,11,0.018518518518518517,0.6206896551724138,0.03596403596403597,loso,M0_raw_proxy,33,27.7
5426,16,844,4553,13,0.018604651162790697,0.5517241379310345,0.0359955005624297,loso,M0_raw_proxy,33,27.8
5426,16,712,4685,13,0.02197802197802198,0.5517241379310345,0.04227212681638045,loso,M0_raw_proxy,33,27.9
5426,16,611,4786,13,0.025518341307814992,0.5517241379310345,0.04878048780487805,loso,M0_raw_proxy,33,28.0
5426,16,563,4834,13,0.027633851468048358,0.5517241379310345,0.05263157894736842,loso,M0_raw_proxy,33,28.1
5426,16,495,4902,13,0.03131115459882583,0.5517241379310345,0.059259259259259255,loso,M0_raw_proxy,33,28.2
5426,15,452,4945,14,0.032119914346895075,0.5172413793103449,0.06048387096774193,loso,M0_raw_proxy,33,28.3
5426,15,452,4945,14,0.032119914346895075,0.5172413793103449,0.06048387096774193,loso,M0_raw_proxy,33,28.4
5426,5,334,5063,24,0.014749262536873156,0.1724137931034483,0.02717391304347826,loso,M0_raw_proxy,33,28.5
5426,3,264,5133,26,0.011235955056179775,0.10344827586206896,0.02027027027027027,loso,M0_raw_proxy,33,28.6
5426,3,145,5252,26,0.02027027027027027,0.10344827586206896,0.03389830508474576,loso,M0_raw_proxy,33,28.7
5426,3,117,5280,26,0.025,0.10344827586206896,0.040268456375838924,loso,M0_raw_proxy,33,28.8
5426,3,117,5280,26,0.025,0.10344827586206896,0.040268456375838924,loso,M0_raw_proxy,33,28.9
5426,3,113,5284,26,0.02586206896551724,0.10344827586206896,0.041379310344827586,loso,M0_raw_proxy,33,29.0
5426,0,72,5325,29,0.0,0.0,,loso,M0_raw_proxy,33,29.1
5426,0,40,5357,29,0.0,0.0,,loso,M0_raw_proxy,33,29.2
5426,0,32,5365,29,0.0,0.0,,loso,M0_raw_proxy,33,29.3
5426,0,16,5381,29,0.0,0.0,,loso,M0_raw_proxy,33,29.4
5426,0,16,5381,29,0.0,0.0,,loso,M0_raw_proxy,33,29.5
5426,0,16,5381,29,0.0,0.0,,loso,M0_raw_proxy,33,29.6
5426,0,8,5389,29,0.0,0.0,,loso,M0_raw_proxy,33,29.7
5426,0,8,5389,29,0.0,0.0,,loso,M0_raw_proxy,33,29.8
5426,0,8,5389,29,0.0,0.0,,loso,M0_raw_proxy,33,29.9
5426,0,4,5393,29,0.0,0.0,,loso,M0_raw_proxy,33,30.0
5426,0,4,5393,29,0.0,0.0,,loso,M0_raw_proxy,33,30.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,30.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,31.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,32.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,33.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,34.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,35.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,36.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.0
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.1
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.2
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.3
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.4
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.5
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.6
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.7
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.8
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,37.9
5426,0,0,5397,29,,0.0,,loso,M0_raw_proxy,33,38.0
5426,472,3947,1007,0,0.10681149581353247,1.0,0.19300756491515028,loso,M1_global_bias,31,26.0
5426,472,3820,1134,0,0.10997204100652376,1.0,0.19815281276238456,loso,M1_global_bias,31,26.1
5426,472,3752,1202,0,0.11174242424242424,1.0,0.2010221465076661,loso,M1_global_bias,31,26.2
5426,472,3690,1264,0,0.1134070158577607,1.0,0.20371169615882606,loso,M1_global_bias,31,26.3
5426,472,3519,1435,0,0.11826609872212478,1.0,0.21151691687205917,loso,M1_global_bias,31,26.4
5426,472,3390,1564,0,0.12221646815121699,1.0,0.2178126442085833,loso,M1_global_bias,31,26.5
5426,472,3242,1712,0,0.12708669897684438,1.0,0.22551361681796464,loso,M1_global_bias,31,26.6
5426,472,3104,1850,0,0.1319910514541387,1.0,0.23320158102766797,loso,M1_global_bias,31,26.7
5426,472,3035,1919,0,0.13458796692329628,1.0,0.2372455390801709,loso,M1_global_bias,31,26.8
5426,472,2924,2030,0,0.13898704358068315,1.0,0.24405377456049634,loso,M1_global_bias,31,26.9
5426,472,2812,2142,0,0.14372716199756394,1.0,0.25133120340788073,loso,M1_global_bias,31,27.0
5426,472,2600,2354,0,0.15364583333333334,1.0,0.2663656884875847,loso,M1_global_bias,31,27.1
5426,471,2472,2482,1,0.1600407747196738,0.9978813559322034,0.27584187408491945,loso,M1_global_bias,31,27.2
5426,471,2339,2615,1,0.16761565836298933,0.9978813559322034,0.2870201096892139,loso,M1_global_bias,31,27.3
5426,471,2222,2732,1,0.17489788340141108,0.9978813559322034,0.2976303317535545,loso,M1_global_bias,31,27.4
5426,465,2134,2820,7,0.1789149672951135,0.9851694915254238,0.3028329534353631,loso,M1_global_bias,31,27.5
5426,458,2017,2937,14,0.18505050505050505,0.9703389830508474,0.3108245673566339,loso,M1_global_bias,31,27.6
5426,457,1812,3142,15,0.20141031291317762,0.9682203389830508,0.3334549434512951,loso,M1_global_bias,31,27.7
5426,455,1624,3330,17,0.21885521885521886,0.9639830508474576,0.35672285378283025,loso,M1_global_bias,31,27.8
5426,449,1474,3480,23,0.23348933957358295,0.951271186440678,0.3749478079331942,loso,M1_global_bias,31,27.9
5426,433,1301,3653,39,0.2497116493656286,0.9173728813559322,0.39256572982774257,loso,M1_global_bias,31,28.0
5426,430,1180,3774,42,0.2670807453416149,0.9110169491525424,0.41306436119116235,loso,M1_global_bias,31,28.1
5426,419,1101,3853,53,0.2756578947368421,0.8877118644067796,0.42068273092369485,loso,M1_global_bias,31,28.2
5426,413,1055,3899,59,0.28133514986376024,0.875,0.4257731958762887,loso,M1_global_bias,31,28.3
5426,397,1032,3922,75,0.27781665500349895,0.8411016949152542,0.4176749079431878,loso,M1_global_bias,31,28.4
5426,361,985,3969,111,0.26820208023774145,0.7648305084745762,0.3971397139713971,loso,M1_global_bias,31,28.5
5426,351,940,4014,121,0.27188226181254843,0.7436440677966102,0.398184912081679,loso,M1_global_bias,31,28.6
5426,336,877,4077,136,0.27699917559769166,0.711864406779661,0.39881305637982195,loso,M1_global_bias,31,28.7
5426,316,824,4130,156,0.2771929824561403,0.6694915254237288,0.3920595533498759,loso,M1_global_bias,31,28.8
5426,296,728,4226,176,0.2890625,0.6271186440677966,0.3957219251336898,loso,M1_global_bias,31,28.9
5426,275,617,4337,197,0.30829596412556054,0.5826271186440678,0.4032258064516129,loso,M1_global_bias,31,29.0
5426,250,526,4428,222,0.32216494845360827,0.5296610169491526,0.4006410256410256,loso,M1_global_bias,31,29.1
5426,220,435,4519,252,0.33587786259541985,0.4661016949152542,0.3904170363797693,loso,M1_global_bias,31,29.2
5426,218,385,4569,254,0.3615257048092869,0.461864406779661,0.40558139534883725,loso,M1_global_bias,31,29.3
5426,204,327,4627,268,0.384180790960452,0.4322033898305085,0.4067796610169492,loso,M1_global_bias,31,29.4
5426,194,293,4661,278,0.39835728952772076,0.4110169491525424,0.4045881126173097,loso,M1_global_bias,31,29.5
5426,190,273,4681,282,0.4103671706263499,0.4025423728813559,0.40641711229946526,loso,M1_global_bias,31,29.6
5426,146,225,4729,326,0.3935309973045822,0.3093220338983051,0.34638196915776986,loso,M1_global_bias,31,29.7
5426,100,171,4783,372,0.36900369003690037,0.211864406779661,0.269179004037685,loso,M1_global_bias,31,29.8
5426,82,126,4828,390,0.3942307692307692,0.17372881355932204,0.24117647058823527,loso,M1_global_bias,31,29.9
5426,42,78,4876,430,0.35,0.08898305084745763,0.14189189189189189,loso,M1_global_bias,31,30.0
5426,42,78,4876,430,0.35,0.08898305084745763,0.14189189189189189,loso,M1_global_bias,31,30.1
5426,42,78,4876,430,0.35,0.08898305084745763,0.14189189189189189,loso,M1_global_bias,31,30.2
5426,25,55,4899,447,0.3125,0.05296610169491525,0.09057971014492754,loso,M1_global_bias,31,30.3
5426,10,34,4920,462,0.22727272727272727,0.0211864406779661,0.03875968992248062,loso,M1_global_bias,31,30.4
5426,6,30,4924,466,0.16666666666666666,0.012711864406779662,0.02362204724409449,loso,M1_global_bias,31,30.5
5426,2,18,4936,470,0.1,0.00423728813559322,0.008130081300813009,loso,M1_global_bias,31,30.6
5426,2,14,4940,470,0.125,0.00423728813559322,0.00819672131147541,loso,M1_global_bias,31,30.7
5426,2,14,4940,470,0.125,0.00423728813559322,0.00819672131147541,loso,M1_global_bias,31,30.8
5426,1,11,4943,471,0.08333333333333333,0.00211864406779661,0.004132231404958678,loso,M1_global_bias,31,30.9
5426,0,8,4946,472,0.0,0.0,,loso,M1_global_bias,31,31.0
5426,0,8,4946,472,0.0,0.0,,loso,M1_global_bias,31,31.1
5426,0,8,4946,472,0.0,0.0,,loso,M1_global_bias,31,31.2
5426,0,4,4950,472,0.0,0.0,,loso,M1_global_bias,31,31.3
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.4
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.5
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.6
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.7
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.8
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,31.9
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.0
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.1
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.2
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.3
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.4
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.5
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.6
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.7
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.8
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,32.9
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,33.0
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,33.1
5426,0,0,4954,472,,0.0,,loso,M1_global_bias,31,33.2
