cell_id,open_pixel_fraction,building_pixel_fraction,n_total_pixels,n_open_pixels,svf_umep_mean_open,svf_umep_p10_open,svf_umep_p90_open,shade_fraction_umep_10_16_open,shade_fraction_umep_13_15_open,shade_fraction_umep_peak_open,shade_fraction_umep_1000_open,shade_fraction_umep_1100_open,shade_fraction_umep_1200_open,shade_fraction_umep_1300_open,shade_fraction_umep_1400_open,shade_fraction_umep_1500_open,shade_fraction_umep_1600_open,svf_umep_mean_all,dsm_mean_height_all,dsm_max_height,dsm_mean_height_buildings_only,umep_dsm_resolution_m,umep_shadow_date,umep_shadow_time_window
TP_0466,1.0,0.0,2500,2500,0.9909793138504028,0.9862751364707947,0.9972111582756042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909793138504028,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0467,1.0,0.0,2500,2500,0.9820181727409363,0.9752293825149536,0.9875598549842834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9820181727409363,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0468,1.0,0.0,2500,2500,0.9751048684120178,0.9660099744796753,0.9806973934173584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9751048684120178,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0469,0.964,0.03600000000000003,2500,2410,0.9075266122817993,0.7937024831771851,0.968399167060852,0.024066390469670296,0.0,0.09294606000185013,0.09294606000185013,0.05228215828537941,0.023236515000462532,0.0,0.0,0.0,0.0,0.9103575348854065,1.054800033569336,29.299999237060547,29.299999237060547,2,20260320,10:00-16:00 LST (UTC+8)
TP_0470,0.8204,0.17959999999999998,2500,2051,0.733079195022583,0.4300534427165985,0.8815338611602783,0.030995333567261696,0.024378353729844093,0.1233544647693634,0.028278889134526253,0.014627011492848396,0.005850804504007101,0.0,0.02194051630795002,0.05119453743100166,0.0950755700469017,0.7781370878219604,5.262279987335205,29.299999237060547,29.29999542236328,2,20260320,10:00-16:00 LST (UTC+8)
TP_0471,0.896,0.10399999999999998,2500,2240,0.7161454558372498,0.49037864804267883,0.8488979339599609,0.05612245202064514,0.009523809887468815,0.1986607164144516,0.1941964328289032,0.1026785746216774,0.0513392873108387,0.004464285913854837,0.00937500037252903,0.01473214291036129,0.01607142947614193,0.7357279062271118,3.6744000911712646,57.29999923706055,35.33076477050781,2,20260320,10:00-16:00 LST (UTC+8)
TP_0472,0.8032,0.19679999999999997,2500,2008,0.5615724921226501,0.3078375458717346,0.7486181259155273,0.11731645464897156,0.09246347099542618,0.2838645279407501,0.11952191591262817,0.11653386801481247,0.09262948483228683,0.009462151676416397,0.10109561681747437,0.16683267056941986,0.2151394486427307,0.6409403085708618,10.571040153503418,57.29999923706055,53.714630126953125,2,20260320,10:00-16:00 LST (UTC+8)
TP_0473,1.0,0.0,2500,2500,0.8412548899650574,0.7772817611694336,0.8893802762031555,0.02182857133448124,0.009333333931863308,0.11999999731779099,0.02160000056028366,0.004800000227987766,0.0,0.0,0.0,0.02800000086426735,0.09839999675750732,0.8412548899650574,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0474,0.7904,0.2096,2500,1976,0.7689982056617737,0.5626318454742432,0.9043577313423157,0.029135340824723244,0.012145749293267727,0.09412955492734909,0.07540486007928848,0.04048582911491394,0.018218623474240303,0.0,0.012145749293267727,0.024291498586535454,0.03340081125497818,0.7978190183639526,3.436079978942871,29.299999237060547,16.393512725830078,2,20260320,10:00-16:00 LST (UTC+8)
TP_0475,0.8132,0.18679999999999997,2500,2033,0.6705021262168884,0.3554641902446747,0.8480767607688904,0.025156348943710327,0.006886374671012163,0.059026069939136505,0.049188390374183655,0.049188390374183655,0.023610427975654602,0.0,0.004918839316815138,0.01574028469622135,0.03344810754060745,0.7285952568054199,5.473239898681641,29.299999237060547,29.29999542236328,2,20260320,10:00-16:00 LST (UTC+8)
TP_0476,1.0,0.0,2500,2500,0.8546538352966309,0.7708423137664795,0.9115422964096069,0.02371428720653057,0.012799999676644802,0.12759999930858612,0.07320000231266022,0.0,0.0,0.0,0.010400000028312206,0.02800000086426735,0.0544000007212162,0.8546538352966309,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0477,0.7388,0.2612,2500,1847,0.6314824819564819,0.3046586215496063,0.8500345349311829,0.21502049267292023,0.07543765008449554,0.6800216436386108,0.5674065947532654,0.3730373680591583,0.15809421241283417,0.013535463251173496,0.07579859346151352,0.136978879570961,0.18029236793518066,0.7099060416221619,10.882119178771973,62.900001525878906,41.66202163696289,2,20260320,10:00-16:00 LST (UTC+8)
TP_0478,0.7308,0.2692,2500,1827,0.5836248993873596,0.305601567029953,0.8117712140083313,0.25177887082099915,0.15945996344089508,0.5873016119003296,0.365626722574234,0.26436781883239746,0.17952927947044373,0.012041598558425903,0.13628900051116943,0.3300492465496063,0.47454842925071716,0.6830917000770569,11.035880088806152,62.900001525878906,40.995094299316406,2,20260320,10:00-16:00 LST (UTC+8)
TP_0479,0.8156,0.1844,2500,2039,0.7016370892524719,0.4460000991821289,0.9031865000724792,0.09129124879837036,0.04740886017680168,0.3369298577308655,0.14369788765907288,0.0823933333158493,0.04119666665792465,0.0,0.03138793632388115,0.1108386442065239,0.22952426970005035,0.7530961036682129,4.886600017547607,26.5,26.5,2,20260320,10:00-16:00 LST (UTC+8)
TP_0480,0.8736,0.12639999999999996,2500,2184,0.8855774402618408,0.7621599435806274,0.944771409034729,0.024463633075356483,0.005341880954802036,0.09340659528970718,0.0535714291036129,0.037545789033174515,0.018772894516587257,0.0,0.0,0.016025641933083534,0.04532967135310173,0.8924429416656494,0.8721600770950317,6.900000095367432,6.900001049041748,2,20260320,10:00-16:00 LST (UTC+8)
TP_0481,0.5276,0.47240000000000004,2500,1319,0.6813675165176392,0.5215868353843689,0.892671525478363,0.017220839858055115,0.008339651860296726,0.07505685836076736,0.04094010591506958,0.02047005295753479,0.0,0.0,0.0,0.025018954649567604,0.03411675617098808,0.7833618521690369,2.245959997177124,6.900000095367432,4.754360198974609,2,20260320,10:00-16:00 LST (UTC+8)
TP_0482,1.0,0.0,2500,2500,0.8774226307868958,0.8078693151473999,0.9247256517410278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8774226307868958,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0483,1.0,0.0,2500,2500,0.8862296938896179,0.8170826435089111,0.919586718082428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8862296938896179,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0484,1.0,0.0,2500,2500,0.9430375695228577,0.9170210957527161,0.9641836881637573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9430375695228577,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0485,1.0,0.0,2500,2500,0.9716120958328247,0.9601101279258728,0.9832668900489807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9716120958328247,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0486,1.0,0.0,2500,2500,0.9820180535316467,0.9777988791465759,0.987450122833252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9820180535316467,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0487,1.0,0.0,2500,2500,0.9866944551467896,0.9819821119308472,0.991633415222168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9866944551467896,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0488,1.0,0.0,2500,2500,0.9933540225028992,0.9902390241622925,0.995816707611084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9933540225028992,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0489,1.0,0.0,2500,2500,0.9954084753990173,0.9930278658866882,0.9972111582756042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9954084753990173,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0490,1.0,0.0,2500,2500,0.9958089590072632,0.9930278658866882,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9958089590072632,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0491,1.0,0.0,2500,2500,0.9971169829368591,0.9944223165512085,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9971169829368591,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0492,1.0,0.0,2500,2500,0.9978666305541992,0.995816707611084,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9978666305541992,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
TP_0493,1.0,0.0,2500,2500,0.9983496069908142,0.9972111582756042,0.9986055493354797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983496069908142,0.0,0.0,0.0,2,20260320,10:00-16:00 LST (UTC+8)
