baseline_candidate_id,baseline_operating_point,candidate_id,candidate_family,candidate_operating_point,delta_recall,delta_miss_rate,delta_precision,delta_false_alarm_ratio,delta_F1,delta_CSI,candidate_precision,candidate_recall,candidate_F1,candidate_CSI,candidate_false_alarm_ratio,candidate_miss_rate,station_where_it_improves_misses,station_where_it_worsens_false_alarms,radiation_hot_misses_improved_count,radiation_hot_false_alarm_delta,radiation_hot_recall_delta
current_companion_m4_isotonic,recall_90,M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,fixed_score_31,-0.37254901960784315,0.37254901960784315,0.17702448210922783,-0.17702448210922783,-0.05241201010635166,-0.05888760521538211,0.7222222222222222,0.5735294117647058,0.639344262295082,0.46987951807228917,0.2777777777777778,0.4264705882352941,,,-76.0,-116.0,-0.37623762376237624
current_companion_m4_isotonic,recall_90,cost_sensitive_logistic_score_weather,weighted_logistic,best_F1,-0.09313725490196079,0.09313725490196079,0.10164240858589035,-0.10164240858589035,0.043973114490743925,0.05317267604343234,0.6468401486988847,0.8529411764705882,0.7357293868921776,0.5819397993311036,0.35315985130111527,0.14705882352941177,,,-19.0,-66.0,-0.09405940594059403
current_companion_m4_isotonic,recall_90,cost_sensitive_logistic_score_weather,weighted_logistic,current_companion_threshold,0.0,0.0,-0.017875335741409648,0.017875335741409704,-0.014563289945293323,-0.016830783765124813,0.5273224043715847,0.946078431372549,0.6771929824561403,0.5119363395225465,0.4726775956284153,0.05392156862745098,S129:2,S135:2;S132:2;S140:2;S151:2;S128:1,0.0,10.0,0.0
current_companion_m4_isotonic,recall_90,cost_sensitive_logistic_score_weather,weighted_logistic,precision_70,-0.2450980392156863,0.24509803921568626,0.15923575742395146,-0.1592357574239514,0.010946430301268961,0.012899543378995348,0.7044334975369458,0.7009803921568627,0.7027027027027026,0.5416666666666666,0.2955665024630542,0.29901960784313725,,,-50.0,-101.0,-0.24752475247524752
current_companion_m4_isotonic,recall_90,cost_sensitive_logistic_score_weather,weighted_logistic,recall_90,-0.039215686274509776,0.0392156862745098,0.02403302911777483,-0.02403302911777483,0.0076766198480936465,0.00902357438674728,0.5692307692307692,0.9068627450980392,0.6994328922495273,0.5377906976744186,0.4307692307692308,0.09313725490196079,S129:2,S143:1;S145:1,-8.0,-21.0,-0.03960396039603953
current_companion_m4_isotonic,recall_90,cost_sensitive_logistic_score_weather,weighted_logistic,selected_candidate_policy,-0.09313725490196079,0.09313725490196079,0.10164240858589035,-0.10164240858589035,0.043973114490743925,0.05317267604343234,0.6468401486988847,0.8529411764705882,0.7357293868921776,0.5819397993311036,0.35315985130111527,0.14705882352941177,,,-19.0,-66.0,-0.09405940594059403
current_companion_m4_isotonic,recall_90,high_tail_residual_correction,residual_correction_isotonic,best_F1,-0.1568627450980392,0.1568627450980392,0.11463832546077612,-0.11463832546077612,0.02699372759856633,0.032208486468426334,0.6598360655737705,0.7892156862745098,0.71875,0.5609756097560976,0.3401639344262295,0.2107843137254902,,,-32.0,-78.0,-0.15841584158415833
current_companion_m4_isotonic,recall_90,high_tail_residual_correction,residual_correction_isotonic,current_companion_threshold,-0.1470588235294117,0.14705882352941177,0.10680225988700565,-0.10680225988700565,0.026305401607376933,0.03137033375700227,0.652,0.7990196078431373,0.7180616740088106,0.5601374570446735,0.348,0.20098039215686275,,,-30.0,-74.0,-0.14851485148514842
current_companion_m4_isotonic,recall_90,high_tail_residual_correction,residual_correction_isotonic,precision_70,-0.5257885763000852,0.5257885763000852,-0.11872715187770028,0.11872715187770022,-0.268398608167857,-0.26024860476915274,0.4264705882352941,0.42028985507246375,0.4233576642335767,0.26851851851851855,0.5735294117647058,0.5797101449275363,,,-31.0,-122.0,-0.5351556894819917
current_companion_m4_isotonic,recall_90,high_tail_residual_correction,residual_correction_isotonic,recall_90,-0.03431372549019607,0.03431372549019608,-0.022725830000634772,0.022725830000634828,-0.0274705581157193,-0.03144092007911514,0.5224719101123596,0.9117647058823529,0.6642857142857144,0.49732620320855614,0.47752808988764045,0.08823529411764706,S129:1,S128:2;S184:2;S139:2;S126:1;S129:1,-7.0,9.0,-0.03465346534653457
current_companion_m4_isotonic,recall_90,logistic_score_plus_regime_diagnostic,weighted_logistic,best_F1,-0.1568627450980392,0.1568627450980392,0.09880225988700564,-0.09880225988700564,0.017494828920152194,0.02072093131983721,0.644,0.7892156862745098,0.7092511013215859,0.5494880546075085,0.356,0.2107843137254902,,,-32.0,-72.0,-0.15841584158415833
current_companion_m4_isotonic,recall_90,logistic_score_plus_regime_diagnostic,weighted_logistic,current_companion_threshold,-0.03431372549019607,0.03431372549019608,-0.05443256860903661,0.05443256860903656,-0.053677370171588024,-0.06025326938338915,0.49076517150395776,0.9117647058823529,0.6380789022298456,0.46851385390428213,0.5092348284960422,0.08823529411764706,S129:2,S145:6;S125:4;S139:4;S128:4;S146:4,-7.0,25.0,-0.03465346534653457
current_companion_m4_isotonic,recall_90,logistic_score_plus_regime_diagnostic,weighted_logistic,precision_70,-0.8774509803921569,0.8774509803921569,-0.1862233811386354,0.18622338113863546,-0.576529934952874,-0.467631752108632,0.358974358974359,0.06862745098039216,0.11522633744855967,0.0611353711790393,0.6410256410256411,0.9313725490196079,,,-179.0,-136.0,-0.886138613861386
current_companion_m4_isotonic,recall_90,logistic_score_plus_regime_diagnostic,weighted_logistic,recall_90,0.009803921568627527,-0.00980392156862745,-0.0005050026828268273,0.0005050026828267717,0.002193905534509377,0.0025680265760889,0.5446927374301676,0.9558823529411765,0.693950177935943,0.5313351498637602,0.4553072625698324,0.04411764705882353,S129:2,S135:1;S145:1,2.0,2.0,0.00990099009900991
