candidate_id,candidate_family,event_target,diagnostic_only,validation_method,bin_kind,probability_bin,n,event_count,observed_event_rate,mean_predicted_probability,calibration_gap,abs_calibration_gap,ECE,MCE,p_min,p_max,station_count,low_support,low_support_bin_count
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,quantile,"(0.0184, 0.391]",167,21,0.12574850299401197,0.1648425653877422,0.03909406239373023,0.03909406239373023,0.04226714109241603,0.18970798912302334,0.01953160464495642,0.3894130571708677,27,False,0
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,quantile,"(0.391, 0.765]",167,70,0.41916167664670656,0.6088696657697299,0.18970798912302334,0.18970798912302334,0.04226714109241603,0.18970798912302334,0.3921935527632476,0.7628232905649305,27,False,0
cost_sensitive_logistic_score_weather,weighted_logistic,ge31,False,station_grouped_loso,quantile,"(0.765, 0.994]",168,113,0.6726190476190477,0.8603564149476,0.18773736732855228,0.18773736732855228,0.04226714109241603,0.18970798912302334,0.7654681024757887,0.9943312509119425,27,False,0
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.00,0.10)",1318,9,0.006828528072837633,0.00685087019659889,2.2342123761257167e-05,2.2342123761257167e-05,0.018112633264560155,0.44747681039122156,1e-06,0.0723076056451167,27,False,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.20,0.30)",42,26,0.6190476190476191,0.2856370822047598,-0.33341053684285926,0.33341053684285926,0.018112633264560155,0.44747681039122156,0.2108249702798616,0.2975206611570248,9,False,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.30,0.40)",84,13,0.15476190476190477,0.3077610858133546,0.15299918105144983,0.15299918105144983,0.018112633264560155,0.44747681039122156,0.3032786885245901,0.3333333333333333,19,False,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.40,0.50)",1,0,0.0,0.4400495017415505,0.4400495017415505,0.4400495017415505,0.018112633264560155,0.44747681039122156,0.4400495017415505,0.4400495017415505,1,True,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.50,0.60)",1,1,1.0,0.5525231896087784,-0.44747681039122156,0.44747681039122156,0.018112633264560155,0.44747681039122156,0.5525231896087784,0.5525231896087784,1,True,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.60,0.70)",129,82,0.6356589147286822,0.6412154741199211,0.005556559391238891,0.005556559391238891,0.018112633264560155,0.44747681039122156,0.6229508196721312,0.664,27,False,4
current_companion_m4_isotonic,current_companion_probability,ge31,False,station_grouped_loso,fixed,"[0.70,0.80)",87,63,0.7241379310344828,0.7160857903415461,-0.008052140692936693,0.008052140692936693,0.018112633264560155,0.44747681039122156,0.7023809523809523,0.75,27,False,4
