candidate_id,candidate_family,event_target,output_kind,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,mean_expected_exceedance_above31_c,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S127,False,31.0,62,10,0.16129032258064516,27.655890193261875,,,0.09032258064516131,6,0,4,52,1.0,0.6,0.7499999999999999,0.6,0.0,0.4
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S128,False,31.0,62,11,0.1774193548387097,27.457668041826228,,,0.22258064516129028,5,0,6,51,1.0,0.45454545454545453,0.625,0.45454545454545453,0.0,0.5454545454545454
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S129,False,31.0,62,10,0.16129032258064516,27.605515323320677,,,0.12903225806451596,6,0,4,52,1.0,0.6,0.7499999999999999,0.6,0.0,0.4
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S130,False,31.0,62,6,0.0967741935483871,27.52254497016325,,,0.020967741935483883,3,3,3,53,0.5,0.5,0.5,0.3333333333333333,0.5,0.5
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S132,False,31.0,62,9,0.14516129032258066,27.421877133085413,,,0.040322580645161345,6,0,3,53,1.0,0.6666666666666666,0.8,0.6666666666666666,0.0,0.3333333333333333
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S135,False,31.0,62,11,0.1774193548387097,27.33098478185694,,,0.14838709677419365,4,1,7,50,0.8,0.36363636363636365,0.5000000000000001,0.3333333333333333,0.2,0.6363636363636364
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S137,False,31.0,62,13,0.20967741935483872,27.542454937938757,,,0.1822580645161291,6,0,7,49,1.0,0.46153846153846156,0.631578947368421,0.46153846153846156,0.0,0.5384615384615384
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S139,True,31.0,62,1,0.016129032258064516,27.88893229696117,,,0.0016129032258064746,1,8,0,53,0.1111111111111111,1.0,0.19999999999999998,0.1111111111111111,0.8888888888888888,0.0
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S140,False,31.0,62,4,0.06451612903225806,27.436164962636205,,,0.012903225806451568,3,3,1,55,0.5,0.75,0.6,0.42857142857142855,0.5,0.25
M7_compact_weather_ridge_fixed_score_31,fixed_score_baseline,ge31,score,station_grouped_loso,fixed_score_31,S141,False,31.0,62,10,0.16129032258064516,27.44832036553513,,,0.20483870967741935,5,0,5,52,1.0,0.5,0.6666666666666666,0.5,0.0,0.5
