split_type,model,period,official_event_threshold,criterion,selected_model_decision_threshold,selected_n,selected_event_count,selected_non_event_count,selected_tp,selected_fp,selected_fn,selected_tn,selected_precision,selected_recall,selected_f1,selected_specificity,selected_balanced_accuracy,note
LOSO,M3_regime_current_ridge,nighttime,33.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,9.0,0.0,1152.0,0.0,,,0.9922480620155039,0.9922480620155039,
LOSO,M3_regime_current_ridge,nighttime,33.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,nighttime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,overall,31.0,best_f1,30.0,2564.0,268.0,2296.0,249.0,330.0,19.0,1966.0,0.43005181347150256,0.9291044776119403,0.5879574970484062,0.8562717770034843,0.8926881273077123,
LOSO,M3_regime_current_ridge,overall,31.0,recall_ge_0.6,30.3,2564.0,268.0,2296.0,217.0,268.0,51.0,2028.0,0.44742268041237115,0.8097014925373134,0.5763612217795485,0.8832752613240418,0.8464883769306776,
LOSO,M3_regime_current_ridge,overall,31.0,precision_ge_0.5,31.4,2564.0,268.0,2296.0,6.0,6.0,262.0,2290.0,0.5,0.022388059701492536,0.04285714285714286,0.9973867595818815,0.509887409641687,
LOSO,M3_regime_current_ridge,overall,33.0,best_f1,30.2,2564.0,10.0,2554.0,10.0,519.0,0.0,2035.0,0.01890359168241966,1.0,0.03710575139146568,0.7967893500391543,0.8983946750195771,
LOSO,M3_regime_current_ridge,overall,33.0,recall_ge_0.6,30.2,2564.0,10.0,2554.0,10.0,519.0,0.0,2035.0,0.01890359168241966,1.0,0.03710575139146568,0.7967893500391543,0.8983946750195771,
LOSO,M3_regime_current_ridge,overall,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M3_regime_current_ridge,peak,31.0,best_f1,30.2,431.0,205.0,226.0,205.0,219.0,0.0,7.0,0.4834905660377358,1.0,0.6518282988871225,0.030973451327433628,0.5154867256637168,
LOSO,M3_regime_current_ridge,peak,31.0,recall_ge_0.6,30.2,431.0,205.0,226.0,205.0,219.0,0.0,7.0,0.4834905660377358,1.0,0.6518282988871225,0.030973451327433628,0.5154867256637168,
LOSO,M3_regime_current_ridge,peak,31.0,precision_ge_0.5,31.4,431.0,205.0,226.0,6.0,6.0,199.0,220.0,0.5,0.02926829268292683,0.055299539170506916,0.9734513274336283,0.5013598100582776,
LOSO,M3_regime_current_ridge,peak,33.0,best_f1,30.2,431.0,10.0,421.0,10.0,414.0,0.0,7.0,0.02358490566037736,1.0,0.04608294930875576,0.0166270783847981,0.5083135391923991,
LOSO,M3_regime_current_ridge,peak,33.0,recall_ge_0.6,30.2,431.0,10.0,421.0,10.0,414.0,0.0,7.0,0.02358490566037736,1.0,0.04608294930875576,0.0166270783847981,0.5083135391923991,
LOSO,M3_regime_current_ridge,peak,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,daytime,31.0,best_f1,30.1,971.0,268.0,703.0,244.0,315.0,24.0,388.0,0.4364937388193202,0.9104477611940298,0.5900846432889963,0.5519203413940256,0.7311840512940277,
LOSO,M4_inertia_ridge,daytime,31.0,recall_ge_0.6,30.3,971.0,268.0,703.0,226.0,276.0,42.0,427.0,0.450199203187251,0.8432835820895522,0.587012987012987,0.6073968705547653,0.7253402263221588,
LOSO,M4_inertia_ridge,daytime,31.0,precision_ge_0.5,31.2,971.0,268.0,703.0,39.0,33.0,229.0,670.0,0.5416666666666666,0.1455223880597015,0.22941176470588234,0.9530583214793741,0.5492903547695378,
LOSO,M4_inertia_ridge,daytime,33.0,best_f1,30.4,971.0,10.0,961.0,10.0,440.0,0.0,521.0,0.022222222222222223,1.0,0.04347826086956522,0.5421436004162331,0.7710718002081165,
LOSO,M4_inertia_ridge,daytime,33.0,recall_ge_0.6,30.4,971.0,10.0,961.0,10.0,440.0,0.0,521.0,0.022222222222222223,1.0,0.04347826086956522,0.5421436004162331,0.7710718002081165,
LOSO,M4_inertia_ridge,daytime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,nighttime,31.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,8.0,0.0,1153.0,0.0,,,0.9931093884582257,0.9931093884582257,
LOSO,M4_inertia_ridge,nighttime,31.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,nighttime,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,nighttime,33.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,8.0,0.0,1153.0,0.0,,,0.9931093884582257,0.9931093884582257,
LOSO,M4_inertia_ridge,nighttime,33.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,nighttime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,overall,31.0,best_f1,30.1,2564.0,268.0,2296.0,244.0,315.0,24.0,1981.0,0.4364937388193202,0.9104477611940298,0.5900846432889963,0.8628048780487805,0.8866263196214051,
LOSO,M4_inertia_ridge,overall,31.0,recall_ge_0.6,30.3,2564.0,268.0,2296.0,226.0,276.0,42.0,2020.0,0.450199203187251,0.8432835820895522,0.587012987012987,0.8797909407665505,0.8615372614280514,
LOSO,M4_inertia_ridge,overall,31.0,precision_ge_0.5,31.2,2564.0,268.0,2296.0,39.0,33.0,229.0,2263.0,0.5416666666666666,0.1455223880597015,0.22941176470588234,0.9856271777003485,0.5655747828800249,
LOSO,M4_inertia_ridge,overall,33.0,best_f1,30.4,2564.0,10.0,2554.0,10.0,440.0,0.0,2114.0,0.022222222222222223,1.0,0.04347826086956522,0.8277212216131559,0.9138606108065779,
LOSO,M4_inertia_ridge,overall,33.0,recall_ge_0.6,30.4,2564.0,10.0,2554.0,10.0,440.0,0.0,2114.0,0.022222222222222223,1.0,0.04347826086956522,0.8277212216131559,0.9138606108065779,
LOSO,M4_inertia_ridge,overall,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M4_inertia_ridge,peak,31.0,best_f1,30.2,431.0,205.0,226.0,205.0,217.0,0.0,9.0,0.48578199052132703,1.0,0.6539074960127592,0.03982300884955752,0.5199115044247787,
LOSO,M4_inertia_ridge,peak,31.0,recall_ge_0.6,30.3,431.0,205.0,226.0,199.0,210.0,6.0,16.0,0.48655256723716384,0.9707317073170731,0.6482084690553747,0.07079646017699115,0.5207640837470322,
LOSO,M4_inertia_ridge,peak,31.0,precision_ge_0.5,31.2,431.0,205.0,226.0,39.0,33.0,166.0,193.0,0.5416666666666666,0.1902439024390244,0.28158844765342955,0.8539823008849557,0.5221131016619901,
LOSO,M4_inertia_ridge,peak,33.0,best_f1,30.4,431.0,10.0,421.0,10.0,370.0,0.0,51.0,0.02631578947368421,1.0,0.05128205128205127,0.12114014251781473,0.5605700712589073,
LOSO,M4_inertia_ridge,peak,33.0,recall_ge_0.6,30.4,431.0,10.0,421.0,10.0,370.0,0.0,51.0,0.02631578947368421,1.0,0.05128205128205127,0.12114014251781473,0.5605700712589073,
LOSO,M4_inertia_ridge,peak,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,daytime,31.0,best_f1,30.1,971.0,268.0,703.0,231.0,311.0,37.0,392.0,0.4261992619926199,0.8619402985074627,0.5703703703703704,0.5576102418207681,0.7097752701641153,
LOSO,M5_inertia_morphology_ridge,daytime,31.0,recall_ge_0.6,30.5,971.0,268.0,703.0,174.0,208.0,94.0,495.0,0.45549738219895286,0.6492537313432836,0.5353846153846153,0.7041251778093883,0.676689454576336,
LOSO,M5_inertia_morphology_ridge,daytime,31.0,precision_ge_0.5,31.7,971.0,268.0,703.0,4.0,4.0,264.0,699.0,0.5,0.014925373134328358,0.02898550724637681,0.9943100995732574,0.5046177363537929,
LOSO,M5_inertia_morphology_ridge,daytime,33.0,best_f1,30.4,971.0,10.0,961.0,10.0,417.0,0.0,544.0,0.0234192037470726,1.0,0.045766590389016024,0.5660770031217481,0.7830385015608741,
LOSO,M5_inertia_morphology_ridge,daytime,33.0,recall_ge_0.6,30.4,971.0,10.0,961.0,10.0,417.0,0.0,544.0,0.0234192037470726,1.0,0.045766590389016024,0.5660770031217481,0.7830385015608741,
LOSO,M5_inertia_morphology_ridge,daytime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,nighttime,31.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,7.0,0.0,1154.0,0.0,,,0.9939707149009475,0.9939707149009475,
LOSO,M5_inertia_morphology_ridge,nighttime,31.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,nighttime,31.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,nighttime,33.0,best_f1,27.0,1161.0,0.0,1161.0,0.0,7.0,0.0,1154.0,0.0,,,0.9939707149009475,0.9939707149009475,
LOSO,M5_inertia_morphology_ridge,nighttime,33.0,recall_ge_0.6,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,nighttime,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,overall,31.0,best_f1,30.1,2564.0,268.0,2296.0,231.0,311.0,37.0,1985.0,0.4261992619926199,0.8619402985074627,0.5703703703703704,0.8645470383275261,0.8632436684174944,
LOSO,M5_inertia_morphology_ridge,overall,31.0,recall_ge_0.6,30.5,2564.0,268.0,2296.0,174.0,208.0,94.0,2088.0,0.45549738219895286,0.6492537313432836,0.5353846153846153,0.9094076655052264,0.779330698424255,
LOSO,M5_inertia_morphology_ridge,overall,31.0,precision_ge_0.5,31.7,2564.0,268.0,2296.0,4.0,4.0,264.0,2292.0,0.5,0.014925373134328358,0.02898550724637681,0.9982578397212544,0.5065916064277913,
LOSO,M5_inertia_morphology_ridge,overall,33.0,best_f1,30.4,2564.0,10.0,2554.0,10.0,417.0,0.0,2137.0,0.0234192037470726,1.0,0.045766590389016024,0.83672670321065,0.918363351605325,
LOSO,M5_inertia_morphology_ridge,overall,33.0,recall_ge_0.6,30.4,2564.0,10.0,2554.0,10.0,417.0,0.0,2137.0,0.0234192037470726,1.0,0.045766590389016024,0.83672670321065,0.918363351605325,
LOSO,M5_inertia_morphology_ridge,overall,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
LOSO,M5_inertia_morphology_ridge,peak,31.0,best_f1,27.0,431.0,205.0,226.0,205.0,226.0,0.0,0.0,0.4756380510440835,1.0,0.6446540880503144,0.0,0.5,
LOSO,M5_inertia_morphology_ridge,peak,31.0,recall_ge_0.6,30.4,431.0,205.0,226.0,176.0,178.0,29.0,48.0,0.4971751412429379,0.8585365853658536,0.629695885509839,0.21238938053097345,0.5354629829484135,
LOSO,M5_inertia_morphology_ridge,peak,31.0,precision_ge_0.5,31.7,431.0,205.0,226.0,4.0,4.0,201.0,222.0,0.5,0.01951219512195122,0.03755868544600939,0.9823008849557522,0.5009065400388517,
LOSO,M5_inertia_morphology_ridge,peak,33.0,best_f1,30.4,431.0,10.0,421.0,10.0,344.0,0.0,77.0,0.02824858757062147,1.0,0.054945054945054944,0.1828978622327791,0.5914489311163895,
LOSO,M5_inertia_morphology_ridge,peak,33.0,recall_ge_0.6,30.4,431.0,10.0,421.0,10.0,344.0,0.0,77.0,0.02824858757062147,1.0,0.054945054945054944,0.1828978622327791,0.5914489311163895,
LOSO,M5_inertia_morphology_ridge,peak,33.0,precision_ge_0.5,,,,,,,,,,,,,,no_threshold_met_target
