building_id,source_name,geometry_source,area_m2,height_m,height_source,height_confidence,lu_desc_v10,height_warning
v10_bldg_000948,osm,osm,1212.1782456517171,114.0,osm_levels_x_3m:levels_original,medium_high,EDUCATIONAL INSTITUTION,
v10_bldg_001103,osm,osm,820.1541012770812,114.0,osm_levels_x_3m:levels_original,medium_high,EDUCATIONAL INSTITUTION,
v10_bldg_001159,osm,osm,738.1152532690708,114.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_000138,hdb3d,hdb3d,1697.8475865256544,113.3,height_m,high,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,
v10_bldg_000156,hdb3d,hdb3d,1611.9745779397022,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000163,hdb3d,hdb3d,1593.641122696204,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000164,hdb3d,hdb3d,1592.687628511235,113.3,height_m,high,RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,
v10_bldg_000331,hdb3d,hdb3d,1132.3655351509724,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000375,hdb3d,hdb3d,1005.583382816717,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000376,hdb3d,hdb3d,1003.421782285375,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000416,hdb3d,hdb3d,911.9821854645953,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000427,hdb3d,hdb3d,879.9057313746173,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000464,hdb3d,hdb3d,746.0809963911144,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000465,hdb3d,hdb3d,745.984773788746,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000466,hdb3d,hdb3d,745.9012178029026,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000493,hdb3d,hdb3d,693.2257123022797,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000494,hdb3d,hdb3d,693.1393809455163,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000500,hdb3d,hdb3d,660.4551618174556,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000503,hdb3d,hdb3d,648.1753209213493,113.3,height_m,high,RESIDENTIAL,
v10_bldg_000952,osm,osm,1191.1891511988067,111.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_000965,osm,osm,1156.8911978290369,111.0,explicit:height_m_original,medium_high,RESIDENTIAL,
v10_bldg_001169,osm,osm,718.7399032431938,111.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001009,osm,osm,1021.5412513633313,108.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001054,osm,osm,928.4979348275507,108.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
v10_bldg_001062,osm,osm,899.4249271106305,108.0,osm_levels_x_3m:levels_original,medium_high,RESIDENTIAL,
