candidate_id,source_name,source_building_id,area_m2,dedup_status,canonical_building_id,best_candidate_overlap,best_iou,best_existing_overlap,best_centroid_distance_m,best_area_ratio,best_existing_building_id
cand_osm_002186,osm,osm_453947860,406.1016731091685,accepted_new,v10_bldg_001455,0.0,,,,,
cand_osm_001524,osm,osm_453378309,405.78302980654473,accepted_new,v10_bldg_001456,0.0,,,,,
cand_osm_002539,osm,osm_455066671,405.37349567329295,accepted_new,v10_bldg_001457,0.0,,,,,
cand_osm_000024,osm,osm_93841135,405.0242360785953,accepted_new,v10_bldg_001458,0.0,,,,,
cand_osm_002019,osm,osm_453793335,404.82402788197595,accepted_new,v10_bldg_001459,0.0,,,,,
cand_osm_002034,osm,osm_453793351,404.64062724128905,accepted_new,v10_bldg_001460,0.0,,,,,
cand_osm_000909,osm,osm_261166430,404.4882424850919,accepted_new,v10_bldg_001461,0.0,,,,,
cand_osm_000645,osm,osm_220026211,404.2989122709326,accepted_new,v10_bldg_001462,0.0,,,,,
cand_osm_002429,osm,osm_454193005,403.86968752689916,accepted_new,v10_bldg_001463,0.0,,,,,
cand_osm_002477,osm,osm_454226380,403.8199027145632,accepted_new,v10_bldg_001464,0.0,,,,,
cand_osm_000837,osm,osm_261166351,403.4668075424258,accepted_new,v10_bldg_001465,0.0,,,,,
cand_osm_000182,osm,osm_104009493,403.42877392349527,merged_duplicate,v10_bldg_000547,0.9353525489725726,0.7496364891865254,0.7905986499966433,2.2904725598050755,0.8452413486926053,v10_bldg_000547
cand_osm_002785,osm,osm_504335075,403.3720494650469,accepted_new,v10_bldg_001466,0.0,,,,,
cand_osm_002569,osm,osm_455096459,402.6768760771089,accepted_new,v10_bldg_001467,0.0,,,,,
cand_osm_002572,osm,osm_455096462,402.6571535294963,accepted_new,v10_bldg_001468,0.0,,,,,
cand_osm_002574,osm,osm_455096464,402.54809338148397,accepted_new,v10_bldg_001469,0.0,,,,,
cand_osm_005123,osm,osm_1469344645,402.43883800696887,merged_duplicate,v10_bldg_000455,0.7458830665902632,0.33637910937562443,0.3799184965994407,15.3479021844967,0.5093539639345932,v10_bldg_000455
cand_osm_000900,osm,osm_261166419,402.37383726881535,accepted_new,v10_bldg_001470,0.0,,,,,
cand_osm_002570,osm,osm_455096460,401.24602356191275,accepted_new,v10_bldg_001471,0.0,,,,,
cand_osm_002166,osm,osm_453941693,400.43826339241787,accepted_new,v10_bldg_001472,0.0,,,,,
cand_osm_000092,osm,osm_103158976,400.29634533575984,merged_duplicate,v10_bldg_000511,0.9999999999999999,0.6628750173156036,0.6628750173156036,1.023453654319053,0.6628750173156037,v10_bldg_000511
cand_osm_001658,osm,osm_453477057,399.3197875734906,accepted_new,v10_bldg_001473,0.0,,,,,
cand_osm_000814,osm,osm_261019246,399.1851274899941,accepted_new,v10_bldg_001474,0.0,,,,,
cand_osm_002466,osm,osm_454209275,396.7353283509951,accepted_new,v10_bldg_001475,0.0,,,,,
cand_osm_001434,osm,osm_453366930,396.1001504218417,accepted_new,v10_bldg_001476,0.0,,,,,
cand_osm_000701,osm,osm_258867443,396.08617485983274,accepted_new,v10_bldg_001477,0.0,,,,,
cand_osm_001336,osm,osm_439331298,395.7603379372693,merged_duplicate,v10_bldg_000667,0.9798877074349598,0.978115438068491,0.9981543005199195,0.09741095977174094,1.0186415167231517,v10_bldg_000667
cand_osm_001989,osm,osm_453788943,395.083922766963,accepted_new,v10_bldg_001478,0.0,,,,,
cand_osm_001779,osm,osm_453592394,394.68493724877777,accepted_new,v10_bldg_001479,0.0,,,,,
cand_osm_000686,osm,osm_231917950,391.681108068823,accepted_new,v10_bldg_001480,0.0,,,,,
cand_osm_000931,osm,osm_261170721,390.63128056744716,accepted_new,v10_bldg_001481,0.0,,,,,
cand_osm_002394,osm,osm_454006159,390.16110966365943,accepted_new,v10_bldg_001482,0.0,,,,,
cand_osm_002222,osm,osm_453956221,390.14272516261906,accepted_new,v10_bldg_001483,0.0,,,,,
cand_osm_001791,osm,osm_453592407,389.534371452811,accepted_new,v10_bldg_001484,0.0,,,,,
cand_osm_001022,osm,osm_271791530,388.83045815003265,accepted_new,v10_bldg_001485,0.0,,,,,
cand_osm_003234,osm,osm_766655185,388.23223610552407,accepted_new,v10_bldg_001486,0.0,,,,,
