source_dataset,source_file,run_id,cell_id,typology_label,hour,hour_label,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,delta_tmrt_p90_c,m_rad_pct,m_rad_robust01,valid_pixel_count,valid_pixel_fraction,qa_status,qa_notes
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h12,TP_0565,school_gate_road_edge_hot_anchor,12,h12,overhead_as_canopy,60.0234489440918,61.4720458984375,62.14266586303711,62.20014572143555,62.22365951538086,62.27033996582031,0.4819984436035156,0.875,0.998326749872718,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h12,TP_0986,low_rise_residential_null_control,12,h12,overhead_as_canopy,60.95865631103516,61.102684020996094,62.11238861083984,62.24909591674805,62.26665496826172,62.29424285888672,0.5309486389160156,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h12,TP_0366,school_gate_bus_stop_waiting_node,12,h12,overhead_as_canopy,60.46958923339844,61.31367874145508,61.52023315429688,61.65324401855469,61.77958297729492,61.94025421142578,-0.0649032592773437,0.5,0.9695658575125046,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0542_h12,TP_0542,river_edge_shaded_walkway,12,h12,overhead_as_canopy,38.62727355957031,35.50090026855469,36.694068908691406,57.56772232055664,59.43833160400391,62.345829010009766,-4.150424957275391,0.25,0.7547132630289298,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0627_h12,TP_0627,street_canyon_wall_adjacent_low_svf,12,h12,overhead_as_canopy,58.8213996887207,61.379520416259766,61.62828063964844,61.86773300170898,61.977909088134766,62.1049690246582,0.1495857238769531,0.75,0.9808455710779534,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0326_h12,TP_0326,stable_high_rise_residential_estate,12,h12,overhead_as_canopy,49.95954513549805,57.59903717041016,60.75183868408203,61.313114166259766,62.24023818969727,62.34726333618164,-0.4050331115722656,0.375,0.9516788441446186,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0059_h12,TP_0059,open_paved_hardscape_parking_lot,12,h12,overhead_as_canopy,59.346588134765625,61.553489685058594,61.6854133605957,61.783050537109375,61.846229553222656,61.940673828125,0.0649032592773437,0.625,0.9763922237281144,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0835_h12,TP_0835,grass_park_green_mixed,12,h12,overhead_as_canopy,35.48406219482422,35.48614883422852,35.48863220214844,35.48891830444336,35.491180419921875,35.49151992797852,-26.229228973388672,0.125,0.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h13,TP_0565,school_gate_road_edge_hot_anchor,13,h13,overhead_as_canopy,60.045806884765625,61.241058349609375,62.27711868286133,62.352760314941406,62.38680648803711,62.44860458374024,0.6460552215576172,0.875,0.9964035259242828,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h13,TP_0986,low_rise_residential_null_control,13,h13,overhead_as_canopy,60.67300033569336,60.67012023925781,62.29727554321289,62.46359634399414,62.47942733764648,62.52816390991211,0.7568912506103516,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h13,TP_0366,school_gate_bus_stop_waiting_node,13,h13,overhead_as_canopy,60.25605010986328,61.08664321899414,61.36767578125,61.59587097167969,61.72203063964844,62.00486755371094,-0.1108341217041015,0.5,0.9586189101552852,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0542_h13,TP_0542,river_edge_shaded_walkway,13,h13,overhead_as_canopy,38.656524658203125,35.689300537109375,36.77227020263672,55.0097770690918,58.86970138549805,62.57847595214844,-6.696928024291992,0.25,0.6298350136144514,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0627_h13,TP_0627,street_canyon_wall_adjacent_low_svf,13,h13,overhead_as_canopy,59.23526382446289,60.995361328125,61.51791763305664,61.81753921508789,61.9975700378418,62.20769119262695,0.1108341217041015,0.625,0.9696847938012008,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0326_h13,TP_0326,stable_high_rise_residential_estate,13,h13,overhead_as_canopy,49.21237182617188,56.270755767822266,59.78443145751953,60.512786865234375,62.47014236450195,62.62369155883789,-1.193918228149414,0.375,0.9045503502371502,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0059_h13,TP_0059,open_paved_hardscape_parking_lot,13,h13,overhead_as_canopy,59.04593276977539,61.5459213256836,61.72042083740234,61.85014724731445,61.94474029541016,62.07833480834961,0.143442153930664,0.75,0.971312616916472,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0835_h13,TP_0835,grass_park_green_mixed,13,h13,overhead_as_canopy,35.593780517578125,35.59617614746094,35.599178314208984,35.59954071044922,35.602176666259766,35.63462829589844,-26.10716438293457,0.125,0.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h15,TP_0565,school_gate_road_edge_hot_anchor,15,h15,overhead_as_canopy,57.510501861572266,58.81693649291992,60.40672302246094,60.50284576416016,60.53951644897461,60.6019172668457,0.7696647644042969,0.875,0.9962375969298912,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h15,TP_0986,low_rise_residential_null_control,15,h15,overhead_as_canopy,57.42228698730469,58.23607635498047,60.53705978393555,60.6406135559082,60.66032409667969,60.73504257202149,0.9074325561523438,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h15,TP_0366,school_gate_bus_stop_waiting_node,15,h15,overhead_as_canopy,57.78426742553711,58.80082321166992,59.221656799316406,59.53022384643555,59.70760345458984,60.13865661621094,-0.2029571533203125,0.5,0.9553728966209888,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0542_h15,TP_0542,river_edge_shaded_walkway,15,h15,overhead_as_canopy,37.48344421386719,35.47110748291016,35.97400665283203,39.148250579833984,56.22846603393555,60.7609977722168,-20.584930419921875,0.25,0.0990244902512614,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0627_h15,TP_0627,street_canyon_wall_adjacent_low_svf,15,h15,overhead_as_canopy,54.898468017578125,58.80548095703125,59.588260650634766,59.93613815307617,60.11610794067383,60.35102844238281,0.2029571533203125,0.625,0.972427382222928,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0326_h15,TP_0326,stable_high_rise_residential_estate,15,h15,overhead_as_canopy,46.71669006347656,42.29817962646485,55.94364929199219,57.98851776123047,60.7007064819336,60.86220932006836,-1.7446632385253906,0.375,0.8905981306114946,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0059_h15,TP_0059,open_paved_hardscape_parking_lot,15,h15,overhead_as_canopy,56.77565002441406,59.67887115478516,59.86094665527344,60.00592422485352,60.0940055847168,60.23877334594727,0.2727432250976562,0.75,0.9753594433424104,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0835_h15,TP_0835,grass_park_green_mixed,15,h15,overhead_as_canopy,35.5153923034668,35.51815414428711,35.520511627197266,35.522274017333984,35.52436447143555,35.524810791015625,-24.210906982421875,0.125,0.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h16,TP_0565,school_gate_road_edge_hot_anchor,16,h16,overhead_as_canopy,48.51470565795898,49.68354034423828,51.37728118896485,51.47970199584961,51.52318954467773,51.59041595458984,0.8231525421142578,0.875,0.9946845985465848,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h16,TP_0986,low_rise_residential_null_control,16,h16,overhead_as_canopy,48.35227584838867,49.10833740234375,51.519752502441406,51.617000579833984,51.64312362670898,51.73898315429688,0.9604511260986328,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h16,TP_0366,school_gate_bus_stop_waiting_node,16,h16,overhead_as_canopy,48.664546966552734,49.66753387451172,50.13271331787109,50.4512939453125,50.65715408325195,51.05937576293945,-0.2052555084228515,0.5,0.9334323376498194,2500,1.0,ok,
