path,exists,row_count,columns,scenario_inferred,contains_cell_id,contains_hour,contains_tmrt_mean,contains_tmrt_p50,contains_tmrt_p75,contains_tmrt_p90,contains_tmrt_p95,contains_tmrt_max,contains_delta_tmrt_p90,contains_m_rad_pct,contains_threshold_area_fields,contains_typology_label_fields,notes
configs/v12/v12_solweig_preprocess_core8_overhead_manifest.csv,True,8,preprocess_id|tile_id|cell_id|typology_label|scenario_id|tile_dir|input_dsm|input_cdsm|wall_height|wall_aspect|svf_output_dir|svf_output_file|svf_zip_expected|run_wall_height_aspect|run_svf|status|notes,overhead_as_canopy,True,False,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_preprocess_formal_hotday_smoke_manifest.csv,True,10,preprocess_id|tile_id|cell_id|typology_label|scenario_id|tile_dir|input_dsm|input_cdsm|wall_height|wall_aspect|svf_output_dir|svf_output_file|svf_zip_expected|run_wall_height_aspect|run_svf|status|notes,,True,False,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_preprocess_overhead_smoke_manifest.csv,True,3,preprocess_id|tile_id|cell_id|typology_label|scenario_id|tile_dir|input_dsm|input_cdsm|wall_height|wall_aspect|svf_output_dir|svf_output_file|svf_zip_expected|run_wall_height_aspect|run_svf|status|notes,overhead_smoke,True,False,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_preprocess_wave1_base_manifest.csv,True,3,preprocess_id|tile_id|cell_id|typology_label|scenario_id|tile_dir|input_dsm|input_cdsm|wall_height|wall_aspect|svf_output_dir|svf_output_file|svf_zip_expected|run_wall_height_aspect|run_svf|status|notes,base,True,False,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_typology_config.example.json,True,,,,False,False,False,False,False,False,False,False,False,False,False,False,exists; non-CSV/MD metadata not parsed
configs/v12/v12_solweig_wave0_reuse_v10_manifest.csv,True,1,run_id|cell_id|typology_label|pilot_tier|hour_sgt|scenario_id|forcing_id|tile_dir|focus_cell_geojson|tmrt_raster_path|notes,base,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_wave1_base_manifest.csv,True,9,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir,base,True,True,False,False,False,False,False,False,False,False,False,True,
data/grid/v12/OpenHeat_v12_pilot_cells_revised_v2_CN.xlsx,True,,,,False,False,False,False,False,False,False,False,False,False,False,False,exists; non-CSV/MD metadata not parsed
data/grid/v12/OpenHeat_v12_revised_SOLWEIG_typology_pilot_cells_CN.xlsx,True,,,,False,False,False,False,False,False,False,False,False,False,False,False,exists; non-CSV/MD metadata not parsed
data/grid/v12/OpenHeat_v12_SOLWEIG_typology_core8_run_matrix.csv,True,80,run_id|cell_id|typology_label|typology_label_cn|pilot_tier|hour_sgt|scenario_id|forcing_id|run_status|qa_expected|notes,,True,True,False,False,False,False,False,False,False,False,False,True,
data/grid/v12/solweig_typology_cell_candidates.csv,True,12,candidate_id|cell_id|typology_label|role|required|selection_status|expected_direction|notes,,True,False,False,False,False,False,False,False,False,False,False,True,
data/grid/v12/solweig_typology_pilot_cells_revised_v2.csv,True,16,cell_id|pilot_group|typology_label|typology_label_cn|status_after_manual_QA|base_result_interpretation|qa_notes|base_run_note|overhead_smoke_use|next_action,,True,False,False,False,False,False,False,False,False,False,False,True,
docs/v11/SystemA_AOI_temporal_aggregation_design_CN.md,True,55,,,False,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
docs/v11/SystemA_Level1_Interim_Model_Card_CN.md,True,178,,,False,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
docs/v12/OpenHeat_SystemB_architecture_discussion_record_CN.md,False,,,,False,False,False,False,False,False,False,False,False,False,False,False,missing
outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_normalization_params.csv,True,5,reference_domain_id|scenario_id|hour_sgt|normalization_method|delta_min_c|delta_p05_c|delta_p50_c|delta_p95_c|delta_max_c|n_cells|notes,base,False,True,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_reference_table.csv,True,5,reference_domain_id|scenario_id|hour_sgt|reference_method|n_reference_cells|tmrt_ref_p90_c|delta_p05_c|delta_p50_c|delta_p95_c|notes,base,False,True,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes|reference_method|reference_domain_id|tmrt_ref_p90_c|delta_tmrt_p90_c|m_rad_pct|m_rad_robust01,base,True,True,True,True,True,True,True,True,True,True,False,True,
outputs/v12_solweig_typology_pilot/core8_base_summary/tmrt_cell_summary_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes,base,True,True,True,True,True,True,True,True,False,False,False,True,
outputs/v12_solweig_typology_pilot/core8_base_summary/v12_solweig_typology_aggregation_report.md,True,49,,base,False,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
outputs/v12_solweig_typology_pilot/core8_overhead_summary/core8_base_vs_overhead_delta.csv,True,40,cell_id|hour_sgt|typology_label_base|tmrt_mean_base|tmrt_p90_base|tmrt_max_base|m_rad_pct_base|typology_label_overhead|tmrt_mean_overhead|tmrt_p90_overhead|tmrt_max_overhead|m_rad_pct_overhead|delta_tmrt_mean_overhead_minus_base|delta_tmrt_p90_overhead_minus_base|delta_tmrt_max_overhead_minus_base|delta_m_rad_pct_overhead_minus_base|abs_delta_tmrt_p90|flag_p90_large_change|flag_p90_increase|flag_mean_large_but_p90_small,overhead_as_canopy,True,True,False,False,False,False,False,False,False,False,False,True,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/core8_base_vs_overhead_delta_by_cell.csv,True,8,cell_id|n|mean_delta_mean|min_delta_mean|max_delta_mean|mean_delta_p90|min_delta_p90|max_delta_p90|max_abs_delta_p90|n_large_p90_change|n_p90_increase|n_mean_large_p90_small,overhead_as_canopy,True,False,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/core8_base_vs_overhead_delta_report.md,True,38,,overhead_as_canopy,False,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_normalization_params.csv,True,5,reference_domain_id|scenario_id|hour_sgt|normalization_method|delta_min_c|delta_p05_c|delta_p50_c|delta_p95_c|delta_max_c|n_cells|notes,overhead_as_canopy,False,True,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_reference_table.csv,True,5,reference_domain_id|scenario_id|hour_sgt|reference_method|n_reference_cells|tmrt_ref_p90_c|delta_p05_c|delta_p50_c|delta_p95_c|notes,overhead_as_canopy,False,True,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes|reference_method|reference_domain_id|tmrt_ref_p90_c|delta_tmrt_p90_c|m_rad_pct|m_rad_robust01,overhead_as_canopy,True,True,True,True,True,True,True,True,True,True,False,True,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/tmrt_cell_summary_long.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|tmrt_raster_path|focus_cell_geojson|tmrt_raster_exists|focus_cell_exists|n_valid_pixels|tmrt_mean_c|tmrt_p50_c|tmrt_p75_c|tmrt_p90_c|tmrt_p95_c|tmrt_max_c|tmrt_min_c|tmrt_raster_path_resolved|focus_cell_geojson_resolved|valid_pixel_fraction|qa_status|qa_notes,overhead_as_canopy,True,True,True,True,True,True,True,True,False,False,False,True,
outputs/v12_solweig_typology_pilot/core8_overhead_summary/v12_solweig_typology_aggregation_report.md,True,49,,overhead_as_canopy,False,False,False,False,False,False,False,False,False,False,False,False,text file; row_count is line_count
outputs/v12_solweig_typology_pilot/overhead_smoke_summary/modifier_normalization_params.csv,True,1,reference_domain_id|scenario_id|hour_sgt|normalization_method|delta_min_c|delta_p05_c|delta_p50_c|delta_p95_c|delta_max_c|n_cells|notes,overhead_smoke,False,True,False,False,False,False,False,False,False,False,False,False,
outputs/v12_solweig_typology_pilot/overhead_smoke_summary/modifier_reference_table.csv,True,1,reference_domain_id|scenario_id|hour_sgt|reference_method|n_reference_cells|tmrt_ref_p90_c|delta_p05_c|delta_p50_c|delta_p95_c|notes,overhead_smoke,False,True,False,False,False,False,False,False,False,False,False,False,
