cell_id,hour,typology_label_base,typology_label_overhead,base_tmrt_mean_c,overhead_tmrt_mean_c,delta_overhead_minus_base_tmrt_mean_c,base_tmrt_p75_c,overhead_tmrt_p75_c,delta_overhead_minus_base_tmrt_p75_c,base_tmrt_p90_c,overhead_tmrt_p90_c,delta_overhead_minus_base_tmrt_p90_c,base_tmrt_p95_c,overhead_tmrt_p95_c,delta_overhead_minus_base_tmrt_p95_c,base_tmrt_max_c,overhead_tmrt_max_c,delta_overhead_minus_base_tmrt_max_c,base_delta_tmrt_p90_c,overhead_delta_tmrt_p90_c,delta_overhead_minus_base_delta_tmrt_p90_c,base_m_rad_pct,overhead_m_rad_pct,delta_overhead_minus_base_m_rad_pct,delta_overhead_minus_base_p90,delta_m_rad_pct
TP_0366,12,school_gate_bus_stop_waiting_node,school_gate_bus_stop_waiting_node,60.67147445678711,60.46958923339844,-0.20188522338867188,61.59588623046875,61.52023315429688,-0.0756530761718679,61.70037460327149,61.65324401855469,-0.04713058471680398,61.791141510009766,61.77958297729492,-0.01155853271484375,62.15629959106445,61.94025421142578,-0.21604537963867188,-0.0836849212646484,-0.0649032592773437,0.0187816619873047,0.5,0.5,0.0,-0.04713058471680398,0.0
TP_0542,12,river_edge_shaded_walkway,river_edge_shaded_walkway,39.16592025756836,38.62727355957031,-0.5386466979980469,37.2093620300293,36.694068908691406,-0.5152931213378906,57.674591064453125,57.56772232055664,-0.10686874389648438,59.54159164428711,59.43833160400391,-0.10326004028319602,62.345829010009766,62.345829010009766,0.0,-4.109468460083008,-4.150424957275391,-0.04095649719238281,0.25,0.25,0.0,-0.10686874389648438,0.0
TP_0627,12,street_canyon_wall_adjacent_low_svf,street_canyon_wall_adjacent_low_svf,58.82143783569336,58.8213996887207,-3.814697265625e-05,61.62828063964844,61.62828063964844,0.0,61.86774444580078,61.86773300170898,-1.1444091803980427e-05,61.97962951660156,61.977909088134766,-0.001720428466796875,62.1049690246582,62.1049690246582,0.0,0.0836849212646484,0.1495857238769531,0.0659008026123047,0.625,0.75,0.125,-1.1444091803980427e-05,0.125
TP_0326,12,stable_high_rise_residential_estate,stable_high_rise_residential_estate,50.22164916992188,49.95954513549805,-0.26210403442383523,60.87112045288086,60.75183868408203,-0.11928176879882812,61.313114166259766,61.313114166259766,0.0,62.24023818969727,62.24023818969727,0.0,62.34726333618164,62.34726333618164,0.0,-0.4709453582763672,-0.4050331115722656,0.06591224670410156,0.375,0.375,0.0,0.0,0.0
TP_0059,12,open_paved_hardscape_parking_lot,open_paved_hardscape_parking_lot,61.75139236450195,59.346588134765625,-2.404804229736328,61.841529846191406,61.6854133605957,-0.15611648559570312,61.90553283691406,61.783050537109375,-0.1224822998046875,61.946720123291016,61.846229553222656,-0.10049057006835938,62.02458572387695,61.940673828125,-0.08391189575195312,0.1214733123779296,0.0649032592773437,-0.05657005310058591,0.75,0.625,-0.125,-0.1224822998046875,-0.125
TP_0835,12,grass_park_green_mixed,grass_park_green_mixed,35.48406219482422,35.48406219482422,0.0,35.48863220214844,35.48863220214844,0.0,35.48891830444336,35.48891830444336,0.0,35.491180419921875,35.491180419921875,0.0,35.49151992797852,35.49151992797852,0.0,-26.295141220092773,-26.229228973388672,0.06591224670410156,0.125,0.125,0.0,0.0,0.0
TP_0565,13,school_gate_road_edge_hot_anchor,school_gate_road_edge_hot_anchor,60.05531692504883,60.045806884765625,-0.009510040283203125,62.27723693847656,62.27711868286133,-0.000118255615234375,62.352760314941406,62.352760314941406,0.0,62.38680648803711,62.38680648803711,0.0,62.46635437011719,62.44860458374024,-0.01774978637694602,0.6277103424072266,0.6460552215576172,0.018344879150390625,0.875,0.875,0.0,0.0,0.0
TP_0986,13,low_rise_residential_null_control,low_rise_residential_null_control,60.67300033569336,60.67300033569336,0.0,62.29727554321289,62.29727554321289,0.0,62.46359634399414,62.46359634399414,0.0,62.47942733764648,62.47942733764648,0.0,62.52816390991211,62.52816390991211,0.0,0.7385463714599609,0.7568912506103516,0.018344879150390625,1.0,1.0,0.0,0.0,0.0
TP_0366,13,school_gate_bus_stop_waiting_node,school_gate_bus_stop_waiting_node,60.56077575683594,60.25605010986328,-0.30472564697265625,61.44468688964844,61.36767578125,-0.0770111083984375,61.63256072998047,61.59587097167969,-0.03668975830078125,61.75043487548828,61.72203063964844,-0.02840423583984375,62.00486755371094,62.00486755371094,0.0,-0.0924892425537109,-0.1108341217041015,-0.018344879150390597,0.5,0.5,0.0,-0.03668975830078125,0.0
TP_0542,13,river_edge_shaded_walkway,river_edge_shaded_walkway,39.11557388305664,38.656524658203125,-0.4590492248535156,37.28846740722656,36.77227020263672,-0.5161972045898438,55.485008239746094,55.0097770690918,-0.4752311706542969,58.99871444702149,58.86970138549805,-0.1290130615234446,62.57847595214844,62.57847595214844,0.0,-6.240041732788086,-6.696928024291992,-0.45688629150390625,0.25,0.25,0.0,-0.4752311706542969,0.0
TP_0627,13,street_canyon_wall_adjacent_low_svf,street_canyon_wall_adjacent_low_svf,59.235313415527344,59.23526382446289,-4.9591064453125e-05,61.51791763305664,61.51791763305664,0.0,61.81753921508789,61.81753921508789,0.0,61.9975700378418,61.9975700378418,0.0,62.20769119262695,62.20769119262695,0.0,0.0924892425537109,0.1108341217041015,0.018344879150390597,0.625,0.625,0.0,0.0,0.0
TP_0326,13,stable_high_rise_residential_estate,stable_high_rise_residential_estate,49.46807861328125,49.21237182617188,-0.2557067871093679,59.84464645385742,59.78443145751953,-0.060214996337890625,60.512786865234375,60.512786865234375,0.0,62.47014236450195,62.47014236450195,0.0,62.62369155883789,62.62369155883789,0.0,-1.212263107299805,-1.193918228149414,0.018344879150390847,0.375,0.375,0.0,0.0,0.0
TP_0059,13,open_paved_hardscape_parking_lot,open_paved_hardscape_parking_lot,61.81303787231445,59.04593276977539,-2.7671051025390625,61.93120574951172,61.72042083740234,-0.2107849121093821,62.02654266357422,61.85014724731445,-0.17639541625976562,62.08107376098633,61.94474029541016,-0.13633346557616477,62.18977737426758,62.07833480834961,-0.11144256591796875,0.301492691040039,0.143442153930664,-0.158050537109375,0.75,0.75,0.0,-0.17639541625976562,0.0
TP_0835,13,grass_park_green_mixed,grass_park_green_mixed,35.593780517578125,35.593780517578125,0.0,35.599178314208984,35.599178314208984,0.0,35.59954071044922,35.59954071044922,0.0,35.602176666259766,35.602176666259766,0.0,35.63462829589844,35.63462829589844,0.0,-26.12550926208496,-26.10716438293457,0.018344879150390625,0.125,0.125,0.0,0.0,0.0
TP_0565,15,school_gate_road_edge_hot_anchor,school_gate_road_edge_hot_anchor,57.52208709716797,57.510501861572266,-0.011585235595703125,60.40672302246094,60.40672302246094,0.0,60.50284576416016,60.50284576416016,0.0,60.53951644897461,60.53951644897461,0.0,60.61445236206055,60.6019172668457,-0.01253509521484375,0.7406063079833984,0.7696647644042969,0.029058456420898438,0.875,0.875,0.0,0.0,0.0
TP_0986,15,low_rise_residential_null_control,low_rise_residential_null_control,57.42228698730469,57.42228698730469,0.0,60.53705978393555,60.53705978393555,0.0,60.6406135559082,60.6406135559082,0.0,60.66032409667969,60.66032409667969,0.0,60.73504257202149,60.73504257202149,0.0,0.8783740997314453,0.9074325561523438,0.029058456420898438,1.0,1.0,0.0,0.0,0.0
