run_id,source_run_id,cell_id,scenario,hour_sgt,source,target_version,reference_domain_version,tmrt_p90_c,tmrt_ref_p90_c,delta_tmrt_p90_c,rank_average_delta_tmrt_p90_c,n_reference_cells,m_rad_pct01,primary_modifier_delta,normalized_modifier,reference_rule,rank_rule,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,selection_status,reuse_existing_n24_label
v12_n150_base_TP_0018_h10,v12_n150_base_TP_0018_h10,TP_0018,base,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,43.8294677734375,45.56442070007324,-1.7349529266357422,24.0,150,0.1543624161073825,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.809112548828125,34.17935562133789,43.28471755981445,44.07586669921875,45.34462738037109,45.52,1.36,0.0,0.0,selected_new,False
v12_n150_base_TP_0018_h12,v12_n150_base_TP_0018_h12,TP_0018,base,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,60.64006042480469,61.820411682128906,-1.1803512573242188,24.0,150,0.1543624161073825,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,49.58193588256836,57.98912811279297,59.983436584472656,60.84135437011719,61.75334167480469,59.84,55.88,55.56,55.52,selected_new,False
v12_n150_base_TP_0018_h13,v12_n150_base_TP_0018_h13,TP_0018,base,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,60.21597671508789,61.75910568237305,-1.5431289672851562,26.0,150,0.1677852348993288,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,49.20293426513672,56.631813049316406,59.44084930419922,60.48517608642578,61.60960006713867,60.48,55.48,55.28,54.400000000000006,selected_new,False
v12_n150_base_TP_0018_h15,v12_n150_base_TP_0018_h15,TP_0018,base,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,57.592247009277344,59.77000427246094,-2.1777572631835938,24.0,150,0.1543624161073825,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,46.7698860168457,51.52506256103516,56.69571685791016,57.96762466430664,59.52779006958008,55.400000000000006,50.8,50.72,41.68,selected_new,False
v12_n150_base_TP_0018_h16,v12_n150_base_TP_0018_h16,TP_0018,base,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,48.46343231201172,50.70027732849121,-2.236845016479492,25.0,150,0.1610738255033557,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.86674118041992,37.34989929199219,47.67726135253906,48.81710433959961,50.427040100097656,45.92,44.04,1.36,0.0,selected_new,False
v12_n150_overhead_TP_0018_h10,v12_n150_overhead_TP_0018_h10,TP_0018,overhead_as_canopy,10,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,43.63562774658203,45.30916595458984,-1.6735382080078125,23.0,150,0.1476510067114094,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.48400115966797,33.988861083984375,43.13142395019531,43.89830017089844,45.34462738037109,42.64,1.36,0.0,0.0,selected_new,False
v12_n150_overhead_TP_0018_h12,v12_n150_overhead_TP_0018_h12,TP_0018,overhead_as_canopy,12,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,60.47301483154297,61.65906524658203,-1.1860504150390625,29.0,150,0.1879194630872483,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,48.78141403198242,57.14314651489258,59.70865249633789,60.682037353515625,61.75334167480469,58.76,52.24,51.88,51.84,selected_new,False
v12_n150_overhead_TP_0018_h13,v12_n150_overhead_TP_0018_h13,TP_0018,overhead_as_canopy,13,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,59.78718185424805,61.50412178039551,-1.716939926147461,26.0,150,0.1677852348993288,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,48.53363800048828,55.55958557128906,58.92495346069336,60.08595275878906,61.60960006713867,59.31999999999999,52.84,52.68000000000001,51.84,selected_new,False
v12_n150_overhead_TP_0018_h15,v12_n150_overhead_TP_0018_h15,TP_0018,overhead_as_canopy,15,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,57.09496307373047,59.58326530456543,-2.488302230834961,24.0,150,0.1543624161073825,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,46.1815299987793,41.14806365966797,56.12735748291016,57.63541412353516,59.52779006958008,53.36,48.6,48.6,37.28,selected_new,False
v12_n150_overhead_TP_0018_h16,v12_n150_overhead_TP_0018_h16,TP_0018,overhead_as_canopy,16,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future,48.000606536865234,50.49507141113281,-2.494464874267578,27.0,150,0.174496644295302,delta_tmrt_p90_c,m_rad_pct01,same_hour_same_scenario_reference_domain_median,(rank_average - 1) / (n_reference_cells - 1),16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.39055633544922,36.86507415771485,47.14140319824219,48.406524658203125,50.427040100097656,43.36,41.28,1.36,0.0,selected_new,False
