run_id,cell_id,scenario,hour,tmrt_output_path,n_pixels,valid_pixel_count,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,pct_pixels_tmrt_ge_40,pct_pixels_tmrt_ge_45,pct_pixels_tmrt_ge_50,pct_pixels_tmrt_ge_55,hour_sgt,source_run_id,selection_status,reuse_existing_n24_label,source,target_version,reference_domain_version
v12_n150_base_TP_0018_h12,TP_0018,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,49.58193588256836,57.98912811279297,59.983436584472656,60.64006042480469,60.84135437011719,61.75334167480469,59.84,55.88,55.56,55.52,12,v12_n150_base_TP_0018_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0018_h13,TP_0018,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,49.20293426513672,56.631813049316406,59.44084930419922,60.21597671508789,60.48517608642578,61.60960006713867,60.48,55.48,55.28,54.400000000000006,13,v12_n150_base_TP_0018_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0018_h15,TP_0018,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,46.7698860168457,51.52506256103516,56.69571685791016,57.592247009277344,57.96762466430664,59.52779006958008,55.400000000000006,50.8,50.72,41.68,15,v12_n150_base_TP_0018_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0018_h16,TP_0018,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.86674118041992,37.34989929199219,47.67726135253906,48.46343231201172,48.81710433959961,50.427040100097656,45.92,44.04,1.36,0.0,16,v12_n150_base_TP_0018_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0018_h10,TP_0018,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.48400115966797,33.988861083984375,43.13142395019531,43.63562774658203,43.89830017089844,45.34462738037109,42.64,1.36,0.0,0.0,10,v12_n150_overhead_TP_0018_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0018_h12,TP_0018,overhead_as_canopy,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h12\Tmrt_average.tif,2500,2500,48.78141403198242,57.14314651489258,59.70865249633789,60.47301483154297,60.682037353515625,61.75334167480469,58.76,52.24,51.88,51.84,12,v12_n150_overhead_TP_0018_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0018_h13,TP_0018,overhead_as_canopy,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h13\Tmrt_average.tif,2500,2500,48.53363800048828,55.55958557128906,58.92495346069336,59.78718185424805,60.08595275878906,61.60960006713867,59.31999999999999,52.84,52.68000000000001,51.84,13,v12_n150_overhead_TP_0018_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0018_h15,TP_0018,overhead_as_canopy,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h15\Tmrt_average.tif,2500,2500,46.1815299987793,41.14806365966797,56.12735748291016,57.09496307373047,57.63541412353516,59.52779006958008,53.36,48.6,48.6,37.28,15,v12_n150_overhead_TP_0018_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0018_h16,TP_0018,overhead_as_canopy,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0018\solweig_overhead_as_canopy\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.39055633544922,36.86507415771485,47.14140319824219,48.000606536865234,48.406524658203125,50.427040100097656,43.36,41.28,1.36,0.0,16,v12_n150_overhead_TP_0018_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0020_h10,TP_0020,base,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_base\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.91862106323242,33.304969787597656,46.21867752075195,46.61700439453125,46.63027191162109,46.63027191162109,41.04,25.88,0.0,0.0,10,v12_n150_base_TP_0020_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0020_h12,TP_0020,base,12,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_base\solweig_outputs_h12\Tmrt_average.tif,2500,2500,53.21868133544922,60.03109359741211,62.30289077758789,62.3538932800293,62.35667419433594,62.38705062866211,83.96000000000001,64.16,64.16,64.16,12,v12_n150_base_TP_0020_h12,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0020_h13,TP_0020,base,13,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_base\solweig_outputs_h13\Tmrt_average.tif,2500,2500,53.54697036743164,58.86711120605469,62.40886306762695,62.61883544921875,62.62423324584961,62.62423324584961,84.32,67.80000000000001,67.80000000000001,67.75999999999999,13,v12_n150_base_TP_0020_h13,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0020_h15,TP_0020,base,15,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_base\solweig_outputs_h15\Tmrt_average.tif,2500,2500,48.2204704284668,53.183406829833984,60.36929321289063,60.84413528442383,60.864105224609375,60.864105224609375,56.24,50.84,50.84,38.04,15,v12_n150_base_TP_0020_h15,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_base_TP_0020_h16,TP_0020,base,16,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_base\solweig_outputs_h16\Tmrt_average.tif,2500,2500,40.98249435424805,35.869224548339844,51.323997497558594,51.8553352355957,51.87765121459961,51.87765121459961,39.36,38.4,25.88,0.0,16,v12_n150_base_TP_0020_h16,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
v12_n150_overhead_TP_0020_h10,TP_0020,overhead_as_canopy,10,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid\data\solweig\v12_n150_tiles\TP_0020\solweig_overhead_as_canopy\solweig_outputs_h10\Tmrt_average.tif,2500,2500,37.91862869262695,33.304969787597656,46.21867752075195,46.61700439453125,46.63027191162109,46.63027191162109,41.04,25.88,0.0,0.0,10,v12_n150_overhead_TP_0020_h10,selected_new,False,solweig_b7_new,systemb_target_family_v0_1_b5,n150_training_future
