cell_id,hazard_score_base_v10,rank_base_v10_hazard_score,hazard_score_overhead_sens,rank_overhead_sens_hazard_score,rank_change_base_minus_overhead,score_change_overhead_minus_base,overhead_fraction_total,overhead_shade_proxy,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation,in_base_top,in_overhead_top
TP_0344,0.7312525891547828,7.0,0.6944235215163181,25.0,-18.0,-0.03682906763846461,0.1400592341909327,0.1050444256431995,0.0,0.1400592341909327,major_confounding,transport_deck_or_viaduct,True,False
TP_0315,0.7228146165944079,14.0,0.6937464800768377,26.0,-12.0,-0.02906813651757023,0.1080847513074185,0.0810635634805639,0.0,0.1080847513074185,major_confounding,transport_deck_or_viaduct,True,False
TP_0460,0.7397577589624206,3.0,0.67933575909212,52.0,-49.0,-0.06042199987030061,0.3410958048977433,0.2558218536733074,0.0,0.3410958048977433,major_confounding,transport_deck_or_viaduct,True,False
TP_0572,0.7235961628168085,12.0,0.6756869972898637,56.0,-44.0,-0.0479091655269448,0.2046675683270017,0.1578773958091189,0.0486741205114232,0.1559934478155784,major_confounding,mixed_pedestrian_and_transport_overhead,True,False
TP_0564,0.722061452970123,15.0,0.6643064925324643,75.0,-60.0,-0.05775496043765871,0.1936604327012996,0.1487641451735689,0.0557005644427031,0.1379598682585965,major_confounding,mixed_pedestrian_and_transport_overhead,True,False
TP_0575,0.7362715334723939,5.0,0.6483001347802563,95.0,-90.0,-0.08797139869213766,0.4354587374897505,0.3265940531173129,0.0,0.4354587374897505,major_confounding,transport_deck_or_viaduct,True,False
TP_0089,0.7207604106011732,16.0,0.6219814738862267,138.0,-122.0,-0.09877893671494653,0.3765952710480266,0.2824464532860199,0.0,0.3765952710480266,major_confounding,transport_deck_or_viaduct,True,False
TP_0088,0.7540806862473973,1.0,0.5592429761924662,224.0,-223.0,-0.1948377100549311,0.7324818312226025,0.5493613734169518,0.0,0.7324818312226024,major_confounding,transport_deck_or_viaduct,True,False
TP_0973,0.7253557600956044,11.0,0.1879530453298944,792.0,-781.0,-0.53740271476571,0.8638805627634393,0.6911044502107514,0.0,0.8638805627634393,major_confounding,transport_deck_or_viaduct,True,False
TP_0888,0.7206788813076622,17.0,0.0969700952284395,918.0,-901.0,-0.6237087860792228,1.0,1.0,0.1755546934199477,1.0,major_confounding,mixed_pedestrian_and_transport_overhead,True,False
TP_0916,0.7153381252665418,20.0,0.0832711322970132,939.0,-919.0,-0.6320669929695286,1.0,1.0,0.0,1.0,major_confounding,transport_deck_or_viaduct,True,False
