cell_id,hazard_score_base_v10,rank_base_v10_hazard_score,hazard_score_overhead_sens,rank_overhead_sens_hazard_score,rank_change_base_minus_overhead,score_change_overhead_minus_base,overhead_fraction_total,overhead_shade_proxy,pedestrian_shelter_fraction,transport_deck_fraction,overhead_confounding_flag,overhead_interpretation
TP_0785,0.4965926651604729,343.0,0.5067144459480525,307.0,36.0,0.010121780787579582,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0033,0.5177646105494551,309.0,0.5284979775545375,271.0,38.0,0.010733367005082428,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0447,0.4931638646947202,350.0,0.5028364902143331,312.0,38.0,0.009672625519612899,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0074,0.4388749891012736,426.0,0.4248959398182244,423.0,3.0,-0.013979049283049216,0.0629324159899608,0.0566391743909647,0.0629324159899608,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0562,0.502949582160571,327.0,0.5139944160512273,290.0,37.0,0.011044833890656358,0.0069506055922197,0.0062555450329977,0.0069506055922197,0.0,clean_or_minor,minor_or_none
TP_0668,0.6775592710419592,71.0,0.672697944328279,66.0,5.0,-0.004861326713680225,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0139,0.5191725257865213,305.0,0.4305048506216889,412.0,-107.0,-0.08866767516483237,0.2749585994593777,0.2114496807945393,0.0784778859383844,0.1964807135209932,major_confounding,mixed_pedestrian_and_transport_overhead
TP_0621,0.6427174452775672,119.0,0.6468436053559654,98.0,21.0,0.004126160078398167,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0046,0.4506740301889842,407.0,0.44164282462556,396.0,11.0,-0.009031205563424238,0.035036647623867,0.0315329828614803,0.035036647623867,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0290,0.4223593187607521,452.0,0.425664145814937,421.0,31.0,0.003304827054184889,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0282,0.4829699250896467,363.0,0.4889061078982492,328.0,35.0,0.005936182808602475,0.009131842787035,0.0082186585083315,0.009131842787035,0.0,clean_or_minor,minor_or_none
TP_0567,0.4611197722314598,391.0,0.4148592846339033,441.0,-50.0,-0.046260487597556466,0.2996696457399833,0.2247522343049875,0.0,0.2996696457399833,major_confounding,transport_deck_or_viaduct
TP_0284,0.5121346741889687,315.0,0.521800853228942,276.0,39.0,0.009666179039973244,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0410,0.349887567106026,552.0,0.3417145292634943,550.0,2.0,-0.00817303784253165,0.0710203576794462,0.0639183219115016,0.0710203576794462,0.0,moderate_confounding,pedestrian_shelter_shade
TP_0396,0.340601496764514,566.0,0.3489885882203123,537.0,29.0,0.008387091455798301,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0167,0.4540697662776134,402.0,0.4577173026952907,370.0,32.0,0.0036475364176772884,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0517,0.503055366408009,326.0,0.4474954100300021,386.0,-60.0,-0.05555995637800687,0.1758700506863502,0.1319025380147626,0.0,0.1758700506863502,major_confounding,transport_deck_or_viaduct
TP_0232,0.3581882666968167,539.0,0.3633398824084214,513.0,26.0,0.005151615711604718,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0691,0.4080076897307763,473.0,0.4104453611258796,450.0,23.0,0.0024376713951033135,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
TP_0166,0.4803491271758129,366.0,0.4861488681478604,332.0,34.0,0.005799740972047496,0.0053017569091894,0.003976317681892,0.0,0.0053017569091894,clean_or_minor,minor_or_none
TP_0195,0.4800660788833573,367.0,0.4779159223773223,344.0,23.0,-0.002150156506035006,0.0210208436269848,0.0160581060595294,0.0058494667858161,0.0151713768411687,moderate_confounding,minor_or_none
TP_0750,0.4139417926496006,467.0,0.4119749296121265,448.0,19.0,-0.0019668630374741203,0.0,0.0,0.0,0.0,clean_or_minor,minor_or_none
