cell_id,building_density
TP_0348,0.09863887804059358
TP_0349,0.0
TP_0350,0.0
TP_0351,0.0
TP_0352,0.3142148966764223
TP_0353,0.12253759982013417
TP_0354,0.298565719216214
TP_0355,0.20008005905119497
TP_0356,4.573180393247464e-05
TP_0357,0.0
TP_0358,0.0
TP_0359,0.0
TP_0360,0.07699627460184928
TP_0361,0.31033085376787456
TP_0362,0.22972642350677724
TP_0363,0.18018630291995952
TP_0364,0.28936371428347235
TP_0365,0.06048196251867018
TP_0366,0.0
TP_0367,0.024133418605238537
TP_0368,0.14450589410339518
TP_0369,0.39384804184979383
TP_0370,0.30359444054389134
TP_0371,0.14115551808792556
TP_0372,0.0
TP_0373,0.0
TP_0374,0.16927881574254702
TP_0375,0.19084355579342077
TP_0376,0.0
TP_0377,0.0
TP_0378,0.0
TP_0379,0.0
TP_0380,0.0
TP_0381,0.15326724537058303
TP_0382,0.18690798427751168
TP_0383,0.1265215128054489
TP_0384,0.30391978051818475
TP_0385,4.119660652518177e-05
TP_0386,0.0
TP_0387,0.023742330075768644
TP_0388,0.07207200152156734
TP_0389,0.07476097752369587
TP_0390,0.2069104605308491
TP_0391,0.08212066514081309
TP_0392,0.1892047534356504
TP_0393,0.10781088800235702
TP_0394,0.0
TP_0395,0.0
TP_0396,0.06156211988513171
TP_0397,0.1900768945170289
TP_0398,0.19986924265630765
TP_0399,0.4159107117183531
TP_0400,0.08261044608771034
TP_0401,0.0
TP_0402,0.0
TP_0403,0.0703782523000695
TP_0404,0.004883404004866365
TP_0405,0.0
TP_0406,0.0
TP_0407,0.0
TP_0408,0.0
TP_0409,0.0
TP_0410,0.07933477491642729
TP_0411,0.09302676145332484
TP_0412,0.2740403205614523
TP_0413,0.312603063068789
TP_0414,0.1340318633584217
TP_0415,0.27445252735065206
TP_0416,0.1969162272270578
TP_0417,0.24612937782413305
TP_0418,0.33852560485668687
TP_0419,0.0
TP_0420,0.00362596335392828
TP_0421,0.08100896717728363
TP_0422,0.14904127839638487
TP_0423,0.018518678771746584
TP_0424,0.14962059882349193
