model_name,event_target,official_event_threshold_c,calibrator_id,calibrator_family,diagnostic_only,validation_method,bin_kind,probability_bin,n,event_count,observed_event_rate,mean_predicted_probability,calibration_gap,abs_calibration_gap,p_min,p_max,mean_score,station_count,low_support
M4_inertia_ridge,ge33,33.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(-0.000999, 0.058]",1482,8,0.005398110661268556,0.004659103886973049,-0.0007390067742955066,0.0007390067742955066,1e-06,0.057971014492753624,27.182860056448696,26,False
M4_inertia_ridge,ge33,33.0,isotonic_score_only,isotonic,False,station_grouped_loso,quantile,"(0.058, 0.0909]",130,0,0.0,0.06095746275511618,0.06095746275511618,0.06095746275511618,0.05825242718446602,0.09090909090909091,31.268568934940284,22,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(-0.000999, 1.77e-06]",837,0,0.0,1.011637037415003e-06,1.011637037415003e-06,1.011637037415003e-06,1e-06,1.758923565155633e-06,25.926502799918183,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.000878, 0.00634]",167,2,0.011976047904191617,0.002818202337452117,-0.0091578455667395,0.0091578455667395,0.0008796544777852246,0.00628179814824283,28.957731124570774,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.00634, 0.0375]",167,5,0.029940119760479042,0.019145569830211335,-0.010794549930267707,0.010794549930267707,0.006437559775933703,0.03742341016251678,30.567051980128994,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(0.0375, 0.142]",168,8,0.047619047619047616,0.06645393578397352,0.0188348881649259,0.0188348881649259,0.03755326273461354,0.14204983814386513,31.21280796032054,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(1.77e-06, 3.68e-05]",167,0,0.0,1.0180692312662157e-05,1.0180692312662157e-05,1.0180692312662157e-05,1.7744075459522233e-06,3.6405745862058986e-05,27.05500965487949,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_hour_diagnostic,logistic,True,station_grouped_loso,quantile,"(3.68e-05, 0.000878]",168,0,0.0,0.0002836524263058779,0.0002836524263058779,0.0002836524263058779,3.694324736572855e-05,0.0008779758115899225,27.686604931086897,27,False
M4_inertia_ridge,ge33,33.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(-0.0009884, 6.44e-05]",168,0,0.0,4.9100662240037094e-05,4.9100662240037094e-05,4.9100662240037094e-05,1.1570766846992501e-05,6.442183638300166e-05,25.504053463914026,17,False
M4_inertia_ridge,ge33,33.0,logistic_score_only,logistic,False,station_grouped_loso,quantile,"(0.000105, 0.00013]",168,0,0.0,0.00011581089412008551,0.00011581089412008551,0.00011581089412008551,0.00010505157042150419,0.00013026093996143853,25.975626547248527,27,False
