model_name,event_target,output_kind,output_id,validation_method,operating_point,station_id,focus_station_flag,threshold_mean,n,event_count,observed_event_rate,mean_output_value,probability_bias,Brier,TP,FP,FN,TN,precision,recall,F1,CSI,false_alarm_ratio,miss_rate
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S130,False,0.15000000000000005,62,6,0.0967741935483871,0.12253938572314078,0.02576519217475369,0.05700141017754248,6,9,0,47,0.4,1.0,0.5714285714285715,0.4,0.6,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S132,False,0.14000000000000004,62,9,0.14516129032258066,0.1208328314334013,-0.024328458889179352,0.04045753499002921,9,6,0,47,0.6,1.0,0.7499999999999999,0.6,0.4,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S135,False,0.15000000000000005,62,11,0.1774193548387097,0.11453381756102804,-0.06288553727768165,0.06871777874798325,9,4,2,47,0.6923076923076923,0.8181818181818182,0.7500000000000001,0.6,0.3076923076923077,0.18181818181818182
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S137,False,0.14000000000000004,62,13,0.20967741935483872,0.11827105894123127,-0.09140636041360745,0.09546111731935987,11,4,2,45,0.7333333333333333,0.8461538461538461,0.7857142857142856,0.6470588235294118,0.26666666666666666,0.15384615384615385
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S139,True,0.16000000000000003,62,1,0.016129032258064516,0.13831843301652139,0.12218940075845687,0.08210115144423198,1,14,0,47,0.06666666666666667,1.0,0.125,0.06666666666666667,0.9333333333333333,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S140,False,0.15000000000000005,62,4,0.06451612903225806,0.12405595620749015,0.05953982717523208,0.051329203157414495,4,11,0,47,0.26666666666666666,1.0,0.4210526315789474,0.26666666666666666,0.7333333333333333,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S141,False,0.14000000000000004,62,10,0.16129032258064516,0.11941208113866511,-0.041878241441980046,0.06554179238949498,9,6,1,46,0.6,0.9,0.7200000000000001,0.5625,0.4,0.1
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S142,True,0.14000000000000004,62,15,0.24193548387096775,0.11502958497214695,-0.1269058988988208,0.08690015736751754,14,1,1,46,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.875,0.06666666666666667,0.06666666666666667
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S143,False,0.15000000000000005,62,7,0.11290322580645161,0.12343092571551816,0.010527699909066546,0.047515882122671264,7,8,0,47,0.4666666666666667,1.0,0.6363636363636364,0.4666666666666667,0.5333333333333333,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S144,False,0.16000000000000003,62,8,0.12903225806451613,0.12407764503053116,-0.004954613033984964,0.041134697230100555,8,7,0,47,0.5333333333333333,1.0,0.6956521739130436,0.5333333333333333,0.4666666666666667,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S145,False,0.15000000000000005,62,8,0.12903225806451613,0.1181235576905451,-0.010908700373971028,0.0424277245408893,8,6,0,48,0.5714285714285714,1.0,0.7272727272727273,0.5714285714285714,0.42857142857142855,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S146,False,0.15000000000000005,62,3,0.04838709677419355,0.12425042870031262,0.07586333192611908,0.05280394675338029,3,12,0,47,0.2,1.0,0.33333333333333337,0.2,0.8,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S147,False,0.14000000000000004,62,10,0.16129032258064516,0.12250835672069507,-0.038781965859950085,0.039053362123141026,10,5,0,47,0.6666666666666666,1.0,0.8,0.6666666666666666,0.3333333333333333,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S148,False,0.15000000000000005,62,5,0.08064516129032258,0.12555069665761437,0.04490553536729179,0.06935414515683602,5,10,0,47,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S149,False,0.16000000000000003,62,5,0.08064516129032258,0.12538063104553346,0.04473546975521088,0.05991688444324289,5,10,0,47,0.3333333333333333,1.0,0.5,0.3333333333333333,0.6666666666666666,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S150,False,0.16999999999999998,62,3,0.04838709677419355,0.12474058074315228,0.07635348396895873,0.06652427699801111,3,11,0,48,0.21428571428571427,1.0,0.35294117647058826,0.21428571428571427,0.7857142857142857,0.0
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S151,False,0.14000000000000004,62,9,0.14516129032258066,0.11377174393447166,-0.031389546388108994,0.04244786535118489,8,6,1,47,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.5333333333333333,0.42857142857142855,0.1111111111111111
M7_compact_weather_ridge,ge31,probability,logistic_score_hour_diagnostic,station_grouped_loso,recall_90,S153,False,0.14000000000000004,62,7,0.11290322580645161,0.12200898124898513,0.009105755442533517,0.05031670889917252,7,8,0,47,0.4666666666666667,1.0,0.6363636363636364,0.4666666666666667,0.5333333333333333,0.0
