source_path,row_id,model_name,official_wbgt_c,model_score,station_id,hour_sgt,timestamp,date,cv_scheme,fold,residual_c,abs_error_c,obs_ge31,obs_ge33,pred_ge31_fixed,pred_ge33_fixed,ge31_event_class,observed_wbgt_bin,predicted_score_bin,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,shortwave_3h_mean,cloud_cover,precipitation,direct_radiation,diffuse_radiation,has_weather_match,shortwave_bin,shortwave_3h_mean_bin,humidity_bin,wind_bin,temperature_bin,cloud_cover_bin,direct_radiation_bin,diffuse_radiation_bin,combined_radiation_hot_regime,radiation_hot_flag,shortwave_very_high_flag,shortwave_3h_very_high_flag,hour_sin,hour_cos
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,22,M4_inertia_ridge,26.7,26.27400429755073,S124,0,2026-05-08 00:00:00+08:00,2026-05-08,loso,S124,0.4259957024492706,0.4259957024492706,False,False,False,False,true_negative,<28,<28,27.5,91.0,1.4,0.0,0.0,99.0,0.0,0.0,0.0,True,low,low,high,low,high,mid,low,low,hot_not_highradiation,False,False,False,0.0,1.0
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,23,M4_inertia_ridge,26.6,26.124719940666424,S124,1,2026-05-08 01:00:00+08:00,2026-05-08,loso,S124,0.4752800593335777,0.4752800593335777,False,False,False,False,true_negative,<28,<28,27.4,90.0,1.8,0.0,0.0,99.0,0.0,0.0,0.0,True,low,low,mid,low,high,mid,low,low,hot_not_highradiation,False,False,False,0.25881904510252074,0.9659258262890683
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,24,M4_inertia_ridge,26.6,25.94440638741384,S124,2,2026-05-08 02:00:00+08:00,2026-05-08,loso,S124,0.6555936125861628,0.6555936125861628,False,False,False,False,true_negative,<28,<28,27.2,89.0,1.8,0.0,0.0,100.0,0.0,0.0,0.0,True,low,low,mid,low,mid,mid,low,low,other,False,False,False,0.49999999999999994,0.8660254037844387
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,25,M4_inertia_ridge,28.9,29.84965558828849,S124,16,2026-05-09 16:00:00+08:00,2026-05-09,loso,S124,-0.9496555882884898,0.9496555882884898,False,False,False,False,true_negative,28-29,29-30,28.0,81.0,4.8,436.0,436.0,96.0,1.2,179.0,257.0,True,very_high,very_high,mid,high,high,low,very_high,very_high,radiation_hot,True,True,True,-0.8660254037844385,-0.5000000000000004
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,26,M4_inertia_ridge,28.8,29.205807892485737,S124,17,2026-05-09 17:00:00+08:00,2026-05-09,loso,S124,-0.4058078924857362,0.4058078924857362,False,False,False,False,true_negative,28-29,29-30,27.8,81.0,0.2,246.0,306.9583333333333,76.0,0.0,102.0,144.0,True,high,high,mid,low,high,low,high,very_high,radiation_hot,True,False,False,-0.9659258262890683,-0.25881904510252063
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,27,M4_inertia_ridge,28.0,28.166002186645763,S124,18,2026-05-09 18:00:00+08:00,2026-05-09,loso,S124,-0.1660021866457626,0.1660021866457626,False,False,False,False,true_negative,28-29,28-29,28.1,81.0,2.3,264.0,277.640873015873,59.0,0.1,169.0,95.0,True,high,high,mid,low,high,low,very_high,high,radiation_hot,True,False,False,-1.0,-1.8369701987210297e-16
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,28,M4_inertia_ridge,26.8,26.64869434310912,S124,19,2026-05-09 19:00:00+08:00,2026-05-09,loso,S124,0.1513056568908801,0.1513056568908801,False,False,False,False,true_negative,<28,<28,27.6,86.0,2.6,79.0,229.342803030303,99.0,0.0,47.0,32.0,True,high,high,mid,low,high,mid,high,high,radiation_hot,True,False,False,-0.9659258262890684,0.2588190451025203
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,29,M4_inertia_ridge,26.8,26.477324877458628,S124,20,2026-05-09 20:00:00+08:00,2026-05-09,loso,S124,0.3226751225413728,0.3226751225413728,False,False,False,False,true_negative,<28,<28,28.9,81.0,3.9,0.0,145.08333333333334,100.0,0.0,0.0,0.0,True,low,high,mid,mid,very_high,mid,low,low,radiation_hot,True,False,False,-0.8660254037844386,0.5000000000000001
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,30,M4_inertia_ridge,26.8,26.76744297140468,S124,21,2026-05-09 21:00:00+08:00,2026-05-09,loso,S124,0.0325570285953205,0.0325570285953205,False,False,False,False,true_negative,<28,<28,28.3,86.0,4.5,0.0,59.33333333333333,100.0,0.0,0.0,0.0,True,low,high,mid,high,high,mid,low,low,radiation_hot,True,False,False,-0.7071067811865477,0.7071067811865474
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,31,M4_inertia_ridge,26.6,26.635148734727345,S124,22,2026-05-09 22:00:00+08:00,2026-05-09,loso,S124,-0.0351487347273433,0.0351487347273433,False,False,False,False,true_negative,<28,<28,27.8,89.0,4.0,0.0,9.875,100.0,0.0,0.0,0.0,True,low,mid,mid,mid,high,mid,low,low,hot_not_highradiation,False,False,False,-0.5000000000000004,0.8660254037844384
outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,32,M4_inertia_ridge,26.4,26.332780118172632,S124,23,2026-05-09 23:00:00+08:00,2026-05-09,loso,S124,0.0672198818273663,0.0672198818273663,False,False,False,False,true_negative,<28,<28,27.3,90.0,5.7,0.0,0.0,100.0,0.0,0.0,0.0,True,low,low,mid,high,high,mid,low,low,hot_not_highradiation,False,False,False,-0.25881904510252157,0.9659258262890681
