model_name,event_target,bin_kind,score_bin,n,event_count,score_min,score_max,mean_score,observed_wbgt_mean,station_count,event_rate,validation_scope,event_rate_monotonicity
M4_inertia_ridge,ge31,fixed_score_0p5,"[31.50,32.00)",45,29,31.51750977249676,31.96014482908168,31.667158726631058,31.028888888888886,21,0.6444444444444445,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,fixed_score_0p5,"[32.00,32.50)",6,6,32.01933348147377,32.08427032428611,32.05517315365414,31.599999999999998,6,1.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge31,quantile_score,"(24.884999999999998, 25.552]",168,0,24.88615404687137,25.55148673269691,25.411717542100103,25.276785714285715,19,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(25.552, 25.714]",167,0,25.55155978527449,25.714132534409845,25.6259413672359,25.591017964071856,26,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(25.714, 25.898]",167,0,25.71422151438248,25.89780699748974,25.8105197039625,25.937125748502993,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(25.898, 26.087]",168,0,25.898124111588047,26.08604405347342,25.990088028867934,26.126190476190477,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(26.087, 26.363]",167,0,26.088541342876976,26.36322473315415,26.243212841429553,26.240119760479043,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(26.363, 27.291]",167,0,26.36332666695377,27.26847762902675,26.730335760686902,26.771257485029942,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(27.291, 28.843]",168,1,27.296760666692755,28.84294450994888,28.014423786544246,27.757142857142856,27,0.005952380952380952,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(28.843, 30.031]",167,17,28.843340906287143,30.03077797131165,29.382798342047558,29.422754491017965,27,0.10179640718562874,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(30.031, 31.035]",167,73,30.03236302125333,31.03133513518489,30.529205561517774,30.75389221556886,27,0.437125748502994,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge31,quantile_score,"(31.035, 32.084]",168,113,31.037165814005625,32.08427032428611,31.373254766289566,31.22142857142857,27,0.6726190476190477,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[24.50,25.00)",3,0,24.88615404687137,24.9976773951755,24.951916807222876,24.8,1,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[25.00,25.50)",124,0,25.083074545162617,25.49703055815203,25.38463702980301,25.18951612903226,19,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[25.50,26.00)",465,0,25.50083940157739,25.99955587519359,25.7455944661959,25.810752688172045,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[26.00,26.50)",288,0,26.00082132595993,26.497583232429808,26.215886915366337,26.25173611111111,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[26.50,27.00)",85,0,26.5004783011664,26.999947350806178,26.708990061557056,26.709411764705884,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[27.00,27.50)",74,0,27.00478890569216,27.4991923022448,27.247981623514164,27.064864864864866,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[27.50,28.00)",52,0,27.51108284910946,27.982461943582184,27.690873290809137,27.525,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[28.00,28.50)",31,0,28.00725372984245,28.472635439370297,28.180922507897698,27.651612903225807,13,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[28.50,29.00)",87,0,28.501517011069545,28.998109097932204,28.776718941226612,28.985057471264366,26,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[29.00,29.50)",66,0,29.001940942432743,29.49549637961396,29.25394585972903,29.296969696969697,25,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[29.50,30.00)",51,0,29.50037307767284,29.990177703165635,29.729123650687306,29.48627450980392,23,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[30.00,30.50)",93,2,30.00169361483684,30.49958467327209,30.217519723461216,30.343010752688173,27,0.021505376344086023,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[30.50,31.00)",79,4,30.503355827415525,30.997290595484564,30.762521561812033,30.99746835443038,27,0.05063291139240506,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[31.00,31.50)",125,8,31.000451220549287,31.49909389897268,31.211929562202478,31.312,27,0.064,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[31.50,32.00)",45,1,31.51750977249676,31.96014482908168,31.667158726631058,31.028888888888886,21,0.022222222222222223,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,fixed_score_0p5,"[32.00,32.50)",6,0,32.01933348147377,32.08427032428611,32.05517315365414,31.599999999999998,6,0.0,loso_station_grouped_source_rows,mostly_monotonic
M4_inertia_ridge,ge33,quantile_score,"(24.884999999999998, 25.552]",168,0,24.88615404687137,25.55148673269691,25.411717542100103,25.276785714285715,19,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(25.552, 25.714]",167,0,25.55155978527449,25.714132534409845,25.6259413672359,25.591017964071856,26,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(25.714, 25.898]",167,0,25.71422151438248,25.89780699748974,25.8105197039625,25.937125748502993,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(25.898, 26.087]",168,0,25.898124111588047,26.08604405347342,25.990088028867934,26.126190476190477,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(26.087, 26.363]",167,0,26.088541342876976,26.36322473315415,26.243212841429553,26.240119760479043,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(26.363, 27.291]",167,0,26.36332666695377,27.26847762902675,26.730335760686902,26.771257485029942,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(27.291, 28.843]",168,0,27.296760666692755,28.84294450994888,28.014423786544246,27.757142857142856,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(28.843, 30.031]",167,0,28.843340906287143,30.03077797131165,29.382798342047558,29.422754491017965,27,0.0,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(30.031, 31.035]",167,7,30.03236302125333,31.03133513518489,30.529205561517774,30.75389221556886,27,0.041916167664670656,loso_station_grouped_source_rows,monotonic
M4_inertia_ridge,ge33,quantile_score,"(31.035, 32.084]",168,8,31.037165814005625,32.08427032428611,31.373254766289566,31.22142857142857,27,0.047619047619047616,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[24.50,25.00)",2,0,24.758284596637623,24.80577356944061,24.782029083039117,24.85,1,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[25.00,25.50)",193,0,25.00301560237854,25.495235340946746,25.340881262774886,25.410362694300517,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[25.50,26.00)",366,0,25.50192831955892,25.99848675639951,25.73215254718017,25.84262295081967,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[26.00,26.50)",222,0,26.00008234836296,26.49843575203206,26.26469348021037,26.129279279279277,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[26.50,27.00)",163,0,26.50020866071144,26.98340609718868,26.70293394757679,26.39877300613497,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[27.00,27.50)",83,0,27.01915529925521,27.494129403971925,27.313789108905613,27.056626506024095,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[27.50,28.00)",54,0,27.500187776301736,27.9791252395544,27.688692338339962,27.46851851851852,22,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[28.00,28.50)",71,2,28.04590248829017,28.49838677791554,28.29334275633877,28.095774647887325,27,0.028169014084507043,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[28.50,29.00)",83,4,28.50793804320206,28.999076583746334,28.824759456913053,29.19277108433735,27,0.04819277108433735,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[29.00,29.50)",82,20,29.00084351153356,29.49176698267246,29.195329147669355,29.758536585365853,27,0.24390243902439024,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[29.50,30.00)",60,5,29.50018325358777,29.99454902668696,29.77517771424005,29.756666666666668,26,0.08333333333333333,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[30.00,30.50)",74,31,30.00572002857601,30.49629895560504,30.316419673118414,30.737837837837837,27,0.4189189189189189,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[30.50,31.00)",59,25,30.503087065592865,30.989149253520825,30.737021467122062,30.764406779661016,27,0.423728813559322,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[31.00,31.50)",70,52,31.013598550127288,31.48897416675223,31.276544439693883,31.442857142857143,27,0.7428571428571429,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[31.50,32.00)",77,55,31.51305016757372,31.978909924578936,31.69822364390181,31.285714285714285,26,0.7142857142857143,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,fixed_score_0p5,"[32.00,32.50)",15,10,32.01007078160381,32.27370570194748,32.08816254360872,30.90666666666667,14,0.6666666666666666,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(24.756999999999998, 25.445]",168,0,24.758284596637623,25.445256306921053,25.313371643844384,25.38154761904762,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(25.445, 25.685]",167,0,25.445256471658816,25.68409322013309,25.56516848517831,25.643712574850298,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(25.685, 25.901]",167,0,25.685091508241765,25.899004108167887,25.785194548448672,25.950898203592814,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(25.901, 26.257]",168,0,25.901012654788754,26.25511442291449,26.069627257144276,26.067261904761907,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(26.257, 26.62]",167,0,26.266119740113744,26.617286850734143,26.437701946555762,26.176646706586826,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(26.62, 27.434]",167,0,26.622470632742694,27.430002981941445,26.940469469556316,26.611377245508983,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(27.434, 28.627]",168,2,27.43443236636621,28.62694805511437,28.005840311518963,27.83809523809524,27,0.011904761904761904,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(28.627, 29.672]",167,25,28.62997836460859,29.671329447707446,29.125160295477922,29.60059880239521,27,0.1497005988023952,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(29.672, 30.896]",167,58,29.67262400240029,30.89431543865244,30.3358013728085,30.542514970059884,27,0.3473053892215569,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge31,quantile_score,"(30.896, 32.274]",168,119,30.89688604597569,32.27370570194748,31.530228086788764,31.28392857142857,27,0.7083333333333334,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[24.50,25.00)",2,0,24.758284596637623,24.80577356944061,24.782029083039117,24.85,1,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[25.00,25.50)",193,0,25.00301560237854,25.495235340946746,25.340881262774886,25.410362694300517,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[25.50,26.00)",366,0,25.50192831955892,25.99848675639951,25.73215254718017,25.84262295081967,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[26.00,26.50)",222,0,26.00008234836296,26.49843575203206,26.26469348021037,26.129279279279277,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[26.50,27.00)",163,0,26.50020866071144,26.98340609718868,26.70293394757679,26.39877300613497,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[27.00,27.50)",83,0,27.01915529925521,27.494129403971925,27.313789108905613,27.056626506024095,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[27.50,28.00)",54,0,27.500187776301736,27.9791252395544,27.688692338339962,27.46851851851852,22,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[28.00,28.50)",71,0,28.04590248829017,28.49838677791554,28.29334275633877,28.095774647887325,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[28.50,29.00)",83,0,28.50793804320206,28.999076583746334,28.824759456913053,29.19277108433735,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[29.00,29.50)",82,0,29.00084351153356,29.49176698267246,29.195329147669355,29.758536585365853,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[29.50,30.00)",60,0,29.50018325358777,29.99454902668696,29.77517771424005,29.756666666666668,26,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[30.00,30.50)",74,5,30.00572002857601,30.49629895560504,30.316419673118414,30.737837837837837,27,0.06756756756756757,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[30.50,31.00)",59,0,30.503087065592865,30.989149253520825,30.737021467122062,30.764406779661016,27,0.0,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[31.00,31.50)",70,6,31.013598550127288,31.48897416675223,31.276544439693883,31.442857142857143,27,0.08571428571428572,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[31.50,32.00)",77,3,31.51305016757372,31.978909924578936,31.69822364390181,31.285714285714285,26,0.03896103896103896,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,fixed_score_0p5,"[32.00,32.50)",15,1,32.01007078160381,32.27370570194748,32.08816254360872,30.90666666666667,14,0.06666666666666667,loso_station_grouped_source_rows,mostly_monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(24.756999999999998, 25.445]",168,0,24.758284596637623,25.445256306921053,25.313371643844384,25.38154761904762,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(25.445, 25.685]",167,0,25.445256471658816,25.68409322013309,25.56516848517831,25.643712574850298,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(25.685, 25.901]",167,0,25.685091508241765,25.899004108167887,25.785194548448672,25.950898203592814,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(25.901, 26.257]",168,0,25.901012654788754,26.25511442291449,26.069627257144276,26.067261904761907,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(26.257, 26.62]",167,0,26.266119740113744,26.617286850734143,26.437701946555762,26.176646706586826,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(26.62, 27.434]",167,0,26.622470632742694,27.430002981941445,26.940469469556316,26.611377245508983,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(27.434, 28.627]",168,0,27.43443236636621,28.62694805511437,28.005840311518963,27.83809523809524,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(28.627, 29.672]",167,0,28.62997836460859,29.671329447707446,29.125160295477922,29.60059880239521,27,0.0,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(29.672, 30.896]",167,5,29.67262400240029,30.89431543865244,30.3358013728085,30.542514970059884,27,0.029940119760479042,loso_station_grouped_source_rows,monotonic
M7_compact_weather_ridge,ge33,quantile_score,"(30.896, 32.274]",168,10,30.89688604597569,32.27370570194748,31.530228086788764,31.28392857142857,27,0.05952380952380952,loso_station_grouped_source_rows,monotonic
