building_id,source_name,source_priority,source_building_id,area_m2,height_m_original,height_source_original,levels_original,building_type_original,confidence_original,raw_properties_json,candidate_id,geometry_source,is_ml_source,dedup_status,source_candidates,source_candidate_ids,n_source_candidates,best_iou,levels_promoted_from_source,levels_promoted_from_id,promoted_fields,type_promoted_from_source,type_promoted_from_id,height_promoted_from_source,height_promoted_from_id,lu_desc_v10,height_m,height_source,height_confidence,height_warning,intersects_v09_tile,v09_tile_types,v09_tile_ids,qa_category,qa_target_type,qa_priority_score,review_status,manual_decision,manual_height_m,manual_notes,centroid_x_svy21,centroid_y_svy21
v10_bldg_000781,osm,3,osm_169537918,2570.459130498869,,height,,industrial,,"{ ""osm_id"": ""169537918"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""7\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2570.459130498869"" }",cand_osm_000402,osm,False,accepted_new,osm,osm_169537918,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.57,todo,,,,31021.24533254837,35394.34447262437
v10_bldg_000794,osm,3,osm_260696406,2378.959159941649,,height,5.0,yes,,"{ ""osm_id"": ""260696406"", ""source_name"": ""osm"", ""building"": ""yes"", ""building_levels"": ""5"", ""raw_tags_json"": ""{ \""addr:housenumber\"": \""373\"", \""addr:street\"": \""Thomson Road\"", \""building\"": \""yes\"", \""building:levels\"": \""5\"" }"", ""area_m2"": ""2378.959159941649"" }",cand_osm_000741,osm,False,accepted_new,osm,osm_260696406,1,0.0,,,,,,,,UTILITY,15.0,osm_levels_x_3m:levels_original,medium_high,,True,open_paved_hotspot,T04_open_paved_hotspot,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.379,todo,,,,28882.505432045404,34312.53158924579
v10_bldg_000797,osm,3,osm_169537924,2341.494043422337,,height,,industrial,,"{ ""osm_id"": ""169537924"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""10\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2341.494043422337"" }",cand_osm_000408,osm,False,accepted_new,osm,osm_169537924,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.341,todo,,,,31110.17350038095,35440.77588965195
v10_bldg_000947,osm,3,osm_455063899,1215.690738453868,,height,,yes,,"{ ""osm_id"": ""455063899"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""building\"": \""yes\"" }"", ""area_m2"": ""1215.690738453868"" }",cand_osm_002535,osm,False,accepted_new,osm,osm_455063899,1,0.0,,,,,,,,RESERVE SITE,12.0,area_default:unknown_large,low,manual_review_large_unknown_height,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;large_low_confidence_building,building,14.216,todo,,,,31618.715044433575,35536.87740372232
v10_bldg_000813,osm,3,osm_169537921,2109.105163779638,,height,,industrial,,"{ ""osm_id"": ""169537921"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""5\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2109.105163779638"" }",cand_osm_000405,osm,False,accepted_new,osm,osm_169537921,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.109,todo,,,,31021.248428995576,35367.894981758516
v10_bldg_000815,osm,3,osm_169537920,2075.5458988710334,,height,,industrial,,"{ ""osm_id"": ""169537920"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""3\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""2075.5458988710334"" }",cand_osm_000404,osm,False,accepted_new,osm,osm_169537920,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.076,todo,,,,31021.483397955544,35327.615287993794
v10_bldg_000077,hdb3d,1,hdb3d_way/170403960,2020.5117427214368,12.5,height_m,3.0,parking,,"{ ""building_id"": ""way\/170403960"", ""height_m"": ""12.5"", ""osm_levels"": ""3.0"", ""hdb_max_floor"": ""4"", ""osm_building"": ""parking"", ""hdb_blk_no"": ""161A"", ""hdb_street"": ""LOR 1 TOA PAYOH"", ""year_completed"": ""1998"", ""ground_z"": ""0.0"", ""source"": ""hdb3d"", ""area_m2"": ""2020.5117427214368"" }",cand_hdb3d_000204,hdb3d,False,accepted_new,hdb3d;ura;osm,hdb3d_way/170403960;ura_673;osm_170403960,3,0.6257375511209587,osm,osm_170403960,levels:levels_original,,,,,RESIDENTIAL,12.5,height_m,high,,True,open_paved_hotspot,T04_open_paved_hotspot,critical_tile_building_review;transport_shelter_overhead_candidate,building,14.021,todo,,,,29296.428867314236,34709.106246229436
v10_bldg_000828,osm,3,osm_169537916,1943.7779507245348,,height,,industrial,,"{ ""osm_id"": ""169537916"", ""source_name"": ""osm"", ""building"": ""industrial"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:housenumber\"": \""8\"", \""addr:street\"": \""Toa Payoh Industrial Park\"", \""building\"": \""industrial\"", \""source\"": \""Kaart Ground Survey 2017\"" }"", ""area_m2"": ""1943.7779507245348"" }",cand_osm_000400,osm,False,accepted_new,osm,osm_169537916,1,0.0,,,,,,,,BUSINESS 1,10.0,lu_default:INDUSTRIAL,medium,,True,clean_shaded_reference,T05_clean_shaded_reference,critical_tile_building_review;transport_shelter_overhead_candidate,building,13.944,todo,,,,31126.826495442318,35394.27655937923
v10_bldg_000833,osm,3,osm_316961419,1908.6887896647227,,height,18.0,yes,,"{ ""osm_id"": ""316961419"", ""source_name"": ""osm"", ""building"": ""yes"", ""building_levels"": ""18"", ""raw_tags_json"": ""{ \""addr:city\"": \""Singapore\"", \""addr:country\"": \""SG\"", \""addr:housename\"": \""Leicester Suites\"", \""addr:housenumber\"": \""1\"", \""addr:street\"": \""Leicester Road\"", \""building\"": \""yes\"", \""building:levels\"": \""18\"", \""residential\"": \""condominium\"" }"", ""area_m2"": ""1908.6887896647227"" }",cand_osm_001144,osm,False,accepted_new,osm,osm_316961419,1,0.0,,,,,,,,RESIDENTIAL,54.0,osm_levels_x_3m:levels_original,medium_high,,True,clean_hazard_top,T01_clean_hazard_top,critical_tile_building_review;transport_shelter_overhead_candidate,building,13.909,todo,,,,31797.793542277457,34637.390019212464
v10_bldg_000700,osm,3,osm_293503144,8861.819675523577,,height,,yes,,"{ ""osm_id"": ""293503144"", ""source_name"": ""osm"", ""building"": ""yes"", ""raw_tags_json"": ""{ \""building\"": \""yes\"", \""source\"": \""Bing\"" }"", ""area_m2"": ""8861.819675523577"" }",cand_osm_001121,osm,False,accepted_new,osm,osm_293503144,1,0.0,,,,,,,,EDUCATIONAL INSTITUTION,12.0,lu_default:EDUCATIONAL,medium,,True,social_risk_top,T03_social_risk_top,critical_tile_building_review;very_large_default_height_building,building,13.862,todo,,,,30082.08307347993,35983.44374832622
