cell_id,old_dsm_area_m2,new_dsm_area_m2,osm_area_m2,osm_count_intersections,old_vs_osm_completeness,new_vs_osm_completeness,coverage_gain_vs_osm,new_minus_old_dsm_area_m2,hazard_rank_true_v08,risk_rank_v08_conditioned,risk_rank_v08_social_conditioned,hazard_score,max_utci_c,qa_category,qa_target_type,old_hazard_rank,qa_priority_score,review_status,manual_decision,manual_height_m,manual_notes,centroid_x_svy21,centroid_y_svy21
TP_0727,0.0,3692.0,3688.384171174829,2.0,0.0,1.0009803286906578,1.0009803286906578,3692.0,37,51,100,0.697932168222808,41.57237425764159,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,37,21.687,todo,,,,28850.00000000042,36749.99999999999
TP_0955,0.0,4388.0,4385.600447416934,19.0,0.0,1.0005471434554598,1.0005471434554598,4388.0,44,31,33,0.6929690333131605,41.73237809639331,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,44,21.602,todo,,,,31350.00000000048,37450.000000000065
TP_0923,0.0,2632.0,2639.3474314063724,24.0,0.0,0.9972161939277326,0.9972161939277326,2632.0,17,74,151,0.7132669931111668,41.85721198234496,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,17,21.556,todo,,,,31049.999999999724,37349.999999999905
TP_0315,0.0,2816.0,2814.5516090389738,3.0,0.0,1.000514608066299,1.000514608066299,2816.0,22,24,29,0.7092979724405435,41.82153264785001,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,22,21.434,todo,,,,31150.00000000008,35249.99999999983
TP_0527,0.0,6972.0,8361.180179023939,3.0,0.0,0.8338535769736147,0.8338535769736147,6972.0,42,11,12,0.6945770504848768,41.707443960790016,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,42,21.302,todo,,,,29150.000000000386,36049.99999999985
TP_0116,0.0,1756.0,1763.5685010119057,13.0,0.0,0.99570841676546,0.99570841676546,1756.0,2,13,27,0.7331545729845858,42.31462867817163,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,2,21.299,todo,,,,31549.99999999994,34549.99999999999
TP_0786,0.0,3924.0,3928.013645560845,4.0,0.0,0.9989781996899676,0.9989781996899676,3924.0,46,104,162,0.6885785711332593,41.45020136707172,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,46,21.245,todo,,,,28950.00000000028,36949.99999999991
TP_0042,0.0,2740.0,2740.584726413324,19.0,0.0,0.9997866417309824,0.9997866417309824,2740.0,23,35,65,0.7084148614847006,41.8625338100138,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,23,21.179,todo,,,,29950.000000000495,34350.00000000011
TP_0878,0.0,3968.0,3943.5312241793968,19.0,0.0,1.0062047881529568,1.0062047881529568,3968.0,50,85,141,0.6860451337393648,41.50706880677517,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,50,20.955,todo,,,,29449.999999999887,37250.000000000044
TP_0030,0.0,2800.0,2807.004832983517,15.0,0.0,0.997504516949452,0.997504516949452,2800.0,33,53,88,0.6999326886780332,41.2941310015264,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,33,20.293,todo,,,,28750.000000000688,34350.00000000011
TP_0850,0.0,3288.0,3291.619256247567,25.0,0.0,0.998900463277854,0.998900463277854,3288.0,45,47,90,0.6888874165032199,41.4850766245741,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,45,20.073,todo,,,,29550.00000000002,37149.99999999999
TP_0819,0.0,3172.0,3089.357426451864,27.0,0.0,1.0267507323175136,1.0267507323175136,3172.0,47,90,146,0.6867759455104174,41.659204495996434,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,47,19.724,todo,,,,29350.000000000862,37050.00000000009
TP_0787,0.0,2668.0,2688.7587771714225,13.0,0.0,0.992279420025451,0.992279420025451,2668.0,36,96,163,0.6987412945333553,41.546184077207336,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,36,19.713,todo,,,,29050.000000000284,36950.00000000001
TP_0954,0.0,3276.0,3270.889907814976,42.0,0.0,1.001562294155121,1.001562294155121,3276.0,49,38,34,0.6862766989958594,41.77787730290538,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,49,19.657,todo,,,,31250.000000000207,37449.99999999994
TP_0879,0.0,2688.0,2691.0183059526184,27.0,0.0,0.9988783777702508,0.9988783777702508,2688.0,43,60,113,0.693324270137611,41.31153490990852,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,43,19.073,todo,,,,29549.999999999924,37249.99999999992
TP_0011,504.0,3316.0,3613.330113831993,8.0,0.1394835191145876,0.9177129948094696,0.7782294756948819,2812.0,41,44,64,0.6947913640703177,40.84960368555237,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,41,18.859,todo,,,,29750.000000000284,34249.99999999991
TP_0089,0.0,352.0,349.75190414346383,1.0,0.0,1.0064276872546032,1.0064276872546032,352.0,6,21,41,0.7237155569558886,41.7251390253774,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,6,18.123,todo,,,,28850.00000000007,34550.000000000095
TP_0060,0.0,28.0,27.42772939486441,1.0,0.0,1.0208646730065354,1.0208646730065354,28.0,5,19,40,0.729530918584117,42.18569110159537,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,5,17.619,todo,,,,28850.00000000012,34449.99999999993
TP_0003,564.0,1564.0,1572.697725037753,6.0,0.3586194543433075,0.9944695506966896,0.6358500963533822,1000.0,16,29,59,0.7145702205039032,41.68238719101562,old_top_hazard_cell;high_coverage_gain,cell,16,17.308,todo,,,,28950.00000000075,34249.99999999983
TP_0366,0.0,484.0,483.9810494612402,3.0,0.0,1.0000391555387982,1.0000391555387982,484.0,40,2,4,0.6966924134389568,41.32054196247029,old_top_hazard_cell;low_old_completeness;high_coverage_gain,cell,40,14.968,todo,,,,30449.999999999978,35450.00000000007
TP_0575,0.0,0.0,0.0467231428323427,1.0,0.0,0.0,0.0,0.0,20,84,155,0.7113938494899958,41.0207804077669,old_top_hazard_cell;low_old_completeness,cell,20,13.0,todo,,,,31049.999999999996,36149.999999999876
TP_0743,3316.0,2120.0,1978.139105744887,3.0,1.6763229594772753,1.071714316674253,-0.604608642803022,-1196.0,529,529,529,0.3573286854629109,35.9039722731664,negative_gain_cell,cell,529,9.206,todo,,,,30450.00000000028,36749.999999999774
TP_0023,1556.0,1248.0,1531.8263824711146,3.0,1.015780912122619,0.8147137392860078,-0.2010671728366109,-308.0,786,786,786,0.1907399353722451,33.238906262869044,negative_gain_cell,cell,786,6.219,todo,,,,30950.0000000002,34250.00000000004
TP_0250,2664.0,2400.0,1958.9717493922249,4.0,1.3598970994995263,1.2251325220716456,-0.1347645774278809,-264.0,716,716,716,0.2380707002414737,33.693949956790846,negative_gain_cell,cell,716,5.932,todo,,,,30449.999999999898,35050.000000000065
TP_0052,2148.0,2004.0,2262.536128975399,5.0,0.9493771049626212,0.8857317124511604,-0.0636453925114607,-144.0,680,680,680,0.2659593029486368,34.008430890361794,negative_gain_cell,cell,680,5.479,todo,,,,30950.00000000011,34349.999999999796
TP_0279,1184.0,1080.0,1255.388738889258,3.0,0.9431341570321706,0.8602912918874529,-0.0828428651447177,-104.0,809,809,809,0.1737552644364836,32.754097414338936,negative_gain_cell,cell,809,5.457,todo,,,,30450.0000000004,35150.000000000146
