target,model,feature_set,split_family,MAE,RMSE,R2,bias,median_abs_error,p90_abs_error,spearman,pearson,improvement_over_featureless_MAE,n_folds,n_test_rows,is_candidate_model,is_best_non_featureless_by_mae,model_card_interpretation
delta_tmrt_p90_c,hist_gradient_boosting,physical_core,spatial_holdout,1.1088186332961767,1.9951607375532363,0.8441634124628472,-0.1315838713380657,0.5953429384015977,2.518137854136029,0.672442833433643,0.9231994688784976,1.738006326546696,4,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,ridge,physical_core,spatial_holdout,1.6461451921191217,2.55933624203945,0.729097576249576,0.035383440066321,0.9788587735754531,3.900953217500692,0.5648016468619327,0.8619034913831635,1.200679767723751,4,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,elasticnet,physical_core,spatial_holdout,1.8153094991034595,3.0083805444528204,0.6465003886399132,0.0769340078861729,1.0982125026342484,4.193786939020711,0.5206907518873604,0.8339198735364582,1.0315154607394137,4,1500,False,False,primary_delta_tmrt_evidence
delta_tmrt_p90_c,featureless_mean,physical_core,spatial_holdout,2.846824959842873,5.151002051420917,-0.0418704413964988,-0.0053719983633852,1.876700582236544,5.067042195803525,,,0.0,4,1500,False,False,primary_delta_tmrt_evidence
tmrt_p90_c,random_forest,physical_core,cell_grouped_holdout,5.990039644570871,6.546902420739289,0.3299550232005135,-0.0318527207703394,5.709305364648637,10.081250804890711,0.3562982802697869,0.5567112546216664,1.3113574842548468,5,1500,False,True,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,extra_trees,physical_core,cell_grouped_holdout,5.994291849241643,6.533370612235463,0.3331758558780368,-0.0153203333079241,5.730697298413992,10.106920639818174,0.3749836003821722,0.5589079262451369,1.3071052795840747,5,1500,True,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,ridge,physical_core,cell_grouped_holdout,6.099000730656888,6.7926226283556925,0.2760453268536099,0.2580088104746693,5.673537569092332,10.546377060063069,0.2877480788204434,0.5190182452136269,1.2023963981688293,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,elasticnet,physical_core,cell_grouped_holdout,6.104151002233558,6.731926734170052,0.2881896980970641,0.1871165605228608,5.714175798471299,10.373294655914156,0.3129517836426537,0.5301169471577454,1.1972461265921597,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,hist_gradient_boosting,physical_core,cell_grouped_holdout,6.114576935046647,6.729683900906425,0.2887910945866534,-0.0932037308217582,5.7282288079592565,10.235739212311447,0.3651860100479657,0.5290144068294456,1.1868201937790708,5,1500,False,False,secondary_absolute_tmrt_diagnostic
tmrt_p90_c,featureless_mean,physical_core,cell_grouped_holdout,7.301397128825718,8.197188826186188,-0.0154014334297509,-1.3322676295501878e-16,7.167297393798829,10.595698341369673,,,0.0,5,1500,False,False,secondary_absolute_tmrt_diagnostic
