dataset,model,event_threshold_c,threshold_c,precision,recall,f1,tp,fp,fn,tn,n_pos,n_pred_pos
hourly_max,M3_weather_ridge,31.0,30.25,0.6039603960396039,0.8970588235294118,0.7218934911242604,183,120,21,1350,204,303
hourly_max,M3_weather_ridge,31.0,30.3,0.6076388888888888,0.8578431372549019,0.7113821138211381,175,113,29,1357,204,288
hourly_max,M3_weather_ridge,31.0,30.35,0.6195652173913043,0.8382352941176471,0.7124999999999999,171,105,33,1365,204,276
hourly_max,M3_weather_ridge,31.0,30.4,0.6278195488721805,0.8186274509803921,0.7106382978723405,167,99,37,1371,204,266
hourly_max,M3_weather_ridge,31.0,30.45,0.6356589147286822,0.803921568627451,0.7099567099567099,164,94,40,1376,204,258
hourly_max,M3_weather_ridge,31.0,30.5,0.6392156862745098,0.7990196078431373,0.7102396514161219,163,92,41,1378,204,255
hourly_max,M3_weather_ridge,31.0,30.55,0.6504065040650406,0.7843137254901961,0.7111111111111111,160,86,44,1384,204,246
hourly_max,M3_weather_ridge,31.0,30.6,0.6638297872340425,0.7647058823529411,0.7107061503416855,156,79,48,1391,204,235
hourly_max,M3_weather_ridge,31.0,30.65,0.6830357142857143,0.75,0.7149532710280373,153,71,51,1399,204,224
hourly_max,M3_weather_ridge,31.0,30.7,0.6912442396313364,0.7352941176470589,0.7125890736342043,150,67,54,1403,204,217
hourly_max,M3_weather_ridge,31.0,30.75,0.6952380952380952,0.7156862745098039,0.7053140096618358,146,64,58,1406,204,210
hourly_max,M3_weather_ridge,31.0,30.8,0.6956521739130435,0.7058823529411765,0.7007299270072992,144,63,60,1407,204,207
hourly_max,M3_weather_ridge,31.0,30.85,0.689119170984456,0.6519607843137255,0.6700251889168766,133,60,71,1410,204,193
hourly_max,M3_weather_ridge,31.0,30.9,0.6850828729281768,0.6078431372549019,0.6441558441558441,124,57,80,1413,204,181
hourly_max,M3_weather_ridge,31.0,30.95,0.6783625730994152,0.5686274509803921,0.6186666666666666,116,55,88,1415,204,171
hourly_max,M3_weather_ridge,31.0,31.0,0.6730769230769231,0.5147058823529411,0.5833333333333334,105,51,99,1419,204,156
hourly_max,M3_weather_ridge,31.0,31.05,0.6834532374100719,0.46568627450980393,0.5539358600583091,95,44,109,1426,204,139
hourly_max,M3_weather_ridge,31.0,31.1,0.6910569105691057,0.4166666666666667,0.5198776758409785,85,38,119,1432,204,123
hourly_max,M3_weather_ridge,31.0,31.15,0.6923076923076923,0.35294117647058826,0.4675324675324675,72,32,132,1438,204,104
hourly_max,M3_weather_ridge,31.0,31.2,0.7011494252873564,0.29901960784313725,0.41924398625429554,61,26,143,1444,204,87
hourly_max,M3_weather_ridge,31.0,31.25,0.6911764705882353,0.23039215686274508,0.34558823529411764,47,21,157,1449,204,68
hourly_max,M3_weather_ridge,31.0,31.3,0.6724137931034483,0.19117647058823528,0.2977099236641221,39,19,165,1451,204,58
hourly_max,M3_weather_ridge,31.0,31.35,0.6730769230769231,0.1715686274509804,0.2734375,35,17,169,1453,204,52
hourly_max,M3_weather_ridge,31.0,31.4,0.7317073170731707,0.14705882352941177,0.24489795918367346,30,11,174,1459,204,41
hourly_max,M3_weather_ridge,31.0,31.45,0.7714285714285715,0.1323529411764706,0.2259414225941423,27,8,177,1462,204,35
