artifact_id,group,relative_path,found,source_root_id,source_path,byte_size,modified_utc,readable,missing_reason
systema_l1h8_formal_snapshot_waiting_register,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_formal_snapshot_waiting_register.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_formal_snapshot_waiting_register.csv,2375,2026-05-27T18:28:52.576773+00:00,yes,
systema_l1h8_allowed_forbidden_claims,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_allowed_forbidden_claims.csv,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_allowed_forbidden_claims.csv,1881,2026-05-27T18:28:52.578776+00:00,yes,
systema_l1h8_future_reactivation_checklist,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_future_reactivation_checklist.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_future_reactivation_checklist.md,1627,2026-05-27T18:28:52.578776+00:00,yes,
systema_l1h8_codex_reentry_prompt,System A,outputs/v11_systema_l1_high_tail/systema_development_dossier/a_l1h8_codex_reentry_prompt.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\systema_development_dossier\a_l1h8_codex_reentry_prompt.md,2147,2026-05-27T18:28:52.578776+00:00,yes,
systema_l1h4_status,System A,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/A_L1H4_STATUS.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\prob_exceedance_suite\A_L1H4_STATUS.md,3619,2026-05-27T15:13:20.961191+00:00,yes,
systema_l1h4_report,System A,outputs/v11_systema_l1_high_tail/prob_exceedance_suite/l1h4_report.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\prob_exceedance_suite\l1h4_report.md,19474,2026-05-27T15:13:20.921361+00:00,yes,
systema_l1h5_status,System A,outputs/v11_systema_l1_high_tail/model_card_output_contract/A_L1H5_STATUS.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\model_card_output_contract\A_L1H5_STATUS.md,2665,2026-05-27T15:44:43.045451+00:00,yes,
systema_l1h5_model_card,System A,outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_systema_model_card.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\model_card_output_contract\a_l1h5_systema_model_card.md,3759,2026-05-27T15:44:43.007923+00:00,yes,
systema_l1h5_output_contract,System A,outputs/v11_systema_l1_high_tail/model_card_output_contract/a_l1h5_hourly_output_contract_v1.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\model_card_output_contract\a_l1h5_hourly_output_contract_v1.md,7067,2026-05-27T15:44:43.008922+00:00,yes,
systema_l1h6_status,System A,outputs/v11_systema_l1_high_tail/prospective_eval_harness/A_L1H6_STATUS.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\prospective_eval_harness\A_L1H6_STATUS.md,2290,2026-05-27T16:21:42.155806+00:00,yes,
systema_l1h7_status,System A,outputs/v11_systema_l1_high_tail/formal_snapshot_freezer/A_L1H7_STATUS.md,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l1_high_tail\formal_snapshot_freezer\A_L1H7_STATUS.md,3038,2026-05-27T17:12:15.774717+00:00,yes,
systema_l2_residual_dir,System A,outputs/v11_systema_l2_residual,yes,sibling_al1h,C:\Users\CloudStar\Documents\GitHub\Urban-Analytics-Portfolio\06-openheat_grid_al1h\06-openheat_grid\outputs\v11_systema_l2_residual,4096,2026-05-27T03:54:05.523324+00:00,directory,
systemb_architecture_discussion,System B,docs/v12/OpenHeat_SystemB_architecture_discussion_record_CN.md,no,,,,,no,not_found_in_configured_roots
