column_name,role,feature_family,non_null_count,missing_fraction,include_in_any_b87f2_feature_set,drop_reason
in_n24_completed,feature,other_patch,3000,0.0,yes,
typology_label,feature,other_patch,3000,0.0,yes,
primary_role,metadata_or_forbidden,other_patch,1740,0.42,no,diagnostic_only_metadata
secondary_roles,metadata_or_forbidden,other_patch,1710,0.43,no,diagnostic_only_metadata
source_feature_completeness,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
sampling_feature_completeness,feature,other_patch,3000,0.0,no,constant_or_empty
centroid_x,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_x
centroid_y,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_y
svf_or_open_sky,feature,tree_building_patch,3000,0.0,yes,
shade_fraction,feature,other_patch,3000,0.0,yes,
building_density,feature,tree_building_patch,3000,0.0,yes,
building_height_or_canyon_proxy,feature,tree_building_patch,3000,0.0,yes,
road_or_hardscape_fraction,feature,other_patch,3000,0.0,yes,
tree_or_gvi_fraction,feature,tree_building_patch,3000,0.0,yes,
grass_fraction,feature,other_patch,3000,0.0,yes,
water_edge_or_water_fraction,feature,water_edge_patch,3000,0.0,yes,
overhead_fraction,feature,pedestrian_overhead_patch,3000,0.0,yes,
impervious_or_built_fraction,feature,other_patch,3000,0.0,yes,
centroid_x_normalized,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_x
centroid_y_normalized,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_y
svf_or_open_sky_missing,feature,tree_building_patch,3000,0.0,no,constant_or_empty
shade_fraction_missing,feature,other_patch,3000,0.0,no,constant_or_empty
building_density_missing,feature,tree_building_patch,3000,0.0,no,constant_or_empty
building_height_or_canyon_proxy_missing,feature,tree_building_patch,3000,0.0,no,constant_or_empty
road_or_hardscape_fraction_missing,feature,other_patch,3000,0.0,no,constant_or_empty
tree_or_gvi_fraction_missing,feature,tree_building_patch,3000,0.0,no,constant_or_empty
grass_fraction_missing,feature,other_patch,3000,0.0,no,constant_or_empty
water_edge_or_water_fraction_missing,feature,water_edge_patch,3000,0.0,no,constant_or_empty
overhead_fraction_missing,feature,pedestrian_overhead_patch,3000,0.0,no,constant_or_empty
impervious_or_built_fraction_missing,feature,other_patch,3000,0.0,no,constant_or_empty
centroid_x_normalized_missing,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_x
centroid_y_normalized_missing,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_y
svf_or_open_sky_q01,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_q01,feature,other_patch,3000,0.0,yes,
building_density_q01,feature,tree_building_patch,3000,0.0,yes,
building_height_or_canyon_proxy_q01,feature,tree_building_patch,3000,0.0,yes,
road_or_hardscape_fraction_q01,feature,other_patch,3000,0.0,yes,
tree_or_gvi_fraction_q01,feature,tree_building_patch,3000,0.0,yes,
grass_fraction_q01,feature,other_patch,3000,0.0,yes,
water_edge_or_water_fraction_q01,feature,water_edge_patch,3000,0.0,yes,
overhead_fraction_q01,feature,pedestrian_overhead_patch,3000,0.0,yes,
impervious_or_built_fraction_q01,feature,other_patch,3000,0.0,yes,
centroid_x_normalized_q01,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_x
centroid_y_normalized_q01,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_y
lon,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:lon
lat,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:lat
geometry_available,feature,other_patch,3000,0.0,no,constant_or_empty
in_b2_2_replaced_out,feature,other_patch,3000,0.0,no,constant_or_empty
human_qa_exclusion_reason,feature,other_patch,0,1.0,no,constant_or_empty
existing_solweig_n24_label_available,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:solweig
candidate_source_files,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
svf,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_base_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_overhead_sens,feature,pedestrian_overhead_patch,3000,0.0,yes,
mean_building_height,feature,tree_building_patch,3000,0.0,yes,
building_height_p90,feature,tree_building_patch,3000,0.0,yes,
open_pixel_fraction,feature,other_patch,3000,0.0,yes,
road_fraction,feature,other_patch,3000,0.0,yes,
tree_canopy_fraction,feature,tree_building_patch,3000,0.0,yes,
gvi_percent,feature,other_patch,3000,0.0,yes,
ndvi_mean,feature,other_patch,3000,0.0,yes,
water_fraction,feature,water_edge_patch,3000,0.0,yes,
built_up_fraction,feature,other_patch,3000,0.0,yes,
impervious_fraction,feature,other_patch,3000,0.0,yes,
overhead_fraction_total,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_fraction_elevated_road,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_fraction_elevated_rail,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_area_pedestrian_bridge_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_area_covered_walkway_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
n_overhead_features,feature,pedestrian_overhead_patch,3000,0.0,yes,
pedestrian_shelter_fraction,feature,pedestrian_overhead_patch,3000,0.0,yes,
transport_deck_fraction,feature,other_patch,3000,0.0,yes,
distance_to_water,feature,water_edge_patch,3000,0.0,yes,
distance_to_park,feature,water_edge_patch,3000,0.0,yes,
distance_to_road,feature,other_patch,0,1.0,no,constant_or_empty
selection_tier,feature,other_patch,240,0.92,yes,
evidence_summary,feature,other_patch,240,0.92,yes,
overhead_confounding_flag,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_interpretation,feature,pedestrian_overhead_patch,3000,0.0,yes,
candidate_id,feature,other_patch,90,0.97,yes,
role,feature,other_patch,90,0.97,yes,
required,feature,other_patch,90,0.97,yes,
selection_status,metadata_or_forbidden,other_patch,90,0.97,no,forbidden_token:status
expected_direction,feature,other_patch,90,0.97,yes,
park_distance_m,feature,water_edge_patch,3000,0.0,yes,
elderly_proxy,feature,other_patch,3000,0.0,yes,
outdoor_exposure_proxy,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:exposure
land_use_hint,feature,other_patch,3000,0.0,yes,
centroid_x_svy21,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_x
centroid_y_svy21,metadata_or_forbidden,other_patch,3000,0.0,no,coordinate_token:centroid_y
cell_area_m2,feature,other_patch,3000,0.0,no,constant_or_empty
land_use_raw,feature,other_patch,3000,0.0,yes,
land_use_fraction,feature,other_patch,3000,0.0,yes,
gpr_area_weighted,feature,other_patch,3000,0.0,yes,
nearest_park_name,feature,water_edge_patch,3000,0.0,yes,
large_park_distance_m,feature,water_edge_patch,3000,0.0,yes,
nearest_large_park_name,feature,water_edge_patch,3000,0.0,yes,
water_distance_m,feature,water_edge_patch,3000,0.0,yes,
nearest_water_name,feature,water_edge_patch,210,0.93,yes,
max_building_height_m,feature,tree_building_patch,3000,0.0,yes,
elderly_proxy_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
outdoor_exposure_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:exposure
forecast_spatial_note,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:note
mean_building_height_m,feature,tree_building_patch,3000,0.0,yes,
dynamic_world_tree_fraction,feature,tree_building_patch,3000,0.0,yes,
dynamic_world_grass_fraction,feature,other_patch,3000,0.0,yes,
dynamic_world_water_fraction,feature,water_edge_patch,3000,0.0,yes,
dynamic_world_built_up_fraction,feature,other_patch,3000,0.0,yes,
ndvi_norm_for_greenery_proxy,feature,other_patch,3000,0.0,yes,
greenery_fraction_beta,feature,other_patch,3000,0.0,yes,
gvi_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
height_source,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
tree_canopy_source,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
ndvi_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
svf_source,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
shade_fraction_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
impervious_source,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
impervious_fraction_old_beta,feature,other_patch,3000,0.0,yes,
impervious_fraction_vector_component,feature,other_patch,3000,0.0,yes,
impervious_fraction_dw_component,feature,other_patch,3000,0.0,yes,
impervious_fraction_green_component,feature,other_patch,3000,0.0,yes,
elderly_pct_65plus,feature,other_patch,3000,0.0,yes,
children_pct_under5,feature,other_patch,3000,0.0,yes,
subzone_area_weighted,feature,other_patch,3000,0.0,no,categorical_cardinality_gt_limit
dominant_subzone,feature,other_patch,3000,0.0,yes,
dominant_planning_area,feature,other_patch,3000,0.0,yes,
demographic_vulnerability_raw,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:vulnerability
demographic_vulnerability_score,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:vulnerability
bus_stop_score_raw,feature,other_patch,3000,0.0,yes,
bus_stop_count,feature,other_patch,3000,0.0,yes,
mrt_exit_score_raw,feature,other_patch,3000,0.0,yes,
mrt_exit_count,feature,other_patch,3000,0.0,yes,
sport_facility_score_raw,feature,other_patch,3000,0.0,yes,
sport_facility_count,feature,other_patch,3000,0.0,yes,
hawker_centre_score_raw,feature,other_patch,3000,0.0,yes,
hawker_centre_count,feature,other_patch,3000,0.0,yes,
eldercare_score_raw,feature,other_patch,3000,0.0,yes,
eldercare_count,feature,other_patch,3000,0.0,yes,
preschool_score_raw,feature,other_patch,3000,0.0,yes,
preschool_count,feature,other_patch,3000,0.0,yes,
outdoor_exposure_raw,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:exposure
node_vulnerability_raw,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:vulnerability
outdoor_exposure_score_v071,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:exposure
node_vulnerability_score,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:vulnerability
vulnerability_score_v071,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:vulnerability
risk_exposure_note_v071,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:risk
svf_proxy_v07,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_proxy_v07,feature,other_patch,3000,0.0,yes,
building_pixel_fraction,feature,tree_building_patch,3000,0.0,yes,
n_total_pixels,feature,other_patch,3000,0.0,no,constant_or_empty
n_open_pixels,feature,other_patch,3000,0.0,yes,
svf_umep_mean_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
svf_umep_p10_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
svf_umep_p90_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_10_16_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_13_15_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_peak_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1000_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1100_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1200_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1300_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1400_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1500_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_1600_open_with_veg,feature,tree_building_patch,3000,0.0,yes,
svf_umep_mean_all_with_veg,feature,tree_building_patch,3000,0.0,yes,
dsm_mean_height_all,feature,tree_building_patch,3000,0.0,yes,
dsm_max_height,feature,tree_building_patch,3000,0.0,yes,
dsm_mean_height_buildings_only,feature,tree_building_patch,3000,0.0,yes,
umep_dsm_resolution_m,feature,other_patch,3000,0.0,no,constant_or_empty
umep_shadow_time_window,feature,other_patch,3000,0.0,no,constant_or_empty
veg_canopy_source,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
svf_umep_selected,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_selected,feature,other_patch,3000,0.0,yes,
svf_source_v08,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
shade_source_v08,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
umep_morphology_notes,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:note
delta_svf_v08_minus_proxy,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_shade_v08_minus_proxy,target,other_patch,3000,0.0,no,target_or_tmrt_component
n_total_pixels_v10,feature,other_patch,3000,0.0,yes,
n_building_pixels_v10,feature,tree_building_patch,3000,0.0,yes,
n_open_pixels_v10,feature,other_patch,3000,0.0,yes,
building_pixel_fraction_v10,feature,tree_building_patch,3000,0.0,yes,
open_pixel_fraction_v10,feature,other_patch,3000,0.0,yes,
building_area_m2_v10,feature,tree_building_patch,3000,0.0,yes,
dsm_building_height_mean_m_v10,feature,tree_building_patch,2660,0.11333333333333333,yes,
dsm_building_height_p50_m_v10,feature,tree_building_patch,2660,0.11333333333333333,yes,
dsm_building_height_p90_m_v10,feature,tree_building_patch,2660,0.11333333333333333,yes,
dsm_building_height_max_m_v10,feature,tree_building_patch,2660,0.11333333333333333,yes,
svf_umep_mean_open_v10,feature,tree_building_patch,2990,0.0033333333333333335,yes,
svf_umep_p10_open_v10,feature,tree_building_patch,2990,0.0033333333333333335,yes,
svf_umep_p90_open_v10,feature,tree_building_patch,2990,0.0033333333333333335,yes,
svf_umep_mean_all_v10,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_umep_0800_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_0900_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1000_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1100_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1200_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1300_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1400_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1500_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1600_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1700_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1800_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_1900_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_10_16_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_13_15_open_v10,feature,other_patch,3000,0.0,yes,
shade_fraction_umep_peak_open_v10,feature,other_patch,3000,0.0,yes,
umep_morphology_version,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:version
umep_includes_vegetation,feature,tree_building_patch,3000,0.0,no,constant_or_empty
veg_transmissivity_pct,feature,tree_building_patch,3000,0.0,no,constant_or_empty
veg_trunk_zone_pct,feature,tree_building_patch,3000,0.0,no,constant_or_empty
umep_shadow_date,feature,other_patch,3000,0.0,no,constant_or_empty
shade_interpretation,feature,other_patch,3000,0.0,no,constant_or_empty
svf_v08_umep_veg,feature,tree_building_patch,3000,0.0,yes,
shade_fraction_v08_umep_veg,feature,tree_building_patch,3000,0.0,yes,
v10_building_density,feature,tree_building_patch,3000,0.0,yes,
v10_building_area_m2,feature,tree_building_patch,3000,0.0,yes,
v10_open_pixel_fraction,feature,other_patch,3000,0.0,yes,
v10_building_height_mean_m,feature,tree_building_patch,3000,0.0,yes,
v10_building_height_max_m,feature,tree_building_patch,3000,0.0,yes,
v10_building_height_p50_m,feature,tree_building_patch,3000,0.0,yes,
v10_building_height_p90_m,feature,tree_building_patch,3000,0.0,yes,
building_density_v08,feature,tree_building_patch,3000,0.0,yes,
mean_building_height_m_v08,feature,tree_building_patch,3000,0.0,yes,
max_building_height_m_v08,feature,tree_building_patch,3000,0.0,yes,
svf_source_v10,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
shade_source_v10,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:source
building_source_v10,metadata_or_forbidden,tree_building_patch,3000,0.0,no,forbidden_token:source
delta_svf_v10_minus_v08,target,tree_building_patch,2990,0.0033333333333333335,no,target_or_tmrt_component
delta_shade_v10_minus_v08,target,other_patch,3000,0.0,no,target_or_tmrt_component
overhead_area_total_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_weighted_shade_area_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
n_covered_walkway,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_area_elevated_rail_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
n_elevated_rail,feature,other_patch,3000,0.0,yes,
overhead_area_elevated_road_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
n_elevated_road,feature,other_patch,3000,0.0,yes,
n_pedestrian_bridge,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_area_viaduct_m2,feature,pedestrian_overhead_patch,3000,0.0,yes,
n_viaduct,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_shade_proxy,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_fraction_covered_walkway,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_fraction_pedestrian_bridge,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_fraction_viaduct,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_shade_proxy_cell_scope,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_shade_proxy_open_scope,feature,pedestrian_overhead_patch,3000,0.0,yes,
overhead_shade_scope_method,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:method
delta_shade_overhead_sens_minus_base,target,pedestrian_overhead_patch,3000,0.0,no,target_or_tmrt_component
shade_fraction_without_overhead_sens,feature,pedestrian_overhead_patch,3000,0.0,yes,
shade_fraction_source_v10_delta,metadata_or_forbidden,other_patch,3000,0.0,no,forbidden_token:delta
overhead_sensitivity_note,metadata_or_forbidden,pedestrian_overhead_patch,3000,0.0,no,forbidden_token:note
old_valid_pixel_count,feature,other_patch,3000,0.0,no,constant_or_empty
old_building_pixel_count,feature,tree_building_patch,3000,0.0,yes,
old_building_area_m2,feature,tree_building_patch,3000,0.0,yes,
old_building_density,feature,tree_building_patch,3000,0.0,yes,
old_open_pixel_fraction,feature,other_patch,3000,0.0,yes,
old_dsm_mean_all_m,feature,other_patch,3000,0.0,yes,
old_dsm_max_all_m,feature,other_patch,3000,0.0,yes,
old_building_height_mean_m,feature,tree_building_patch,3000,0.0,yes,
old_building_height_max_m,feature,tree_building_patch,3000,0.0,yes,
old_building_height_p50_m,feature,tree_building_patch,3000,0.0,yes,
old_building_height_p90_m,feature,tree_building_patch,3000,0.0,yes,
v10_valid_pixel_count,feature,other_patch,3000,0.0,no,constant_or_empty
v10_building_pixel_count,feature,tree_building_patch,3000,0.0,yes,
v10_dsm_mean_all_m,feature,other_patch,3000,0.0,yes,
v10_dsm_max_all_m,feature,other_patch,3000,0.0,yes,
delta_building_area_m2,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_building_density,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_open_pixel_fraction,target,other_patch,3000,0.0,no,target_or_tmrt_component
delta_building_height_mean_m,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_building_height_max_m,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_building_height_p50_m,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
delta_building_height_p90_m,target,tree_building_patch,3000,0.0,no,target_or_tmrt_component
typology_label_n24,feature,other_patch,240,0.92,yes,
exclusion_reason,feature,other_patch,0,1.0,no,constant_or_empty
eligible,feature,other_patch,3000,0.0,no,constant_or_empty
selected_priority_rank,metadata_or_forbidden,other_patch,1500,0.5,no,forbidden_token:rank
rationale,feature,other_patch,1500,0.5,no,categorical_cardinality_gt_limit
spatial_bin,metadata_or_forbidden,other_patch,1500,0.5,no,diagnostic_only_metadata
typology,feature,other_patch,1500,0.5,yes,
nearest_anchor_cell,feature,other_patch,1500,0.5,yes,
nearest_neutral_cell,feature,other_patch,1500,0.5,yes,
nearest_n150_distance,feature,other_patch,1500,0.5,yes,
nearest_n150_distance_percentile,feature,other_patch,1500,0.5,yes,
coverage_gap,feature,other_patch,1500,0.5,yes,
expected_learning_value,feature,other_patch,1500,0.5,yes,
sampling_boundary,feature,other_patch,1500,0.5,no,constant_or_empty
claim_boundary,feature,other_patch,1500,0.5,no,constant_or_empty
manual_qa_flags,feature,other_patch,1470,0.51,yes,
candidate_audit_status,metadata_or_forbidden,other_patch,1470,0.51,no,forbidden_token:status
candidate_status,metadata_or_forbidden,other_patch,1470,0.51,no,forbidden_token:status
qa_focus_flags,feature,other_patch,1500,0.5,yes,
auto_recommended_action,feature,other_patch,1500,0.5,yes,
patch_status,metadata_or_forbidden,other_patch,1500,0.5,no,forbidden_token:status
patch_source,metadata_or_forbidden,other_patch,1500,0.5,no,forbidden_token:source
patch_rationale,feature,other_patch,1500,0.5,yes,
design_status,metadata_or_forbidden,other_patch,1500,0.5,no,diagnostic_only_metadata
replacement_for_cell_id,metadata_or_forbidden,other_patch,30,0.99,no,forbidden_token:cell_id
source_closeout_status,metadata_or_forbidden,other_patch,1500,0.5,no,diagnostic_only_metadata
source_closeout_caveat,metadata_or_forbidden,other_patch,50,0.9833333333333333,no,forbidden_token:source
execution_precheck_blocker,feature,other_patch,1500,0.5,no,constant_or_empty
surrogate_feature_blocker,feature,other_patch,1500,0.5,no,constant_or_empty
true_vector_required_before_execution,feature,other_patch,1500,0.5,no,constant_or_empty
true_vector_required_before_aoi_b9,feature,other_patch,1500,0.5,no,constant_or_empty
b86g3_design_status,metadata_or_forbidden,other_patch,1500,0.5,no,diagnostic_only_metadata
source_lane,metadata_or_forbidden,other_patch,1500,0.5,no,forbidden_token:source
