row_uid,validation_method,cv_scheme,fold,station_id,timestamp,date,hour_sgt,official_wbgt_c,wbgt_a_c,wbgt_a_model_id,m4_score,m7_score,wbgt_proxy_v09_c,ge31,ge33,exceedance_ge31_c,exceedance_ge33_c,source_path,row_id,temperature_2m,relative_humidity_2m,wind_speed_10m,shortwave_radiation,shortwave_3h_mean,cloud_cover,precipitation,direct_radiation,diffuse_radiation,has_weather_match,weather_source_base,weather_source_relative_path,shortwave_bin,shortwave_3h_mean_bin,humidity_bin,wind_bin,temperature_bin,cloud_cover_bin,direct_radiation_bin,diffuse_radiation_bin,combined_radiation_hot_regime,hour_sin,hour_cos,radiation_hot_flag,shortwave_very_high_flag,shortwave_3h_very_high_flag
loso|S124|2026-05-07 12:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 12:00:00+08:00,2026-05-07,12,29.5,31.64437107263426,M4_inertia_ridge,31.64437107263426,31.79116869567485,27.402787283498864,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,10,29.8,74.0,7.6,759.0,477.4166666666667,100.0,0.1,490.0,269.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,very_high,very_high,mid,very_high,very_high,radiation_hot,1.2246467991473532e-16,-1.0,True,True,True
loso|S124|2026-05-07 13:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 13:00:00+08:00,2026-05-07,13,30.4,31.617096539751103,M4_inertia_ridge,31.617096539751103,31.667359481178742,27.327544722962617,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,11,29.4,77.0,7.9,745.0,634.0833333333334,100.0,0.2,430.0,315.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,very_high,very_high,mid,very_high,very_high,radiation_hot,-0.2588190451025208,-0.9659258262890683,True,True,True
loso|S124|2026-05-07 14:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 14:00:00+08:00,2026-05-07,14,29.8,31.226958852259536,M4_inertia_ridge,31.226958852259536,31.117446641377363,27.61828174772976,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,12,29.9,75.0,5.4,676.0,711.1666666666666,100.0,0.1,332.0,344.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,high,very_high,mid,very_high,very_high,radiation_hot,-0.4999999999999997,-0.8660254037844388,True,True,True
loso|S124|2026-05-07 15:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 15:00:00+08:00,2026-05-07,15,30.4,30.715242703400413,M4_inertia_ridge,30.715242703400413,30.361430686610248,26.89754625978612,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,13,28.8,79.0,8.0,564.0,686.0416666666666,100.0,0.2,218.0,346.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,very_high,high,mid,very_high,very_high,radiation_hot,-0.7071067811865471,-0.7071067811865479,True,True,True
loso|S124|2026-05-07 16:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 16:00:00+08:00,2026-05-07,16,29.5,30.005677868277324,M4_inertia_ridge,30.005677868277324,29.22178004629811,26.744230040110484,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,14,28.8,78.0,6.9,378.0,585.2083333333334,100.0,0.0,81.0,297.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,very_high,high,mid,high,very_high,radiation_hot,-0.8660254037844385,-0.5000000000000004,True,True,True
loso|S124|2026-05-07 17:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 17:00:00+08:00,2026-05-07,17,27.5,29.31441370086888,M4_inertia_ridge,29.31441370086888,29.15620338890859,26.759074707289464,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,15,28.9,77.0,5.4,395.0,480.7916666666666,100.0,0.0,173.0,222.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,low,high,very_high,mid,very_high,very_high,radiation_hot,-0.9659258262890683,-0.25881904510252063,True,True,True
loso|S124|2026-05-07 18:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 18:00:00+08:00,2026-05-07,18,27.0,28.02656345376732,M4_inertia_ridge,28.02656345376732,28.17303842521437,26.81303162271264,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,16,29.0,77.0,3.8,239.0,377.9583333333333,100.0,0.0,125.0,114.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,very_high,low,mid,very_high,mid,high,high,radiation_hot,-1.0,-1.8369701987210297e-16,True,False,True
loso|S124|2026-05-07 19:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 19:00:00+08:00,2026-05-07,19,26.6,27.53723328254677,M4_inertia_ridge,27.53723328254677,27.14034776659848,26.66956893859292,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,17,28.5,81.0,2.6,64.0,271.91666666666663,100.0,0.0,22.0,42.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,low,high,mid,high,high,radiation_hot,-0.9659258262890684,0.2588190451025203,True,False,False
loso|S124|2026-05-07 20:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 20:00:00+08:00,2026-05-07,20,26.5,26.374876704955486,M4_inertia_ridge,26.374876704955486,26.6907623466503,26.26332078465652,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,18,27.3,89.0,2.2,0.0,150.375,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,high,mid,low,high,mid,low,low,radiation_hot,-0.8660254037844386,0.5000000000000001,True,False,False
loso|S124|2026-05-07 21:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 21:00:00+08:00,2026-05-07,21,26.6,26.62053554910657,M4_inertia_ridge,26.62053554910657,26.901102059267537,26.658955098369585,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,19,27.600000000000005,90.0,4.2,0.0,61.16666666666666,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,high,mid,mid,high,mid,low,low,radiation_hot,-0.7071067811865477,0.7071067811865474,True,False,False
loso|S124|2026-05-07 22:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 22:00:00+08:00,2026-05-07,22,26.7,26.53191029846204,M4_inertia_ridge,26.53191029846204,26.676105177094747,26.658955098369585,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,20,27.6,90.0,4.3,0.0,13.333333333333332,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,mid,mid,mid,high,mid,low,low,hot_not_highradiation,-0.5000000000000004,0.8660254037844384,False,False,False
loso|S124|2026-05-07 23:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-07 23:00:00+08:00,2026-05-07,23,26.8,26.50554140381364,M4_inertia_ridge,26.50554140381364,26.334558972939448,26.75780581126943,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,21,27.5,92.0,1.5,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,high,mid,low,low,hot_not_highradiation,-0.25881904510252157,0.9659258262890681,False,False,False
loso|S124|2026-05-08 00:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-08 00:00:00+08:00,2026-05-08,0,26.7,26.27400429755073,M4_inertia_ridge,26.27400429755073,26.09529485905394,26.65897607748411,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,22,27.5,91.0,1.4,0.0,0.0,99.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,low,high,mid,low,low,hot_not_highradiation,0.0,1.0,False,False,False
loso|S124|2026-05-08 01:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-08 01:00:00+08:00,2026-05-08,1,26.6,26.124719940666424,M4_inertia_ridge,26.124719940666424,25.86229384870288,26.461057496623013,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,23,27.4,90.0,1.8,0.0,0.0,99.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,low,high,mid,low,low,hot_not_highradiation,0.25881904510252074,0.9659258262890683,False,False,False
loso|S124|2026-05-08 02:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-08 02:00:00+08:00,2026-05-08,2,26.6,25.94440638741384,M4_inertia_ridge,25.94440638741384,25.64948545134732,26.16453689521468,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,24,27.2,89.0,1.8,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,low,mid,mid,low,low,other,0.49999999999999994,0.8660254037844387,False,False,False
loso|S124|2026-05-09 16:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 16:00:00+08:00,2026-05-09,16,28.9,29.84965558828849,M4_inertia_ridge,29.84965558828849,29.53766535255861,26.32312821546612,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,25,28.0,81.0,4.8,436.0,436.0,96.0,1.2,179.0,257.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,very_high,very_high,mid,high,high,low,very_high,very_high,radiation_hot,-0.8660254037844385,-0.5000000000000004,True,True,True
loso|S124|2026-05-09 17:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 17:00:00+08:00,2026-05-09,17,28.8,29.205807892485737,M4_inertia_ridge,29.205807892485737,28.880493911697368,26.28378121092629,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,26,27.8,81.0,0.2,246.0,306.9583333333333,76.0,0.0,102.0,144.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,low,high,low,high,very_high,radiation_hot,-0.9659258262890683,-0.25881904510252063,True,False,False
loso|S124|2026-05-09 18:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 18:00:00+08:00,2026-05-09,18,28.0,28.166002186645763,M4_inertia_ridge,28.166002186645763,28.512424603148908,26.394690847533504,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,27,28.1,81.0,2.3,264.0,277.640873015873,59.0,0.1,169.0,95.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,low,high,low,very_high,high,radiation_hot,-1.0,-1.8369701987210297e-16,True,False,False
loso|S124|2026-05-09 19:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 19:00:00+08:00,2026-05-09,19,26.8,26.64869434310912,M4_inertia_ridge,26.64869434310912,27.339535685866927,26.302956614128263,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,28,27.6,86.0,2.6,79.0,229.342803030303,99.0,0.0,47.0,32.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,high,mid,low,high,mid,high,high,radiation_hot,-0.9659258262890684,0.2588190451025203,True,False,False
loso|S124|2026-05-09 20:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 20:00:00+08:00,2026-05-09,20,26.8,26.477324877458628,M4_inertia_ridge,26.477324877458628,26.90849325228,27.02499915991203,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,29,28.9,81.0,3.9,0.0,145.08333333333334,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,high,mid,mid,very_high,mid,low,low,radiation_hot,-0.8660254037844386,0.5000000000000001,True,False,False
loso|S124|2026-05-09 21:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 21:00:00+08:00,2026-05-09,21,26.8,26.76744297140468,M4_inertia_ridge,26.76744297140468,26.90393775656013,26.948777240271266,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,30,28.3,86.0,4.5,0.0,59.33333333333333,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,high,mid,high,high,mid,low,low,radiation_hot,-0.7071067811865477,0.7071067811865474,True,False,False
loso|S124|2026-05-09 22:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 22:00:00+08:00,2026-05-09,22,26.6,26.635148734727345,M4_inertia_ridge,26.635148734727345,26.678984420933872,26.757240098842743,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,31,27.8,89.0,4.0,0.0,9.875,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,mid,mid,mid,high,mid,low,low,hot_not_highradiation,-0.5000000000000004,0.8660254037844384,False,False,False
loso|S124|2026-05-09 23:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-09 23:00:00+08:00,2026-05-09,23,26.4,26.332780118172632,M4_inertia_ridge,26.332780118172632,26.35397434530804,26.362108682784424,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,32,27.3,90.0,5.7,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,high,high,mid,low,low,hot_not_highradiation,-0.25881904510252157,0.9659258262890681,False,False,False
loso|S124|2026-05-10 00:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 00:00:00+08:00,2026-05-10,0,26.6,26.004261319451803,M4_inertia_ridge,26.004261319451803,25.746755203799765,26.16453689521468,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,33,27.2,89.0,1.3,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,low,mid,mid,low,low,other,0.0,1.0,False,False,False
loso|S124|2026-05-10 01:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 01:00:00+08:00,2026-05-10,1,26.7,25.979430551766164,M4_inertia_ridge,25.979430551766164,25.741059887410287,26.06430546005364,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,34,26.9,91.0,2.9,0.0,0.0,99.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,high,mid,mid,mid,low,low,other,0.25881904510252074,0.9659258262890683,False,False,False
loso|S124|2026-05-10 02:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 02:00:00+08:00,2026-05-10,2,26.1,25.78200769672651,M4_inertia_ridge,25.78200769672651,25.395252135610423,25.571833370398554,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,35,26.6,89.0,3.0,0.0,0.0,89.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,mid,mid,low,low,low,other,0.49999999999999994,0.8660254037844387,False,False,False
loso|S124|2026-05-10 03:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 03:00:00+08:00,2026-05-10,3,25.9,25.774027046244687,M4_inertia_ridge,25.774027046244687,25.63838538133388,25.67148861017884,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,36,26.9,87.0,5.9,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,high,mid,mid,low,low,other,0.7071067811865476,0.7071067811865476,False,False,False
loso|S124|2026-05-10 04:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 04:00:00+08:00,2026-05-10,4,26.2,25.71422151438248,M4_inertia_ridge,25.71422151438248,25.53324235618712,25.179796382403588,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,37,26.5,86.0,6.2,0.0,0.0,98.0,0.5,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,very_high,mid,mid,low,low,other,0.8660254037844386,0.5000000000000001,False,False,False
loso|S124|2026-05-10 05:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 05:00:00+08:00,2026-05-10,5,26.1,25.717896538041,M4_inertia_ridge,25.717896538041,25.64103345377036,24.976824368161665,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,38,25.9,90.0,3.4,0.0,0.0,96.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,mid,mid,low,low,low,other,0.9659258262890683,0.25881904510252074,False,False,False
loso|S124|2026-05-10 06:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 06:00:00+08:00,2026-05-10,6,26.3,25.82955019394064,M4_inertia_ridge,25.82955019394064,25.81912982736925,25.179248897933,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,39,26.4,87.0,0.7,0.0,0.0,98.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,low,mid,mid,low,low,other,1.0,6.123233995736766e-17,False,False,False
loso|S124|2026-05-10 07:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 07:00:00+08:00,2026-05-10,7,26.6,26.0170635721899,M4_inertia_ridge,26.0170635721899,26.089630471485005,25.081519576071084,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,40,26.4,86.0,0.6,0.0,0.0,100.0,0.0,0.0,0.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,low,low,mid,low,mid,mid,low,low,other,0.9659258262890683,-0.25881904510252063,False,False,False
loso|S124|2026-05-10 08:00:00+08:00,station_grouped_loso,loso,S124,S124,2026-05-10 08:00:00+08:00,2026-05-10,8,26.8,27.31861492263164,M4_inertia_ridge,27.31861492263164,27.543254395802585,25.914385712460746,False,False,0.0,0.0,outputs/v11_beta_calibration/hourly_max/v11_beta_oof_predictions.csv,41,26.7,91.0,1.5,71.0,14.791666666666668,98.0,0.0,35.0,36.0,True,orig,outputs/v11_beta_formal/diagnostics_inputs/v11_pairs_14d_formal_20260524_40419_v091_diag.csv,high,mid,high,low,mid,mid,high,high,highradiation_not_hot,0.8660254037844387,-0.4999999999999998,False,False,False
