probability_bin,n,event_count,mean_predicted_probability,p_min,p_max,station_count,observed_event_rate,calibration_gap,abs_calibration_gap,low_support,bin_kind,sensitivity_id,validation_method,event_target,companion_id,model_family,diagnostic_only
"[0.40,0.50)",40,14,0.4518645169274584,0.4001333951608857,0.4993875378716055,25,0.35,0.1018645169274584,0.1018645169274584,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.50,0.60)",62,40,0.5574044085616473,0.500724170189768,0.5999356888189025,27,0.6451612903225806,-0.08775688176093333,0.08775688176093333,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.60,0.70)",83,63,0.6455785130414396,0.600183042519804,0.6994527900149922,27,0.7590361445783133,-0.1134576315368736,0.1134576315368736,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.70,0.80)",50,30,0.7448504451582637,0.7011670258083005,0.798845591633593,21,0.6,0.14485044515826373,0.14485044515826373,False,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.80,0.90)",11,7,0.8382131405848672,0.8006488739893151,0.8908190110647705,8,0.6363636363636364,0.20184950422123082,0.20184950422123082,True,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.90,1.00)",8,8,0.9738095980437612,0.9452822722502572,0.9945091239609456,7,1.0,-0.026190401956238785,0.026190401956238785,True,fixed,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.00018000000000000004, 0.00306]",168,0,0.0026011771942752275,0.0011802321608791954,0.0030606186028076156,27,0.0,0.0026011771942752275,0.0026011771942752275,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.00306, 0.004]",167,0,0.00347706195750372,0.0030633160442899887,0.003999734512249444,27,0.0,0.00347706195750372,0.00347706195750372,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.004, 0.00486]",167,0,0.004442857396546232,0.0039998778381982805,0.004855694233058677,27,0.0,0.004442857396546232,0.004442857396546232,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.00486, 0.00551]",168,0,0.005144962675906576,0.004856065317126395,0.005500578110791788,27,0.0,0.005144962675906576,0.005144962675906576,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.00551, 0.00726]",167,0,0.006226783057881035,0.005531838531896655,0.0072568499246880745,27,0.0,0.006226783057881035,0.006226783057881035,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.00726, 0.0153]",167,0,0.009891031575781981,0.007263544128878317,0.01489606718134426,27,0.0,0.009891031575781981,0.009891031575781981,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.0153, 0.0581]",168,4,0.03282193030019461,0.01545111029388442,0.0580945906394507,27,0.023809523809523808,0.009012406490670803,0.009012406490670803,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.0581, 0.232]",167,20,0.12660852875745726,0.058196923863174446,0.2312751990399471,27,0.11976047904191617,0.0068480497155410935,0.0068480497155410935,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.232, 0.581]",167,58,0.40336915981946525,0.2331425357478385,0.5810934500103061,27,0.3473053892215569,0.05606377059790835,0.05606377059790835,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"(0.581, 0.995]",168,122,0.6983645690729733,0.5814207210215151,0.9945091239609456,27,0.7261904761904762,-0.02782590711750288,0.02782590711750288,False,quantile,all,station_grouped_loso,ge31,logistic_P_ge31_safe_features,sklearn_logistic_regression,False
"[0.00,0.10)",1166,1,0.01225762195978043,0.0017012093205534954,0.09967375415345286,27,0.0008576329331046312,0.0113999890266758,0.0113999890266758,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.10,0.20)",121,8,0.14110624251413048,0.10003356584368414,0.19992839123453002,27,0.06611570247933884,0.07499054003479164,0.07499054003479164,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.20,0.30)",63,17,0.2588508081981543,0.20141750924665694,0.29749936785750425,27,0.2698412698412698,-0.010990461643115512,0.010990461643115512,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.30,0.40)",66,19,0.3443810719033085,0.30006822693669555,0.3998168706517566,25,0.2878787878787879,0.05650228402452062,0.05650228402452062,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.40,0.50)",64,30,0.4527990529199086,0.40050085639926164,0.4994752275792802,27,0.46875,-0.015950947080091427,0.015950947080091427,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.50,0.60)",98,62,0.5551375513573648,0.5007293633210057,0.5985384915694854,27,0.6326530612244898,-0.07751550986712508,0.07751550986712508,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.60,0.70)",72,52,0.6466668153908203,0.600834693256826,0.6997497006075521,27,0.7222222222222222,-0.07555540683140194,0.07555540683140194,False,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.70,0.80)",24,15,0.737314930527272,0.7004948326592795,0.7884448559706072,14,0.625,0.11231493052727204,0.11231493052727204,True,fixed,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.0006999999999999999, 0.00351]",168,0,0.0030460748549454306,0.0017012093205534954,0.003504221119097505,19,0.0,0.0030460748549454306,0.0030460748549454306,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00351, 0.00418]",167,0,0.003800235647510747,0.003508841646976974,0.004176784276580072,26,0.0,0.003800235647510747,0.003800235647510747,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00418, 0.00507]",167,0,0.004627130405486102,0.004178983792602687,0.005060640873025198,27,0.0,0.004627130405486102,0.004627130405486102,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00507, 0.0062]",168,0,0.005601248394671238,0.005070043370472132,0.006201469624032244,27,0.0,0.005601248394671238,0.005601248394671238,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.0062, 0.00829]",167,0,0.007315043391274818,0.0062034113468187055,0.008288923514891083,27,0.0,0.007315043391274818,0.007315043391274818,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.00829, 0.022]",167,0,0.012656613268155908,0.008292734833811197,0.021656591076124103,27,0.0,0.012656613268155908,0.012656613268155908,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.022, 0.103]",168,1,0.05181861991815032,0.02204926339118158,0.10268067827987287,27,0.005952380952380952,0.04586623896576937,0.04586623896576937,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.103, 0.29]",167,18,0.17682103490633827,0.10273079949387198,0.2898750025195674,27,0.10778443113772455,0.06903660376861372,0.06903660376861372,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.29, 0.535]",167,74,0.40969253567276864,0.2909729097839452,0.5348768939110223,27,0.4431137724550898,-0.03342123678232117,0.03342123678232117,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"(0.535, 0.788]",168,111,0.6261458401204418,0.5355421019061327,0.7884448559706072,27,0.6607142857142857,-0.034568445593843866,0.034568445593843866,False,quantile,all,station_grouped_loso,ge31,platt_m4_score_ge31,sklearn_logistic_regression,False
"[0.00,0.10)",1318,9,0.00685087019659889,1e-06,0.0723076056451167,27,0.006828528072837633,2.2342123761257167e-05,2.2342123761257167e-05,False,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.20,0.30)",42,26,0.2856370822047598,0.2108249702798616,0.2975206611570248,9,0.6190476190476191,-0.33341053684285926,0.33341053684285926,False,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.30,0.40)",84,13,0.3077610858133546,0.3032786885245901,0.3333333333333333,19,0.15476190476190477,0.15299918105144983,0.15299918105144983,False,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.40,0.50)",1,0,0.4400495017415505,0.4400495017415505,0.4400495017415505,1,0.0,0.4400495017415505,0.4400495017415505,True,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.50,0.60)",1,1,0.5525231896087784,0.5525231896087784,0.5525231896087784,1,1.0,-0.44747681039122156,0.44747681039122156,True,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.60,0.70)",129,82,0.6412154741199211,0.6229508196721312,0.664,27,0.6356589147286822,0.005556559391238891,0.005556559391238891,False,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.70,0.80)",87,63,0.7160857903415461,0.7023809523809523,0.75,27,0.7241379310344828,-0.008052140692936693,0.008052140692936693,False,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.80,0.90)",5,4,0.8303031124546599,0.8,0.8848488956066332,4,0.8,0.030303112454659886,0.030303112454659886,True,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.90,1.00)",7,6,0.9970790191247291,0.9795591338731036,0.999999,7,0.8571428571428571,0.13993616198187198,0.13993616198187198,True,fixed,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"(-0.000999, 0.0449]",1175,6,0.000621939010492955,1e-06,0.0448717948717948,27,0.005106382978723404,-0.004484443968230449,0.004484443968230449,False,quantile,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"(0.0449, 0.287]",165,20,0.08713210752426251,0.0454545454545454,0.2868852459016393,27,0.12121212121212122,-0.03408001368785871,0.03408001368785871,False,quantile,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"(0.287, 0.639]",182,88,0.44411961936396116,0.2946428571428571,0.639344262295082,27,0.4835164835164835,-0.03939686415252236,0.03939686415252236,False,quantile,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"(0.639, 1.0]",152,90,0.7110571716160962,0.64,0.999999,27,0.5921052631578947,0.11895190845820147,0.11895190845820147,False,quantile,all,station_grouped_loso,ge31,prior_l1h2_m4_isotonic,source_a_l1h2_isotonic_score_only,False
"[0.00,0.10)",1177,6,0.0033269149712158593,1e-06,0.0909090909090909,26,0.005097706032285472,-0.0017707910610696123,0.0017707910610696123,False,fixed,no_s142_eval,blocked_time,ge31,isotonic_m4_score_ge31,sklearn_isotonic_regression,False
