sensitivity_id,validation_method,event_target,official_event_threshold_c,companion_id,model_family,output_kind,diagnostic_only,operating_point,threshold_source,status,n_folds_evaluated,threshold,threshold_min,threshold_max,precision,recall,F1,CSI,false_alarm_ratio,miss_rate,TP,FP,FN,TN,n,fold_recall_std,fold_precision_std
all,blocked_time,ge31,31.0,wbgt_a_m4_score,M4_inertia_ridge,score,False,recall90,train_selected,evaluated_on_heldout,5,29.29,29.15,29.35,0.4823232323232323,0.9362745098039216,0.6366666666666667,0.4669926650366748,0.5176767676767676,0.06372549019607843,191.0,205.0,13.0,1265.0,1674.0,0.32966270728877034,0.22586261295262774
all,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,27,0.4459259259259259,0.34,0.45,0.6782608695652174,0.7647058823529411,0.7188940092165899,0.5611510791366906,0.3217391304347826,0.23529411764705882,156.0,74.0,48.0,1396.0,1674.0,0.14026166715264068,0.2726803925032969
all,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,27,0.6537037037037039,0.45,0.67,0.6727272727272727,0.3627450980392157,0.4713375796178344,0.30833333333333335,0.32727272727272727,0.6372549019607843,74.0,36.0,130.0,1434.0,1674.0,0.2031360072589772,0.30827934801486623
all,station_grouped_loso,ge31,31.0,isotonic_m4_score_ge31,sklearn_isotonic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,27,0.2122222222222222,0.21,0.27,0.5451977401129944,0.946078431372549,0.6917562724014337,0.5287671232876713,0.4548022598870056,0.05392156862745098,193.0,161.0,11.0,1309.0,1674.0,0.06841577136147403,0.22688519210089467
all,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,best_F1,train_selected,evaluated_on_heldout,27,0.4329629629629629,0.33,0.49,0.6431535269709544,0.7598039215686274,0.6966292134831462,0.5344827586206896,0.35684647302904565,0.24019607843137256,155.0,86.0,49.0,1384.0,1674.0,0.16708651432063548,0.26539922177201125
all,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,precision70,train_selected,evaluated_on_heldout,27,0.5214814814814815,0.48,0.54,0.696078431372549,0.696078431372549,0.696078431372549,0.5338345864661654,0.30392156862745096,0.30392156862745096,142.0,62.0,62.0,1408.0,1674.0,0.16344805744459354,0.2834426905407598
all,station_grouped_loso,ge31,31.0,logistic_P_ge31_safe_features,sklearn_logistic_regression,probability,False,recall90,train_selected,evaluated_on_heldout,27,0.1862962962962963,0.18,0.2,0.5082872928176796,0.9019607843137255,0.6501766784452297,0.4816753926701571,0.49171270718232046,0.09803921568627451,184.0,178.0,20.0,1292.0,1674.0,0.09790594096206201,0.2215615817612051
all,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,best_F1,train_selected,evaluated_on_heldout,27,30.24814814814815,30.2,30.25,0.6181818181818182,0.8333333333333334,0.7098121085594988,0.5501618122977346,0.38181818181818183,0.16666666666666666,170.0,105.0,34.0,1365.0,1674.0,0.1185689327751705,0.2546019993618008
all,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,fixed_31,fixed,evaluated_on_heldout,27,31.0,31.0,31.0,0.7222222222222222,0.5735294117647058,0.639344262295082,0.46987951807228917,0.2777777777777778,0.4264705882352941,117.0,45.0,87.0,1425.0,1674.0,0.1271797716893264,0.2970414307587318
all,station_grouped_loso,ge31,31.0,m7_compact_weather_score,M7_compact_weather_ridge,score,False,precision70,train_selected,evaluated_on_heldout,27,30.870370370370367,30.75,30.95,0.6994219653179191,0.5931372549019608,0.6419098143236074,0.47265625,0.30057803468208094,0.4068627450980392,121.0,52.0,83.0,1418.0,1674.0,0.16082206690582573,0.2892028814096434
