companion_id,model_family,operating_point,station_id,focus_station_flag,n,event_count_ge31,TP,FP,FN,TN,precision,recall,F1,false_alarm_ratio,miss_rate,mean_output_value,mean_expected_exceedance_ge31_c
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S125,False,62,8,7,6,1,48,0.5384615384615384,0.875,0.6666666666666667,0.46153846153846156,0.125,0.13567672657812865,0.10505955855720618
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S126,False,62,8,7,6,1,48,0.5384615384615384,0.875,0.6666666666666667,0.46153846153846156,0.125,0.1219497735398,0.08919566540618101
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S127,False,62,10,10,4,0,48,0.7142857142857143,1.0,0.8333333333333333,0.2857142857142857,0.0,0.12431259194065776,0.12005875098099912
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S128,False,62,11,11,2,0,49,0.8461538461538461,1.0,0.9166666666666666,0.15384615384615385,0.0,0.11980449131611615,0.10361391851435259
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S129,False,62,10,8,3,2,49,0.7272727272727273,0.8,0.761904761904762,0.2727272727272727,0.2,0.11251100886980496,0.10267409217676263
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S130,False,62,6,6,8,0,48,0.42857142857142855,1.0,0.6,0.5714285714285714,0.0,0.12051932547509009,0.11402809472831008
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S132,False,62,9,9,4,0,49,0.6923076923076923,1.0,0.8181818181818181,0.3076923076923077,0.0,0.12362288450081663,0.09568681415346668
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S135,False,62,11,10,2,1,49,0.8333333333333334,0.9090909090909091,0.8695652173913043,0.16666666666666666,0.09090909090909091,0.10885143998503183,0.09103077590946063
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S137,False,62,13,10,4,3,45,0.7142857142857143,0.7692307692307693,0.7407407407407408,0.2857142857142857,0.23076923076923078,0.11597618457951105,0.10644218964300546
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S139,True,62,1,1,11,0,50,0.08333333333333333,1.0,0.15384615384615385,0.9166666666666666,0.0,0.12195950247524151,0.11224474738870474
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S140,False,62,4,4,9,0,49,0.3076923076923077,1.0,0.47058823529411764,0.6923076923076923,0.0,0.12626854734196485,0.09363213526842022
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S141,False,62,10,9,4,1,48,0.6923076923076923,0.9,0.7826086956521738,0.3076923076923077,0.1,0.12174529051042551,0.10584264001171449
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S142,True,62,15,13,1,2,46,0.9285714285714286,0.8666666666666667,0.896551724137931,0.07142857142857142,0.13333333333333333,0.11412229578107011,0.09251547053085184
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S143,False,62,7,7,6,0,49,0.5384615384615384,1.0,0.7000000000000001,0.46153846153846156,0.0,0.1382095188470028,0.10468007231569113
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S144,False,62,8,8,6,0,48,0.5714285714285714,1.0,0.7272727272727273,0.42857142857142855,0.0,0.1257362928136112,0.12394909533697276
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S145,False,62,8,8,4,0,50,0.6666666666666666,1.0,0.8,0.3333333333333333,0.0,0.11255134330487569,0.09253661635910584
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S146,False,62,3,3,10,0,49,0.23076923076923078,1.0,0.375,0.7692307692307693,0.0,0.11921279703550956,0.09569176276951703
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S147,False,62,10,10,4,0,48,0.7142857142857143,1.0,0.8333333333333333,0.2857142857142857,0.0,0.12459648610765459,0.12157144850993377
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S148,False,62,5,5,8,0,49,0.38461538461538464,1.0,0.5555555555555556,0.6153846153846154,0.0,0.12384788032488517,0.10812414852581541
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S149,False,62,5,5,8,0,49,0.38461538461538464,1.0,0.5555555555555556,0.6153846153846154,0.0,0.12360865189951185,0.10907540260645433
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S150,False,62,3,3,11,0,48,0.21428571428571427,1.0,0.35294117647058826,0.7857142857142857,0.0,0.12279388503571496,0.11054668292721574
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S151,False,62,9,9,4,0,49,0.6923076923076923,1.0,0.8181818181818181,0.3076923076923077,0.0,0.11460871182232375,0.09496931996842535
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S153,False,62,7,7,6,0,49,0.5384615384615384,1.0,0.7000000000000001,0.46153846153846156,0.0,0.12372140729188669,0.09558584458465486
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S180,False,62,9,9,4,0,49,0.6923076923076923,1.0,0.8181818181818181,0.3076923076923077,0.0,0.12260423435970774,0.09739936340840563
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S184,False,62,6,6,7,0,49,0.46153846153846156,1.0,0.631578947368421,0.5384615384615384,0.0,0.12580312199839597,0.10952723202015846
isotonic_m4_score_ge31,sklearn_isotonic_regression,recall90,S187,False,62,8,8,6,0,48,0.5714285714285714,1.0,0.7272727272727273,0.42857142857142855,0.0,0.1191168864213351,0.11173380893192192
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S124,False,62,0,0,9,0,53,0.0,,,1.0,,27.641790436159532,0.10773295157177701
wbgt_a_m4_score,M4_inertia_ridge,best_F1,S125,False,62,8,7,3,1,51,0.7,0.875,0.7777777777777777,0.3,0.125,27.39933263588739,0.10505955855720618
