asset_type,logical_name,original_expected_path,candidate_match_count,candidate_root_aliases,selected_root_alias,remap_status,notes
svf_zip,TP_0326_svf_overhead,data/solweig/v12_n24_tiles/TP_0326/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0366_focus_cell,data/solweig/v12_n24_tiles/TP_0366/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_dsm_buildings,data/solweig/v12_n24_tiles/TP_0366/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_dem,data/solweig/v12_n24_tiles/TP_0366/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_vegetation_base,data/solweig/v12_n24_tiles/TP_0366/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0366/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_wall_height,data/solweig/v12_n24_tiles/TP_0366/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0366_wall_aspect,data/solweig/v12_n24_tiles/TP_0366/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0366_svf_base,data/solweig/v12_n24_tiles/TP_0366/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0366_svf_overhead,data/solweig/v12_n24_tiles/TP_0366/svf_overhead_as_canopy/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
cell_geometry,TP_0409_focus_cell,data/solweig/v12_n24_tiles/TP_0409/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_dsm_buildings,data/solweig/v12_n24_tiles/TP_0409/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_dem,data/solweig/v12_n24_tiles/TP_0409/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_vegetation_base,data/solweig/v12_n24_tiles/TP_0409/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0409/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_wall_height,data/solweig/v12_n24_tiles/TP_0409/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0409_wall_aspect,data/solweig/v12_n24_tiles/TP_0409/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
