model,split_type,hour_sgt_numeric,n,bias_pred_minus_obs,mae,official_wbgt_mean,pred_wbgt_mean
M1_global_bias,LOSO,6.0,27,1.171154699767644,1.171154699767644,24.78518518518518,25.956339884952833
M1_global_bias,LOSO,6.25,27,1.2000194890628701,1.2000194890628701,24.777777777777775,25.977797266840646
M1_global_bias,LOSO,6.5,27,1.2213404279942321,1.2213404279942321,24.777777777777782,25.99911820577201
M1_global_bias,LOSO,6.75,27,1.242521312536299,1.242521312536299,24.777777777777782,26.02029909031408
M1_global_bias,LOSO,7.0,27,1.2635584213712983,1.2635584213712983,24.77777777777778,26.041336199149075
M1_global_bias,LOSO,7.25,27,1.347076012261551,1.347076012261551,24.866666666666667,26.213742678928217
M1_global_bias,LOSO,7.5,27,1.3501244267097807,1.3501244267097807,25.037037037037038,26.387161463746818
M1_global_bias,LOSO,7.75,27,1.1992439180243355,1.1992439180243355,25.362962962962964,26.562206880987294
M1_global_bias,LOSO,8.0,27,0.8809469696670916,0.9713776822802354,25.85925925925926,26.740206228926354
M1_global_bias,LOSO,8.25,27,0.43872002246558717,0.727077004624533,26.57777777777778,27.016497800243364
M1_global_bias,LOSO,8.5,27,0.031150924596522047,0.7454149911228247,27.25925925925926,27.290410183855776
M1_global_bias,LOSO,8.75,27,-0.42290430099861614,0.8400402730179628,27.985185185185188,27.56228088418657
M1_global_bias,LOSO,9.0,27,-0.5899172745537297,0.8262233748318146,28.422222222222224,27.832304947668494
M1_global_bias,LOSO,9.25,27,-0.8761987316732879,0.9837006116793542,28.81851851851852,27.94231978684523
M1_global_bias,LOSO,9.5,27,-1.003079720191562,1.1281544041833789,29.05185185185185,28.04877213166029
M1_global_bias,LOSO,9.75,27,-1.0334354337691711,1.1540393499520083,29.185185185185187,28.151749751416006
M1_global_bias,LOSO,10.0,27,-1.0264793949981885,1.1113071836058948,29.277777777777775,28.25129838277959
M1_global_bias,LOSO,10.25,27,-1.1424298614207724,1.2004700743178962,29.485185185185188,28.34275532376441
M1_global_bias,LOSO,10.5,27,-1.3190836904677872,1.3570589898497898,29.75185185185185,28.432768161384065
