n,bias_pred_minus_obs,mae,rmse,p90_abs_error,model,split_type,period
1161,0.2581966802569663,0.7227874088740126,0.9208826822551046,1.5375720454554518,M2_linear_proxy,LOSO,night_00_07_20_23
2564,-1.0308966369062296e-15,0.5763209290171151,0.7771198627460375,1.3081388601528268,M3_regime_current_ridge,apparent,overall
971,-0.02817581288746116,0.83160190294921,1.0392814351637594,1.7070283653475862,M3_regime_current_ridge,apparent,daytime_09_18
431,-0.05428558792107842,0.8663923757266696,1.0988138676548398,1.8277342253000377,M3_regime_current_ridge,apparent,peak_12_16
1161,-0.006767564178319829,0.35435505082907093,0.4404472586904063,0.6855017953776397,M3_regime_current_ridge,apparent,night_00_07_20_23
2564,0.005473723362833515,0.5950809081830761,0.7986440452019563,1.3402836631014703,M3_regime_current_ridge,LOSO,overall
971,-0.02479201964865743,0.8477089568118097,1.060303511996166,1.7457640712783196,M3_regime_current_ridge,LOSO,daytime_09_18
431,-0.05321124476389385,0.8865564484694886,1.122394660756598,1.860988168250838,M3_regime_current_ridge,LOSO,peak_12_16
1161,-0.00047299932288256274,0.37673896220391945,0.4695840133577238,0.7169109566429483,M3_regime_current_ridge,LOSO,night_00_07_20_23
2564,-9.311324462378848e-16,0.570953297960806,0.769811930900619,1.2968834341530955,M4_inertia_ridge,apparent,overall
971,-0.032766461772318525,0.8151816334674159,1.0235885089543921,1.699945205985248,M4_inertia_ridge,apparent,daytime_09_18
431,-0.04877021477905606,0.8468639612860512,1.0737126905788286,1.8036863650426618,M4_inertia_ridge,apparent,peak_12_16
1161,-0.005163456972758382,0.35208283225059145,0.4348833124626669,0.6781072554744512,M4_inertia_ridge,apparent,night_00_07_20_23
2564,0.007555719362927225,0.5945613727500573,0.797131686052319,1.337393971474112,M4_inertia_ridge,LOSO,overall
971,-0.028544229520601216,0.8360767077322125,1.0492279428442237,1.7454179496245956,M4_inertia_ridge,LOSO,daytime_09_18
431,-0.047013604007829383,0.8728674859987032,1.1036391817702982,1.8393594569475837,M4_inertia_ridge,LOSO,peak_12_16
1161,0.004610729797250193,0.3793710699276351,0.47367071352102164,0.7168360583140689,M4_inertia_ridge,LOSO,night_00_07_20_23
2564,-6.42924784307111e-16,0.5349959256977809,0.7366264611316435,1.256768921340744,M5_inertia_morphology_ridge,apparent,overall
971,-0.02911489399518725,0.7942508826619823,0.9970296044873069,1.6629912532365587,M5_inertia_morphology_ridge,apparent,daytime_09_18
431,-0.0620611855579009,0.8239378538764984,1.0439912009802494,1.7379402748785253,M5_inertia_morphology_ridge,apparent,peak_12_16
1161,-0.0034122964606323374,0.3071985952195524,0.39087602369312896,0.6056533589722513,M5_inertia_morphology_ridge,apparent,night_00_07_20_23
2564,-0.08164053517849439,0.6566389557982524,0.9135239121057739,1.597575485381199,M5_inertia_morphology_ridge,LOSO,overall
971,-0.11337896899117911,0.8882832618629327,1.1188864669782892,1.8726214384567612,M5_inertia_morphology_ridge,LOSO,daytime_09_18
431,-0.14905942385291168,0.9453320476566134,1.1764588994240164,1.953005228685754,M5_inertia_morphology_ridge,LOSO,peak_12_16
1161,-0.08344690361931209,0.45388070179418427,0.6893236932332136,0.8184164580538429,M5_inertia_morphology_ridge,LOSO,night_00_07_20_23
