n,bias_pred_minus_obs,mae,rmse,p90_abs_error,model,split_type,station_id,station_name
95,-1.301916281869574,1.3979353037443802,2.215407670805725,4.336111340733941,M0_raw_proxy,apparent,S147,Marina Barrage
95,-0.5891108316024236,0.7746543307821608,1.2957415441825406,2.4791361207168645,M0_raw_proxy,apparent,S148,Pasir Ris Walk
95,-0.721742410549792,1.0041913694702747,1.5694444213102614,3.0850804830659633,M0_raw_proxy,apparent,S149,Tampines Walk
95,-0.7450337071632067,1.0992860338228476,1.564954108190854,2.6664792007497513,M0_raw_proxy,apparent,S150,Evans Road
95,-1.1674185904358212,1.2784157470342845,2.125119197804721,4.420270112659068,M0_raw_proxy,apparent,S151,Outward Bound Singapore(Pulau ubin)
95,-1.2103519558254128,1.2625623848193839,1.7569387666860992,3.1744143932908653,M0_raw_proxy,apparent,S153,Bukit Batok Street 22
95,-1.03140458740436,1.1931895009141709,1.7807178903617955,3.1910646657044484,M0_raw_proxy,apparent,S180,Taman Jurong Greens
95,-1.2638282235181562,1.2772722843258444,1.8207587670659142,3.3171690112013468,M0_raw_proxy,apparent,S184,Sengkang East Avenue
95,-1.0302968650579438,1.4270238570721603,2.161775951072211,4.073002960007535,M0_raw_proxy,apparent,S187,Bukit Timah(West)
95,-0.5732580125454311,0.8055396360808731,1.2061010806256964,2.2352604622360355,M0_raw_proxy,LOSO,S124,Upper Changi Road North
95,-1.2209573463522176,1.4753645831965152,1.935332734506905,3.5502201482478193,M0_raw_proxy,LOSO,S125,Woodlands Street 13
95,-1.2650887979306757,1.5028916885007564,2.269899759445119,4.289732560462052,M0_raw_proxy,LOSO,S126,Old Chua Chu Kang Road
95,-1.668232071343258,1.668232071343258,2.345948715397981,4.254516343727143,M0_raw_proxy,LOSO,S127,Stadium Road
95,-1.4438282235181565,1.5438674520686297,2.438780249142495,4.474180050193691,M0_raw_proxy,LOSO,S128,Bishan Street
95,-1.3943106441243782,1.3967929640557288,2.057382465561601,3.577947451588685,M0_raw_proxy,LOSO,S129,Bedok North Street 2
95,-1.4713494966368907,1.4740024794072548,1.9767166600092108,3.532240223528439,M0_raw_proxy,LOSO,S130,West Coast Road
95,-1.3345435586932055,1.3345435586932055,1.8263527019894286,3.4186118334531956,M0_raw_proxy,LOSO,S132,Jurong West Street 93
95,-0.91784993422122,1.497486532785663,2.1223453259674243,3.7775376645012497,M0_raw_proxy,LOSO,S135,Mandai Wildlife Reserve
95,-1.673201243954935,1.6753554917727247,2.1435333107136922,3.5963558236477167,M0_raw_proxy,LOSO,S137,Sakra Road
95,-0.6328184564845749,1.4449284348926297,1.770879997434121,2.925252848357941,M0_raw_proxy,LOSO,S139,Tuas Terminal Gateway
95,-0.7008782716148867,1.0301380626918364,1.4645297517754465,2.5308163289489847,M0_raw_proxy,LOSO,S140,Choa Chu Kang Stadium
95,-1.224880855097104,1.312879540030106,2.0516681445897884,3.9704292872315374,M0_raw_proxy,LOSO,S141,Yio Chu Kang Stadium
94,-1.91638857829481,1.917839281757014,2.848726190409379,5.213051889320602,M0_raw_proxy,LOSO,S142,Sentosa Palawan Green
95,-1.2558568799169643,1.2923232521522128,1.778893759226622,3.1518577466379876,M0_raw_proxy,LOSO,S143,Punggol North
95,-1.417705755553784,1.417705755553784,2.0337222320081847,3.444386389181165,M0_raw_proxy,LOSO,S144,Upper Pickering Street
95,-0.9999551973791145,1.0727559243006457,1.6249981312353785,3.1758654858883832,M0_raw_proxy,LOSO,S145,MacRitchie Reservoir
95,-0.6256687663265766,1.198310294609663,1.5592566545479576,2.734968907601401,M0_raw_proxy,LOSO,S146,Jalan Bahar
95,-1.301916281869574,1.3979353037443802,2.215407670805725,4.336111340733941,M0_raw_proxy,LOSO,S147,Marina Barrage
95,-0.5891108316024236,0.7746543307821608,1.2957415441825406,2.4791361207168645,M0_raw_proxy,LOSO,S148,Pasir Ris Walk
95,-0.721742410549792,1.0041913694702747,1.5694444213102614,3.0850804830659633,M0_raw_proxy,LOSO,S149,Tampines Walk
95,-0.7450337071632067,1.0992860338228476,1.564954108190854,2.6664792007497513,M0_raw_proxy,LOSO,S150,Evans Road
95,-1.1674185904358212,1.2784157470342845,2.125119197804721,4.420270112659068,M0_raw_proxy,LOSO,S151,Outward Bound Singapore(Pulau ubin)
95,-1.2103519558254128,1.2625623848193839,1.7569387666860992,3.1744143932908653,M0_raw_proxy,LOSO,S153,Bukit Batok Street 22
95,-1.03140458740436,1.1931895009141709,1.7807178903617955,3.1910646657044484,M0_raw_proxy,LOSO,S180,Taman Jurong Greens
95,-1.2638282235181562,1.2772722843258444,1.8207587670659142,3.3171690112013468,M0_raw_proxy,LOSO,S184,Sengkang East Avenue
95,-1.0302968650579438,1.4270238570721603,2.161775951072211,4.073002960007535,M0_raw_proxy,LOSO,S187,Bukit Timah(West)
95,0.5671014991730232,1.0814064703334385,1.2031870918951988,1.8145743714495532,M1_global_bias,apparent,S124,Upper Changi Road North
95,-0.08059783463376327,1.1486080422794789,1.5037526267941066,2.6297083769208522,M1_global_bias,apparent,S125,Woodlands Street 13
95,-0.12472928621222142,1.6948779101673965,1.8887966132218519,3.1493730487435974,M1_global_bias,apparent,S126,Old Chua Chu Kang Road
95,-0.5278725596248035,1.3805611595348233,1.7317986518715336,3.114156832008689,M1_global_bias,apparent,S127,Stadium Road
95,-0.30346871179970186,1.6617759568828618,1.9887439311337463,3.333820538475236,M1_global_bias,apparent,S128,Bishan Street
95,-0.2539511324059238,1.190509592185474,1.5340181273153342,2.4375879398702307,M1_global_bias,apparent,S129,Bedok North Street 2
95,-0.33098998491843673,1.1099026813584454,1.3609165230904667,2.3918807118099847,M1_global_bias,apparent,S130,West Coast Road
95,-0.19418404697475097,0.9432504228408427,1.2618498825589572,2.2782523217347412,M1_global_bias,apparent,S132,Jurong West Street 93
95,0.22250957749723455,1.7620482318470114,1.9265024508117998,2.6371781527827953,M1_global_bias,apparent,S135,Mandai Wildlife Reserve
95,-0.5328417322364806,1.1212927438720062,1.4418921467917194,2.4559963119292623,M1_global_bias,apparent,S137,Sakra Road
95,0.5075410552338795,1.6100694184299809,1.7300736080273214,2.501600280399662,M1_global_bias,apparent,S139,Tuas Terminal Gateway
95,0.439481240103568,1.259668010410199,1.3589557765492408,1.9322135507414981,M1_global_bias,apparent,S140,Choa Chu Kang Stadium
95,-0.08452134337864965,1.3383988362687564,1.648075521275534,2.830069775513083,M1_global_bias,apparent,S141,Yio Chu Kang Stadium
94,-0.7760290665763558,1.714528129657983,2.2460892317708345,4.072692377602148,M1_global_bias,apparent,S142,Sentosa Palawan Green
95,-0.11549736819850992,1.0153012766085092,1.265158545733076,2.011498234919533,M1_global_bias,apparent,S143,Punggol North
95,-0.2773462438353299,1.1904700738422653,1.4842700046162736,2.3040268774627104,M1_global_bias,apparent,S144,Upper Pickering Street
95,0.1404043143393398,1.1230319425547093,1.288573591704435,2.035505974169929,M1_global_bias,apparent,S145,MacRitchie Reservoir
95,0.5146907453918778,1.4144015774690257,1.5181325610721599,1.9367352889200062,M1_global_bias,apparent,S146,Jalan Bahar
95,-0.16155677015111933,1.512824408356403,1.7997626879256647,3.195751829015487,M1_global_bias,apparent,S147,Marina Barrage
95,0.5512486801160308,1.1712056770143646,1.2789721203915754,1.670641891576613,M1_global_bias,apparent,S148,Pasir Ris Walk
95,0.41861710116866235,1.319265776249338,1.4551577102797244,1.944720971347509,M1_global_bias,apparent,S149,Tampines Walk
95,0.39532580455524746,1.3635351001803542,1.4318828959385381,1.8134165032062448,M1_global_bias,apparent,S150,Evans Road
95,-0.027059078717366777,1.5003242384227535,1.775949783446608,3.2799106009406143,M1_global_bias,apparent,S151,Outward Bound Singapore(Pulau ubin)
95,-0.06999244410695822,1.0297444544054055,1.2754532195051824,2.034054881572411,M1_global_bias,apparent,S153,Bukit Batok Street 22
95,0.10895492431409426,1.2962246884668505,1.4556895127973186,2.050705153985994,M1_global_bias,apparent,S180,Taman Jurong Greens
95,-0.12346871179970194,1.0117513190081189,1.316489738691421,2.1768094994828924,M1_global_bias,apparent,S184,Sengkang East Avenue
95,0.1100626466605107,1.7090544085812254,1.903648449340333,2.93264344828908,M1_global_bias,apparent,S187,Bukit Timah(West)
95,0.5889219294773719,1.0903643311952238,1.2136243680638112,1.8363948017539018,M1_global_bias,LOSO,S124,Upper Changi Road North
95,-0.08369900688577239,1.1474655051340021,1.503922031022948,2.626607204668843,M1_global_bias,LOSO,S125,Woodlands Street 13
95,-0.12952850945651578,1.6939180655185373,1.889119606070869,3.1541722719878917,M1_global_bias,LOSO,S126,Old Chua Chu Kang Road
95,-0.5481835734621289,1.3764989567673585,1.7380973395160952,3.1344678458460145,M1_global_bias,LOSO,S127,Stadium Road
95,-0.31514531269924334,1.658948990349289,1.9905591507654927,3.3454971393747774,M1_global_bias,LOSO,S128,Bishan Street
95,-0.26372243964714004,1.1875267720802605,1.5356659670824357,2.447359247111447,M1_global_bias,LOSO,S129,Bedok North Street 2
95,-0.34372552504287895,1.1068193400651591,1.3640698843059105,2.404616251934427,M1_global_bias,LOSO,S130,West Coast Road
95,-0.2016556891224218,0.9409696057641853,1.2630212583206988,2.285723963882412,M1_global_bias,LOSO,S132,Jurong West Street 93
95,0.23107110437542033,1.764121022564888,1.9275100612404465,2.6286166259046095,M1_global_bias,LOSO,S135,Mandai Wildlife Reserve
95,-0.5533439455060075,1.1212965023629968,1.4495937959976979,2.476498525198789,M1_global_bias,LOSO,S137,Sakra Road
95,0.5270697714133944,1.6139751616658846,1.735903024475308,2.521128996579177,M1_global_bias,LOSO,S139,Tuas Terminal Gateway
95,0.4563912108649454,1.2648300014847247,1.3645182225123822,1.9288315565892207,M1_global_bias,LOSO,S140,Choa Chu Kang Stadium
95,-0.0877734809327065,1.337611476650406,1.6482455066816155,2.83332191306714,M1_global_bias,LOSO,S141,Yio Chu Kang Stadium
94,-0.8055621565594246,1.7082444934913723,2.256463186711939,4.102225467585217,M1_global_bias,LOSO,S142,Sentosa Palawan Green
95,-0.11994137386025955,1.014131801434365,1.2655719801513214,2.015942240581283,M1_global_bias,LOSO,S143,Punggol North
95,-0.28801772749849663,1.1872124630398249,1.4863010189687098,2.314698361125877,M1_global_bias,LOSO,S144,Upper Pickering Street
95,0.14580666746296805,1.1250222831792038,1.2891734227905975,2.0301036210463006,M1_global_bias,LOSO,S145,MacRitchie Reservoir
95,0.5344945610306907,1.4187792630312899,1.5249604405907908,1.9565391045588192,M1_global_bias,LOSO,S146,Jalan Bahar
95,-0.16777300877580756,1.510795951542031,1.800331337654666,3.201968067640175,M1_global_bias,LOSO,S147,Marina Barrage
95,0.5724591396587706,1.1830388807592616,1.2882562027749433,1.6918523511193528,M1_global_bias,LOSO,S148,Pasir Ris Walk
95,0.43472428003096475,1.3262172955478055,1.4598728999622255,1.9286137924852065,M1_global_bias,LOSO,S149,Tampines Walk
95,0.41053680149034355,1.3678582256250658,1.4361568860371774,1.814160070726311,M1_global_bias,LOSO,S150,Evans Road
95,-0.02810023403455951,1.49998449300346,1.775965952020426,3.280951756257807,M1_global_bias,LOSO,S151,Outward Bound Singapore(Pulau ubin)
95,-0.07268555151487972,1.0288656509354521,1.275603842230452,2.0367479889803324,M1_global_bias,LOSO,S153,Bukit Batok Street 22
95,0.11314719560199993,1.2973279177531414,1.4560092959896933,2.0465128826980883,M1_global_bias,LOSO,S180,Taman Jurong Greens
95,-0.1282194317757927,1.0099010385963783,1.316943784666314,2.181560219458983,M1_global_bias,LOSO,S184,Sengkang East Avenue
95,0.11429753990990367,1.7103471654678823,1.903897990995157,2.9284085550396872,M1_global_bias,LOSO,S187,Bukit Timah(West)
95,0.5677479932023592,0.6642752120693837,0.938359407738116,1.5438308902410909,M1b_period_bias,apparent,S124,Upper Changi Road North
95,-0.07995134060442721,0.8435454549093407,1.0906379469053742,1.765740404457808,M1b_period_bias,apparent,S125,Woodlands Street 13
95,-0.12408279218288534,0.6279123751880316,0.8486832022591082,1.6009684426316175,M1b_period_bias,apparent,S126,Old Chua Chu Kang Road
95,-0.5272260655954675,0.6636585373392909,0.9393136447237053,1.760080108182406,M1b_period_bias,apparent,S127,Stadium Road
95,-0.30282221777036594,0.7101778283968719,1.0738298874555108,1.8812329061696487,M1b_period_bias,apparent,S128,Bishan Street
95,-0.25330463837658773,0.5608264845882729,0.8620489790459761,1.3829218103770229,M1b_period_bias,apparent,S129,Bedok North Street 2
95,-0.3303434908891006,0.5298506931052732,0.6884966913531905,1.1133969614477282,M1b_period_bias,apparent,S130,West Coast Road
95,-0.1935375529454149,0.6659506817402715,0.8541638105591223,1.482000497141388,M1b_period_bias,apparent,S132,Jurong West Street 93
95,0.2231560715265706,0.7733037915682509,0.9639903528934582,1.438152178803858,M1b_period_bias,apparent,S135,Mandai Wildlife Reserve
95,-0.5321952382071445,0.6833891572048786,0.9001736597955301,1.2240234487290416,M1b_period_bias,apparent,S137,Sakra Road
95,0.5081875492632155,0.7102707838118961,0.9236482208590716,1.521429294253894,M1b_period_bias,apparent,S139,Tuas Terminal Gateway
95,0.44012773413290407,0.6221929637079537,0.8310130236736121,1.2955685202170797,M1b_period_bias,apparent,S140,Choa Chu Kang Stadium
95,-0.08387484934931358,0.6275018615139492,0.9388887847166936,1.5841477763869616,M1b_period_bias,apparent,S141,Yio Chu Kang Stadium
94,-0.7930167288365808,0.962006924191486,1.4248832291498925,2.672529334230213,M1b_period_bias,apparent,S142,Sentosa Palawan Green
95,-0.11485087416917386,0.6152905601427504,0.7960199896970968,1.4133228215856628,M1b_period_bias,apparent,S143,Punggol North
95,-0.2766997498059938,0.5364607759391176,0.7776647407195526,1.426589172328888,M1b_period_bias,apparent,S144,Upper Pickering Street
95,0.14105080836867587,0.5346169376555789,0.7762647652667038,1.253152332893911,M1b_period_bias,apparent,S145,MacRitchie Reservoir
95,0.5153372394212138,0.6956218996884137,0.8085508499524364,1.1549455927687216,M1b_period_bias,apparent,S146,Jalan Bahar
95,-0.16091027612178327,0.6249397924894184,0.9122333562947804,1.748536801520615,M1b_period_bias,apparent,S147,Marina Barrage
95,0.5518951741453668,0.6831524558992785,1.031716225730735,2.0592336532904882,M1b_period_bias,apparent,S148,Pasir Ris Walk
95,0.4192635951979984,0.6402584657888659,0.8802271047630635,1.7345031129226218,M1b_period_bias,apparent,S149,Tampines Walk
95,0.3959722985845835,0.5665303979387001,0.7344076636320017,1.0959688072677325,M1b_period_bias,apparent,S150,Evans Road
95,-0.02641258468803071,0.6260952810031144,0.9399531199653508,1.8282196685624954,M1b_period_bias,apparent,S151,Outward Bound Singapore(Pulau ubin)
95,-0.06934595007762216,0.5870425997137477,0.7625602881625755,1.360806765287119,M1b_period_bias,apparent,S153,Bukit Batok Street 22
95,0.10960141834343032,0.4866929981465651,0.6771375553457386,1.247826660924175,M1b_period_bias,apparent,S180,Taman Jurong Greens
95,-0.12282221777036587,0.6486786550636022,0.8755660976532254,1.7191065084739001,M1b_period_bias,apparent,S184,Sengkang East Avenue
95,0.11070914068984677,0.6941462107778297,0.9240662250369072,1.6118547637709588,M1b_period_bias,apparent,S187,Bukit Timah(West)
95,0.5896018490403224,0.6806253261542607,0.9592737113342881,1.586795455784292,M1b_period_bias,LOSO,S124,Upper Changi Road North
95,-0.08302301184634212,0.8523490051854,1.0962655327572666,1.7713127897589114,M1b_period_bias,LOSO,S125,Woodlands Street 13
95,-0.12886615920048247,0.638478959723428,0.8587971318326004,1.6280197187238015,M1b_period_bias,LOSO,S126,Old Chua Chu Kang Road
95,-0.5475155792073073,0.6776112185924128,0.9530299440976022,1.765804586117859,M1b_period_bias,LOSO,S127,Stadium Road
95,-0.3144826136035795,0.7165727735492186,1.0840409409573588,1.9142999260267877,M1b_period_bias,LOSO,S128,Bishan Street
95,-0.2630505573767892,0.5661285381517611,0.8649940283285059,1.374442525652845,M1b_period_bias,LOSO,S129,Bedok North Street 2
95,-0.34305185878844735,0.5393959831890855,0.6954837786087363,1.1063598845270286,M1b_period_bias,LOSO,S130,West Coast Road
95,-0.20097805439966585,0.675690827365584,0.8605469739181387,1.4900294349529475,M1b_period_bias,LOSO,S132,Jurong West Street 93
95,0.23173395335817218,0.7859313409280443,0.9733921138335029,1.4198620481518727,M1b_period_bias,LOSO,S135,Mandai Wildlife Reserve
95,-0.5526694234144923,0.6990858927542973,0.9138464449766706,1.236713281201829,M1b_period_bias,LOSO,S137,Sakra Road
95,0.5277375976178641,0.7255231701583221,0.9384628535265077,1.5303628145798742,M1b_period_bias,LOSO,S139,Tuas Terminal Gateway
95,0.4570665953514668,0.6355095623572977,0.8420740091181028,1.2824806507567896,M1b_period_bias,LOSO,S140,Choa Chu Kang Stadium
95,-0.08710332416237145,0.6269963601679989,0.9394338274913988,1.5853921964011701,M1b_period_bias,LOSO,S141,Yio Chu Kang Stadium
94,-0.8229268441266951,0.9835783878293773,1.4496646197617395,2.6947331917932416,M1b_period_bias,LOSO,S142,Sentosa Palawan Green
95,-0.11926454603228634,0.6231345882043297,0.8007144108095551,1.421036927935693,M1b_period_bias,LOSO,S143,Punggol North
95,-0.2873457552232406,0.5445024431140543,0.7815624032755053,1.4284206021359984,M1b_period_bias,LOSO,S144,Upper Pickering Street
95,0.14648278966118694,0.5399551455280531,0.7810633633122043,1.237454399983676,M1b_period_bias,LOSO,S145,MacRitchie Reservoir
95,0.5351661357152753,0.7108465477005182,0.821562887043789,1.1727485518451832,M1b_period_bias,LOSO,S146,Jalan Bahar
95,-0.16710725687948025,0.628723610092318,0.9171533426445878,1.744523553531686,M1b_period_bias,LOSO,S147,Marina Barrage
95,0.5731390254637735,0.6962847800607119,1.0500587687152942,2.101504865942357,M1b_period_bias,LOSO,S148,Pasir Ris Walk
95,0.43539822137621975,0.6484559921646186,0.8887632354768584,1.7120179965274371,M1b_period_bias,LOSO,S149,Tampines Walk
95,0.41120945884129195,0.5781880167757981,0.7434889857520753,1.1143862758015801,M1b_period_bias,LOSO,S150,Evans Road
95,-0.027433443313480747,0.629000862791001,0.9421899138998574,1.8405449280625015,M1b_period_bias,LOSO,S151,Outward Bound Singapore(Pulau ubin)
95,-0.07200933181733857,0.5925219237234035,0.7666904636951963,1.3514944050156676,M1b_period_bias,LOSO,S153,Bukit Batok Street 22
95,0.11381867918095018,0.4881325650736018,0.6782622459974554,1.2469267557148043,M1b_period_bias,LOSO,S180,Taman Jurong Greens
95,-0.1275426062425194,0.6566601438125216,0.8804308684098466,1.727857670434944,M1b_period_bias,LOSO,S184,Sengkang East Avenue
95,0.11496048181212917,0.7062663395078066,0.9321324691162894,1.608543605071311,M1b_period_bias,LOSO,S187,Bukit Timah(West)
95,0.8444466803278159,1.014689536198408,1.1371552326881456,1.6541955943227074,M2_linear_proxy,apparent,S124,Upper Changi Road North
95,-0.47097843372927445,1.3605312620785868,1.6419649593591295,2.4049365478776075,M2_linear_proxy,apparent,S125,Woodlands Street 13
95,-0.28094256578166654,0.9361232800474355,1.2550543510168686,2.419584153255371,M2_linear_proxy,apparent,S126,Old Chua Chu Kang Road
95,-0.3892150807354118,0.9564863420585021,1.2630595041367043,2.2130154583462938,M2_linear_proxy,apparent,S127,Stadium Road
95,-0.3618636601019115,1.0859108981462058,1.383081379301043,2.2281153470083566,M2_linear_proxy,apparent,S128,Bishan Street
95,0.023394048748868926,0.9470663938037002,1.2387330883690266,1.5566964571519586,M2_linear_proxy,apparent,S129,Bedok North Street 2
95,-0.29888100121945066,0.6967976856495228,0.9430192978512408,1.5133252436709295,M2_linear_proxy,apparent,S130,West Coast Road
95,-0.34639486569449474,0.861620168466735,1.08491482206663,1.5517371478945374,M2_linear_proxy,apparent,S132,Jurong West Street 93
95,-0.08125476716674601,0.9281016581837204,1.2533994832894733,2.0872301568073426,M2_linear_proxy,apparent,S135,Mandai Wildlife Reserve
95,-0.4347477140891608,0.741614349674116,0.9795687504681476,1.7235586525287572,M2_linear_proxy,apparent,S137,Sakra Road
95,0.8819276122614836,1.6611915805122557,1.8344167558076907,2.6175668493457827,M2_linear_proxy,apparent,S139,Tuas Terminal Gateway
95,0.2832679605341229,0.7866383592349809,1.0140701427915153,1.7052722666141036,M2_linear_proxy,apparent,S140,Choa Chu Kang Stadium
95,-0.14291629168085918,0.9053483748935119,1.1736322796389023,1.817260228806,M2_linear_proxy,apparent,S141,Yio Chu Kang Stadium
94,-0.7307158464078759,1.3836781551069983,1.7975555849621307,3.1046653434676155,M2_linear_proxy,apparent,S142,Sentosa Palawan Green
95,-0.32573090416731115,0.8597049661707491,1.066803662299242,1.689041832806397,M2_linear_proxy,apparent,S143,Punggol North
95,-0.1386887649459382,0.8097203370067289,1.0665036896370048,1.4461908806880865,M2_linear_proxy,apparent,S144,Upper Pickering Street
95,-0.16336003032464075,0.8103356431455524,1.0437574192730863,1.7868901796342087,M2_linear_proxy,apparent,S145,MacRitchie Reservoir
95,0.41769691852279844,0.7320215012965082,0.940510933288391,1.702608513735111,M2_linear_proxy,apparent,S146,Jalan Bahar
95,-0.022899291261727638,1.0964833016951516,1.32782445379117,2.3538268681873977,M2_linear_proxy,apparent,S147,Marina Barrage
95,0.8624026160412998,1.1046590862406487,1.2522972990432222,1.744055139881396,M2_linear_proxy,apparent,S148,Pasir Ris Walk
95,0.7297710370939312,1.1387122057670205,1.3151728040183204,1.9462749712426728,M2_linear_proxy,apparent,S149,Tampines Walk
95,0.4274347882542335,0.8349923660683023,1.0200362439603712,1.6191437282993186,M2_linear_proxy,apparent,S150,Evans Road
95,0.02371191844443358,0.9887780339061554,1.2765585747797714,2.106699935846612,M2_linear_proxy,apparent,S151,Outward Bound Singapore(Pulau ubin)
95,-0.22620572367640335,0.7756532355419891,1.044535194941965,1.900588586142561,M2_linear_proxy,apparent,S153,Bukit Batok Street 22
95,-0.04725835525535085,0.6310495516168504,0.9769669660015208,1.9762789929075162,M2_linear_proxy,apparent,S180,Taman Jurong Greens
95,-0.18186366010191146,0.819696840156181,1.046649546258025,1.4769832847379165,M2_linear_proxy,apparent,S184,Sengkang East Avenue
95,0.1421716303594967,1.1419036194216663,1.4275335064788919,2.12634537503901,M2_linear_proxy,apparent,S187,Bukit Timah(West)
95,0.8790123680496714,1.039431717114648,1.162698715797101,1.6912239260925517,M2_linear_proxy,LOSO,S124,Upper Changi Road North
95,-0.5116524587654457,1.415303322118089,1.6938093731095831,2.5668482219712665,M2_linear_proxy,LOSO,S125,Woodlands Street 13
95,-0.289698676309356,0.9407119924857038,1.2607366415187975,2.402945839565996,M2_linear_proxy,LOSO,S126,Old Chua Chu Kang Road
95,-0.40696697308034613,0.9620314252482877,1.2753561628984977,2.243716694195371,M2_linear_proxy,LOSO,S127,Stadium Road
95,-0.37461015797088904,1.0901737952778832,1.3937056628654785,2.2630536106847643,M2_linear_proxy,LOSO,S128,Bishan Street
95,0.02253232660595906,0.9474094032288076,1.2395298001915922,1.5570724784959993,M2_linear_proxy,LOSO,S129,Bedok North Street 2
95,-0.31054971774906154,0.7002835932441225,0.9474244565007662,1.5169312653307605,M2_linear_proxy,LOSO,S130,West Coast Road
95,-0.3627216808560275,0.8775878149569046,1.0976487847152787,1.568471337634328,M2_linear_proxy,LOSO,S132,Jurong West Street 93
95,-0.08107990268669565,0.9290336711180155,1.2558054276590114,2.09337305244008,M2_linear_proxy,LOSO,S135,Mandai Wildlife Reserve
95,-0.4522584224875293,0.7484113981198304,0.988658612266034,1.746578406653944,M2_linear_proxy,LOSO,S137,Sakra Road
95,0.9202022399863087,1.670498815262154,1.852800660187944,2.6529494118961146,M2_linear_proxy,LOSO,S139,Tuas Terminal Gateway
95,0.2923943426540252,0.7936407898757052,1.0201305539799068,1.7258032935948542,M2_linear_proxy,LOSO,S140,Choa Chu Kang Stadium
95,-0.1480891207990195,0.9038959859152785,1.1749428331044665,1.81746251617369,M2_linear_proxy,LOSO,S141,Yio Chu Kang Stadium
94,-0.7595345174980039,1.392204144889888,1.81567497539167,3.1518781564679568,M2_linear_proxy,LOSO,S142,Sentosa Palawan Green
95,-0.3434881062159186,0.8730637012004272,1.0841963300384392,1.7533003948623513,M2_linear_proxy,LOSO,S143,Punggol North
95,-0.14584570829963067,0.8111437440071585,1.0710917130844548,1.459915152744101,M2_linear_proxy,LOSO,S144,Upper Pickering Street
95,-0.17647107926173444,0.8207137654022589,1.0560721581973662,1.8054742281966778,M2_linear_proxy,LOSO,S145,MacRitchie Reservoir
95,0.4343311490353788,0.7436043862578862,0.9486072255468713,1.7072210978603781,M2_linear_proxy,LOSO,S146,Jalan Bahar
95,-0.026747888441267294,1.1044661820610358,1.336098838077021,2.3705078580536227,M2_linear_proxy,LOSO,S147,Marina Barrage
95,0.8987000337381172,1.1320332786408773,1.2773373525951357,1.7814012349664978,M2_linear_proxy,LOSO,S148,Pasir Ris Walk
95,0.7589206279346775,1.155994942198881,1.3311941686830273,1.9720979605074014,M2_linear_proxy,LOSO,S149,Tampines Walk
95,0.44368292882260923,0.8443709988692591,1.027919850130319,1.634545269405846,M2_linear_proxy,LOSO,S150,Evans Road
95,0.023848759471662737,0.9904157664871879,1.2809258927833862,2.123073065625854,M2_linear_proxy,LOSO,S151,Outward Bound Singapore(Pulau ubin)
95,-0.2376293360492491,0.7895970402339547,1.0532839764148385,1.9008209873034139,M2_linear_proxy,LOSO,S153,Bukit Batok Street 22
95,-0.049727839069917894,0.632560051253507,0.9774768998546317,1.9756385100295688,M2_linear_proxy,LOSO,S180,Taman Jurong Greens
