timestamp_sgt,station_id,station_name,y_true,heat_stress_category,M0_raw_proxy,M1_global_bias,M2_linear_proxy,M4_inertia_ridge
2026-05-07 05:45:00+08:00,S128,Bishan Street,24.5,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.735871819270848
2026-05-07 05:45:00+08:00,S145,MacRitchie Reservoir,24.4,Low,24.05207481689186,25.197836681733943,23.07061005522174,24.38037116890498
2026-05-07 06:00:00+08:00,S127,Stadium Road,25.5,Low,25.44921794466561,26.569266442546738,25.840599216175256,25.450096811934408
2026-05-07 06:00:00+08:00,S128,Bishan Street,24.5,Low,24.53620890047529,25.664891811294204,24.08164622506077,24.742976778109956
2026-05-07 06:00:00+08:00,S145,MacRitchie Reservoir,24.3,Low,24.026951018760712,25.172712883602795,23.021196391665097,24.373171352047212
2026-05-07 06:15:00+08:00,S127,Stadium Road,25.6,Low,25.429681935031603,26.54973043291273,25.802932087713202,25.423689402728087
2026-05-07 06:15:00+08:00,S128,Bishan Street,24.5,Low,24.588008772981222,25.716691683800136,24.181514534086627,24.77677283327107
2026-05-07 06:15:00+08:00,S145,MacRitchie Reservoir,24.3,Low,24.05207481689186,25.197836681733943,23.07061005522174,24.389196639758552
2026-05-07 06:30:00+08:00,S127,Stadium Road,25.5,Low,25.40964532871386,26.52969382659499,25.764299765235215,25.397233071838773
2026-05-07 06:30:00+08:00,S128,Bishan Street,24.4,Low,24.63975073093586,25.768433641754772,24.281271185920563,24.810722587294055
2026-05-07 06:30:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.07719861456444,25.222960479406524,23.120023717876467,24.405505612216217
2026-05-07 06:45:00+08:00,S127,Stadium Road,25.5,Low,25.38908740476646,26.50913590264759,25.724662296952438,25.370737739452295
2026-05-07 06:45:00+08:00,S128,Bishan Street,24.4,Low,24.691434455585267,25.82011736640418,24.380915566016345,24.844853277645743
2026-05-07 06:45:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.10232241177869,25.248084276620773,23.169437379629745,24.422121825549098
2026-05-07 07:00:00+08:00,S127,Stadium Road,25.5,Low,25.367986673458127,26.488035171339256,25.683978248790893,25.344211131933072
2026-05-07 07:00:00+08:00,S128,Bishan Street,24.4,Low,24.743059626034984,25.871742536853898,24.48044705570089,24.879191168326557
2026-05-07 07:00:00+08:00,S145,MacRitchie Reservoir,24.5,Low,24.127446208534906,25.27320807337699,23.218851040482154,24.43906752023197
2026-05-07 07:15:00+08:00,S127,Stadium Road,25.7,Low,25.52492153497562,26.644970032856747,25.986562333243043,25.650871120315585
2026-05-07 07:15:00+08:00,S128,Bishan Street,24.5,Low,24.97798923904469,26.106672149863602,24.933382981145318,25.5604661243018
2026-05-07 07:15:00+08:00,S145,MacRitchie Reservoir,24.5,Low,24.36376677246863,25.509528637310712,23.683647994222174,25.112080642335492
2026-05-07 07:30:00+08:00,S127,Stadium Road,25.9,Low,25.683497694724853,26.80354619260598,26.292310983668372,25.841350323614556
2026-05-07 07:30:00+08:00,S128,Bishan Street,24.7,Low,25.21380035056847,26.342483261387382,25.388018404324992,25.802126300018866
2026-05-07 07:30:00+08:00,S145,MacRitchie Reservoir,24.6,Low,24.601334962658804,25.747096827500886,24.150898788092523,25.339374554693823
2026-05-07 07:45:00+08:00,S127,Stadium Road,26.5,Low,25.84447394727168,26.96452244515281,26.602687222092563,26.03390067998741
2026-05-07 07:45:00+08:00,S128,Bishan Street,25.1,Low,25.45069641004735,26.579379320866263,25.844745568515112,26.045722309880492
2026-05-07 07:45:00+08:00,S145,MacRitchie Reservoir,24.9,Low,24.84081198606083,25.986573850902914,24.621903888601704,25.568667291054016
2026-05-07 08:00:00+08:00,S127,Stadium Road,27.3,Low,26.00931640413602,27.129364902017148,26.92051783924692,26.22969279062823
2026-05-07 08:00:00+08:00,S128,Bishan Street,25.6,Low,25.688958420884987,26.8176413317039,26.304106238268307,26.29149766870764
2026-05-07 08:00:00+08:00,S145,MacRitchie Reservoir,25.2,Low,25.083431190065276,26.22919305490736,25.0990890521058,25.80095121167496
2026-05-07 08:15:00+08:00,S127,Stadium Road,28.2,Low,26.18572266916793,27.30577116704906,27.26064448593437,26.63250980937173
2026-05-07 08:15:00+08:00,S128,Bishan Street,26.9,Low,25.973130470481163,27.101813381300076,26.851979827384415,26.846628473812377
2026-05-07 08:15:00+08:00,S145,MacRitchie Reservoir,25.5,Low,25.468696488993743,26.614458353835825,25.8568315622917,26.31807350883513
2026-05-07 08:30:00+08:00,S127,Stadium Road,29.0,Low,26.357433984567184,27.477482482448313,27.591718860727546,27.036827828425512
2026-05-07 08:30:00+08:00,S128,Bishan Street,27.8,Low,26.255485512376744,27.384168423195657,27.39635029037748,27.342994934859142
2026-05-07 08:30:00+08:00,S145,MacRitchie Reservoir,25.8,Low,25.85254632065183,26.99830818549391,26.611790121455993,26.83426534266622
2026-05-07 08:45:00+08:00,S127,Stadium Road,29.2,Low,26.5255794003656,27.64562789824673,27.915917870445462,27.43984587808819
2026-05-07 08:45:00+08:00,S128,Bishan Street,28.9,Low,26.5359567760018,27.664639686820713,27.937088895967133,27.819373011161353
2026-05-07 08:45:00+08:00,S145,MacRitchie Reservoir,26.8,Low,26.234947732844507,27.38070959768659,27.363899918988817,27.34981843478718
2026-05-07 09:00:00+08:00,S127,Stadium Road,28.9,Low,26.69082341277448,27.81087191065561,28.234522721671375,27.84112174437942
2026-05-07 09:00:00+08:00,S128,Bishan Street,29.4,Low,26.814474607335377,27.94315751815429,28.474061353682114,28.286841860931425
2026-05-07 09:00:00+08:00,S145,MacRitchie Reservoir,27.9,Low,26.615867019810324,27.761628884652406,28.113094662160574,27.864805866120737
2026-05-07 09:15:00+08:00,S127,Stadium Road,29.0,Low,26.742431769450377,27.862480267331506,28.33402812922619,28.09554314424441
2026-05-07 09:15:00+08:00,S128,Bishan Street,29.1,Low,26.888142046320382,28.016824957139296,28.61608955193405,28.50143687040761
2026-05-07 09:15:00+08:00,S145,MacRitchie Reservoir,28.4,Low,26.818235413992177,27.96399727883426,28.511114248705585,28.152019335366237
2026-05-07 09:30:00+08:00,S127,Stadium Road,29.2,Low,26.79318075600294,27.91322925388407,28.431876596318823,28.389125863113655
2026-05-07 09:30:00+08:00,S128,Bishan Street,28.8,Low,26.95767206112652,28.086354971945433,28.75014094374851,28.77350323701232
2026-05-07 09:30:00+08:00,S145,MacRitchie Reservoir,29.1,Low,27.014652633668444,28.160414498510526,28.897429023213387,28.5145653381286
2026-05-07 09:45:00+08:00,S127,Stadium Road,29.5,Low,26.84303806525352,27.96308656313465,28.528005831894397,28.706168074422862
2026-05-07 09:45:00+08:00,S128,Bishan Street,28.2,Low,27.02328482601745,28.15196773683636,28.876640017262982,29.080314484385042
2026-05-07 09:45:00+08:00,S145,MacRitchie Reservoir,29.3,Low,27.20542570690352,28.3511875717456,29.272642850648868,28.919163633999453
2026-05-07 10:00:00+08:00,S127,Stadium Road,29.5,Low,26.891970123122285,28.012018621003413,28.62235110220216,29.038180272136543
2026-05-07 10:00:00+08:00,S128,Bishan Street,28.8,Low,27.08510191343567,28.21378482425458,28.995821159816064,29.409724728192867
2026-05-07 10:00:00+08:00,S145,MacRitchie Reservoir,29.7,Low,27.39069083381493,28.536452698657012,29.637023610364853,29.348970482337002
2026-05-07 10:15:00+08:00,S127,Stadium Road,30.6,Low,26.991403312236194,28.111451810117323,28.81406695297784,29.187841537416475
2026-05-07 10:15:00+08:00,S128,Bishan Street,30.6,Low,27.180126672837744,28.308809583656657,29.179025511062054,29.56928375652474
2026-05-07 10:15:00+08:00,S145,MacRitchie Reservoir,29.4,Low,27.447858571336493,28.593620436178576,29.7494615201681,29.679826489438266
2026-05-07 10:30:00+08:00,S127,Stadium Road,30.8,Low,27.08952247081844,28.20957096869957,29.003249238416153,29.392975099113805
2026-05-07 10:30:00+08:00,S128,Bishan Street,31.7,Moderate,27.273761198037043,28.402444108855956,29.359549540286675,29.77412878866527
2026-05-07 10:30:00+08:00,S145,MacRitchie Reservoir,30.7,Low,27.50294440282561,28.64870626766769,29.85780472248695,30.00639665428819
2026-05-07 10:45:00+08:00,S127,Stadium Road,30.5,Low,27.18632032326709,28.30636882114822,29.189883930522747,29.637540594319645
