time,max_wbgt_proxy_c,p90_wbgt_proxy_c,cells_moderate_or_high,cells_high,max_utci_c,cells_strong_utci,neighbourhood_alert
2026-05-07 14:00:00+08:00,28.042506555183092,27.862129666403163,0,0,34.8,45,low
2026-05-07 15:00:00+08:00,27.584839365181967,27.422910338280776,0,0,33.6,45,low
2026-05-07 16:00:00+08:00,27.72680055698334,27.577418337102092,0,0,34.1,45,low
2026-05-07 17:00:00+08:00,27.87548937235832,27.734839036416165,0,0,34.3,45,low
2026-05-07 18:00:00+08:00,27.628603181712663,27.50130650236202,0,0,33.7,45,low
2026-05-07 19:00:00+08:00,26.83160559313284,26.714806306103487,0,0,32.1,4,low
2026-05-07 20:00:00+08:00,26.60114427555863,26.477295610254043,0,0,31.6,0,low
2026-05-07 21:00:00+08:00,26.210436984218315,26.086266134241875,0,0,31.0,0,low
2026-05-07 22:00:00+08:00,26.24989909244617,26.124127897950938,0,0,30.8,0,low
2026-05-07 23:00:00+08:00,25.899610038935982,25.775005737311222,0,0,30.5,0,low
2026-05-08 00:00:00+08:00,25.719210016958947,25.593206634480904,0,0,29.4,0,low
2026-05-08 01:00:00+08:00,25.765965551023886,25.6411278265509,0,0,30.1,0,low
2026-05-08 02:00:00+08:00,25.755698001349295,25.630524830370874,0,0,30.0,0,low
2026-05-08 03:00:00+08:00,25.84848435351185,25.72305626522388,0,0,30.1,0,low
2026-05-08 04:00:00+08:00,25.859324779835518,25.734381566694495,0,0,30.2,0,low
2026-05-08 05:00:00+08:00,26.040307962364118,25.915252912851614,0,0,30.3,0,low
2026-05-08 06:00:00+08:00,26.240084174507903,26.115243034803303,0,0,30.6,0,low
2026-05-08 07:00:00+08:00,26.182642638853817,26.058772063092427,0,0,31.0,0,low
2026-05-08 08:00:00+08:00,26.797271275613898,26.679849704857588,0,0,31.8,0,low
2026-05-08 09:00:00+08:00,27.253216116202957,27.120795530468644,0,0,33.0,43,low
2026-05-08 10:00:00+08:00,27.58475861371869,27.44249837972686,0,0,34.0,45,low
2026-05-08 11:00:00+08:00,27.86921295857581,27.708490379353538,0,0,34.7,45,low
2026-05-08 12:00:00+08:00,27.970603862141214,27.786776398889533,0,0,34.9,45,low
2026-05-08 13:00:00+08:00,28.24400840771588,28.047080422494417,0,0,35.5,45,low
2026-05-08 14:00:00+08:00,27.720815445761914,27.560814825550526,0,0,34.4,45,low
2026-05-08 15:00:00+08:00,27.432220777458962,27.28781569226105,0,0,33.5,45,low
2026-05-08 16:00:00+08:00,27.063261287190922,26.92476754670474,0,0,33.0,39,low
2026-05-08 17:00:00+08:00,26.60844964964629,26.483108893538667,0,0,31.8,0,low
2026-05-08 18:00:00+08:00,26.6900305220081,26.566791193886502,0,0,32.0,1,low
2026-05-08 19:00:00+08:00,26.722741892064935,26.604590359692413,0,0,31.9,0,low
2026-05-08 20:00:00+08:00,26.7015441996076,26.577921004516416,0,0,31.8,0,low
2026-05-08 21:00:00+08:00,26.790129170224997,26.666027718803203,0,0,31.9,0,low
2026-05-08 22:00:00+08:00,26.592783289496577,26.468535718457748,0,0,31.6,0,low
2026-05-08 23:00:00+08:00,26.567083055971707,26.442074680683852,0,0,31.4,0,low
2026-05-09 00:00:00+08:00,26.474704958485994,26.349704496465964,0,0,31.3,0,low
2026-05-09 01:00:00+08:00,26.171626488637425,26.046408258778044,0,0,30.8,0,low
2026-05-09 02:00:00+08:00,25.96693864787239,25.84160834883549,0,0,30.5,0,low
2026-05-09 03:00:00+08:00,25.8844369374197,25.759501451394616,0,0,30.5,0,low
2026-05-09 04:00:00+08:00,25.788578679984184,25.66374187726427,0,0,30.4,0,low
2026-05-09 05:00:00+08:00,24.985625427476617,24.86116816748662,0,0,29.1,0,low
2026-05-09 06:00:00+08:00,24.34847653261603,24.222720946814306,0,0,27.9,0,low
2026-05-09 07:00:00+08:00,24.614250449069047,24.48996204843241,0,0,28.6,0,low
2026-05-09 08:00:00+08:00,25.215376531116927,25.09456116536601,0,0,29.6,0,low
2026-05-09 09:00:00+08:00,26.35854382626697,26.228932802220992,0,0,31.5,0,low
2026-05-09 10:00:00+08:00,27.112679536972774,26.96911427620112,0,0,33.0,38,low
2026-05-09 11:00:00+08:00,27.728109360562467,27.552150542031306,0,0,34.2,45,low
2026-05-09 12:00:00+08:00,28.252421244893092,28.056373814013174,0,0,35.8,45,low
2026-05-09 13:00:00+08:00,29.208299761934022,29.016863636497852,0,0,37.5,45,low
2026-05-09 14:00:00+08:00,29.228455336042455,29.03390836481249,0,0,37.2,45,low
2026-05-09 15:00:00+08:00,28.748039978166805,28.551364945326473,0,0,36.4,45,low
2026-05-09 16:00:00+08:00,27.71843499836939,27.55756875531735,0,0,34.5,45,low
2026-05-09 17:00:00+08:00,26.958969834465805,26.821902986002453,0,0,32.9,35,low
2026-05-09 18:00:00+08:00,26.650817983573372,26.525592891466605,0,0,32.2,3,low
2026-05-09 19:00:00+08:00,26.562905063548005,26.44719193657318,0,0,31.7,0,low
2026-05-09 20:00:00+08:00,26.625569163544952,26.502079810639074,0,0,31.7,0,low
2026-05-09 21:00:00+08:00,26.526943259995022,26.403048955368067,0,0,31.5,0,low
2026-05-09 22:00:00+08:00,26.420440745111094,26.29645300568241,0,0,31.3,0,low
2026-05-09 23:00:00+08:00,26.210436984218315,26.086266134241875,0,0,31.0,0,low
