cell_id,hour_sgt,scenario_id,n_valid_pixels_formal,valid_pixel_fraction_formal,tmrt_mean_c_formal,tmrt_p50_c_formal,tmrt_p75_c_formal,tmrt_p90_c_formal,tmrt_p95_c_formal,tmrt_max_c_formal,tmrt_min_c_formal,n_valid_pixels_epsilon,valid_pixel_fraction_epsilon,tmrt_mean_c_epsilon,tmrt_p50_c_epsilon,tmrt_p75_c_epsilon,tmrt_p90_c_epsilon,tmrt_p95_c_epsilon,tmrt_max_c_epsilon,tmrt_min_c_epsilon,delta_n_valid_pixels_formal_minus_epsilon,delta_valid_pixel_fraction_formal_minus_epsilon,delta_tmrt_mean_c_formal_minus_epsilon,delta_tmrt_p50_c_formal_minus_epsilon,delta_tmrt_p75_c_formal_minus_epsilon,delta_tmrt_p90_c_formal_minus_epsilon,delta_tmrt_p95_c_formal_minus_epsilon,delta_tmrt_max_c_formal_minus_epsilon,delta_tmrt_min_c_formal_minus_epsilon,epsilon_match_found
TP_0542,15,base,2500,1.0,39.68181991577149,36.50653839111328,37.71669387817383,61.79621124267578,64.13212585449219,66.16519927978516,35.3874626159668,2500,1.0,37.96016693115234,35.494266510009766,36.38128280639648,50.729095458984375,56.38058853149414,60.7609977722168,34.727840423583984,0,0.0,1.7216529846191548,1.0122718811035156,1.3354110717773509,11.067115783691406,7.751537322998047,5.404201507568359,0.6596221923828125,True
TP_0542,15,overhead_as_canopy,2500,1.0,38.965614318847656,36.42005157470703,37.17720413208008,40.46500015258789,63.82308578491211,66.16519927978516,35.3874626159668,2500,1.0,37.48344421386719,35.47110748291016,35.97400665283203,39.148250579833984,56.22846603393555,60.7609977722168,34.727840423583984,0,0.0,1.4821701049804688,0.9489440917968679,1.2031974792480469,1.3167495727539062,7.5946197509765625,5.404201507568359,0.6596221923828125,True
TP_0059,13,base,2500,1.0,63.784461975097656,63.77511596679688,63.81510925292969,63.87703323364258,63.90999984741211,64.02671813964844,63.64523696899414,2500,1.0,61.81303787231445,61.838375091552734,61.93120574951172,62.02654266357422,62.08107376098633,62.18977737426758,61.308712005615234,0,0.0,1.9714241027832031,1.9367408752441477,1.8839035034179688,1.8504905700683594,1.8289260864257812,1.8369407653808594,2.3365249633789062,True
TP_0059,13,overhead_as_canopy,2500,1.0,61.23151779174805,63.76142120361328,63.81428909301758,63.869140625,63.90958023071289,64.03115844726562,36.34860610961914,2500,1.0,59.04593276977539,61.5459213256836,61.72042083740234,61.85014724731445,61.94474029541016,62.07833480834961,36.16799545288086,0,0.0,2.1855850219726562,2.2154998779296804,2.0938682556152415,2.018993377685547,1.9648399353027273,1.9528236389160156,0.18061065673828125,True
TP_0059,15,base,2500,1.0,66.43277740478516,66.41819763183594,66.4866714477539,66.55191802978516,66.57881164550781,66.69507598876953,66.19805908203125,2500,1.0,59.99581146240234,60.02230072021485,60.13153839111328,60.21817779541016,60.265323638916016,60.4014892578125,59.43814468383789,0,0.0,6.43696594238282,6.395896911621087,6.355133056640625,6.333740234374993,6.313488006591797,6.293586730957031,6.759914398193359,True
TP_0059,15,overhead_as_canopy,2500,1.0,62.81828689575195,66.354248046875,66.43599700927734,66.5157241821289,66.5574951171875,66.66572570800781,36.57733154296875,2500,1.0,56.77565002441406,59.67887115478516,59.86094665527344,60.00592422485352,60.0940055847168,60.23877334594727,35.62372589111328,0,0.0,6.042636871337891,6.675376892089837,6.575050354003906,6.5097999572753835,6.463489532470703,6.42695236206054,0.9536056518554688,True
TP_0835,13,base,2500,1.0,35.66221237182617,35.66310119628906,35.663719177246094,35.66593933105469,35.66626739501953,35.71072006225586,35.64118957519531,2500,1.0,35.593780517578125,35.59617614746094,35.599178314208984,35.59954071044922,35.602176666259766,35.63462829589844,35.5433235168457,0,0.0,0.06843185424804688,0.066925048828125,0.06454086303710938,0.06639862060546875,0.06409072875976562,0.07609176635742188,0.09786605834960938,True
TP_0835,13,overhead_as_canopy,2500,1.0,35.66221237182617,35.66310119628906,35.663719177246094,35.66593933105469,35.66626739501953,35.71072006225586,35.64118957519531,2500,1.0,35.593780517578125,35.59617614746094,35.599178314208984,35.59954071044922,35.602176666259766,35.63462829589844,35.5433235168457,0,0.0,0.06843185424804688,0.066925048828125,0.06454086303710938,0.06639862060546875,0.06409072875976562,0.07609176635742188,0.09786605834960938,True
TP_0835,15,base,2500,1.0,36.43565368652344,36.43698120117188,36.43865203857422,36.43889617919922,36.44036483764648,36.44059371948242,36.40887451171875,2500,1.0,35.5153923034668,35.51815414428711,35.520511627197266,35.522274017333984,35.52436447143555,35.524810791015625,35.46013259887695,0,0.0,0.9202613830566406,0.9188270568847727,0.9181404113769531,0.9166221618652344,0.9160003662109304,0.9157829284667969,0.9487419128417969,True
TP_0835,15,overhead_as_canopy,2500,1.0,36.43565368652344,36.43698120117188,36.43865203857422,36.43889617919922,36.44036483764648,36.44059371948242,36.40887451171875,2500,1.0,35.5153923034668,35.51815414428711,35.520511627197266,35.522274017333984,35.52436447143555,35.524810791015625,35.46013259887695,0,0.0,0.9202613830566406,0.9188270568847727,0.9181404113769531,0.9166221618652344,0.9160003662109304,0.9157829284667969,0.9487419128417969,True
