tile_id,cell_id,role,scenario,tmrt_raster,tmrt_time_label,tmrt_hour_sgt,n_pixels,tmrt_mean_c,tmrt_p10_c,tmrt_p50_c,tmrt_p90_c
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,overhead,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_overhead\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,33.649845123291016,32.71788024902344,32.76228332519531,33.50953674316406
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,overhead,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_overhead\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,38.48615646362305,35.44993591308594,35.552947998046875,38.70118713378906
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,overhead,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_overhead\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,38.999507904052734,35.56995391845703,35.76222229003906,59.328941345214844
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,overhead,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_overhead\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,37.91165542602539,35.47074508666992,35.59208679199219,41.408626556396484
E04_saturated_overhead_case_TP_0916,TP_0916,saturated_overhead_case,overhead,data\solweig\v10_epsilon_tiles\E04_saturated_overhead_case_TP_0916\solweig_overhead\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,35.562042236328125,34.2457275390625,34.28800964355469,35.29143142700195
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,base,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_base\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,32.89109420776367,32.73926544189453,32.76880645751953,32.86661911010742
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,base,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_base\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,36.00113296508789,35.460628509521484,35.4837646484375,35.96581268310547
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,base,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_base\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,36.09162521362305,35.56681823730469,35.59324264526367,36.110721588134766
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,base,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_base\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,35.88783645629883,35.484432220458984,35.515132904052734,35.95873260498047
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,base,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_base\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,34.47616195678711,34.26447296142578,34.29201126098633,34.54411697387695
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,overhead,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_overhead\solweig_outputs_h10\Tmrt_average.tif,1000,10,2500,32.8910026550293,32.73926544189453,32.76880645751953,32.86661911010742
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,overhead,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_overhead\solweig_outputs_h12\Tmrt_average.tif,1200,12,2500,36.00068283081055,35.460628509521484,35.4837646484375,35.96581268310547
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,overhead,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_overhead\solweig_outputs_h13\Tmrt_average.tif,1300,13,2500,36.091060638427734,35.56681823730469,35.59324264526367,36.110721588134766
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,overhead,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_overhead\solweig_outputs_h15\Tmrt_average.tif,1500,15,2500,35.88766098022461,35.484432220458984,35.515132904052734,35.95873260498047
E05_clean_shaded_reference_TP_0433,TP_0433,clean_shaded_reference,overhead,data\solweig\v10_epsilon_tiles\E05_clean_shaded_reference_TP_0433\solweig_overhead\solweig_outputs_h16\Tmrt_average.tif,1600,16,2500,34.4760856628418,34.26447296142578,34.29201126098633,34.54411697387695
