source_name,source_path,source_kind,exists,file_size_bytes,row_count,read_status,columns_sample,geometry_type_sample,bbox_min_x,bbox_min_y,bbox_max_x,bbox_max_y,bbox_crs_status,station_coverage_count,expected_station_count,candidate_feature_groups,coverage_status,allowed_for_27_station_buffer_model,extraction_status,exclusion_reason,notes
lta_mrt_exits,data/raw/poi/lta_mrt_exits.geojson,spatial_vector,True,199420.0,597,readable,OBJECTID;STATION_NA;EXIT_CODE;INC_CRC;FMEL_UPD_D,Point,103.63684066747358,1.2649719595912232,103.98927664241383,1.44915683716069,EPSG:4326_inferred,24,27,,bbox_partial_station_coverage,False,not_applicable,Source does not provide requested station-local buffer feature groups.,
nea_hawker_centres,data/raw/poi/nea_hawker_centres.geojson,spatial_vector,True,136815.0,129,readable,OBJECTID;LANDXADDRESSPOINT;LANDYADDRESSPOINT;ADDRESSBUILDINGNAME;ADDRESSPOSTALCODE;ADDRESSSTREETNAME;DESCRIPTION;NAME;PHOTOURL;ADDRESSBLOCKHOUSENUMBER;STATUS;AWARDED_DATE;IMPLEMENTATION_DATE;INFO_ON_CO_LOCATORS;ADDRESS_MYENV;EST_ORIGINAL_COMPLETION_DATE;HUP_COMPLETION_DATE;NUMBER_OF_COOKED_FOOD_STALLS;INC_CRC;FMEL_UPD_D,Point,103.69724185257508,1.2727612859808173,103.98824524769368,1.4482633636853246,EPSG:4326_inferred,22,27,built_impervious;distance_context;morphology;vegetation,bbox_partial_station_coverage,False,excluded,Source coverage is not established for all 27 stations.,
sample_buildings,data/sample/v07_raw_fixtures/sample_buildings.geojson,spatial_vector,True,1600.0,6,readable,OBJECTID;BLDG_TYPE,Polygon,103.849,1.3334,103.85195,1.3363,EPSG:4326_inferred,0,27,built_impervious;morphology,bbox_covers_no_station_centroids,False,excluded,Source coverage is not established for all 27 stations.,
sample_land_use,data/sample/v07_raw_fixtures/sample_land_use.geojson,spatial_vector,True,891.0,3,readable,LU_DESC;GPR,Polygon,103.8485,1.333,103.8525,1.337,EPSG:4326_inferred,0,27,landuse_lcz,bbox_covers_no_station_centroids,False,excluded,Source coverage is not established for all 27 stations.,
sample_parks,data/sample/v07_raw_fixtures/sample_parks.geojson,spatial_vector,True,415.0,1,readable,NAME;L_CODE,Polygon,103.8508,1.3352,103.8524,1.3368,EPSG:4326_inferred,0,27,distance_context;vegetation,bbox_covers_no_station_centroids,False,excluded,Source coverage is not established for all 27 stations.,
sample_roads,data/sample/v07_raw_fixtures/sample_roads.geojson,spatial_vector,True,654.0,3,readable,highway,LineString,103.8487,1.333,103.8523,1.337,EPSG:4326_inferred,0,27,built_impervious;distance_context,bbox_covers_no_station_centroids,False,excluded,Source coverage is not established for all 27 stations.,
sample_water,data/sample/v07_raw_fixtures/sample_water.geojson,spatial_vector,True,388.0,1,readable,NAME,Polygon,103.852,1.3348,103.8525,1.3354,EPSG:4326_inferred,0,27,distance_context;water,bbox_covers_no_station_centroids,False,excluded,Source coverage is not established for all 27 stations.,
v09_station_pairs,data/calibration/v09_wbgt_station_pairs.csv,station_coordinate_or_preflight_inventory,True,1846836.0,2564,readable,timestamp_sgt;station_id;station_name;station_town_center;station_lat;station_lon;official_wbgt_c;heat_stress_category;archive_run_utc;record_updated_timestamp;fetch_timestamp_utc;temperature_2m;relative_humidity_2m;wind_speed_10m;shortwave_radiation;direct_radiation;diffuse_radiation;cloud_cover;openmeteo_utc_offset_seconds;forecast_pairing_status;openmeteo_endpoint;openmeteo_api_used;wetbulb_stull_c;globe_temp_proxy_weather_only_c;wbgt_proxy_weather_only_c;wbgt_proxy_weather_only_category;wbgt_residual_weather_only_c;wbgt_proxy_physics;wbgt_residual_physics;nearest_grid_cell;nearest_grid_distance_m;morphology_representativeness;station_nearest_grid_svf;station_nearest_grid_shade_fraction;station_nearest_grid_tree_canopy_fraction;station_nearest_grid_ndvi_mean;station_nearest_grid_gvi_percent;station_nearest_grid_road_fraction;station_nearest_grid_building_density;station_nearest_grid_park_distance_m;station_nearest_grid_water_distance_m;station_nearest_grid_land_use_hint;station_nearest_grid_vulnerability_score_v071;station_nearest_grid_outdoor_exposure_score_v071;hour_sgt;hour_sin;hour_cos;date_sgt,,103.616417,1.24950363476734,103.982262,1.433789,EPSG:4326_station_metadata,27,27,station_metadata,station_coordinates_cover_27,False,metadata_only,"Station coordinates are retained as metadata, not predictive station_id features.",Used to create station centroids and SVY21 buffer centers.
data_stations_dir,data/stations,station_coordinate_or_preflight_inventory,False,,0,missing,,,,,,,not_spatial,0,27,station_metadata,not_a_feature_source,False,metadata_only,"Station coordinates are retained as metadata, not predictive station_id features.",Used to create station centroids and SVY21 buffer centers.
station_grid_mapping,outputs/v11_level1/pairing_audit/station_grid_mapping.csv,station_coordinate_or_preflight_inventory,True,9930.0,27,readable,input_file;station_id;station_name;station_name_n_unique;station_lat;station_lat_n_unique;station_lon;station_lon_n_unique;latitude;latitude_n_unique;longitude;longitude_n_unique;location_id;location_id_n_unique;location_name;location_name_n_unique;cell_id;cell_id_n_unique;n_rows;n_timestamps;min_timestamp;max_timestamp;temperature_2m_n_nonnull;temperature_2m_n_unique;relative_humidity_2m_n_nonnull;relative_humidity_2m_n_unique;wind_speed_10m_n_nonnull;wind_speed_10m_n_unique;shortwave_radiation_n_nonnull;shortwave_radiation_n_unique;wbgt_proxy_v09_c_n_nonnull;wbgt_proxy_v09_c_n_unique;station_to_openmeteo_coord_delta_deg;openmeteo_coord_key;n_stations_sharing_openmeteo_coord,,103.616417,1.24950363476734,103.982262,1.433789,EPSG:4326_station_metadata,27,27,station_metadata,station_coordinates_cover_27,False,metadata_only,"Station coordinates are retained as metadata, not predictive station_id features.",Used to create station centroids and SVY21 buffer centers.
l2_preflight_inventory,outputs/v11_systema_l2_residual/identifiability_preflight/station_context_input_inventory.csv,station_coordinate_or_preflight_inventory,True,12892.0,16,readable,inventory_role;path;exists;is_directory;file_size_bytes;rows_total;column_count_sampled;columns_present_sample;has_station_id;has_cell_id;has_timestamp_key;forbidden_like_column_sample_count;forbidden_like_column_sample;selected_for_analysis;source_class;notes,,,,,,not_spatial,0,27,station_metadata,not_a_feature_source,False,metadata_only,"Station coordinates are retained as metadata, not predictive station_id features.",Used to create station centroids and SVY21 buffer centers.
