station_id,station_name,station_town_center,station_lat,station_lon,station_x_svy21_m,station_y_svy21_m,station_coordinate_source,station_source_epsg,metric_buffer_epsg,has_usable_built_impervious_source,has_usable_distance_context_source,has_usable_landuse_lcz_source,has_usable_morphology_source,has_usable_surface_source,has_usable_vegetation_source,has_usable_water_source,source_coverage_summary,crs_check,buffer_area_check,toapayoh_only_feature_exclusion_check,water_fraction_50m,water_fraction_100m,water_fraction_250m,water_fraction_500m,distance_to_water_m_50m,distance_to_water_m_100m,distance_to_water_m_250m,distance_to_water_m_500m,nearest_water_type_50m,nearest_water_type_100m,nearest_water_type_250m,nearest_water_type_500m,tree_canopy_fraction_50m,tree_canopy_fraction_100m,tree_canopy_fraction_250m,tree_canopy_fraction_500m,grass_fraction_50m,grass_fraction_100m,grass_fraction_250m,grass_fraction_500m,green_space_fraction_50m,green_space_fraction_100m,green_space_fraction_250m,green_space_fraction_500m,ndvi_mean_50m,ndvi_mean_100m,ndvi_mean_250m,ndvi_mean_500m,gvi_mean_50m,gvi_mean_100m,gvi_mean_250m,gvi_mean_500m,built_up_fraction_50m,built_up_fraction_100m,built_up_fraction_250m,built_up_fraction_500m,impervious_fraction_50m,impervious_fraction_100m,impervious_fraction_250m,impervious_fraction_500m,road_fraction_50m,road_fraction_100m,road_fraction_250m,road_fraction_500m,major_road_fraction_50m,major_road_fraction_100m,major_road_fraction_250m,major_road_fraction_500m,building_footprint_fraction_50m,building_footprint_fraction_100m,building_footprint_fraction_250m,building_footprint_fraction_500m,lst_mean_50m,lst_mean_100m,lst_mean_250m,lst_mean_500m,lst_p90_50m,lst_p90_100m,lst_p90_250m,lst_p90_500m,albedo_mean_50m,albedo_mean_100m,albedo_mean_250m,albedo_mean_500m,building_density_50m,building_density_100m,building_density_250m,building_density_500m,mean_building_height_m_50m,mean_building_height_m_100m,mean_building_height_m_250m,mean_building_height_m_500m,building_height_p90_m_50m,building_height_p90_m_100m,building_height_p90_m_250m,building_height_p90_m_500m,roughness_proxy_50m,roughness_proxy_100m,roughness_proxy_250m,roughness_proxy_500m,openness_or_svf_proxy_50m,openness_or_svf_proxy_100m,openness_or_svf_proxy_250m,openness_or_svf_proxy_500m,distance_to_park_m_50m,distance_to_park_m_100m,distance_to_park_m_250m,distance_to_park_m_500m,distance_to_coast_or_water_m_50m,distance_to_coast_or_water_m_100m,distance_to_coast_or_water_m_250m,distance_to_coast_or_water_m_500m,distance_to_major_road_m_50m,distance_to_major_road_m_100m,distance_to_major_road_m_250m,distance_to_major_road_m_500m,lcz_like_class_50m,lcz_like_class_100m,lcz_like_class_250m,lcz_like_class_500m,landuse_majority_50m,landuse_majority_100m,landuse_majority_250m,landuse_majority_500m
S139,Tuas Terminal Gateway,Tuas Terminal Gateway,1.263757,103.616417,3860.4395296512885,27366.431492487034,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S140,Choa Chu Kang Stadium,Choa Chu Kang Stadium,1.390524,103.749664,18690.372656665226,41382.83338739252,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S141,Yio Chu Kang Stadium,Yio Chu Kang Stadium,1.382564,103.84619,29432.462830225857,40502.495869128594,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S142,Sentosa Palawan Green,Palawan Green (Sentosa),1.24950363476734,103.819177652546,26426.248097772386,25789.36471432842,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S143,Punggol North,Punggol North,1.41046864267577,103.904965342662,35973.32009147181,43588.168715666376,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S144,Upper Pickering Street,Hong Lim Park,1.286011,103.846988,29521.32934684122,29826.159851455715,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S145,MacRitchie Reservoir,MacRitchie Reservoir,1.3418179,103.833913,28066.189718325986,35996.99593365487,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S146,Jalan Bahar,Jalan Bahar,1.365386,103.692372,12314.344916312903,38603.49593815582,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S147,Marina Barrage,Marina Barrage,1.280001,103.8697302,32052.355774368563,29161.629784721517,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S148,Pasir Ris Walk,Pasir Ris Walk,1.3715018,103.9642012,42565.69053023489,39279.68825215055,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S149,Tampines Walk,Tampines Central Park,1.353834,103.938823,39741.48562187004,37325.93020643568,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S150,Evans Road,MOE (Evans) Stadium,1.321182,103.819737,26488.541854901487,33715.18799463665,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S151,Outward Bound Singapore(Pulau ubin),Outward Bound Singapore(Pulau ubin),1.4214527,103.9299001,38748.16163345887,44802.832338749904,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S153,Bukit Batok Street 22,Bukit Batok Swimming Complex,1.344712,103.749077,18624.86936568834,36317.172499884524,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S180,Taman Jurong Greens,Taman Jurong Greens,1.3370108,103.7182835,15197.845088782937,35465.751355078886,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S184,Sengkang East Avenue,Sengkang East Avenue,1.382559,103.898525,35256.685261312996,40502.03870767169,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S187,Bukit Timah(West),Coronation Road,1.322505,103.80139,24446.7041935285,33861.497275288566,data/calibration/v09_wbgt_station_pairs.csv,4326,3414,False,False,False,False,False,False,False,no_usable_27_station_buffer_sources,PASS,PASS,PASS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
