cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate
TP_0311,0.4194685469394422,444.0,0.4359553191746934,428.0,16.0,False
TP_0510,0.5580547295969577,234.0,0.6102058407332029,166.0,68.0,False
TP_0697,0.5838036547854666,200.0,0.610560677392501,165.0,35.0,False
TP_0294,0.576801017100146,208.0,0.5965842920291539,186.0,22.0,False
TP_0839,0.4866759809043001,349.0,0.470768975362118,378.0,-29.0,False
TP_0013,0.4975555764324127,326.0,0.3779881019948019,513.0,-187.0,False
TP_0532,0.4243239947292982,434.0,0.4538322739023744,403.0,31.0,False
TP_0057,0.5027230314625474,315.0,0.3538450507832059,545.0,-230.0,False
TP_0626,0.5479464320991235,247.0,0.5824046211093261,209.0,38.0,False
TP_0751,0.4477603898737914,397.0,0.3970166719929185,488.0,-91.0,False
TP_0046,0.5082173315441137,303.0,0.4506740301889842,407.0,-104.0,False
TP_0663,0.467504894158304,372.0,0.3716746074378274,520.0,-148.0,False
TP_0729,0.5469225690991111,249.0,0.4745451869306321,375.0,-126.0,False
TP_0447,0.5455905713208841,250.0,0.4931638646947202,350.0,-100.0,False
TP_0651,0.5095838858770031,301.0,0.5446332178969369,264.0,37.0,False
TP_0666,0.4682676529012273,371.0,0.4309535828475431,439.0,-68.0,False
TP_0185,0.5246809594425117,283.0,0.5579698046638407,242.0,41.0,False
TP_0778,0.3986662421584589,477.0,0.3870190463460555,503.0,-26.0,False
TP_0010,0.4234321363999808,435.0,0.4315013856348269,436.0,-1.0,False
TP_0472,0.4601354974919331,381.0,0.4872104165290069,355.0,26.0,False
TP_0568,0.5179228791327937,291.0,0.5427112111881266,267.0,24.0,False
TP_0033,0.5625227860051345,225.0,0.5177646105494551,309.0,-84.0,False
TP_0454,0.3945186499135936,481.0,0.4131159808619365,468.0,13.0,False
TP_0905,0.6753179713914604,69.0,0.6021788948893272,178.0,-109.0,False
TP_0562,0.5444964851390336,251.0,0.502949582160571,327.0,-76.0,False
TP_0192,0.4092974157308038,455.0,0.4209620375521156,454.0,1.0,False
TP_0108,0.4571744082011169,387.0,0.4543328420402953,400.0,-13.0,False
TP_0665,0.4086435799886314,456.0,0.397655853772491,487.0,-31.0,False
TP_0287,0.5420201247698337,257.0,0.5776917834967563,215.0,42.0,False
TP_0474,0.4067875128274014,460.0,0.4202412009432,458.0,2.0,False
TP_0804,0.555656398603925,238.0,0.6022148091066759,177.0,61.0,False
TP_0593,0.5423635499920666,256.0,0.5600205361610936,240.0,16.0,False
TP_0679,0.4598768513168056,382.0,0.4863328274135611,358.0,24.0,False
TP_0189,0.5084279041454585,302.0,0.6146648806509384,162.0,140.0,False
TP_0677,0.5288044848218504,274.0,0.5578808907215828,243.0,31.0,False
TP_0385,0.4124032354775718,453.0,0.3295067184575821,584.0,-131.0,False
TP_0664,0.4201175271128141,442.0,0.3872768786080713,502.0,-60.0,False
TP_0566,0.504003174288232,314.0,0.5168344711332318,311.0,3.0,False
TP_0043,0.6310466649843602,136.0,0.5995561820677652,183.0,-47.0,False
TP_0172,0.5018273874541812,318.0,0.5214686035044283,301.0,17.0,False
TP_0212,0.537897116519463,260.0,0.6874181035319568,48.0,212.0,False
TP_0712,0.5233998919995205,286.0,0.5663377727942615,231.0,55.0,False
TP_0837,0.524210486105884,284.0,0.5219894616055373,299.0,-15.0,False
TP_0586,0.4964551340693293,329.0,0.5445730844486274,265.0,64.0,False
TP_0384,0.5217932565789217,288.0,0.5116203139748176,316.0,-28.0,False
TP_0689,0.5382807991689302,259.0,0.5712438572175602,228.0,31.0,False
TP_0932,0.666552120004152,79.0,0.6182354286310638,160.0,-81.0,False
TP_0972,0.5574666477145379,235.0,0.5754980631616217,220.0,15.0,False
TP_0691,0.4461109612402066,400.0,0.4080076897307763,473.0,-73.0,False
TP_0335,0.4035052455902355,467.0,0.4315404088872709,435.0,32.0,False
TP_0358,0.5323023233091224,271.0,0.5368132002020117,276.0,-5.0,False
TP_0543,0.5556041467169989,239.0,0.5765304033119074,217.0,22.0,False
TP_0121,0.5068582645528583,306.0,0.5275487646288527,290.0,16.0,False
TP_0793,0.5122164566564988,299.0,0.462385014667645,387.0,-88.0,False
TP_0750,0.4501265826596716,393.0,0.4139417926496006,467.0,-74.0,False
TP_0330,0.5161224784523679,293.0,0.5392776637115151,273.0,20.0,False
TP_0937,0.459182220710907,384.0,0.5023674186600318,328.0,56.0,False
TP_0735,0.4983039992921426,323.0,0.5402912830693075,270.0,53.0,False
TP_0821,0.4285975965499601,426.0,0.3678559145842558,522.0,-96.0,False
TP_0632,0.4939942363710392,335.0,0.5141549631577985,313.0,22.0,False
TP_0585,0.4893646435868521,342.0,0.5077775623027292,320.0,22.0,False
TP_0391,0.3810943997208762,504.0,0.4101899289149114,471.0,33.0,False
TP_0558,0.5264898859936947,279.0,0.5519063151274588,256.0,23.0,False
TP_0169,0.4880050963984311,344.0,0.5070307344176936,321.0,23.0,False
TP_0477,0.414856118258238,450.0,0.4494794285670555,409.0,41.0,False
TP_0236,0.6653692162275503,83.0,0.6923073446182355,41.0,42.0,False
TP_0527,0.6945770504848768,42.0,0.7071938377996078,29.0,13.0,True
TP_0246,0.5052529541459717,311.0,0.4935228582418993,349.0,-38.0,False
TP_0861,0.5152765840360742,295.0,0.5436269131431907,266.0,29.0,False
TP_0355,0.387332754830591,496.0,0.4006775186683699,483.0,13.0,False
TP_0622,0.6284482846453151,139.0,0.6434875961112203,117.0,22.0,False
TP_0417,0.5040958558771352,313.0,0.5742182223189026,222.0,91.0,False
