cell_id,suggested_asset_folder,user_selected_asset_folder,user_decision,notes
TP_0972,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0610,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0373,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0611,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0590,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0171,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0102,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0767,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0359,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0939,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0169,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0649,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0099,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0003,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0589,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0119,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0159,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0199,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0859,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0887,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0831,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0888,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0860,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0945,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0915,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0974,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0572,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0774,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0001,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0946,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0973,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0571,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
