cell_id,hazard_score_v08,rank_v08_hazard_score,hazard_score_v10,rank_v10_hazard_score,rank_change_v08_minus_v10,is_old_dsm_gap_false_positive_candidate,rank_v08,rank_v10,in_old_topN,in_v10_topN,co_derived_fp_candidate,hazard_rank_true_v08,old_vs_osm_completeness,reviewed_vs_osm_completeness,coverage_gain_vs_osm,old_building_density,v10_building_density,delta_building_density,delta_building_area_m2,possible_old_dsm_gap_false_positive,audit_flags,independent_old_dsm_gap_candidate,co_derived_criteria_recomputed,transition_class
TP_0527,0.6945770504848768,42.0,0.7071938377996078,29.0,13.0,True,42.0,29.0,False,False,True,42,0.0,0.8338535769736147,0.8338535769736147,0.0,0.6971999999960432,0.6971999999960432,6972.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0030,0.6999326886780332,33.0,0.7024794244297159,34.0,-1.0,True,33.0,34.0,False,False,True,33,0.0,0.997504516949452,0.997504516949452,0.0,0.280000000003336,0.280000000003336,2800.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0012,0.7104770564056284,21.0,0.6836996350401505,58.0,-37.0,True,21.0,58.0,False,False,True,21,0.0,1.0007592107930023,1.0007592107930023,0.0,0.3940000000010463,0.3940000000010463,3940.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0954,0.6862766989958594,49.0,0.6834287691890496,60.0,-11.0,True,49.0,60.0,False,False,True,49,0.0,1.0015622941551212,1.0015622941551212,0.0,0.3276000000008521,0.3276000000008521,3276.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0011,0.6947913640703177,41.0,0.681447975637749,64.0,-23.0,True,41.0,64.0,False,False,True,41,0.1394835191145876,0.9177129948094696,0.778229475694882,0.0503999999998698,0.3315999999991434,0.2811999999992736,2812.0,True,old_top50_hazard;low_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,False,False,fp_candidate_outside_top_transition
TP_0983,0.7047586357461876,24.0,0.6778545016134121,68.0,-44.0,True,24.0,68.0,False,False,True,24,0.0,0.9991456024324992,0.9991456024324992,0.0,0.3879999999989343,0.3879999999989343,3880.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0786,0.6885785711332593,46.0,0.6757749320274462,74.0,-28.0,True,46.0,74.0,False,False,True,46,0.0,0.9989781996899674,0.9989781996899674,0.0,0.3923999999979872,0.3923999999979872,3924.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0787,0.6987412945333553,36.0,0.6732200133208733,79.0,-43.0,True,36.0,79.0,False,False,True,36,0.0,0.992279420025451,0.992279420025451,0.0,0.2668000000014753,0.2668000000014753,2668.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0042,0.7084148614847006,23.0,0.672531275080463,82.0,-59.0,True,23.0,82.0,False,False,True,23,0.0,1.0391942903831528,1.0391942903831528,0.0,0.2847999999990053,0.2847999999990053,2848.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0028,0.6977906087940797,39.0,0.6723345337471582,83.0,-44.0,True,39.0,83.0,False,False,True,39,0.0,0.9987094271868956,0.9987094271868956,0.0,0.4307999999993652,0.4307999999993652,4308.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0848,0.7039758316020766,27.0,0.6549222531988271,98.0,-71.0,True,27.0,98.0,False,False,True,27,0.0,1.0043516254289253,1.0043516254289253,0.0,0.3267999999966949,0.3267999999966949,3268.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0727,0.697932168222808,37.0,0.6523378980685537,104.0,-67.0,True,37.0,104.0,False,False,True,37,0.0,1.0009803286906578,1.0009803286906578,0.0,0.3692000000046741,0.3692000000046741,3692.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0847,0.7018966039421165,30.0,0.6362735574518856,127.0,-97.0,True,30.0,127.0,False,False,True,30,0.0,1.0153678653601188,1.0153678653601188,0.0,0.340399999999839,0.340399999999839,3404.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0756,0.6988817809230385,35.0,0.6340136897899865,133.0,-98.0,True,35.0,133.0,False,False,True,35,0.0,0.998696880638738,0.998696880638738,0.0,0.4400000000030573,0.4400000000030573,4400.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0850,0.6888874165032199,45.0,0.62872935295281,141.0,-96.0,True,45.0,141.0,False,False,True,45,0.0,0.998900463277854,0.998900463277854,0.0,0.3287999999995634,0.3287999999995634,3288.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0819,0.6867759455104174,47.0,0.6252102456225794,150.0,-103.0,True,47.0,150.0,False,False,True,47,0.0,1.0267507323175136,1.0267507323175136,0.0,0.3171999999959034,0.3171999999959034,3172.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0902,0.701876905005116,31.0,0.6238474464791105,153.0,-122.0,True,31.0,153.0,False,False,True,31,0.0,0.9955077779761088,0.9955077779761088,0.0,0.4420000000027818,0.4420000000027818,4420.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0879,0.693324270137611,43.0,0.6085278896032958,171.0,-128.0,True,43.0,171.0,False,False,True,43,0.0,0.9988783777702508,0.9988783777702508,0.0,0.2688000000004742,0.2688000000004742,2688.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0760,0.7019943544850712,29.0,0.604341236615077,174.0,-145.0,True,29.0,174.0,False,False,True,29,0.0,0.9982819708142788,0.9982819708142788,0.0,0.3927999999987925,0.3927999999987925,3928.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0955,0.6929690333131605,44.0,0.587907630622908,203.0,-159.0,True,44.0,203.0,False,False,True,44,0.0,1.0005471434554598,1.0005471434554598,0.0,0.4387999999967754,0.4387999999967754,4388.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
TP_0878,0.6860451337393648,50.0,0.5730906028279474,223.0,-173.0,True,50.0,223.0,False,False,True,50,0.0,1.0062047881529568,1.0062047881529568,0.0,0.3967999999988379,0.3967999999988379,3968.0,True,old_top50_hazard;zero_old_completeness;high_coverage_gain;large_building_density_gain;possible_old_dsm_gap_false_positive,True,True,fp_candidate_outside_top_transition
