cell_id,diagnostic_role,split_family,split_name,fold_id,n_rows,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,MAE,true_rank,pred_rank,abs_rank_error,failure_type,claim_boundary
TP_0575,unstable_review,cell_group_holdout,cell_group_5fold,1,10,-0.3689259,-0.26924189682305,0.1312008238892899,5.0,8.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,hour_holdout,leave_h16_out,5,2,0.0,-0.073302654671576,0.073302654671576,100.0,80.0,20.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,hour_holdout,leave_h16_out,5,2,-0.2255895,-0.2386382039377836,0.04563049999999995,41.0,25.0,16.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,hour_holdout,leave_h16_out,5,2,-0.4421845,-0.2841788818035076,0.15800561819649228,21.0,21.0,0.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,hour_holdout,leave_h16_out,5,2,-0.408008,-0.2222213497423131,0.18578665025768681,23.0,31.0,8.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,spatial_holdout,spatial_east_north,1,10,-0.3689259,-0.18735357075786627,0.1971307659675004,14.0,14.0,0.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,spatial_holdout,spatial_east_north,1,10,-0.3838022,-0.1473813771704994,0.23642082282950053,13.0,15.0,2.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0059,unstable_review,spatial_holdout,spatial_west_south,4,10,-0.21121189999999998,-0.4525440055306385,0.24133210553063847,12.0,5.0,7.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,spatial_holdout,spatial_west_south,4,10,-0.25996990000000003,-0.1317944950708702,0.15636510394330377,10.0,22.0,12.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,spatial_holdout,spatial_west_south,4,10,-0.26622599999999996,-0.6268388435200277,0.36061284352002765,9.0,3.0,6.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0326,unstable_review,spatial_holdout,spatial_west_south,4,10,0.0002966,-0.1354405799193551,0.1357371799193551,40.0,21.0,19.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,spatial_holdout,spatial_west_south,4,10,-0.30623279999999997,-0.2588663291288814,0.13067299059325965,7.0,11.0,4.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0098,unstable_review,typology_holdout,typology_civic_institutional,1,10,-0.25996990000000003,-0.0921743212872594,0.1880612429701924,2.0,14.0,12.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0409,unstable_review,typology_holdout,typology_civic_institutional,1,10,-0.30623279999999997,-0.0910252221672976,0.2354368222661618,1.0,15.0,14.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0154,unstable_review,typology_holdout,typology_park_open_space,12,10,-0.26622599999999996,-0.739270929784648,0.47304492978464807,2.0,1.0,1.0,target-role-mismatch,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0773,unstable_review,typology_holdout,typology_park_open_space,12,10,-0.3838022,-0.18471160742002288,0.19909059257997708,1.0,4.0,3.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
TP_0575,unstable_review,typology_holdout,typology_transport,17,10,-0.3689259,-0.2367525697868996,0.1546086980094413,8.0,10.0,2.0,unstable-cell-review,Cell diagnostic over SOLWEIG-derived labels only; not observed truth.
