prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.1,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.2,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.3,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.4,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.5,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.6,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.7,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.8,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,32.9,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.0,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.1,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.2,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.3,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.4,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.5,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.6,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.7,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.8,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,33.9,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.0,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.1,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.2,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.3,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.4,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,34.5,0,0,2177,334,,0.0,0.0,1.0,,1.0,0.0,0,334,0.0
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.0,121,1040,1350,0,0.10422049956933678,1.0,0.18876755070202808,0.5648535564853556,0.8957795004306632,0.0,0.10422049956933678,1161,121,0.5648535564853556
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.1,121,996,1394,0,0.10832587287376902,1.0,0.19547657512116315,0.5832635983263599,0.891674127126231,0.0,0.10832587287376902,1117,121,0.5832635983263599
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.2,121,964,1426,0,0.11152073732718894,1.0,0.20066334991708126,0.596652719665272,0.8884792626728111,0.0,0.11152073732718894,1085,121,0.596652719665272
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.3,121,943,1447,0,0.1137218045112782,1.0,0.2042194092827004,0.6054393305439331,0.8862781954887218,0.0,0.1137218045112782,1064,121,0.6054393305439332
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.4,121,923,1467,0,0.11590038314176246,1.0,0.20772532188841203,0.6138075313807532,0.8840996168582376,0.0,0.11590038314176246,1044,121,0.6138075313807532
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.5,121,899,1491,0,0.11862745098039215,1.0,0.21209465381244522,0.6238493723849372,0.8813725490196078,0.0,0.11862745098039215,1020,121,0.6238493723849372
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.6,121,882,1508,0,0.12063808574277168,1.0,0.21530249110320288,0.6309623430962343,0.8793619142572283,0.0,0.12063808574277168,1003,121,0.6309623430962343
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.7,121,874,1516,0,0.12160804020100502,1.0,0.21684587813620074,0.6343096234309623,0.878391959798995,0.0,0.12160804020100502,995,121,0.6343096234309624
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.8,121,860,1530,0,0.12334352701325178,1.0,0.21960072595281308,0.6401673640167364,0.8766564729867482,0.0,0.12334352701325178,981,121,0.6401673640167362
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,27.9,121,843,1547,0,0.12551867219917012,1.0,0.22304147465437787,0.6472803347280335,0.8744813278008299,0.0,0.12551867219917012,964,121,0.6472803347280336
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.0,121,807,1583,0,0.13038793103448276,1.0,0.23069590085796,0.6623430962343096,0.8696120689655172,0.0,0.13038793103448276,928,121,0.6623430962343098
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.1,121,783,1607,0,0.1338495575221239,1.0,0.23609756097560977,0.6723849372384937,0.8661504424778761,0.0,0.1338495575221239,904,121,0.6723849372384936
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.2,121,748,1642,0,0.13924050632911392,1.0,0.2444444444444444,0.6870292887029289,0.8607594936708861,0.0,0.13924050632911392,869,121,0.687029288702929
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.3,121,718,1672,0,0.14421930870083433,1.0,0.2520833333333333,0.699581589958159,0.8557806912991657,0.0,0.14421930870083433,839,121,0.699581589958159
future_holdout,future_holdout,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge32,32.0,28.4,121,703,1687,0,0.14684466019417475,1.0,0.2560846560846561,0.7058577405857741,0.8531553398058253,0.0,0.14684466019417475,824,121,0.705857740585774
