prediction_source,validation_scheme,dataset_label,target_col,model,event_target,official_event_threshold_c,bin_type,quantile_bin,bin_lower,bin_upper,n,mean_prediction_score,mean_official_wbgt,event_rate_ge31,official_mean_exceedance_above31,official_mean_exceedance_above33,mean_residual,residual_MAE,residual_bias,residual_p90,station_count,event_count,low_support,event_rate_ge33
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,5,26.296,26.604,1047,26.44770031424909,26.331232091690545,0.0009551098376313276,9.551098376313412e-05,0.0,-0.11646822255854598,0.66415739105834,-0.11646822255854598,0.8435946563431809,27,1,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,6,26.604,27.201,1049,26.836206374101465,26.860438512869397,0.008579599618684462,0.00457578646329838,0.0,0.02423213876793558,0.9639174650943918,0.02423213876793558,2.1044768407881778,27,9,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,7,27.201,28.156,1045,27.69997607698527,28.066602870813398,0.08803827751196172,0.05636363636363638,0.0007655502392344471,0.36662679382812774,1.6813720563191767,0.36662679382812774,3.0581368516306595,27,92,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,8,28.156,29.321,1047,28.75762392089973,28.676981852913087,0.16332378223495703,0.12168099331423113,0.003915950334288445,-0.0806420679866435,1.7788215311313653,-0.0806420679866435,2.656565182673223,27,171,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,9,29.321,30.468,1048,29.937854706706254,29.772041984732823,0.35400763358778625,0.2944656488549619,0.010687022900763381,-0.1658127219734327,1.7266188264888578,-0.1658127219734327,2.234926431686438,27,371,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,decile,10,30.468,32.947,1047,31.102168782175248,30.67268385864374,0.5253104106972302,0.5241642788920725,0.0285577841451767,-0.42948492353150347,1.3929960761305753,-0.42948492353150347,1.6333631584940653,27,550,False,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,1,24.407999999999998,25.484,1048,25.238777434220488,25.34837786259542,,0.0,0.0,0.10960042837493096,0.5848445224275015,0.10960042837493096,1.0402435947745348,26,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,2,25.484,25.801,1047,25.653974010433185,25.53037249283668,,0.0,0.0,-0.12360151759650885,0.5902143255505481,-0.12360151759650885,0.7215604177334476,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,3,25.801,26.057,1052,25.937559956856433,25.89838403041825,,0.0008555133079847895,0.0,-0.039175926438183115,0.6475821204925871,-0.039175926438183115,0.8614495081106308,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,4,26.057,26.296,1043,26.175201462593726,26.097986577181214,,0.00019175455417066087,0.0,-0.07721488541251995,0.6902631185822573,-0.07721488541251995,0.8741950991419084,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,5,26.296,26.604,1047,26.44770031424909,26.331232091690545,,9.551098376313412e-05,0.0,-0.11646822255854598,0.66415739105834,-0.11646822255854598,0.8435946563431809,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,6,26.604,27.201,1049,26.836206374101465,26.860438512869397,,0.00457578646329838,0.0,0.02423213876793558,0.9639174650943918,0.02423213876793558,2.1044768407881778,27,0,False,0.0
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,7,27.201,28.156,1045,27.69997607698527,28.066602870813398,,0.05636363636363638,0.0007655502392344471,0.36662679382812774,1.6813720563191767,0.36662679382812774,3.0581368516306595,27,2,False,0.0019138755980861245
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,8,28.156,29.321,1047,28.75762392089973,28.676981852913087,,0.12168099331423113,0.003915950334288445,-0.0806420679866435,1.7788215311313653,-0.0806420679866435,2.656565182673223,27,10,False,0.009551098376313277
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,9,29.321,30.468,1048,29.937854706706254,29.772041984732823,,0.2944656488549619,0.010687022900763381,-0.1658127219734327,1.7266188264888578,-0.1658127219734327,2.234926431686438,27,29,False,0.02767175572519084
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,decile,10,30.468,32.947,1047,31.102168782175248,30.67268385864374,,0.5241642788920725,0.0285577841451767,-0.42948492353150347,1.3929960761305753,-0.42948492353150347,1.6333631584940653,27,78,False,0.07449856733524356
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,31.0,decile,1,23.938,25.346,1050,25.02547687855351,25.453047619047616,0.0,0.0,0.0,0.42757074049410776,0.5904726948541517,0.42757074049410776,1.3343953101192403,26,0,False,
