dataset_label,target_col,model,event_target,threshold_range,best_F1_range,best_F1_recall_range,recall_90_threshold_stability,precision_70_achievability_stability,stability,best_F1_threshold_LOSO,best_F1_LOSO,best_F1_recall_LOSO,best_F1_precision_LOSO,recall_90_threshold_LOSO,precision_70_achievable_LOSO,best_F1_threshold_blocked,best_F1_blocked,best_F1_recall_blocked,best_F1_precision_blocked,recall_90_threshold_blocked,precision_70_achievable_blocked,best_F1_threshold_future,best_F1_future,best_F1_recall_future,best_F1_precision_future,recall_90_threshold_future,precision_70_achievable_future
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,0.09999999999999787,0.07828703418118016,0.14199532726575304,mixed_or_unavailable,mixed,mixed,30.7,0.3952569169960475,0.5274261603375527,0.31605562579013907,29.0,True,30.6,0.35142118863049093,0.5738396624472574,0.2532588454376164,28.7,False,30.7,0.4297082228116711,0.6694214876033058,0.31640625,30.1,False
hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,0.6999999999999993,0.0728264662035715,0.4870295944464742,mixed_or_unavailable,none,mixed,31.4,0.19469026548672563,0.2773109243697479,0.15,29.5,False,31.3,0.15748031496062995,0.25210084033613445,0.11450381679389313,29.3,False,30.7,0.12186379928315413,0.7391304347826086,0.06640625,30.4,False
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,0.9000000000000021,0.14098481701970556,0.17391304347826086,mixed_or_unavailable,all_available_sources,unstable,29.4,0.6002430133657352,0.8260869565217391,0.4713740458015267,28.9,True,30.0,0.5579399141630902,0.6521739130434783,0.4875,28.7,True,30.3,0.6989247311827957,0.7784431137724551,0.6341463414634146,29.8,True
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge32,0.5,0.08047970040371899,0.2046413502109704,mixed_or_unavailable,none,mixed,31.0,0.3778280542986426,0.35232067510548526,0.4073170731707317,29.0,False,30.5,0.3531772575250836,0.5569620253164557,0.25857002938295787,28.8,False,30.9,0.4336569579288026,0.5537190082644629,0.35638297872340424,30.2,False
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,0.7999999999999972,0.08068516183270284,0.5221044939715016,mixed_or_unavailable,none,mixed,31.4,0.19871794871794873,0.2605042016806723,0.16062176165803108,29.5,False,31.0,0.15986394557823128,0.3949579831932773,0.10021321961620469,29.3,False,30.6,0.11803278688524589,0.782608695652174,0.06382978723404255,30.4,False
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,0.40000000000000213,0.13910533910533918,0.11476725521669351,mixed_or_unavailable,mixed,mixed,29.9,0.4668367346938775,0.5874799357945425,0.3873015873015873,28.5,True,29.7,0.40202020202020206,0.6388443017656501,0.2932940309506264,28.2,False,30.1,0.5411255411255412,0.702247191011236,0.44014084507042256,29.6,False
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge32,0.5,0.06553494412035824,0.46080241732415644,mixed_or_unavailable,none,mixed,30.6,0.24622030237580997,0.35403726708074534,0.18874172185430463,28.8,False,30.6,0.21487603305785122,0.32298136645962733,0.1609907120743034,28.5,False,30.1,0.18068535825545173,0.7837837837837838,0.10211267605633803,29.8,False
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,0.8000000000000007,0.07651515151515151,0.6333333333333334,mixed_or_unavailable,none,unstable,31.2,0.125,0.16666666666666666,0.1,28.7,False,30.4,0.054263565891472874,0.4666666666666667,0.02880658436213992,28.8,False,30.5,0.04848484848484849,0.8,0.025,30.2,False
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,0.3000000000000007,0.06278324607589231,0.038523274478330594,mixed_or_unavailable,mixed,mixed,28.9,0.4155124653739612,0.6019261637239165,0.31725888324873097,28.0,True,28.9,0.39909039226833426,0.5634028892455859,0.3089788732394366,28.1,False,29.2,0.46187363834422657,0.5955056179775281,0.37722419928825623,28.5,False
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge32,0.5,0.039824168733490595,0.36478092999832135,mixed_or_unavailable,mixed,mixed,29.8,0.20218579234972675,0.22981366459627328,0.18048780487804877,28.2,True,29.5,0.1814516129032258,0.2795031055900621,0.13432835820895522,28.2,False,29.3,0.16236162361623616,0.5945945945945946,0.09401709401709402,28.6,False
hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,0.8000000000000007,0.01619601328903654,0.5,mixed_or_unavailable,none,unstable,30.3,0.06976744186046512,0.1,0.05357142857142857,28.0,False,29.5,0.05479452054794521,0.3333333333333333,0.029850746268656716,28.0,False,29.6,0.053571428571428575,0.6,0.028037383177570093,28.9,False
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,0.6000000000000014,0.13569987117336496,0.0930979133226324,mixed_or_unavailable,none,mixed,29.7,0.43816254416961126,0.5971107544141252,0.34604651162790695,28.5,False,29.4,0.4121037463976945,0.6886035313001605,0.29403701165181634,28.2,False,30.0,0.5478036175710594,0.5955056179775281,0.507177033492823,29.2,False
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge32,0.5999999999999979,0.017531867295338538,0.35856974987409773,mixed_or_unavailable,none,mixed,30.7,0.20485175202156333,0.2360248447204969,0.18095238095238095,28.7,False,30.3,0.1873198847262248,0.40372670807453415,0.12195121951219512,28.6,False,30.1,0.20465116279069767,0.5945945945945946,0.12359550561797752,29.3,False
hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,0.5999999999999979,0.02476780185758514,0.43333333333333335,mixed_or_unavailable,none,mixed,30.9,0.07518796992481203,0.16666666666666666,0.04854368932038835,29.1,False,30.4,0.06167400881057269,0.4666666666666667,0.0330188679245283,29.0,False,30.3,0.050420168067226885,0.6,0.02631578947368421,29.8,False
hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,0.10000000000000142,0.12869167313868313,0.2247191011235955,mixed_or_unavailable,mixed,mixed,29.9,0.4789808917197452,0.6035313001605136,0.39704329461457233,28.5,True,30.0,0.41229193341869397,0.5168539325842697,0.34291799787007454,28.3,False,29.9,0.5409836065573771,0.7415730337078652,0.4258064516129032,29.5,False
hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge32,0.6999999999999993,0.06539133633771727,0.3731744166526775,mixed_or_unavailable,mixed,mixed,30.8,0.24096385542168675,0.2484472049689441,0.23391812865497075,28.7,True,30.6,0.21171171171171171,0.2919254658385093,0.16607773851590105,28.5,False,30.1,0.17557251908396948,0.6216216216216216,0.10222222222222223,29.6,False
hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,0.8999999999999986,0.05821665438467206,0.8,mixed_or_unavailable,none,unstable,31.0,0.10169491525423728,0.2,0.06818181818181818,28.8,False,30.7,0.0595744680851064,0.23333333333333334,0.03414634146341464,28.7,False,30.1,0.04347826086956522,1.0,0.022222222222222223,30.1,False
hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,0.1999999999999993,0.1305988743624319,0.1211878009630819,mixed_or_unavailable,none,mixed,29.8,0.4602203182374541,0.6035313001605136,0.37190900098911966,28.5,False,29.7,0.42905405405405406,0.6115569823434992,0.3304423243712056,28.3,False,29.9,0.559652928416486,0.7247191011235955,0.4558303886925795,29.5,False
hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge32,0.1999999999999993,0.060073260073260054,0.15326506630854453,mixed_or_unavailable,none,mixed,30.5,0.2549450549450549,0.36024844720496896,0.19727891156462585,28.7,False,30.3,0.21368948247078462,0.39751552795031053,0.1461187214611872,28.4,False,30.3,0.19487179487179487,0.5135135135135135,0.12025316455696203,29.6,False
hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,0.5,0.04571573432482677,0.43333333333333335,mixed_or_unavailable,none,mixed,31.0,0.10309278350515463,0.16666666666666666,0.07462686567164178,28.6,False,30.6,0.05737704918032786,0.23333333333333334,0.03271028037383177,28.7,False,30.5,0.057692307692307696,0.6,0.030303030303030304,29.9,False
