prediction_source,validation_scheme,dataset_label,target_col,model,event_target,operating_point,achievable,official_event_threshold_c,score_threshold_c,TP,FP,TN,FN,precision,recall,F1,specificity,false_alarm_ratio,miss_rate,critical_success_index,predicted_positive_count,official_positive_count,youden_J
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,balanced_J,True,33.0,28.7,115.0,2583.0,7771.0,4.0,0.04262416604892513,0.9663865546218487,0.08164714235001774,0.7505311956731698,0.9573758339510748,0.03361344537815126,0.04256106587712805,2698.0,119.0,0.7169177502950186
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,low_false_alarm_candidate,False,33.0,,,,,,,,,,,,,,,
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,fixed_nominal,True,31.0,31.0,333.0,216.0,9061.0,863.0,0.6065573770491803,0.27842809364548493,0.38166189111747845,0.976716610973375,0.39344262295081966,0.7215719063545151,0.2358356940509915,549.0,1196.0,0.25514470461885996
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,best_F1,True,31.0,30.2,750.0,785.0,8492.0,446.0,0.48859934853420195,0.6270903010033445,0.5492493592090808,0.9153821278430527,0.511400651465798,0.3729096989966555,0.37859666834931854,1535.0,1196.0,0.5424724288463971
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,recall_90,True,31.0,28.5,1082.0,2133.0,7144.0,114.0,0.336547433903577,0.9046822742474916,0.4905917025617774,0.7700765333620783,0.663452566096423,0.09531772575250837,0.3250225292880745,3215.0,1196.0,0.6747588076095699
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,precision_70,True,31.0,32.3,3.0,1.0,9276.0,1193.0,0.75,0.002508361204013378,0.005,0.9998922065322842,0.25,0.9974916387959866,0.002506265664160401,4.0,1196.0,0.0024005677362974875
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,balanced_J,True,31.0,28.7,1063.0,1938.0,7339.0,133.0,0.35421526157947353,0.8887959866220736,0.5065522992613772,0.7910962595666703,0.6457847384205265,0.11120401337792642,0.33918315252074027,3001.0,1196.0,0.6798922461887438
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,low_false_alarm_candidate,True,31.0,32.3,3.0,1.0,9276.0,1193.0,0.75,0.002508361204013378,0.005,0.9998922065322842,0.25,0.9974916387959866,0.002506265664160401,4.0,1196.0,0.0024005677362974875
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,fixed_nominal,True,32.0,32.0,3.0,15.0,9984.0,471.0,0.16666666666666666,0.006329113924050633,0.012195121951219511,0.9984998499849985,0.8333333333333334,0.9936708860759493,0.006134969325153374,18.0,474.0,0.004828963909049078
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge32,best_F1,True,32.0,30.6,272.0,802.0,9197.0,202.0,0.2532588454376164,0.5738396624472574,0.35142118863049093,0.9197919791979198,0.7467411545623837,0.42616033755274263,0.21316614420062696,1074.0,474.0,0.49363164164517714
