selection_rank,cell_id,selection_status,selection_tier,existing_solweig_label_status,quota_reason,lhs_or_greedy_reason,extreme_coverage_reason,sampling_feature_coverage_reason
137,TP_0082,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
138,TP_0718,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
139,TP_0065,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
140,TP_0023,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
141,TP_0707,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
142,TP_0616,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
143,TP_0614,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
144,TP_0114,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
145,TP_0263,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
146,TP_0892,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
147,TP_0166,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
148,TP_0746,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
149,TP_0365,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
150,TP_0628,selected_new,added126,pending_b7_new_run,,qmc_lhs_nearest_with_diversity_penalty,,Latin Hypercube feature-space coverage
