field,source_file,source_role
mean_building_height_m_v08,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
max_building_height_m_v08,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
svf_source_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_source_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
building_source_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
delta_svf_v10_minus_v08,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
delta_shade_v10_minus_v08,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_total_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_weighted_shade_area_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_overhead_features,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_covered_walkway_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_covered_walkway,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_elevated_rail_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_elevated_rail,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_elevated_road_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_elevated_road,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_pedestrian_bridge_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_pedestrian_bridge,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_area_viaduct_m2,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
n_viaduct,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_total,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_shade_proxy,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_covered_walkway,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_elevated_rail,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_elevated_road,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_pedestrian_bridge,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_fraction_viaduct,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
pedestrian_shelter_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
transport_deck_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_confounding_flag,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_interpretation,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_shade_proxy_cell_scope,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_shade_proxy_open_scope,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_shade_scope_method,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_base_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_overhead_sens,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
delta_shade_overhead_sens_minus_base,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_without_overhead_sens,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
shade_fraction_source_v10_delta,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
overhead_sensitivity_note,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,initial
nearest_water_name,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
svf,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
dsm_building_height_mean_m_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
dsm_building_height_p50_m_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
dsm_building_height_p90_m_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
dsm_building_height_max_m_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
svf_umep_mean_open_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
svf_umep_p10_open_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
svf_umep_p90_open_v10,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
delta_svf_v10_minus_v08,data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv,fill_missing
dsm_building_height_mean_m_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
dsm_building_height_p50_m_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
dsm_building_height_p90_m_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
dsm_building_height_max_m_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
svf_umep_mean_open_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
svf_umep_p10_open_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
svf_umep_p90_open_v10,data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv,fill_missing
old_valid_pixel_count,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_pixel_count,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_area_m2,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_density,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_open_pixel_fraction,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_dsm_mean_all_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_dsm_max_all_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_height_mean_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_height_max_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_height_p50_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
old_building_height_p90_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
v10_valid_pixel_count,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
v10_building_pixel_count,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
v10_dsm_mean_all_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
v10_dsm_max_all_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_area_m2,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_density,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_open_pixel_fraction,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_height_mean_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_height_max_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_height_p50_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
delta_building_height_p90_m,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,initial
svf,data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,fill_missing
centroid_x,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
centroid_y,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
lon,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
lat,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
svf,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
shade_fraction_base_v10,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
shade_fraction_overhead_sens,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv,canonical_alias
building_density,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
mean_building_height,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
building_height_p90,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
open_pixel_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
road_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
tree_canopy_fraction,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
gvi_percent,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
ndvi_mean,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv;data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv;data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,canonical_alias
