prediction_source,validation_scheme,dataset_label,target_col,model,event_target,bin_kind,n_bins,n_low_support_bins,monotonicity,event_rate_min,event_rate_max,mean_abs_residual_official_minus_score
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.07449856733524356,0.15328596264683264
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.5448473282442748,0.26749410668321366
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,quantile,10,0,mostly_monotonic,0.0,0.07442748091603053,0.26749410668321366
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.5468451242829828,0.19686458652785105
blocked_time,blocked_date_cv,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.07648183556405354,0.19686458652785105
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,quantile,10,0,mostly_monotonic,0.0,0.30820610687022904,0.2203588024043306
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,quantile,10,0,monotonic,0.0,0.01812977099236641,0.2203588024043306
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,quantile,10,0,mostly_monotonic,0.0,0.31453154875717015,0.4162652154775429
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,quantile,10,0,mostly_monotonic,0.0,0.018164435946462717,0.4162652154775429
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,quantile,10,0,mostly_monotonic,0.0,0.31583969465648853,0.11518801520545381
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.019083969465648856,0.11518801520545381
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.3275862068965517,0.21960142586672865
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M4_like_inertia_ridge,ge33,quantile,10,0,monotonic,0.0,0.020114942528735632,0.21960142586672865
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.3387404580152672,0.17968287858793913
blocked_time,blocked_date_cv,hourly_mean,official_wbgt_c_mean,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.019083969465648856,0.17968287858793913
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge31,quantile,10,0,monotonic,0.0,0.6892430278884463,0.3420662205718223
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_full_dynamic,ge33,quantile,10,0,monotonic,0.0,0.06374501992031872,0.3420662205718223
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_only,ge31,quantile,10,0,mostly_monotonic,0.0,0.6454183266932271,0.516925210167512
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_only,ge33,quantile,10,0,monotonic,0.0,0.04780876494023904,0.516925210167512
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,quantile,10,0,monotonic,0.0,0.6935483870967742,0.20581056074967635
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,quantile,10,0,monotonic,0.0,0.06048387096774194,0.20581056074967635
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge31,quantile,10,0,monotonic,0.0,0.684,0.33937930702305863
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M4_like_inertia_ridge,ge33,quantile,10,0,monotonic,0.0,0.068,0.33937930702305863
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge31,quantile,10,0,monotonic,0.0,0.7091633466135459,0.2817493333913024
future_holdout,future_holdout_last_block,hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,quantile,10,0,monotonic,0.0,0.05976095617529881,0.2817493333913024
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,quantile,10,0,monotonic,0.0,0.4538152610441767,0.32644501342084703
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,quantile,10,0,monotonic,0.0,0.020080321285140562,0.32644501342084703
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge31,quantile,10,0,monotonic,0.0,0.40239043824701193,0.465824406417395
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_only,ge33,quantile,10,0,monotonic,0.0,0.01195219123505976,0.465824406417395
future_holdout,future_holdout_last_block,hourly_mean,official_wbgt_c_mean,L1_proxy_radiation,ge31,quantile,10,0,monotonic,0.0,0.4541832669322709,0.22632649481222344
