dataset_label,model,event_target,validation_scheme,calibrator,selected_probability_threshold,station_id,focus_station_flag,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier,precision,recall,F1
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S149,False,388,31,0.07989690721649484,0.11802382576630835,0.03812691854981351,0.05506904987720307,0.373134328358209,0.8064516129032258,0.5102040816326532
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S150,False,388,34,0.08762886597938144,0.11104696105528229,0.023418095075900855,0.05402283387618621,0.38333333333333336,0.6764705882352942,0.4893617021276596
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S151,False,388,58,0.14948453608247422,0.12367976960986465,-0.02580476647260957,0.06499035440369007,0.625,0.7758620689655172,0.6923076923076923
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S153,False,388,37,0.09536082474226804,0.11350060704990748,0.01813978230763945,0.05573721309679534,0.42857142857142855,0.7297297297297297,0.54
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S180,False,388,47,0.1211340206185567,0.11321215820170676,-0.007921862416849945,0.0638862921265725,0.5396825396825397,0.723404255319149,0.6181818181818182
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S184,False,388,36,0.09278350515463918,0.11525463790245954,0.022471132747820366,0.06056850299074552,0.4262295081967213,0.7222222222222222,0.5360824742268041
hourly_max,M4_like_inertia_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.292,S187,False,388,47,0.1211340206185567,0.11016986197522093,-0.010964158643335775,0.06274068566166849,0.55,0.7021276595744681,0.6168224299065421
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S124,False,388,10,0.02577319587628866,0.11224333916727015,0.08647014329098149,0.05138250137545486,0.13114754098360656,0.8,0.22535211267605634
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S125,False,388,52,0.13402061855670103,0.12348698519048391,-0.010533633366217113,0.06256831738428835,0.6,0.75,0.6666666666666665
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S126,False,388,38,0.0979381443298969,0.1185700317378254,0.020631887407928498,0.06862987671351264,0.421875,0.7105263157894737,0.5294117647058824
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S127,False,388,56,0.14432989690721648,0.10492631780679867,-0.03940357910041781,0.07150984179460353,0.6785714285714286,0.6785714285714286,0.6785714285714286
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S128,False,388,57,0.14690721649484537,0.11579000215962541,-0.031117214335219953,0.0810253897827031,0.5645161290322581,0.6140350877192983,0.5882352941176471
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S129,False,385,47,0.12207792207792208,0.10597007475829645,-0.016107847319625626,0.05859595345882005,0.6071428571428571,0.723404255319149,0.6601941747572816
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S130,False,388,32,0.08247422680412371,0.10852560824227296,0.02605138143814925,0.054762145448311775,0.375,0.65625,0.4772727272727273
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S132,False,388,45,0.11597938144329897,0.11971481760215481,0.00373543615885584,0.06466378453961129,0.49230769230769234,0.7111111111111111,0.5818181818181818
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S135,True,388,69,0.17783505154639176,0.11897369477491972,-0.05886135677147204,0.08554708425086191,0.671875,0.6231884057971014,0.6466165413533834
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S137,True,388,77,0.19845360824742267,0.1088676407179078,-0.08958596752951486,0.10613751701048356,0.6964285714285714,0.5064935064935064,0.5864661654135338
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S139,True,388,8,0.020618556701030927,0.08724173708925247,0.06662318038822154,0.027807725637080092,0.15151515151515152,0.625,0.24390243902439024
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,0.3,S140,False,388,27,0.06958762886597938,0.11995956433885192,0.05037193547287254,0.05275232998425663,0.3384615384615385,0.8148148148148148,0.4782608695652174
