prediction_source,dataset_label,target_col,model,event_target,official_event_threshold_c,validation_scheme,calibrator,n_folds_evaluated,n,event_count,event_rate,Brier,log_loss,ROC_AUC,average_precision,ECE_10,MCE_10,calibration_intercept,calibration_slope,mean_predicted_probability,observed_event_rate,probability_bias
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,station_grouped_calibration,logistic_score_calibration_balanced,27,10473,1196,0.11419841497183233,0.11425130367203531,0.3645471186010038,0.9272636538092012,0.5716573256105293,0.1551307966248012,0.4668799297359097,-2.0182125160266526,0.8792701849745517,0.26932921159663353,0.11419841497183233,0.1551307966248012
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,station_grouped_calibration,isotonic_score_calibration,27,10473,1196,0.11419841497183233,0.06547584814006861,0.20095382195718586,0.9219840270990615,0.5498162961922883,0.007764481956198756,0.24705371413067423,-0.049588348942428195,0.936625577933468,0.1142763622745647,0.11419841497183233,7.794730273236183e-05
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge31,31.0,station_grouped_calibration,empirical_bin_calibration,27,10473,1196,0.11419841497183233,0.0671981786066319,0.2076319362673002,0.9072546716210802,0.43532620535389827,0.0003852895666441788,0.0021966578563143435,-0.03304086466471563,0.959328956554217,0.11431532836479208,0.11419841497183233,0.00011691339295974434
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,blocked_date_calibration,logistic_score_calibration,5,10473,119,0.0113625513224482,0.010764114613330827,0.04583566260157571,0.9193775636582623,0.08171978465362816,0.0018345217272626826,0.335370339151285,-0.13312474490643336,0.9406171410944741,0.010849911504996528,0.0113625513224482,-0.0005126398174516728
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,blocked_date_calibration,logistic_score_calibration_balanced,5,10473,119,0.0113625513224482,0.1234694744247013,0.37175422594760155,0.9239598872193266,0.10712590626682081,0.18616715586619953,0.8340024861805391,-4.336287421428331,0.7972456797641798,0.1975297071886477,0.0113625513224482,0.1861671558661995
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,blocked_date_calibration,isotonic_score_calibration,5,10473,119,0.0113625513224482,0.010921657797258382,0.049415207455244595,0.9025850440620522,0.07697594408592416,0.0042000743272596775,0.21563502740301588,-1.4961720493926733,0.4843057879879472,0.010496303137314393,0.0113625513224482,-0.0008662481851338076
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,blocked_date_calibration,empirical_bin_calibration,5,10473,119,0.0113625513224482,0.010828963490085414,0.04692217669011632,0.9023143736923009,0.061868432108369883,0.0006308714546211028,0.0006308714546211028,-0.8186044792064568,0.7148674508389102,0.010731679867827098,0.0113625513224482,-0.0006308714546211028
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,future_block_calibration,logistic_score_calibration,1,1863,18,0.00966183574879227,0.009431819289516565,0.04177479484340349,0.9137308039747064,0.05540329020913752,0.004594969377133974,0.08585628011119167,-0.18418889262298468,1.0820463741308262,0.014256805125926244,0.00966183574879227,0.004594969377133974
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,future_block_calibration,logistic_score_calibration_balanced,1,1863,18,0.00966183574879227,0.16298086116006713,0.4757794788802956,0.9137308039747064,0.05540329020913752,0.24031994746392582,0.8650578128992858,-4.914378434045072,0.9337878795605621,0.24998178321271805,0.00966183574879227,0.2403199474639258
loso_oof,hourly_max,official_wbgt_c_max,L1_proxy_radiation,ge33,33.0,future_block_calibration,isotonic_score_calibration,1,1863,18,0.00966183574879227,0.009563517359065812,0.042095432732936505,0.9149954832881663,0.05472462228529005,0.00478410510131202,0.11552520065572205,-0.6786844493899361,0.9119610502551893,0.014445940850104288,0.00966183574879227,0.004784105101312018
