dataset_label,model,event_target,validation_scheme,calibrator,hour,n,event_count,observed_event_rate,mean_predicted_probability,probability_bias,Brier
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,21,432,0,0.0,0.003674775521547082,0.003674775521547082,2.504205602872971e-05
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,22,432,0,0.0,0.0034466489902504932,0.0034466489902504932,2.5942985737822338e-05
hourly_max,M7_like_compact_weather_ridge,ge31,blocked_date_calibration,logistic_score_calibration,23,432,0,0.0,0.0034500207250644237,0.0034500207250644237,2.8673712735988008e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,0,432,0,0.0,0.003510122563359531,0.003510122563359531,3.224925869835747e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,1,432,0,0.0,0.0040050284649289876,0.0040050284649289876,4.22282125478201e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,2,459,0,0.0,0.004362774412455517,0.004362774412455517,4.884999574466188e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,3,432,0,0.0,0.005425347726363138,0.005425347726363138,7.253006867532016e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,4,432,0,0.0,0.005698659961032466,0.005698659961032466,8.981362154268006e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,5,432,0,0.0,0.006651436561893753,0.006651436561893753,0.00012308069590011335
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,6,432,0,0.0,0.007539091781604682,0.007539091781604682,0.0001582029471292127
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,7,432,0,0.0,0.009048501063116153,0.009048501063116153,0.00021506458048491204
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,8,432,5,0.011574074074074073,0.019622515218409083,0.00804844114433501,0.011882673339936459
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,9,432,61,0.1412037037037037,0.07164712230870086,-0.06955658139500283,0.12091307437657309
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,10,432,123,0.2847222222222222,0.23701240896902884,-0.04770981325319337,0.18388245010321796
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,11,431,180,0.4176334106728538,0.4330376195839163,0.015404208911062478,0.18676295286079655
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,12,431,223,0.5174013921113689,0.5334314228567569,0.016030030745388002,0.1806099141477938
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,13,431,208,0.48259860788863107,0.48429552177071017,0.0016969138820790985,0.21402006943296334
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,14,405,176,0.4345679012345679,0.410001334997006,-0.024566566237561926,0.2662561420135531
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,15,405,138,0.34074074074074073,0.26817965650907793,-0.0725610842316628,0.23911275688035122
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,16,459,64,0.1394335511982571,0.14863180172505597,0.009198250526798873,0.12627755545610292
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,17,459,17,0.037037037037037035,0.07014214601849113,0.03310510898145409,0.03990529544555744
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,18,459,1,0.002178649237472767,0.028555639135744427,0.02637698989827166,0.003114825382751686
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,19,459,0,0.0,0.00996782230122817,0.00996782230122817,0.00014247533332844046
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,20,459,0,0.0,0.005407908767656428,0.005407908767656428,4.277734040359172e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,21,432,0,0.0,0.0054326035898723595,0.0054326035898723595,4.900298380817342e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,22,432,0,0.0,0.005173930509004152,0.005173930509004152,5.4254798405714784e-05
hourly_max,L1_full_dynamic,ge31,blocked_date_calibration,logistic_score_calibration,23,432,0,0.0,0.005086532962203032,0.005086532962203032,5.658003448628163e-05
