dataset_label,target_col,model,event_target,calibrator,validation_scheme_count,mean_Brier,std_Brier,mean_log_loss,std_log_loss,mean_average_precision,std_average_precision,mean_ROC_AUC,std_ROC_AUC,mean_ECE,std_ECE,mean_probability_bias,std_probability_bias
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,empirical_bin_calibration,3,0.010320870455889385,0.0007424255758029687,0.045064849180842026,0.0027136350185435884,0.05461675288985138,0.004893124508245459,0.8988462301075009,0.01670721087440996,0.002627648653215117,0.00337112827745266,0.002298655187351086,0.003603502135069175
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,isotonic_score_calibration,3,0.010531574816023051,0.0005254930777941054,0.04612691790935263,0.002323679879380111,0.07007269320926483,0.005058090805024667,0.9088580710664185,0.013871694469741857,0.004612313588427193,0.003022947394528288,0.0026869877528218,0.00429110279793908
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,logistic_score_calibration,3,0.010344239860886463,0.0005745667333093589,0.044922291452968784,0.0020187320937963727,0.07783837546460798,0.008471730034972822,0.91780311630888,0.006836849205682961,0.003813164377707638,0.003527429247946081,0.002785363912597895,0.004227969931124874
hourly_max,official_wbgt_c_max,M7_like_compact_weather_ridge,ge33,logistic_score_calibration_balanced,3,0.14618144119845147,0.026119034673707586,0.43449550631720246,0.07986592828140811,0.09163297587585469,0.018466614176805566,0.9228902583706496,0.0029611679164947753,0.21244344619043684,0.029946219004151616,0.21244344619043684,0.02994621900415165
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,empirical_bin_calibration,3,0.045108246704616085,0.0012090760747130152,0.14519150889029875,0.002541588628165628,0.30224554008144194,0.04331609032497787,0.9150134512553231,0.013468296530505885,0.011707361903603114,0.009071325146668412,0.004196448467842266,0.007434168903330541
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,isotonic_score_calibration,3,0.04435868024063452,0.0016224376338692115,0.143424578158044,0.00391308045063918,0.3963780500533698,0.03573569885815345,0.9308092513973593,0.012846381802124695,0.014731069527578494,0.009944536164467837,0.004047821099411375,0.007309468594065688
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,logistic_score_calibration,3,0.042859806151268366,0.0005756212408934276,0.13943078232624226,0.0014024133793317146,0.4241610080404287,0.03293182399045176,0.9349059699484448,0.011506932643972156,0.01403588425076218,0.00986551946605089,0.005968196194501775,0.00920769837390397
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge31,logistic_score_calibration_balanced,3,0.13112078436671246,0.019520924444021464,0.40472200216531196,0.0636720047999648,0.44244643730695143,0.016744231089734017,0.9372402348584239,0.009776426555217722,0.19204428855358446,0.028986098484126612,0.19204428855358446,0.028986098484126664
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,empirical_bin_calibration,3,0.002604786588147589,0.00032899490506487086,0.015490794464499783,0.0018146747414513817,0.013617933956345247,0.0019126598532486787,0.8805874443865296,0.022962466684163237,0.000890674188867774,0.0011292858691669344,0.0007681523564621496,0.0012159477958683228
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,isotonic_score_calibration,3,0.0019124081532322379,0.0001808414604743866,0.011991702948994404,0.0012208379696372366,0.017165191521788303,0.008318122261953437,0.8899806236743961,0.044040202362481504,0.0012488958660720492,0.000678506271919762,0.0012488958660720497,0.0006785062719197622
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,logistic_score_calibration,3,0.002598238334104891,0.0003244622616113496,0.014805401732498683,0.0016228404817437254,0.023188001576909287,0.000248357200224784,0.9180216930874346,0.021214937499241356,0.0009127142214998574,0.0011467743584451689,0.0007858246251015735,0.001237181610718245
hourly_mean,official_wbgt_c_mean,L1_full_dynamic,ge33,logistic_score_calibration_balanced,3,0.14838208524193772,0.027121868327283576,0.4415676011022156,0.07909766760206363,0.03331047406558523,0.00699037448102572,0.927946469918273,0.013395604065815242,0.2289024986839759,0.03070709744829363,0.2289024986839759,0.03070709744829363
