model_name,hour_sgt,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,n_ge31_false_alarm,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c
M7_compact_weather_ridge,13,108,76,106,74,2,32,31.303703703703704,31.67600763904582,-0.37230393534211736,-0.23243992195431318,0.593069981926333,1.2196868772166485,1.034236194606545,2.1138153817829224,4.8577116936666656
M7_compact_weather_ridge,14,108,54,53,22,32,31,30.896296296296295,31.071993262357953,-0.17569696606165433,-0.13099663964953656,0.9680367603317173,1.7096994845002675,1.2363563261425912,2.230000013198125,3.514021282702391
M7_compact_weather_ridge,15,108,44,28,2,42,26,30.583333333333332,30.397640806704477,0.18569252662885652,0.2660446677746453,1.829182273240808,2.7756309524508045,1.6876798815438105,3.113152707558101,5.146123153269606
M7_compact_weather_ridge,16,162,40,5,0,40,5,30.08641975308642,29.482632941711163,0.603786811375258,0.5575052823745903,1.713707792958382,2.7155019243634873,1.3161669482249883,2.776713292913141,4.316459532049713
M7_compact_weather_ridge,17,162,6,0,0,6,0,28.806172839506168,28.860023263234638,-0.05385042372846625,-0.1195402362089748,0.8503159578712847,1.9015541997258913,1.0911564465079022,2.1692774534507597,3.602815868981498
M7_compact_weather_ridge,18,162,0,0,0,0,0,27.59506172839506,28.14864391750359,-0.5535821891085286,-0.7310033007833248,-0.08977029273124781,1.0064966966639646,0.975552535154046,1.6761469907003803,2.7838710694075637
M7_compact_weather_ridge,19,162,0,0,0,0,0,26.66666666666666,27.163769364389275,-0.4971026977226089,-0.45874169726974046,-0.1275886783418967,0.21990128375829388,0.6015687429483558,1.2392381596818578,2.1832930468983704
M7_compact_weather_ridge,20,162,0,0,0,0,0,26.417283950617286,26.59603099909214,-0.17874704847485323,-0.20691155695875807,0.18889924036704908,0.5201110362143625,0.452011069906078,0.9168742887803402,1.429006020237825
M7_compact_weather_ridge,21,162,0,0,0,0,0,26.31728395061728,26.529524212190424,-0.21224026157313639,-0.2099434168784171,0.15863537804583228,0.4116927888840967,0.46364365832061016,1.0368229275223142,1.4590213828913683
M7_compact_weather_ridge,22,162,0,0,0,0,0,26.27654320987655,26.30556886019978,-0.029025650323240174,-0.07176492618048336,0.31067451672006285,0.6658306684503377,0.40672310208801893,0.8331159866830207,1.3398701046331176
M7_compact_weather_ridge,23,162,0,0,0,0,0,26.159259259259255,25.982105650267055,0.17715360899220514,0.12087423464395108,0.541814309630265,0.8912865706832385,0.444233438814267,0.9652147534187653,1.5353157317903374
