model_name,station_id,is_S142,is_S139,n,n_obs_ge31,n_pred_ge31,n_ge31_hit,n_ge31_miss,ge31_miss_rate_among_observed,false_alarm_count,mean_official_wbgt_c,mean_model_score,mean_residual_c,median_residual_c,p75_residual_c,p90_residual_c,mean_abs_error_c,p90_abs_error_c,max_abs_error_c,high_tail_obs_ge31_mean_residual_c,high_tail_obs_ge31_p90_residual_c,sample_size_note
M4_inertia_ridge,S153,False,False,124,14,12,8,6,0.42857142857142855,4,27.456451612903226,27.33649109202929,0.11996052087393096,0.20045126124223955,0.5568665363355922,0.9863017370959012,0.6123630040271231,1.3068510957568522,2.002277288559906,0.44654468041461853,1.3345081976547832,
M4_inertia_ridge,S126,False,False,124,16,12,9,7,0.4375,3,27.427419354838708,27.33844419050144,0.08897516433726572,-0.09359298663667204,0.6803637880938247,1.4853475991486225,0.7961244563908096,1.742617856937188,3.8470073791998374,1.1492704625610008,2.212675708869982,
M4_inertia_ridge,S187,False,False,124,16,10,8,8,0.5,2,27.467741935483872,27.396917627265783,0.07082430821808787,-0.06291486716758676,0.6053578792281522,1.2391688876797016,0.6770383097827145,1.4974043992055126,2.69603512077747,0.9909309978520082,2.015742523616918,
M4_inertia_ridge,S184,False,False,124,12,10,6,6,0.5,4,27.383870967741935,27.37620360119909,0.007667366542842348,0.07996792160677302,0.5312805658997144,0.9335044123117705,0.6542274476378442,1.504596440259676,2.861416054762504,0.9746941295242909,2.192239567923405,
M4_inertia_ridge,S125,False,False,124,16,12,8,8,0.5,4,27.319354838709682,27.324786961217416,-0.005432122507737484,0.057556051547932086,0.6305330176419641,0.9901334915723713,0.6903817417923558,1.5357580762462297,3.461532672813558,0.672955285158567,2.115474151504266,
M4_inertia_ridge,S145,False,False,124,16,10,9,7,0.4375,1,27.187096774193545,27.24724828928605,-0.06015151509250021,-0.14073001461677137,0.3567273181295896,1.189375343265335,0.6356536024230595,1.4773044298647653,2.4379575745756625,1.0343964150078602,2.1091103173596277,
M4_inertia_ridge,S135,False,False,124,22,9,7,15,0.6818181818181818,2,27.18709677419354,27.251152329585135,-0.0640555553915907,-0.32602279666760126,0.655995789774658,1.7074294561847845,1.0278230724913977,2.0936099258579275,3.6925637466689842,1.2644209777456896,2.6716928558087853,
M4_inertia_ridge,S151,False,False,124,18,10,9,9,0.5,1,27.282258064516128,27.358220377638634,-0.07596231312250362,-0.09205315287327309,0.4620879606115178,0.9125489716770411,0.6969013792106273,1.2837598689061807,3.824843518057712,1.0174952533239663,2.2109712057986943,
M4_inertia_ridge,S180,False,False,124,18,12,12,6,0.3333333333333333,0,27.251612903225805,27.341925678359708,-0.09031277513390557,-0.10883148295768663,0.35398751607620227,1.0579005001190027,0.6684900472684374,1.5691124011501139,2.117429444738182,0.29486883479655407,1.3106891977750357,
M4_inertia_ridge,S143,False,False,124,14,14,8,6,0.42857142857142855,6,27.219354838709677,27.352443366554727,-0.13308852784505068,-0.0010356044623112126,0.4123822114358493,0.7284080976758038,0.629935254402037,1.1235269457579715,3.6574519147994806,0.4704705503668209,1.5329893742110188,
M4_inertia_ridge,S124,False,False,124,0,11,0,0,,11,27.312903225806448,27.521679258790915,-0.20877603298446507,-0.010350817699562143,0.46287477461452564,0.7373242533823255,0.7530649935998422,1.650139422506181,2.3109956951881117,,,
M4_inertia_ridge,S148,False,False,124,10,11,4,6,0.6,7,27.31451612903226,27.53857578998437,-0.22405966095211155,-0.1375559477924675,0.25415677719966645,0.6259315562237053,0.6173040782703266,1.503583999779229,2.7920657753538514,0.6257675356072501,1.8139965522040817,
M4_inertia_ridge,S140,False,False,124,8,12,6,2,0.25,6,27.114516129032257,27.34380190863913,-0.2292857796068772,-0.22965609259360953,0.21493162029867552,1.0206473443224997,0.7819528872695657,1.7025120447940205,3.0470073791998367,-0.029403387312379348,0.5528527443114338,
M4_inertia_ridge,S149,False,False,124,10,11,5,5,0.5,6,27.30322580645161,27.54005766391333,-0.23683185746171767,-0.22381836099300223,0.17871469692910935,0.6890722103431458,0.5893506130918692,1.208791896268473,2.403355827415524,0.4918774155744757,1.6152928589954731,
M4_inertia_ridge,S150,False,False,124,6,10,2,4,0.6666666666666666,8,27.130645161290325,27.40436736046827,-0.2737221991779457,-0.3700190312362359,0.09662659828402376,0.6934687220517103,0.6108930311317203,1.2543609717667004,1.944975948558433,0.6564354072054872,1.257810124385676,
M4_inertia_ridge,S139,False,True,124,2,10,0,2,1.0,10,27.406451612903222,27.684736982115002,-0.2782853692117755,-0.2632782722040563,0.4517226703794339,0.855399907764126,0.7616637442310157,1.4879949335183065,3.334551393907603,0.8298025802204467,1.303495251643108,
M4_inertia_ridge,S146,False,False,124,6,11,3,3,0.5,8,27.012903225806447,27.321989088352307,-0.3090858625458582,-0.32364417638783927,0.14383318229159503,0.7538871900134232,0.7859614570298228,1.706136755359225,3.729005975299394,0.281668082679466,0.6356628379691642,
M7_compact_weather_ridge,S142,True,False,124,30,13,13,17,0.5666666666666667,0,28.254838709677422,27.549661437687604,0.7051772719898137,0.4514931550491532,1.1293138985822146,2.2916899367605463,0.9386121672681104,2.2916899367605463,4.316459532049713,2.1958932432728195,3.5509727053035207,
M7_compact_weather_ridge,S137,False,False,124,26,13,12,14,0.5384615384615384,1,28.275806451612905,27.572052646920916,0.7037538046919857,0.7981446956520681,1.3332357941035786,1.8709107247585863,0.9419073897527139,1.8709107247585863,2.7932756603423243,1.3373124147097077,2.4145309501379284,
M7_compact_weather_ridge,S129,False,False,124,20,14,12,8,0.4,2,28.00483870967742,27.64440269277155,0.36043601690587096,0.23277175575763032,0.8427572624426478,1.2554830233698102,0.6966358489125594,1.4969311775028609,3.290366141505931,0.8245586925651966,2.7488327286838623,
M7_compact_weather_ridge,S141,False,False,124,20,12,10,10,0.5,2,27.82903225806452,27.488138055884846,0.34089420217967215,0.2739303888066793,0.7583677178557293,1.5397599670479005,0.7873718709308464,1.610945670232735,3.602815868981498,1.595299561289359,3.393577559467286,
M7_compact_weather_ridge,S127,False,False,124,20,13,12,8,0.4,1,27.950000000000003,27.67626198085132,0.2737380191486836,0.2546261937320633,0.6669538180225913,1.1716780724921854,0.6161056012975356,1.4130991113326858,2.9331457249545743,0.46814273219678404,1.983954175885817,
M7_compact_weather_ridge,S144,False,False,124,16,13,10,6,0.375,3,27.93870967741935,27.676772337074222,0.26193734034513244,0.27582561697875896,0.792089870092247,1.0523690340388983,0.661451280845536,1.2474057406575336,2.7331457249545785,0.5749398113675193,1.6076474600721795,
M7_compact_weather_ridge,S130,False,False,124,12,13,6,6,0.5,7,27.793548387096774,27.54358093858098,0.24996744851579192,0.3016278488990789,0.8096775490872234,1.0862980061967484,0.6930436486389732,1.3178895073399008,2.4164595320497106,0.25408924915524916,1.058112252534247,
M7_compact_weather_ridge,S132,False,False,124,18,13,12,6,0.3333333333333333,1,27.612903225806456,27.45196184568178,0.1609413801246708,0.2164665242781414,0.7379315470174639,1.1286318297189328,0.707806418765331,1.3067275462094212,2.473457237144906,0.19425610855257444,1.7211269390538593,
M7_compact_weather_ridge,S128,False,False,124,22,12,10,12,0.5454545454545454,2,27.612903225806456,27.492811894030392,0.12009133177606086,0.061714653613639925,0.6567048399557374,1.3955792566109024,0.8373858494085699,1.6300848184397168,4.382650426944071,1.4175553286339562,3.6236875625622877,
M7_compact_weather_ridge,S147,False,False,124,20,13,12,8,0.4,1,27.71935483870968,27.682339262059834,0.037015576649842015,-0.042886506973115246,0.5067261766581392,0.8396611435145781,0.5978789022590949,1.176657903966701,2.833145724954573,0.7950404061634201,1.8919399221199884,
