scenario,hour,threshold_metric,n_cells,mean,median,std,min,p25,p75,max,missing_count,spearman_with_tmrt_p90_c,top6_overlap_with_tmrt_p90_c,top6_jaccard_with_tmrt_p90_c,high_p90_low_area_cells,moderate_p90_high_area_cells,recommended_companion_status,assessment_rule
base,13,pct_pixels_tmrt_ge_50,24,52.15,58.76,39.38713672165615,0.0,13.85,93.21000000000001,100.0,0,0.902370101784091,4,0.5,,TP_0366;TP_0627,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,13,pct_pixels_tmrt_ge_55,24,51.94,58.3,39.5387316987764,0.0,12.549999999999999,93.21000000000001,100.0,0,0.902370101784091,4,0.5,,TP_0366;TP_0627,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,15,pct_pixels_tmrt_ge_40,24,51.10833333333333,54.72,39.84566133892412,0.0,13.920000000000002,94.23,100.0,0,0.8339504393114802,4,0.5,TP_0037;TP_0301,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,15,pct_pixels_tmrt_ge_45,24,48.05833333333333,49.08,38.43228711322841,0.0,12.73,91.9,100.0,0,0.8454011941533847,4,0.5,TP_0037,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,15,pct_pixels_tmrt_ge_50,24,48.04333333333333,49.04,38.4411137090018,0.0,12.73,91.9,100.0,0,0.8454011941533847,4,0.5,TP_0037,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,15,pct_pixels_tmrt_ge_55,24,43.39000000000001,38.46,38.44387213000046,0.0,7.15,87.11999999999999,100.0,0,0.8367036510036583,3,0.3333333333333333,TP_0301,TP_0366;TP_0575;TP_0960,sensitivity_only,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,16,pct_pixels_tmrt_ge_40,24,44.65,38.239999999999995,38.09213589956993,0.0,9.59,88.54,100.0,0,0.8511752570916922,3,0.3333333333333333,,TP_0366;TP_0575;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,16,pct_pixels_tmrt_ge_45,24,43.805,36.22,38.13400502347524,0.0,9.18,87.94,100.0,0,0.8503049347429278,3,0.3333333333333333,,TP_0366;TP_0575;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,16,pct_pixels_tmrt_ge_50,24,24.973333333333333,11.46,31.217022483792768,0.0,0.0,43.45,100.0,0,0.8234374099501903,2,0.2,TP_0301,TP_0366;TP_0575;TP_0627;TP_0960,sensitivity_only,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
base,16,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,0.3333333333333333,TP_0037;TP_0059;TP_0088;TP_0301;TP_0565;TP_0986,TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,10,pct_pixels_tmrt_ge_40,24,38.71,33.16,32.20491401877238,0.0,13.129999999999999,61.81,93.24,0,0.9321152355267917,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,10,pct_pixels_tmrt_ge_45,24,15.026666666666666,5.5,20.709091191334654,0.0,0.0,22.16,70.04,0,0.9111408027259504,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,10,pct_pixels_tmrt_ge_50,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.09090909090909091,TP_0059;TP_0301;TP_0565;TP_0627;TP_0960;TP_0986,TP_0088;TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,10,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.09090909090909091,TP_0059;TP_0301;TP_0565;TP_0627;TP_0960;TP_0986,TP_0088;TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,12,pct_pixels_tmrt_ge_40,24,50.025,53.98,37.3025362233676,0.0,16.03,85.88000000000001,100.0,0,0.936290520068023,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,12,pct_pixels_tmrt_ge_45,24,44.93166666666667,43.82,35.33761927792935,0.0,14.57,76.49,99.56,0,0.9397695373279137,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,12,pct_pixels_tmrt_ge_50,24,44.89833333333333,43.739999999999995,35.3395415519422,0.0,14.57,76.49,99.56,0,0.9397695373279137,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,12,pct_pixels_tmrt_ge_55,24,44.88999999999999,43.739999999999995,35.345216760207975,0.0,14.56,76.49,99.56,0,0.9397695373279137,4,0.5,,TP_0366;TP_0960,optional_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,13,pct_pixels_tmrt_ge_40,24,50.625,57.78,37.68005134769879,0.0,15.480000000000002,86.42,100.0,0,0.9319417484931601,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,13,pct_pixels_tmrt_ge_45,24,45.64333333333334,48.18,36.06757699298537,0.0,13.38,76.89,99.84,0,0.9432485545878041,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,13,pct_pixels_tmrt_ge_50,24,45.62166666666667,48.16,36.069251226743965,0.0,13.38,76.89,99.84,0,0.9432485545878041,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,13,pct_pixels_tmrt_ge_55,24,45.18833333333333,46.94,36.226033356601754,0.0,12.459999999999999,76.89,99.84,0,0.9432485545878041,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,15,pct_pixels_tmrt_ge_40,24,44.651666666666664,40.02,36.860701315212054,0.0,13.33,80.37,100.0,0,0.9384649058554547,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,15,pct_pixels_tmrt_ge_45,24,41.03833333333333,34.72,34.81294407777543,0.0,12.16,71.89,95.96,0,0.9428136774303177,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,15,pct_pixels_tmrt_ge_50,24,41.01166666666666,34.58,34.823752971420134,0.0,12.16,71.83,95.96,0,0.9428136774303177,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,15,pct_pixels_tmrt_ge_55,24,35.154999999999994,21.44,34.47447814656896,0.0,6.96,65.25,94.72,0,0.9393346601704272,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,16,pct_pixels_tmrt_ge_40,24,37.404999999999994,29.259999999999998,33.896590183777434,0.0,9.450000000000001,66.45,93.92,0,0.9329855578755564,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,16,pct_pixels_tmrt_ge_45,24,36.19333333333333,25.6,33.861696542754956,0.0,9.18,65.22,93.52,0,0.9347262025730853,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,16,pct_pixels_tmrt_ge_50,24,15.781666666666666,5.220000000000001,21.74831201179344,0.0,0.0,21.799999999999997,77.52,0,0.8934229455995343,5,0.7142857142857143,,TP_0366,required_companion,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
overhead_as_canopy,16,pct_pixels_tmrt_ge_55,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.09090909090909091,TP_0059;TP_0301;TP_0565;TP_0627;TP_0960;TP_0986,TP_0088;TP_0098;TP_0115,not_useful,required if p90 correlation>=0.85 and top6 Jaccard>=0.60; optional if corr>=0.85 or corr>=0.65 with top6 Jaccard>=0.40; sensitivity if corr>=0.40; otherwise not useful
